,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Period,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-74.84,293.28,84.44,128.27,417.86,43.96,-13.5,-3.04,48.08,13.59,17.39,71.65,-24.18,208.99,89.92,-67.85,228.23,-64.37,-2.55,220.89,-54.49,-10.44,-5.29,16.09,77.98,-2.83,35.64,-63.96,-45.22,84.27,-39.2,586.21
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-78.91,601.06,74.13,135.37,616.99,39.15,-28.56,2.34,34.17,25.67,53.62,57.26,-23.24,189.86,54.85,-66.94,225.27,-63.28,1.33,202.75,-56.53,-19.31,-10.22,10.69,64.98,2.42,27.79,-62.34,-52.73,47.65,-45.7,579.99
Koszty sprzedaży,,,,,-5.38,85.65,173.08,95.83,44.73,71.36,28.46,4.91,18.1,5.34,-1.56,20.62,-1.6,-6.61,5.43,-21.34,38.54,0.78,4.01,2.76,10.52,-14.88,-26.02,43.89,2.29,32.97,58.61,-13.25,30.26,50.62,94.96,184.9
Koszty ogólnego zarządu,,,,,31.21,40.84,-8.99,233.93,48.93,44.95,65.64,54.74,59.65,30.5,4.99,7.85,12.87,38.86,44.84,25.7,18.2,0.13,0.18,48.24,19.45,-2.77,-3.11,-16.61,-9.53,28.33,23.97,-27.03,0.62,-13.62,39.24,105.44
Zysk ze sprzedaży,,,,,-106.04,139.32,340.54,98.75,870.61,57.02,13.5,-33.43,185.79,-35.46,-70.51,184.82,-59.07,582.08,742.44,-88.83,753.38,-83.14,-14.28,797.92,-72.79,39.56,11.5,40.62,274.01,-53.51,57.46,-77.12,-47.6,613.98,-57.65,967.11
Pozostałe przychody operacyjne,,,,,-92.7,1481.56,-65.86,-37.79,281.79,-60.05,3262.52,-599.38,-91.8,-55.61,-15.11,191.26,-58.43,4430.28,-92.92,-93.01,7163.77,141.83,23.83,373.73,-92.24,-97.81,-82.41,707.7,1565.68,176.29,3048.24,-277.65,-83.86,-86.18,-99.33,105.99
Pozostałe koszty operacyjne,,,,,-78.87,128.43,56.33,4903.67,611.41,-63.53,-17.6,-111.86,-89.41,-36.91,552.18,963.68,142.15,436.19,-98.18,-78.15,171.79,40.36,78.5,549.88,-7.37,-59.28,-24.64,-66.06,-59.65,-18.72,384.26,-38.99,412.21,-65.72,-79.15,126.23
Zysk operacyjny (EBIT),,,,,-99.74,261.49,287.68,59.58,8522.22,68.1,243.87,-34.31,147.19,-37.1,-88.65,225.4,-65.4,837.06,864.47,-90.06,1103.92,-22.12,-13.78,830.08,-80.11,-79.3,7.33,69.97,456.86,-37.7,78.44,-98.64,-64.19,483.91,-63.11,16267.08
Przychody finansowe,,,,,-65.55,-91.0,-80.7,-67.98,10.97,-15.28,2309.8,12.79,44.49,57.19,-90.81,142.13,60.79,15.76,-46.46,87.19,-3.27,218.82,170.66,-89.63,-64.3,9.75,174.66,913.79,1698.58,199.09,87.33,-61.56,5.82,-25.61,-9.7,515.8
