,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,-19.48,-8.82,26.18,18.45,6.15,1.11,7.66,-2.35,7.45,14.84,-11.0,-6.14,-4.09,-3.04,2.87,9.34,-1.67,7.14,8.29,10.21,-0.73,0.69,10.36,-15.56,21.63,15.03,3.21,28.42,11.12,6.74,-2.56,-10.7,4.05,6.1,18.56,38.24,29.01,24.83,50.99,24.4,29.17,17.76,-0.58,21.45,9.43,16.98,16.2,6.55,23.11,28.19,58.7,35.99,22.14,7.32,-5.04,0.76,-3.42
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-19.03,-8.36,18.01,23.82,2.38,-0.77,6.73,-8.06,7.01,11.92,-11.38,-6.28,-4.07,1.18,8.13,16.32,2.3,7.67,4.98,10.92,-4.18,-3.05,8.0,-17.39,26.73,18.41,7.95,27.41,11.74,5.36,-4.86,-13.89,3.64,6.4,17.42,46.88,26.67,25.03,56.88,20.54,30.4,13.55,-8.59,24.78,3.75,18.52,15.04,1.53,24.3,25.9,72.07,43.03,23.53,8.24,-8.03,-0.16,-3.16
Koszty sprzedaży,,,,,12.61,-1.0,1.56,-3.81,45.48,62.91,78.62,58.46,15.67,37.3,13.26,13.73,6.52,-8.62,-18.13,-14.72,-10.84,-0.07,17.97,6.19,4.76,-2.31,17.29,-6.53,6.32,12.69,-13.7,3.84,-8.53,-16.95,2.43,-6.94,30.41,27.16,25.06,47.33,10.08,12.31,17.32,14.96,12.8,10.08,3.93,-4.65,28.92,3.34,15.13,44.45,14.7,63.66,49.92,23.5,25.16,16.89,-6.19,3.43,-0.59
Koszty ogólnego zarządu,,,,,9.52,8.72,58.24,52.88,0.47,-0.79,-18.78,-8.5,0.19,15.4,1.33,-12.79,10.14,3.72,-3.12,10.65,-4.83,-9.41,18.04,-2.36,15.41,3.72,7.75,-14.01,2.86,18.63,2.09,50.24,1.91,7.25,4.24,-8.5,-8.92,-5.7,-10.15,-5.09,32.89,36.86,24.35,48.38,28.94,2.67,35.68,-1.0,5.05,11.67,2.67,22.58,18.71,35.22,43.87,4.85,32.22,3.41,3.94,17.17,-0.34
Zysk ze sprzedaży,,,,,-42.43,-22.48,90.52,-14.5,17.98,-10.27,9.04,19.24,9.89,19.41,-27.93,-12.37,-20.15,-32.71,-12.36,-16.64,-20.53,28.47,21.62,16.26,10.81,33.97,24.86,-7.75,13.35,-7.15,-14.76,39.38,31.77,36.55,7.14,7.02,0.44,1.19,45.17,11.65,60.97,24.28,49.05,45.79,30.51,59.51,31.99,24.13,39.05,17.02,27.18,16.75,22.93,24.47,14.94,17.81,10.11,0.26,8.93,-0.37,-7.67
Pozostałe przychody operacyjne,,,,,23.46,3.35,-61.77,264.96,-34.67,-70.25,29.6,-66.6,9.18,96.04,802.47,-2.69,-91.59,116.41,-43.78,22.77,3227.78,-33.37,-37.35,-33.58,126.04,-6.13,-1.75,128.3,-60.12,46.64,-9.88,-41.32,-16.11,-68.83,39.25,-111.27,-30.46,-26.12,3.46,1000.0,350.16,-175.14,182.34,193.06,-10.72,219.12,-91.48,31.47,-10.43,-13.58,-453.8,66.4,-66.93,422.86,311.81,-62.05,-258.93,134.97,-33.02,109.7,182.05
Pozostałe koszty operacyjne,,,,,7.43,-46.83,13360.0,-75.23,54.26,129.14,-66.06,-9.38,-35.17,25.43,90.67,32.42,-100.0,-100.0,26.57,18.14,,,-74.4,-23.72,-63.53,-13.75,75.54,73.98,-3.97,-75.11,-0.41,-29.92,279.31,84.21,93.42,-57.58,-60.0,17.62,156.17,-12.97,410.0,-201.21,-64.37,126.18,-82.71,226.4,2.1,200.0,7.22,-38.29,-68.72,-46.68,60.1,76.92,59.85,69.15,74.77,-74.78,119.63,-10.58,-15.98
Zysk operacyjny (EBIT),,,,,-41.99,-20.88,75.04,-1.55,15.63,-15.47,13.0,14.98,11.05,20.75,-20.72,-13.42,-20.17,-25.42,-17.64,-17.3,-18.8,16.73,22.0,17.17,23.28,34.2,23.12,-8.63,3.54,-2.91,-14.83,41.1,25.72,30.13,6.64,7.32,1.94,0.62,39.27,13.87,62.06,25.37,61.14,47.04,33.74,58.02,24.75,21.35,37.06,17.37,26.27,20.97,20.12,25.55,18.68,13.42,7.49,2.63,7.6,1.5,-5.5
Przychody finansowe,,,,,-47.77,63.19,1463.8,-151.25,281.17,268.76,-47.0,515.11,-20.04,-58.33,-50.78,-71.96,-54.59,4.47,-120.3,-72.39,-64.75,-53.72,749.63,754.3,349.87,-40.26,-6.39,-10.23,-16.38,186.68,-160.41,437.48,43.9,29.95,187.3,-61.18,-28.94,104.08,627.94,-159.89,31.21,8.51,-72.78,108.57,114.5,-111.59,315.97,779.84,21.37,551.99,-56.35,1382.31,19.57,1525.14,692.68,-101.85,94.11,-52.52,48.49,4756.86,38.27
