,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,114629.0,110032.0,85503.0,126490.0,92298.0,100329.0,107886.0,149823.0,97976.0,101446.0,116146.0,146299.0,105278.0,116496.0,103369.0,137311.0,100967.0,112954.0,106339.0,150141.0,99281.0,121017.0,115159.0,165473.0,98553.0,121847.0,127087.0,139718.0,119873.0,140165.0,131172.0,179424.0,133205.0,149616.0,127810.0,160228.0,138604.0,158740.0,151530.0,221503.0,178816.0,198158.0,228802.0,275560.0,230985.0,233360.0,227478.0,334667.0,252766.0,272975.0,264320.0,356588.0,311175.0,349923.0,419488.0,484907.0,380064.0,375527.0,398346.0,488594.0,367056.0
Techniczny koszt wytworzenia produkcji sprzedanej,86892.0,83581.0,67868.0,93724.0,70360.0,76594.0,80088.0,116047.0,72036.0,76006.0,85476.0,106689.0,77083.0,85068.0,75753.0,99993.0,73948.0,86071.0,81913.0,116315.0,75647.0,92676.0,85992.0,129022.0,72482.0,89847.0,92870.0,106582.0,91860.0,106384.0,100249.0,135792.0,102647.0,112091.0,95376.0,116932.0,106381.0,119266.0,111989.0,171744.0,134749.0,149122.0,175693.0,207021.0,175711.0,169334.0,160599.0,258328.0,182292.0,200701.0,184761.0,262287.0,226589.0,252680.0,317911.0,375143.0,279908.0,273489.0,292390.0,374533.0,271067.0
Koszty sprzedaży,4409.0,4706.0,4307.0,6664.0,4965.0,4659.0,4374.0,6410.0,7223.0,7590.0,7813.0,10157.0,8355.0,10421.0,8849.0,11552.0,8900.0,9523.0,7245.0,9852.0,7935.0,9516.0,8547.0,10462.0,8313.0,9296.0,10025.0,9779.0,8838.0,10476.0,8652.0,10155.0,8084.0,8700.0,8862.0,9450.0,10542.0,11063.0,11083.0,13923.0,11605.0,12425.0,13003.0,16006.0,13090.0,13678.0,13514.0,15261.0,16875.0,14135.0,15558.0,22044.0,19355.0,23134.0,23325.0,27225.0,24225.0,27042.0,21881.0,28160.0,24082.0
Koszty ogólnego zarządu,6820.0,7111.0,6099.0,7494.0,7469.0,7731.0,9651.0,11457.0,7504.0,7670.0,7839.0,10483.0,7518.0,8851.0,7943.0,9142.0,8280.0,9180.0,7695.0,10116.0,7880.0,8316.0,9083.0,9877.0,9094.0,8625.0,9787.0,8493.0,9354.0,10232.0,9992.0,12760.0,9533.0,10974.0,10416.0,11675.0,8683.0,10348.0,9359.0,11081.0,11539.0,14162.0,11638.0,16442.0,14878.0,14540.0,15791.0,16278.0,15630.0,16237.0,16213.0,19953.0,18554.0,21955.0,23326.0,20920.0,24533.0,22704.0,24246.0,24511.0,24449.0
Zysk ze sprzedaży,16508.0,14634.0,7229.0,18608.0,9504.0,11345.0,13773.0,15909.0,11213.0,10180.0,15018.0,18970.0,12322.0,12156.0,10824.0,16624.0,9839.0,8180.0,9486.0,13858.0,7819.0,10509.0,11537.0,16112.0,8664.0,14079.0,14405.0,14864.0,9821.0,13073.0,12279.0,20717.0,12941.0,17851.0,13156.0,22171.0,12998.0,18063.0,19099.0,24755.0,20923.0,22449.0,28468.0,36091.0,27306.0,35808.0,37574.0,44800.0,37969.0,41902.0,47788.0,52304.0,46677.0,52154.0,54926.0,61619.0,51398.0,52292.0,59829.0,61390.0,47458.0
Pozostałe przychody operacyjne,243.0,657.0,327.0,274.0,300.0,679.0,125.0,1000.0,196.0,202.0,162.0,334.0,214.0,396.0,1462.0,325.0,18.0,857.0,822.0,399.0,599.0,571.0,515.0,265.0,1354.0,536.0,506.0,605.0,540.0,786.0,456.0,355.0,453.0,245.0,635.0,-40.0,315.0,181.0,657.0,360.0,1418.0,-136.0,1855.0,1055.0,1266.0,162.0,158.0,1387.0,1134.0,140.0,-559.0,2308.0,375.0,732.0,1184.0,876.0,-596.0,1720.0,793.0,1837.0,489.0
Pozostałe koszty operacyjne,175.0,284.0,-5.0,2281.0,188.0,151.0,663.0,565.0,290.0,346.0,225.0,512.0,188.0,434.0,429.0,678.0,0.0,0.0,543.0,801.0,414.0,531.0,139.0,611.0,151.0,458.0,244.0,1063.0,145.0,114.0,243.0,745.0,550.0,210.0,470.0,316.0,220.0,247.0,1204.0,275.0,1122.0,-250.0,429.0,622.0,194.0,316.0,438.0,1866.0,208.0,195.0,137.0,995.0,333.0,345.0,219.0,1683.0,582.0,87.0,481.0,1505.0,489.0
Zysk operacyjny (EBIT),16576.0,15007.0,7561.0,16601.0,9616.0,11873.0,13235.0,16344.0,11119.0,10036.0,14955.0,18792.0,12348.0,12118.0,11857.0,16271.0,9857.0,9037.0,9765.0,13456.0,8004.0,10549.0,11913.0,15766.0,9867.0,14157.0,14667.0,14406.0,10216.0,13745.0,12492.0,20327.0,12844.0,17886.0,13321.0,21815.0,13093.0,17997.0,18552.0,24840.0,21219.0,22563.0,29894.0,36524.0,28378.0,35654.0,37294.0,44321.0,38895.0,41847.0,47092.0,53617.0,46719.0,52541.0,55891.0,60812.0,50220.0,53925.0,60141.0,61722.0,47458.0
Przychody finansowe,1566.0,508.0,163.0,917.0,818.0,829.0,2549.0,-470.0,3118.0,3057.0,1351.0,1951.0,2493.0,1274.0,665.0,547.0,1132.0,1331.0,-135.0,151.0,399.0,616.0,877.0,1290.0,1795.0,368.0,821.0,1158.0,1501.0,1055.0,-496.0,6224.0,2160.0,1371.0,433.0,2416.0,1535.0,2798.0,3152.0,-1447.0,2014.0,3036.0,858.0,124.0,4320.0,-352.0,3569.0,1091.0,5243.0,1591.0,1558.0,16172.0,6269.0,25856.0,12350.0,-299.0,12169.0,12276.0,18338.0,13924.0,16826.0
