,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,101633.0,110708.0,121961.0,217607.0,173432.0,225573.0,207157.0,269526.0,203612.0,260696.0,314029.0,513466.0,267674.0,337022.0,378832.0,485576.0,347931.0,350336.0,404963.0,452866.0,373077.0,410165.0,379336.0,311314.0,230648.0,293193.0,312851.0,485295.0,299731.0,343237.0,296226.0,674275.0,624501.0,432472.0,424106.0,458228.0,381244.0,368669.0,334604.0,510715.0,498056.0,476955.0,462193.0,487019.0,461348.0,316126.0,536059.0,577228.0,386036.0,307609.0,695218.0,875799.0,555141.0,463501.0,598966.0,791313.0,764692.0,550489.0,485570.0,986705.0
Techniczny koszt wytworzenia produkcji sprzedanej,84675.0,90183.0,54953.0,129145.0,76703.0,131749.0,94715.0,209595.0,108759.0,193003.0,146320.0,374492.0,189948.0,267490.0,238103.0,430438.0,273352.0,337180.0,240333.0,489656.0,201553.0,106348.0,371152.0,248160.0,50961.0,83662.0,237654.0,352422.0,200231.0,223001.0,202129.0,297421.0,451485.0,325977.0,331309.0,394033.0,329618.0,330915.0,292638.0,435070.0,439812.0,439793.0,414832.0,422524.0,325394.0,309507.0,305079.0,646100.0,290225.0,258630.0,591070.0,776802.0,445761.0,368808.0,415501.0,562600.0,483610.0,399098.0,433869.0,724290.0
Koszty sprzedaży,9647.0,2847.0,4125.0,7633.0,6334.0,6103.0,5849.0,10645.0,6664.0,5840.0,15258.0,29473.0,12897.0,15942.0,16352.0,21778.0,12587.0,16823.0,19024.0,48406.0,26283.0,5900.0,20932.0,44579.0,12169.0,15024.0,30954.0,21955.0,21278.0,21747.0,11090.0,38533.0,20086.0,29429.0,22330.0,30151.0,16813.0,29964.0,30412.0,26918.0,49702.0,28148.0,48411.0,75703.0,44180.0,8990.0,25445.0,25178.0,28829.0,30158.0,28654.0,53808.0,26342.0,27045.0,25182.0,35184.0,19735.0,34454.0,27688.0,42606.0
Koszty ogólnego zarządu,5204.0,13704.0,7398.0,8993.0,8841.0,7811.0,9904.0,10336.0,9436.0,7028.0,13741.0,16426.0,14012.0,20007.0,19104.0,29116.0,10736.0,27287.0,24223.0,33331.0,19217.0,29010.0,23930.0,18030.0,19267.0,19890.0,4883.0,41486.0,21419.0,14980.0,27920.0,33038.0,40172.0,25832.0,29862.0,49888.0,37771.0,28311.0,43342.0,73982.0,21601.0,24304.0,31507.0,24167.0,26736.0,39747.0,29465.0,44311.0,20025.0,17898.0,31300.0,75720.0,37718.0,37426.0,64374.0,174098.0,127772.0,40778.0,49643.0,175651.0
Zysk ze sprzedaży,2106.0,3973.0,55485.0,71836.0,81554.0,79910.0,96689.0,38950.0,78754.0,54824.0,138710.0,93075.0,50817.0,33583.0,105272.0,4244.0,51257.0,-30954.0,121383.0,-118527.0,126023.0,268906.0,-36678.0,546.0,148251.0,174617.0,39360.0,69433.0,56804.0,83509.0,55086.0,305283.0,112757.0,51234.0,40605.0,-15845.0,-2959.0,-20521.0,-31788.0,-25254.0,-13059.0,-15290.0,-32557.0,-35375.0,65039.0,-42119.0,176070.0,-138361.0,46957.0,922.0,44193.0,-30531.0,45320.0,30223.0,93909.0,19430.0,133574.0,76158.0,-25630.0,44158.0
Pozostałe przychody operacyjne,22195.0,73194.0,-13305.0,-12563.0,1746.0,16861.0,73787.0,-22906.0,19562.0,92517.0,35762.0,-100774.0,4390.0,173861.0,49802.0,-143455.0,22240.0,245587.0,-32782.0,-36010.0,2532.0,1252.0,1720.0,59446.0,1865.0,4471.0,29094.0,18827.0,101118.0,185057.0,8404.0,-220926.0,42687.0,143067.0,-4865.0,31044.0,28748.0,187728.0,42377.0,-54971.0,28857.0,178809.0,-98130.0,81414.0,3651.0,155703.0,-151865.0,239660.0,-387.0,425990.0,61858.0,181902.0,16205.0,143985.0,170165.0,43302.0,-1122.0,144208.0,73785.0,49080.0
Pozostałe koszty operacyjne,16342.0,-8434.0,6836.0,12123.0,8304.0,-1323.0,4928.0,4523.0,11261.0,-2799.0,8580.0,8251.0,3974.0,6656.0,2789.0,11373.0,3321.0,11550.0,4752.0,36446.0,5548.0,7361.0,6476.0,22633.0,1860.0,5906.0,9177.0,18082.0,3645.0,6457.0,8922.0,11768.0,7731.0,13250.0,8592.0,24725.0,8059.0,7319.0,18585.0,31562.0,10943.0,6769.0,11030.0,6839.0,14267.0,6842.0,13024.0,18455.0,10761.0,5104.0,11462.0,19515.0,12083.0,20768.0,12812.0,-3227.0,11249.0,10347.0,16674.0,24231.0
Zysk operacyjny (EBIT),7959.0,85602.0,35343.0,47150.0,74996.0,98094.0,165548.0,11521.0,87054.0,150139.0,165892.0,-15949.0,51233.0,200788.0,152285.0,-150585.0,70176.0,203083.0,83850.0,-190983.0,123007.0,262798.0,-41433.0,37359.0,148255.0,173183.0,59277.0,70178.0,154277.0,262109.0,54568.0,72589.0,147714.0,181051.0,27147.0,-9526.0,17730.0,159888.0,-7996.0,-111787.0,4856.0,156750.0,-141718.0,39199.0,54423.0,106742.0,11181.0,82845.0,35810.0,421809.0,94590.0,131856.0,49442.0,153439.0,251262.0,65959.0,121203.0,210019.0,31480.0,69007.0
Przychody finansowe,1011.0,11304.0,-10480.0,-160.0,4032.0,-95.0,-2771.0,-962.0,1585.0,3712.0,2528.0,2482.0,4157.0,5365.0,1444.0,13753.0,4445.0,-1312.0,3504.0,4637.0,2899.0,-1269.0,284.0,1253.0,2126.0,1313.0,365.0,1313.0,1246.0,916.0,310.0,341.0,414.0,410.0,491.0,6014.0,888.0,2504.0,504.0,2958.0,1136.0,957.0,2244.0,835.0,719.0,384.0,177.0,291.0,643.0,353.0,329.0,373.0,954.0,1240.0,2060.0,4554.0,2235.0,1451.0,2995.0,1965.0
Koszty finansowe,10681.0,13731.0,14095.0,12715.0,8358.0,10219.0,15605.0,14487.0,17464.0,19160.0,16591.0,32092.0,21291.0,31218.0,27661.0,22379.0,27370.0,27053.0,24400.0,37943.0,313064.0,60266.0,63572.0,235658.0,272434.0,-38727.0,40894.0,118811.0,78086.0,5523.0,48221.0,46779.0,13757.0,5418.0,18533.0,44654.0,12087.0,14847.0,15343.0,24149.0,21124.0,20456.0,19288.0,36210.0,12100.0,10437.0,10077.0,16364.0,24019.0,-9715.0,57749.0,24579.0,2759.0,6375.0,13548.0,16349.0,27375.0,-25794.0,72380.0,20818.0
Pozostałe przychody (koszty),2985.0,-2078.0,473.0,1865.0,3827.0,6484.0,3668.0,3006.0,10876.0,21257.0,9705.0,18206.0,2397.0,7628.0,3476.0,499.0,-180.0,3788.0,62359.0,-14710.0,538.0,491.0,564.0,1031.0,-662.0,835.0,979.0,-2284.0,1037.0,859.0,4213.0,-571.0,181.0,127.0,142.0,-6144.0,9499.0,3310.0,-76360.0,-5104.0,-6030.0,10783.0,35772.0,-7878.0,-112050.0,-3850.0,-48215.0,-2404.0,7470.0,-36298.0,27811.0,-1982.0,-33158.0,-25481.0,-54269.0,-17221.0,-4596.0,-49612.0,44372.0,-3765.0
