,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Period,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,57406.0,89477.0,36277.0,55277.0,36909.0,60577.0,28745.0,64270.0,51778.0,78212.0,38031.0,36415.0,47313.0,85538.0,44292.0,51417.0,93740.0,83600.0,31752.0,53793.0,49419.0,76137.0,42712.0,50599.0,54096.0,143210.0,57120.0,57540.0,78114.0,82832.0,74112.0,73006.0,58475.0,89696.0,42023.0,52052.0,54192.0,111835.0,39702.0,48340.0,40635.0,76661.0,41800.0,60972.0,40326.0,82478.0,72323.0,73495.0,78897.0,103335.0
Techniczny koszt wytworzenia produkcji sprzedanej,46457.0,78982.0,29370.0,44526.0,28177.0,45359.0,21395.0,52719.0,36600.0,58722.0,27905.0,26808.0,34162.0,63068.0,33511.0,38601.0,77022.0,59892.0,20694.0,36105.0,33099.0,51844.0,28348.0,38489.0,38632.0,105955.0,42100.0,41346.0,56843.0,57698.0,56334.0,56167.0,42970.0,61766.0,27523.0,34002.0,36352.0,78082.0,30832.0,32473.0,30215.0,63622.0,33120.0,44398.0,31316.0,62710.0,54466.0,56873.0,61137.0,88595.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,6237.0,7283.0,6623.0,8102.0,8338.0,9755.0,9022.0,8882.0,8997.0,11029.0,10149.0,11388.0,10990.0,11386.0,11939.0,13262.0,12256.0,13159.0,13709.0,13073.0,12964.0,16410.0,14464.0,13689.0,13957.0,15739.0,15598.0,15588.0,15401.0,14396.0,15852.0,16754.0,15327.0,15584.0,15169.0,14816.0,15046.0,18743.0,10951.0,11488.0,11762.0,10922.0,11914.0,12679.0,13385.0,12922.0,13257.0,13364.0,13739.0,14714.0
Zysk ze sprzedaży,4712.0,3212.0,284.0,2649.0,394.0,5463.0,-1672.0,2669.0,6181.0,8461.0,-23.0,-1781.0,2161.0,11084.0,-1158.0,-446.0,4462.0,10549.0,-2651.0,4615.0,3356.0,7883.0,-100.0,-1579.0,1507.0,21516.0,-578.0,606.0,5870.0,10738.0,1926.0,85.0,178.0,12346.0,-669.0,3234.0,2794.0,15010.0,-2081.0,4379.0,-1342.0,2117.0,-3234.0,3895.0,-4375.0,6846.0,4600.0,3258.0,4021.0,26.0
Pozostałe przychody operacyjne,108.0,298.0,422.0,543.0,1314.0,2757.0,1954.0,602.0,986.0,2316.0,1773.0,1969.0,578.0,1061.0,230.0,1696.0,533.0,1729.0,810.0,1451.0,461.0,-245.0,391.0,1084.0,254.0,145.0,1075.0,-248.0,115.0,759.0,364.0,232.0,21.0,6143.0,522.0,-37.0,811.0,32744.0,638.0,28.0,135.0,44.0,139.0,378.0,41.0,-271.0,348.0,789.0,394.0,-316.0
Pozostałe koszty operacyjne,162.0,410.0,150.0,420.0,1103.0,2672.0,1222.0,290.0,1073.0,3379.0,1292.0,417.0,218.0,1194.0,260.0,612.0,711.0,1385.0,509.0,719.0,453.0,-587.0,533.0,909.0,211.0,1828.0,532.0,406.0,291.0,834.0,86.0,200.0,160.0,807.0,545.0,-318.0,830.0,101.0,140.0,3269.0,75.0,286.0,200.0,88.0,60.0,69.0,482.0,67.0,31.0,733.0
Zysk operacyjny (EBIT),4658.0,3100.0,556.0,2772.0,605.0,5548.0,-940.0,2981.0,6094.0,7398.0,458.0,-229.0,2521.0,10951.0,-1188.0,638.0,4284.0,10893.0,-2350.0,5347.0,3364.0,8225.0,-242.0,-1404.0,1550.0,19833.0,-35.0,-48.0,5694.0,10663.0,2204.0,117.0,39.0,17682.0,-692.0,3515.0,2775.0,47653.0,-1583.0,1138.0,-1282.0,1875.0,-3295.0,4185.0,-4394.0,6506.0,4466.0,3980.0,4384.0,-1023.0
Przychody finansowe,823.0,-319.0,1066.0,-892.0,78.0,110.0,347.0,677.0,-208.0,281.0,323.0,86.0,452.0,10.0,276.0,-18.0,416.0,-462.0,731.0,-428.0,-104.0,458.0,716.0,153.0,-302.0,-253.0,1262.0,174.0,-47.0,66.0,207.0,254.0,-128.0,38.0,431.0,-164.0,588.0,-547.0,333.0,61.0,-199.0,-130.0,231.0,265.0,264.0,-38.0,366.0,108.0,347.0,-523.0
