,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,75.3,82.11,-9.16,3.94,70.72,29.32,14.72,28.04,-24.04,16.83,41.1,-23.93,18.47,-12.06,-34.8,-6.5,-9.71,24.26,46.97,-0.67,9.44,-16.22,-5.77,17.85,-13.35,5.22,7.16,-15.31,4.9,0.15,20.78,12.34,18.05,28.29,9.14,51.36,12.34,23.83,13.38,8.43,22.31,-11.07,-7.12,-0.38,12.71,22.4,88.26,-3.36,27.81,0.85,-41.55,44.07,-5.25,35.38,47.42,-16.25,-8.19,-42.76,-36.42,2.73,4.45,66.45,43.73,-24.99,-11.97,43.18,18.34,97.34,6.71,-42.72,-4.43,-32.71
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,42.26,67.46,-12.35,-6.16,97.15,18.61,8.5,41.2,-21.37,20.7,47.52,-16.38,29.46,26.75,-11.5,7.98,4.92,24.32,30.03,-2.98,9.0,-8.92,-7.29,32.42,-7.76,-2.09,16.68,-4.09,11.12,0.41,-1.39,-3.5,2.04,25.6,23.83,37.24,10.72,18.19,0.07,10.07,25.37,-9.51,-7.16,-3.3,11.95,18.71,86.25,-6.52,20.52,5.74,-36.43,40.33,-1.15,27.74,38.39,-8.51,-2.74,-41.05,-31.75,4.74,0.3,64.38,28.77,-32.48,-14.23,39.86,19.8,103.93,7.83,-40.09,-9.69,-32.35
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,100.0,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,20.86,26.54,47.86,60.15,41.25,53.99,62.49,27.71,45.76,43.64,12.01,36.62,14.08,12.99,-8.29,-1.81,-25.6,-26.1,12.38,-27.86,2.79,-12.43,-12.21,8.48,-11.82,9.39,-9.96,8.18,-1.75,-16.24,1.14,-8.19,6.49,22.89,1.64,14.82,6.24,-5.46,15.85,-10.27,13.39,6.99,4.95,16.51,7.68,8.07,28.94,-0.95,31.83,-1.59,-23.61,-0.2,-25.06,22.01,18.96,5.37,2.55,-25.98,-12.79,8.79,7.79,21.35,29.1,-13.45,-5.51,11.19,9.32,31.66,2.71,-12.17,-4.81,-14.89
Zysk ze sprzedaży,,,,,260.84,217.11,-12.85,20.41,34.18,47.51,16.07,-0.6,-50.68,-3.67,37.25,-69.16,-21.22,-134.3,-139.64,-135.8,-85.18,86.89,143.3,178.11,70.55,-724.64,54.89,-403.52,-183.23,65.99,-109.63,-173.02,-181.49,62.02,4506.37,75.96,203.5,237.76,-49.94,302.29,41.39,681.48,150.59,10.06,1.41,-46.64,-11.45,21.08,27.94,120.66,123.19,27.56,101.12,-45.0,-64.82,106.36,-18.22,204.73,122.79,-64.7,-56.96,-68.64,-62.54,-31.2,72.5,174.22,165.62,109.87,5.35,97.43,16.04,100.31,0.59,-72.57,15.32,-43.5
Pozostałe przychody operacyjne,,,,,-42.21,-21.62,58.62,-50.0,14.04,44.83,115.22,531.43,-24.63,-53.57,86.87,170.14,328.1,783.33,553.51,-51.42,7.79,21.19,55.25,-21.21,-13.81,27.66,-24.4,55.14,19.88,-68.48,-46.02,248.8,-5.83,191.96,109.66,-47.55,10.55,42.41,-16.87,53.82,-20.93,-30.49,-12.88,23.36,63.61,89.7,11.18,46.81,-44.38,-29.04,-48.88,-65.21,-12.26,9.64,5.9,167.7,226.8,43.61,86.29,-55.19,-60.05,-36.54,-3.68,127.52,-14.3,-26.57,3.98,-23.67,-7.08,11.99,31.39,-14.28,-23.37,13.69,-31.53,136.97
Pozostałe koszty operacyjne,,,,,-28.33,-68.83,52.78,-5.84,73.64,-63.54,32.73,99.48,-34.38,442.86,0.0,166.06,115.65,228.95,1204.11,-96.01,64.04,-28.8,-56.51,340.24,-77.88,-89.44,-70.29,-2.22,265.22,-159.57,1246.34,3.68,-91.19,950.0,-93.18,180.87,245.95,-60.92,-33.63,77.04,226.56,116.13,96.0,-60.6,-36.36,125.37,210.88,-65.13,-12.78,-21.63,41.14,183.2,595.26,-197.75,-84.19,-19.21,-79.05,523.05,-9.8,8.04,1.18,-89.85,102.17,8.9,-11.4,269.8,-38.17,908.77,206.93,-5.99,339.13,-105.38,-48.28,136.29,-58.02,509.32
Zysk operacyjny (EBIT),,,,,197.6,260.98,-12.92,20.54,32.24,49.9,17.02,-0.78,-49.85,-7.36,38.95,-78.01,-0.57,-133.88,-134.82,-125.7,-67.35,105.59,215.68,278.31,39.81,-1202.63,16.34,-328.51,-80.65,67.38,-135.77,-115.47,-248.78,209.51,903.34,70.37,708.93,280.62,-43.85,359.41,5.98,130.25,105.25,57.56,26.95,-21.78,-12.11,45.39,-1.24,52.01,101.48,-22.44,47.41,-18.14,-61.37,134.96,32.65,78.51,120.98,-65.41,-60.34,-54.42,-58.34,14.29,49.29,85.49,138.57,-74.85,-9.12,93.11,14.86,908.78,5.2,-73.97,12.73,-26.31
Przychody finansowe,,,,,-9.2,-43.3,27.5,-4.29,-32.03,-10.0,360.78,792.95,1023.56,279.29,42.87,198.35,-86.01,-14.51,-71.71,-89.03,-36.39,2.65,-225.53,126.54,44.71,-75.11,175.68,-33.88,54.15,31.1,-65.93,-80.67,-51.29,-2.79,94.31,42.42,-38.94,13.88,4.18,-110.64,47.1,-73.53,-49.0,925.0,26.11,142.86,17.32,7.88,-26.95,27.45,22.15,20.79,70.05,-77.44,-32.97,-43.72,-25.16,-113.64,36.89,56.2,-46.64,4016.67,-11.38,421.69,0.0,-134.04,-4.05,-108.11,-64.57,93.75,-49.3,340.0,666.67,23120.0,-977.78,-109.9
