,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,10310.0,9788.0,22637.0,29827.0,18073.0,17825.0,20563.0,31002.0,30854.0,23052.0,23590.0,39695.0,23436.0,26931.0,33286.0,30197.0,27765.0,23683.0,21703.0,28234.0,25070.0,29429.0,31897.0,28044.0,27436.0,24657.0,30057.0,33050.0,23773.0,25944.0,32209.0,27989.0,24937.0,25983.0,38903.0,31443.0,29437.0,33334.0,42460.0,47592.0,33069.0,41278.0,48143.0,51605.0,40446.0,36710.0,44715.0,51411.0,45586.0,44933.0,84179.0,49686.0,58265.0,45314.0,49204.0,71585.0,55205.0,61345.0,72536.0,59951.0,50686.0,35114.0,46120.0,61585.0,52939.0,58448.0,66290.0,46197.0,46601.0,83687.0,78445.0,91167.0,49727.0,47936.0,74966.0,61343.0
Techniczny koszt wytworzenia produkcji sprzedanej,7241.0,6949.0,16981.0,20830.0,10301.0,11637.0,14883.0,19546.0,20308.0,13803.0,16148.0,27598.0,15969.0,16660.0,23822.0,23078.0,20674.0,21117.0,21082.0,24919.0,21692.0,26253.0,27413.0,24177.0,23644.0,23910.0,25414.0,32015.0,21809.0,23411.0,29654.0,30707.0,24235.0,23507.0,29242.0,29631.0,24729.0,29525.0,36209.0,40666.0,27381.0,34895.0,36235.0,44762.0,34327.0,31578.0,33641.0,43283.0,38430.0,37485.0,62658.0,40461.0,46316.0,39636.0,39832.0,56780.0,45783.0,50630.0,55123.0,51948.0,44529.0,29848.0,37621.0,54409.0,44662.0,49063.0,48444.0,36739.0,38305.0,68619.0,58037.0,74921.0,41304.0,41108.0,52416.0,50683.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,1376.0,1477.0,1237.0,1566.0,1663.0,1869.0,1829.0,2508.0,2349.0,2878.0,2972.0,3203.0,3424.0,4134.0,3329.0,4376.0,3906.0,4671.0,3053.0,4297.0,2906.0,3452.0,3431.0,3100.0,2987.0,3023.0,3012.0,3363.0,2634.0,3307.0,2712.0,3638.0,2588.0,2770.0,2743.0,3340.0,2756.0,3404.0,2788.0,3835.0,2928.0,3218.0,3230.0,3441.0,3320.0,3443.0,3390.0,4009.0,3575.0,3721.0,4371.0,3971.0,4713.0,3662.0,3339.0,3963.0,3532.0,4468.0,3972.0,4176.0,3622.0,3307.0,3464.0,4543.0,3904.0,4013.0,4472.0,3932.0,3689.0,4462.0,4889.0,5177.0,3789.0,3919.0,4654.0,4406.0
Zysk ze sprzedaży,1693.0,1362.0,4419.0,7431.0,6109.0,4319.0,3851.0,8948.0,8197.0,6371.0,4470.0,8894.0,4043.0,6137.0,6135.0,2743.0,3185.0,-2105.0,-2432.0,-982.0,472.0,-276.0,1053.0,767.0,805.0,-2276.0,1631.0,-2328.0,-670.0,-774.0,-157.0,-6356.0,-1886.0,-294.0,6918.0,-1528.0,1952.0,405.0,3463.0,3091.0,2760.0,3165.0,8678.0,3402.0,2799.0,1689.0,7684.0,4119.0,3581.0,3727.0,17150.0,5254.0,7202.0,2050.0,6033.0,10842.0,5890.0,6247.0,13441.0,3827.0,2535.0,1959.0,5035.0,2633.0,4373.0,5372.0,13374.0,5526.0,4607.0,10606.0,15519.0,11069.0,4634.0,2909.0,17896.0,6254.0
Pozostałe przychody operacyjne,616.0,148.0,29.0,140.0,356.0,116.0,46.0,70.0,406.0,168.0,99.0,442.0,306.0,78.0,185.0,1194.0,1310.0,689.0,1209.0,580.0,1412.0,835.0,1877.0,457.0,1217.0,1066.0,1419.0,709.0,1459.0,336.0,766.0,2473.0,1374.0,981.0,1606.0,1297.0,1519.0,1397.0,1335.0,1995.0,1201.0,971.0,1163.0,2461.0,1965.0,1842.0,1293.0,3613.0,1093.0,1307.0,661.0,1257.0,959.0,1433.0,700.0,3365.0,3134.0,2058.0,1304.0,1508.0,1252.0,1306.0,1256.0,3431.0,1073.0,959.0,1306.0,2619.0,997.0,1074.0,1716.0,2245.0,764.0,1221.0,1175.0,5320.0
Pozostałe koszty operacyjne,180.0,308.0,36.0,411.0,129.0,96.0,55.0,387.0,224.0,35.0,73.0,772.0,147.0,190.0,73.0,2054.0,317.0,625.0,952.0,82.0,520.0,445.0,414.0,361.0,115.0,47.0,123.0,353.0,420.0,-28.0,1656.0,366.0,37.0,238.0,113.0,1028.0,128.0,93.0,75.0,1820.0,418.0,201.0,147.0,717.0,266.0,453.0,457.0,250.0,232.0,355.0,645.0,708.0,1613.0,-347.0,102.0,572.0,338.0,1468.0,92.0,618.0,342.0,149.0,186.0,673.0,303.0,551.0,115.0,6789.0,930.0,518.0,505.0,-365.0,481.0,1224.0,212.0,1494.0
Zysk operacyjny (EBIT),2129.0,1202.0,4412.0,7160.0,6336.0,4339.0,3842.0,8631.0,8379.0,6504.0,4496.0,8564.0,4202.0,6025.0,6247.0,1883.0,4178.0,-2041.0,-2175.0,-484.0,1364.0,114.0,2516.0,863.0,1907.0,-1257.0,2927.0,-1972.0,369.0,-410.0,-1047.0,-4249.0,-549.0,449.0,8411.0,-1259.0,3343.0,1709.0,4723.0,3266.0,3543.0,3935.0,9694.0,5146.0,4498.0,3078.0,8520.0,7482.0,4442.0,4679.0,17166.0,5803.0,6548.0,3830.0,6631.0,13635.0,8686.0,6837.0,14653.0,4717.0,3445.0,3116.0,6105.0,5391.0,5143.0,5780.0,14565.0,1356.0,4674.0,11162.0,16730.0,13679.0,4917.0,2906.0,18859.0,10080.0
Przychody finansowe,337.0,388.0,160.0,163.0,306.0,220.0,204.0,156.0,208.0,198.0,940.0,1393.0,2337.0,751.0,1343.0,4156.0,327.0,642.0,380.0,456.0,208.0,659.0,-477.0,1033.0,301.0,164.0,361.0,683.0,464.0,215.0,123.0,132.0,226.0,209.0,239.0,188.0,138.0,238.0,249.0,-20.0,203.0,63.0,127.0,165.0,256.0,153.0,149.0,178.0,187.0,195.0,182.0,215.0,318.0,44.0,122.0,121.0,238.0,-6.0,167.0,189.0,127.0,235.0,148.0,986.0,127.0,-80.0,142.0,-80.0,45.0,-5.0,72.0,192.0,345.0,1151.0,-632.0,-19.0
