,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,,,,,11.53,0.38,-7.63,15.93,27.13,14.77,16.88,0.67,-5.43,4.42,0.07,-12.29,-13.26,12.48,-20.05,4.43,16.14,3.18,38.7,27.68,23.86,29.53,35.32,20.56,12.63,-1.72,-10.96,121.34,-10.8,71.75,31.62,-68.51,13.09,15.54,15.69,2.85,12.69,3.34,2.01,-20.48,-28.33,-36.23,-28.13,13.09,10.88,34.44,24.43,-5.85,9.79,0.75,9.35,20.7,21.35,12.07,25.11,8.26,4.35,3.33,-4.31,26.9,14.98,30.85,17.61,32.35,24.53,11.88,34.72,-9.29,8.51,10.32
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,16.71,8.78,-9.12,13.24,22.15,15.94,11.67,-4.21,-9.43,-3.55,-3.51,-10.05,-11.19,11.12,-17.34,6.33,15.02,5.35,39.89,23.52,23.75,30.35,28.25,23.77,24.45,6.01,-0.16,128.67,-14.71,63.66,25.37,-67.45,11.07,12.17,15.32,3.65,17.55,8.69,5.32,-20.46,-31.04,-38.26,-28.11,13.51,16.7,36.96,20.59,-11.91,3.72,1.39,10.05,26.42,25.54,14.37,26.41,4.48,3.9,1.21,-5.53,30.78,14.85,33.59,21.34,33.17,26.86,11.33,31.43,-12.64,1.06,1.94
Koszty sprzedaży,,,,,-19.42,4.23,55.91,73.94,76.76,54.57,10.02,12.04,-11.09,-7.49,-3.8,-18.16,-37.87,34.39,-66.76,-29.6,90.42,-30.3,180.22,48.65,-9.67,6.92,5.48,10.28,-1.24,0.7,-1.37,64.47,-6.21,37.24,19.59,-61.33,18.83,0.31,0.8,7.42,1.22,10.9,8.74,14.54,2.71,-13.01,-1.41,3.34,15.35,28.53,19.98,9.91,13.21,4.45,1.29,2.93,0.24,-2.95,10.77,1.11,2.47,3.23,-1.95,13.01,10.43,22.79,13.46,15.17,13.16,5.15,11.65,-0.27,5.52,6.97
Koszty ogólnego zarządu,,,,,64.4,28.0,321.38,54.78,63.54,58.33,8.58,35.18,66.99,25.88,48.8,15.43,-41.57,75.32,-92.01,-21.24,33.53,-52.27,757.23,30.97,10.91,40.46,31.49,-28.01,19.27,-22.68,-9.85,259.39,13.45,29.2,11.66,-68.04,-0.2,25.82,23.28,-4.91,-0.65,4.64,-5.45,-22.25,4.02,-2.78,-29.37,68.17,-6.13,-24.69,38.18,7.6,2.67,18.42,3.72,-19.45,0.95,1.78,10.19,25.12,18.06,18.05,0.0,-4.93,5.34,-0.43,7.37,14.9,10.26,7.71,27.23,21.07,27.33,44.82
Zysk ze sprzedaży,,,,,-13.8,-123.78,-237.63,-42.67,24.76,-492.8,108.08,67.37,34.93,95.0,406.54,-57.05,13.61,-1545.79,486.53,185.76,-33.29,161.78,-68.92,53.97,102.17,72.15,374.6,23.49,-80.71,-129.58,-109.83,67.67,139.93,843.5,677.44,-93.71,56.01,80.82,43.28,-69.47,-32.71,-51.89,-50.71,-921.35,-55.28,-58.61,-100.96,-41.24,-199.69,80.78,9155.56,75.88,259.69,-36.55,25.28,-38.76,8.39,2.7,49.41,270.19,10.18,72.81,15.5,4.08,47.03,11.46,-38.79,122.47,8.46,49.0,251.69,40.69,217.69,179.72
Pozostałe przychody operacyjne,,,,,-91.8,200.59,18.72,-47.21,760.0,-13.5,-73.84,61.88,860.47,163.8,2163.01,-145.93,69.49,-71.96,-118.22,69.13,-50.43,-41.9,161.46,933.48,-73.2,-79.47,-0.54,-75.9,1591.4,1371.79,-50.0,154.98,-93.9,18.12,190.22,-18.93,-27.08,19.62,-62.17,-24.82,41.43,9.74,104.95,-14.48,-77.78,3.37,357.0,170.85,2768.18,-95.43,-88.9,435.48,-83.68,28.57,29.52,-90.74,29.13,1766.67,-40.44,-26.18,1057.14,-92.96,-9.88,30.38,-94.28,211.27,526.03,-8.82,125.0,242.99,-67.61,33.43,-82.32,-47.1
Pozostałe koszty operacyjne,,,,,23.53,-50.44,2475.0,43.08,476.19,1117.86,-73.54,59.03,309.09,74.49,1425.69,-164.47,-33.94,-50.76,-94.77,52.09,158.72,3.58,24.14,165.81,-49.88,-82.54,0.0,562.5,-94.34,200.94,-95.37,19.72,1404.17,158.93,3900.0,-71.23,185.04,53.75,27.5,-27.6,-88.44,-35.67,-72.55,18.55,-2.52,-17.75,-67.14,-50.69,-81.9,-49.26,1191.3,234.52,100.0,-80.94,-88.22,-49.39,-28.57,43.08,211.43,30.43,296.67,-35.48,-111.93,-69.2,-89.92,91.67,1738.46,115.67,83.33,-44.35,-53.05,65.22,145.45,357.81
Zysk operacyjny (EBIT),,,,,-16.42,-94.03,-223.37,-66.84,21.38,-2631.91,104.87,71.71,36.05,94.5,647.89,-21.06,30.01,-1441.98,425.61,110.53,-53.53,133.22,-61.84,81.51,141.64,169.15,347.42,-45.06,-41.84,-116.56,-107.85,119.33,-25.07,1428.09,829.68,-91.59,25.83,76.0,34.12,-63.43,-5.23,-47.69,-44.89,-841.89,-59.23,-52.65,-55.13,51.67,-140.96,37.61,58.9,990.58,547.22,-29.05,49.03,-107.52,10.68,57.51,41.06,271.67,83.5,13.82,19.42,91.26,-14.5,14.55,-33.49,63.94,11.8,64.45,217.95,33.91,199.2,147.6
Przychody finansowe,,,,,-76.33,635.0,-41.62,46.88,-20.93,-58.84,-56.48,55.81,217.65,-69.01,157.45,-85.5,212.35,140.0,114.88,-696.38,18.97,-526.67,-86.92,117.25,4.4,63.02,426.47,342.25,-86.79,110.21,-59.78,-7.17,-14.46,382.76,256.94,-55.06,161.97,-11.43,-61.87,-28.63,-62.37,250.81,24.49,80.21,-92.14,-16.55,-392.62,-90.5,181.82,-86.23,121.01,1634.38,112.9,48.0,161.33,-92.97,803.03,-609.46,113.78,-507.69,-99.83,100.27,-99.76,101.26,50900.0,-15100.0,69600.0,21100.0,-17.25,-178.0,-99.86,-99.76,3.08,-3.36
