,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Period,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,13.89,-9.68,-9.76,-11.11,-29.56,15.38,12.47,34.77,54.21,119.25,175.87,149.89,219.45,177.39,87.94,100.5,29.14,-22.88,40.5,34.6,31.17,47.95,0.94,-7.75,1.92,8.88,5.04,-3.78,5.82,-2.06,-12.8,-5.37,-16.72,-7.25,8.55,1.13,9.83,9.88,-7.07,9.05,5.86,9.62,34.75,15.03,10.29,-5.57,-7.76,-17.12,-5.77,3.57,8.32,39.83,60.68,100.47,103.07,102.03,62.64,-6.88,-42.94,-45.54,-51.29,-39.63
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,9.36,-6.68,-6.51,-8.73,-20.27,18.44,13.28,28.27,43.77,104.07,166.5,131.47,196.12,161.27,87.76,128.03,47.63,-10.63,42.74,33.41,29.37,48.02,2.36,-11.71,-0.93,0.93,-3.19,-9.21,0.85,-11.21,-18.9,-2.84,-14.9,-0.73,15.24,-1.15,4.39,7.51,-4.38,20.82,21.09,15.76,30.89,4.24,-3.26,-7.92,-5.69,-14.66,-2.85,1.45,13.51,40.08,69.49,93.95,91.37,87.39,71.36,19.33,-18.47,-19.31,-45.7,-47.37
Koszty sprzedaży,,,,,15.59,-16.79,-5.07,-5.94,-3.13,41.83,21.26,56.1,27.76,8.5,67.02,46.7,93.47,130.65,61.95,36.32,5.73,-3.76,112.75,135.43,160.88,175.65,40.56,26.46,34.78,20.4,19.2,9.95,5.21,2.76,-1.25,21.19,-7.23,10.6,8.33,-11.2,9.26,-1.17,-15.45,-0.44,-0.7,7.85,58.75,37.2,34.99,21.62,8.13,1.54,-3.67,-0.57,-2.03,7.75,33.37,26.42,21.32,27.46,0.33,-4.73,-16.74,-28.27,-7.05,-10.86
Koszty ogólnego zarządu,,,,,11.2,32.2,5.79,9.2,0.04,-4.25,24.38,1.69,5.59,65.85,116.14,134.39,168.71,175.61,57.6,27.13,46.14,-5.24,59.84,125.41,50.14,95.64,10.3,4.84,6.0,-0.04,2.52,-1.05,3.66,-5.43,3.41,2.44,-5.87,-3.37,-1.2,-10.26,12.13,15.04,7.45,14.83,0.51,6.73,9.67,13.48,12.48,2.71,-2.04,-7.04,-14.82,-12.5,-3.03,3.17,8.42,4.19,10.66,17.49,13.4,29.2,15.5,-4.63,16.59,-18.31
Zysk ze sprzedaży,,,,,82.45,-98.04,-43.29,-118.76,-146.41,-1790.35,-14.43,984.83,209.27,1282.37,506.01,609.41,912.18,337.0,110.94,1.05,-80.43,-98.25,5.74,-39.91,-106.45,-2146.28,-31.23,26.41,600.9,151.26,98.86,76.57,913.74,351.26,11.19,-60.86,-78.37,-71.79,-16.66,120.23,369.52,87.28,-26.69,-116.67,-207.87,-77.29,70.0,716.14,186.23,-65.02,-32.43,-90.66,-47.84,920.25,-18.47,1014.27,14.51,595.05,412.06,548.33,18.01,-168.99,-169.77,-177.42,-838.42,88.13
Pozostałe przychody operacyjne,,,,,-40.55,-15.15,-11.17,-28.63,-31.92,-47.29,463.89,-61.67,177.46,4731.1,62.34,-244.42,155.41,-96.84,-76.92,703.67,-91.61,139.36,6521.12,1616.9,2416.68,207.29,-94.03,-95.41,-71.1,-70.07,48.6,-56.48,-16.96,-31.52,-54.17,37.24,68.67,20.22,52.76,79.14,-12.17,-30.53,-11.38,-6.87,28.93,-4.2,147.75,-96.59,32.4,56.08,-28.03,19853.29,31.18,64.15,-58.11,-76.1,150.18,-48.48,69.58,34.53,-43.64,122.18,1641.97,97.49,61.69,67.99
Pozostałe koszty operacyjne,,,,,168.93,-84.71,-99.96,281.5,-0.81,174.49,283100.0,-50.47,-52.19,826.14,166.26,38.85,543.48,55.18,-48.48,505.08,-58.44,-70.09,508.41,-116.44,106.06,60.94,-81.3,274.49,-44.2,14.26,16.23,13.9,-13.83,14.34,33.03,136.55,127.0,-40.66,104.45,36.49,-31.89,105.47,-49.94,-26.51,-38.62,-63.61,113.52,7.73,11.32,83.83,-62.94,-47.53,-15.68,-65.43,87.79,1.98,-67.7,1650.13,-27.75,127.79,375.67,160.71,173.21,-8.29,98.81,71.93
Zysk operacyjny (EBIT),,,,,36.05,-19.74,-33.99,-139.56,-202.72,-151.86,-8.52,357.11,163.4,5962.59,424.8,668.46,830.87,-47.96,109.73,-8.83,-86.35,-100.99,74.1,228.99,-141.15,-3945.72,-56.59,-71.96,113.85,120.29,99.46,66.42,8694.33,1122.35,7.27,-71.74,-98.93,-75.36,-19.41,163.78,8900.45,16.1,-23.99,-132.69,-225.65,-80.12,71.16,403.52,183.62,-360.62,-29.9,-32.27,-41.68,530.47,-25.4,95.99,73.53,217.81,441.24,526.31,-23.32,-469.61,-151.6,-176.21,-771.55,-15.1
Przychody finansowe,,,,,866.43,116.67,2497.85,758.89,103.36,-56.42,-72.13,-79.93,-86.09,-59.19,71.27,-68.46,756.5,-170.83,-36.96,244.87,-52.56,1675.01,1169.16,205.67,-81.4,-71.26,-80.59,20.67,688.79,24.31,18.95,-64.85,11.02,51.2,-28.06,225.94,-98.64,-56.9,320.41,-120.61,-1825.18,-53.08,-82.73,1164.83,-45.91,240.64,-4.34,-82.28,134.5,43.36,194.58,-203.25,75.72,64.26,27.96,612.49,-50.35,-100.33,-79.19,-70.23,7300.19,52317.5,1882.54,1814.87,-307.85,401.83
