,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Period,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,332520.0,324645.0,362187.0,318040.0,378695.0,293234.0,326826.0,282704.0,266771.0,338337.0,367570.0,381009.0,411394.0,741811.0,1014026.0,952098.0,1314191.0,2057714.0,1905715.0,1908933.0,1697152.0,1586935.0,2677546.0,2569500.0,2226090.0,2347887.0,2702789.0,2370357.0,2268922.0,2556408.0,2838946.0,2280711.0,2400997.0,2503751.0,2475634.0,2158201.0,1999510.0,2322345.0,2687201.0,2182490.0,2196069.0,2551735.0,2497102.0,2379927.0,2324668.0,2797270.0,3364884.0,2737625.0,2563895.0,2641511.0,3103720.0,2268898.0,2416045.0,2735864.0,3361982.0,3172673.0,3882100.0,5484504.0,6827163.0,6409769.0,6313752.0,5107169.0,3895453.0,3490846.0,3075380.0,3083415.0
Techniczny koszt wytworzenia produkcji sprzedanej,276310.0,270165.0,287046.0,266954.0,302178.0,252129.0,268355.0,243639.0,240938.0,298632.0,303987.0,312506.0,346387.0,609413.0,810136.0,723349.0,1025715.0,1592189.0,1521101.0,1649450.0,1514250.0,1422879.0,2171149.0,2200507.0,1958978.0,2106075.0,2222325.0,1942759.0,1940839.0,2125642.0,2151516.0,1763855.0,1957430.0,1887410.0,1744817.0,1713689.0,1665809.0,1873606.0,2010678.0,1693923.0,1738868.0,2014265.0,1922628.0,2046519.0,2105594.0,2331683.0,2516577.0,2133328.0,2036968.0,2147066.0,2373278.0,1820589.0,1978884.0,2178269.0,2693871.0,2550193.0,3354106.0,4224650.0,5155231.0,4778729.0,5747447.0,5041425.0,4203254.0,3856051.0,3121074.0,2653408.0
Koszty sprzedaży,14325.0,16835.0,14793.0,15695.0,16558.0,14008.0,14043.0,14763.0,16039.0,19868.0,17029.0,23045.0,20492.0,21557.0,28442.0,33808.0,39645.0,49722.0,46063.0,46087.0,41916.0,47850.0,98000.0,108501.0,109351.0,131898.0,137746.0,137214.0,147379.0,158806.0,164193.0,150871.0,155054.0,163196.0,162138.0,182834.0,143849.0,180494.0,175648.0,162357.0,157176.0,178374.0,148510.0,161650.0,156070.0,192372.0,235755.0,221788.0,210685.0,233967.0,254930.0,225194.0,202943.0,232632.0,249755.0,242638.0,270669.0,294094.0,303003.0,309276.0,271564.0,280198.0,252281.0,221830.0,252416.0,249773.0
Koszty ogólnego zarządu,23101.0,20238.0,20794.0,24181.0,25688.0,26755.0,21998.0,26405.0,25699.0,25618.0,27361.0,26850.0,27135.0,42488.0,59137.0,62934.0,72914.0,117102.0,93202.0,80006.0,106557.0,110968.0,148973.0,180339.0,159981.0,217098.0,164310.0,189061.0,169584.0,217022.0,168457.0,187074.0,175785.0,205230.0,174199.0,191645.0,165470.0,198315.0,172114.0,171974.0,185546.0,228133.0,184935.0,197470.0,186488.0,243475.0,202814.0,224088.0,209758.0,250074.0,198670.0,208314.0,178675.0,218816.0,192651.0,214919.0,193721.0,227989.0,213194.0,252515.0,219685.0,294566.0,246244.0,240821.0,256120.0,240635.0
Zysk ze sprzedaży,18784.0,17407.0,39554.0,11210.0,34271.0,342.0,22430.0,-2103.0,-15905.0,-5781.0,19193.0,18608.0,17380.0,68353.0,116311.0,132007.0,175917.0,298701.0,245349.0,133390.0,34429.0,5238.0,259424.0,80153.0,-2220.0,-107184.0,178408.0,101323.0,11120.0,54938.0,354780.0,178911.0,112728.0,247915.0,394480.0,70033.0,24382.0,69930.0,328761.0,154236.0,114479.0,130963.0,241029.0,-25712.0,-123484.0,29740.0,409738.0,158421.0,106484.0,10404.0,276842.0,14801.0,55543.0,106147.0,225705.0,164923.0,63604.0,737771.0,1155735.0,1069249.0,75056.0,-509020.0,-806326.0,-827856.0,-554230.0,-60401.0
Pozostałe przychody operacyjne,3936.0,17420.0,1665.0,6905.0,2340.0,14781.0,1479.0,4928.0,1593.0,7791.0,8340.0,1889.0,4420.0,376391.0,13539.0,-2728.0,11289.0,11900.0,3125.0,16468.0,947.0,28484.0,206910.0,282739.0,23833.0,87528.0,12353.0,12988.0,6887.0,26193.0,18357.0,5652.0,5719.0,17936.0,8413.0,7757.0,9646.0,21563.0,12852.0,13896.0,8472.0,14980.0,11389.0,12941.0,10923.0,14351.0,28216.0,441.0,14462.0,22399.0,20308.0,87994.0,18971.0,36767.0,8508.0,21028.0,47461.0,18943.0,14428.0,28289.0,26747.0,42088.0,251331.0,55869.0,43247.0,70704.0
Pozostałe koszty operacyjne,4290.0,19746.0,5004.0,2373.0,11537.0,3019.0,2.0,9053.0,11443.0,8287.0,5664.0,4484.0,5471.0,76749.0,15081.0,6226.0,35205.0,119097.0,7769.0,37672.0,14632.0,35625.0,47267.0,-6193.0,30150.0,57334.0,8839.0,10806.0,16825.0,65510.0,10274.0,12308.0,14498.0,74907.0,13668.0,29115.0,32911.0,44448.0,27944.0,39739.0,22416.0,91326.0,13988.0,29204.0,13759.0,33235.0,29867.0,31461.0,15317.0,61096.0,11069.0,16509.0,12915.0,21121.0,20787.0,16836.0,4171.0,369644.0,15018.0,38351.0,19840.0,963714.0,41031.0,35170.0,39443.0,1656916.0
Zysk operacyjny (EBIT),18430.0,15081.0,36215.0,15742.0,25074.0,12104.0,23907.0,-6228.0,-25755.0,-6277.0,21869.0,16013.0,16329.0,367995.0,114769.0,123053.0,152001.0,191504.0,240705.0,112186.0,20744.0,-1903.0,419067.0,369085.0,-8537.0,-76990.0,181922.0,103505.0,1182.0,15621.0,362863.0,172255.0,103949.0,190944.0,389225.0,48675.0,1117.0,47045.0,313669.0,128393.0,100535.0,54617.0,238430.0,-41975.0,-126320.0,10856.0,408087.0,127401.0,105629.0,-28293.0,286081.0,86286.0,61599.0,121793.0,213426.0,169115.0,106894.0,387070.0,1155145.0,1059187.0,81963.0,-1430646.0,-596026.0,-807157.0,-550426.0,-1646613.0
Przychody finansowe,566.0,6496.0,511.0,2418.0,5470.0,14075.0,13275.0,20768.0,11124.0,6134.0,3700.0,4169.0,1547.0,2503.0,6337.0,1315.0,13250.0,-1773.0,3995.0,4535.0,6286.0,27925.0,50703.0,13862.0,1169.0,8027.0,9841.0,16727.0,9221.0,9978.0,11706.0,5880.0,10237.0,15087.0,8421.0,19165.0,139.0,6502.0,35403.0,-3949.0,-2398.0,3051.0,6113.0,42050.0,-3499.0,10393.0,5848.0,7453.0,1207.0,14899.0,17227.0,-7695.0,2121.0,24473.0,22044.0,39436.0,1053.0,-80.0,4587.0,11742.0,77924.0,41774.0,90939.0,224844.0,-161963.0,209633.0
