,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,884.0,463.0,1202.0,228.0,1126.0,1534.0,793.0,493.0,925.0,854.0,981.0,1093.0,557.0,1071.0,13493.0,-3804.0,568.0,591.0,267.0,-436.0,648.0,46886.0,403.0,19194.0,39046.0,7389.0,7823.0,15381.0,10979.0,22172.0,18808.0,25799.0,17224.0,20796.0,20522.0,11076.0,10957.0,14118.0,492.0,21720.0,644.0,7676.0,4873.0,8943.0,26244.0,18816.0,14045.0,30408.0,10454.0,5698.0,11548.0,-692.0,8681.0,-3877.0,3126.0,2389.0,2143.0,5364.0,2553.0,10710.0,48544.0,16106.0,6621.0,13230.0,11492.0,3902.0,1898.0,3609.0,1169.0,2696.0,9505.0,2903.0,2001.0,13971.0,3538.0,4934.0
Techniczny koszt wytworzenia produkcji sprzedanej,1082.0,1162.0,822.0,710.0,464.0,346.0,628.0,646.0,764.0,1207.0,1217.0,2084.0,1659.0,2293.0,2161.0,4346.0,1746.0,1969.0,1410.0,2552.0,1884.0,2768.0,4856.0,6886.0,18166.0,10975.0,5970.0,7323.0,10053.0,17406.0,15573.0,24295.0,12876.0,19628.0,16333.0,15864.0,9695.0,12074.0,3406.0,10969.0,1204.0,607.0,720.0,4535.0,23597.0,14475.0,11139.0,21020.0,7446.0,3993.0,3783.0,461.0,2778.0,1737.0,1761.0,1593.0,1634.0,4631.0,2019.0,8353.0,40492.0,13070.0,4435.0,10709.0,9007.0,1138.0,924.0,797.0,703.0,1210.0,3190.0,3949.0,1758.0,3556.0,1547.0,2319.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,295.0,630.0,550.0,616.0,636.0,536.0,549.0,545.0,437.0,612.0,454.0,480.0,414.0,339.0,444.0,471.0,242.0,1210.0,-382.0,347.0,191.0,189.0,285.0,91.0,104.0,10.0,6.0,25.0,26.0,25.0,26.0,25.0,26.0,25.0,26.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941.0,3141.0,3032.0,1441.0,1428.0,2990.0,2610.0,2675.0,2641.0,2818.0,2840.0,2586.0,3111.0,2741.0,2487.0,2838.0,2820.0,2823.0,3112.0,2619.0,2997.0,3194.0,2646.0,3000.0,2952.0,2793.0,2511.0,2505.0,3075.0,3226.0,3103.0,1834.0,3487.0,3081.0,2670.0,2686.0
Zysk ze sprzedaży,-198.0,-699.0,380.0,-482.0,662.0,1188.0,165.0,-153.0,161.0,-353.0,-236.0,-991.0,-1102.0,-1222.0,11332.0,-8150.0,-1178.0,-1378.0,-1143.0,-2988.0,-1236.0,44118.0,-4453.0,12308.0,20880.0,-3586.0,1853.0,8058.0,926.0,4766.0,3235.0,1504.0,4348.0,1168.0,4189.0,-4788.0,1262.0,2044.0,-2914.0,10751.0,-3960.0,3633.0,491.0,2417.0,603.0,715.0,-240.0,6164.0,-178.0,-1550.0,4313.0,-4193.0,2312.0,-8769.0,-1461.0,-2486.0,-2782.0,-2332.0,-3788.0,120.0,4708.0,-349.0,-649.0,-764.0,-558.0,-133.0,-1547.0,301.0,-2634.0,-1766.0,3187.0,-2906.0,-3269.0,7308.0,-704.0,-97.0
Pozostałe przychody operacyjne,324.0,-693.0,2.0,1475.0,2652.0,331.0,930.0,-2683.0,19.0,149.0,198.0,166.0,166.0,177.0,144.0,387.0,234.0,418.0,453.0,198.0,464.0,585.0,972.0,1198.0,677.0,1845.0,1362.0,-3564.0,2.0,12.0,10.0,209.0,9.0,52.0,56.0,56.0,69.0,64.0,-67.0,7.0,4.0,113.0,67.0,-33.0,27.0,44.0,6.0,47.0,247.0,3.0,56.0,564.0,87.0,317.0,5125.0,4737.0,2862.0,-725.0,3917.0,448.0,-2534.0,5644.0,1391.0,-4750.0,1308.0,68.0,-1934.0,1030.0,636.0,1982.0,-390.0,529.0,5654.0,5362.0,32766.0,21666.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,136.0,7.0,-86.0,0.0,0.0,111.0,-21.0,584.0,302.0,100.0,-96.0,329.0,27.0,533.0,90.0,1836.0,31.0,19410.0,675.0,5489.0,0.0,18.0,87.0,3046.0,0.0,289.0,96.0,205.0,40.0,175.0,156.0,3461.0,57.0,90.0,-72.0,8691.0,9.0,48.0,132.0,2144.0,10.0,1006.0,5.0,3996.0,30.0,-12.0,34.0,11232.0,19.0,166.0,-19.0,4753.0,145.0,6077.0,408.0,45149.0,566.0,324.0,83.0,-150.0,41.0,47.0,13.0,26.0,1.0,609.0,0.0,43.0,45.0,607.0,12218.0,2867.0
Zysk operacyjny (EBIT),126.0,-1392.0,382.0,993.0,3178.0,1512.0,1181.0,-2836.0,180.0,-315.0,-17.0,-1409.0,-1238.0,-1145.0,11572.0,-8092.0,-971.0,-1493.0,-780.0,-4626.0,-803.0,25293.0,-4156.0,8017.0,21557.0,-1759.0,3128.0,1448.0,928.0,4489.0,3149.0,1508.0,4317.0,1045.0,4089.0,-8193.0,1274.0,2018.0,-2909.0,2067.0,-3965.0,3698.0,426.0,240.0,620.0,-247.0,-239.0,2215.0,39.0,-1535.0,4335.0,-14861.0,2380.0,-8618.0,3683.0,-2502.0,-65.0,-9134.0,-279.0,-44581.0,1608.0,4971.0,659.0,-5364.0,709.0,-112.0,-3494.0,1305.0,-1999.0,-393.0,2797.0,-2420.0,2340.0,12063.0,19844.0,18702.0
Przychody finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,67.0,753.0,58.0,405.0,356.0,281.0,928.0,-451.0,31.0,51.0,72.0,-34.0,45.0,555.0,-98.0,504.0,111.0,268.0,386.0,227.0,729.0,-157.0,361.0,405.0,48.0,35.0,141.0,253.0,54.0,25.0,116.0,20.0,2054.0,-54.0,-35.0,2.0,54.0,82.0,69.0,74.0,568.0,129.0,-30.0,50.0,75.0,173.0,168.0,427.0,685.0,672.0,747.0,10317.0,2698.0,3253.0,-4789.0,7124.0,665.0,6.0,1806.0,879.0,2582.0,489.0,1048.0,-260.0,311.0,669.0,2150.0,6302.0
