,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Period,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,16256.0,4701.0,6055.0,10513.0,8207.0,14000.0,14819.0,12708.0,37793.0,32389.0,35776.0,34278.0,42894.0,70677.0,57614.0,67810.0,66153.0,81915.0,73624.0,72348.0,65436.0,62763.0,55294.0,62043.0
Techniczny koszt wytworzenia produkcji sprzedanej,4336.0,3779.0,4362.0,7276.0,6910.0,11381.0,14130.0,12687.0,28418.0,26942.0,30410.0,29537.0,36356.0,60554.0,51606.0,60443.0,60925.0,75392.0,66662.0,64699.0,59478.0,56832.0,49216.0,53113.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,1041.0,1772.0,1801.0,2702.0,2210.0,2954.0,2270.0,2142.0,2170.0,2284.0,2540.0,2299.0,2392.0,2425.0,2455.0,3875.0,3128.0,4974.0,3971.0,4256.0,4438.0,4515.0,4137.0,3782.0
Zysk ze sprzedaży,10879.0,-850.0,-108.0,535.0,-913.0,-335.0,-1581.0,-2121.0,7205.0,3163.0,2826.0,2442.0,4146.0,7698.0,3553.0,3492.0,2100.0,1549.0,2991.0,3393.0,1520.0,1416.0,1941.0,5148.0
Pozostałe przychody operacyjne,0.0,575.0,-243.0,172.0,231.0,-174.0,67.0,30.0,613.0,-566.0,57.0,245.0,825.0,-696.0,536.0,2997.0,836.0,980.0,2972.0,-2141.0,199.0,-131.0,40.0,197.0
Pozostałe koszty operacyjne,246.0,-203.0,-20.0,405.0,6.0,150.0,108.0,5912.0,9.0,37.0,120.0,6154.0,1.0,1.0,1.0,193.0,56.0,18.0,294.0,1334.0,976.0,1885.0,146.0,3397.0
Zysk operacyjny (EBIT),10633.0,-72.0,-331.0,302.0,-688.0,-659.0,-1622.0,-8003.0,7809.0,2560.0,2763.0,-3467.0,4970.0,7001.0,4088.0,6296.0,2880.0,2511.0,5669.0,-82.0,743.0,-600.0,1835.0,1948.0
Przychody finansowe,0.0,0.0,9.0,-4.0,0.0,33.0,33.0,26.0,40.0,26.0,24.0,8534.0,16.0,25.0,27.0,117.0,23.0,196.0,-51.0,104.0,343.0,10342.0,718.0,-840.0
Koszty finansowe,0.0,0.0,1.0,77.0,110.0,107.0,-5.0,24.0,9.0,11.0,13.0,29.0,7.0,485.0,18.0,125.0,2.0,1055.0,1087.0,43.0,45.0,43.0,43.0,49.0
Pozostałe przychody (koszty),0.0,-2.0,-5.0,-39.0,217.0,32.0,-269.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,10633.0,-74.0,-328.0,182.0,-581.0,-701.0,-1853.0,-8047.0,7840.0,2575.0,2774.0,5038.0,4979.0,6541.0,4097.0,6288.0,2901.0,1652.0,4531.0,-21.0,1041.0,9699.0,2510.0,1059.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,10633.0,-74.0,-328.0,182.0,-581.0,-701.0,-1853.0,-8047.0,7840.0,2575.0,2774.0,5038.0,4979.0,6541.0,4097.0,6288.0,2901.0,1652.0,4531.0,-21.0,1041.0,9699.0,2510.0,1059.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,8746.0,280.0,-801.0,766.0,-456.0,-849.0,-1626.0,-6947.0,6360.0,2011.0,2005.0,4209.0,3882.0,5528.0,3349.0,5005.0,2273.0,1957.0,3452.0,1555.0,337.0,6742.0,1484.0,972.0
Zysk netto akcjonariuszy jednostki dominującej,8746.0,280.0,-760.0,725.0,-545.0,-870.0,-1534.0,-6933.0,6369.0,2020.0,1063.0,3076.0,2836.0,3391.0,2326.0,4761.0,2240.0,2270.0,4206.0,4521.0,2331.0,9797.0,2763.0,920.0
Aktywa trwałe,0.0,31374.0,0.0,40053.0,45359.0,48940.0,52086.0,47982.0,48404.0,46767.0,47634.0,47652.0,47470.0,47460.0,48440.0,47777.0,47092.0,46093.0,48798.0,50822.0,55102.0,65045.0,68923.0,70312.0
Wartości niematerialne i prawne,0.0,28871.0,0.0,36321.0,41313.0,44872.0,48142.0,44025.0,45177.0,43966.0,43430.0,36365.0,36387.0,35076.0,35060.0,35164.0,36066.0,36655.0,38727.0,40497.0,44127.0,46507.0,49733.0,52430.0
Rzeczowe składniki majątku trwałego,0.0,1624.0,0.0,1520.0,1475.0,1445.0,1543.0,1581.0,1528.0,1477.0,1421.0,1506.0,1474.0,1427.0,1373.0,1338.0,1401.0,1674.0,1606.0,2213.0,1987.0,1876.0,1991.0,1896.0
Należności długoterminowe,0.0,0.0,0.0,0.0,930.0,791.0,651.0,512.0,372.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,211.0,532.0,591.0,396.0,393.0,0.0,0.0,945.0,8609.0,8638.0,9718.0,9783.0,9786.0,7759.0,5823.0,5814.0,5752.0,5770.0,13621.0,14188.0,13308.0
Pozostałe aktywa trwałe,0.0,879.0,0.0,2001.0,1109.0,1241.0,1354.0,1471.0,1327.0,1324.0,1745.0,1172.0,971.0,1239.0,2224.0,1489.0,1866.0,1941.0,2651.0,2360.0,3218.0,3041.0,3011.0,2678.0
Aktywa obrotowe,0.0,12242.0,0.0,9699.0,11380.0,24353.0,24316.0,18713.0,38018.0,33977.0,39436.0,42690.0,55314.0,67085.0,70093.0,71853.0,73499.0,88206.0,80599.0,89222.0,88380.0,87482.0,76427.0,71513.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,0.0,3720.0,0.0,6631.0,9208.0,11332.0,12657.0,10972.0,28068.0,18490.0,22820.0,20816.0,30249.0,38741.0,34007.0,38558.0,36174.0,47353.0,38582.0,37911.0,35535.0,38558.0,31187.0,37323.0
Inwestycje krótkoterminowe,0.0,8522.0,0.0,3068.0,2172.0,13021.0,11659.0,7741.0,9950.0,15487.0,16616.0,21874.0,25065.0,28344.0,36086.0,33295.0,37325.0,40853.0,42017.0,51311.0,52845.0,48924.0,45240.0,34190.0
Środki pieniężne i inne aktywa pieniężne,0.0,8522.0,0.0,2594.0,1348.0,11996.0,7796.0,3530.0,5564.0,11166.0,14076.0,20748.0,23935.0,28344.0,36086.0,33295.0,37325.0,38993.0,33548.0,44997.0,46829.0,46745.0,41180.0,31683.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,43616.0,0.0,49752.0,56739.0,73293.0,76402.0,66695.0,86422.0,80744.0,87070.0,90342.0,102784.0,114545.0,118533.0,119630.0,120591.0,134299.0,129397.0,140044.0,143482.0,152527.0,145350.0,141825.0
Kapitał własny akcjonariuszy jednostki dominującej,24154.0,33122.0,41388.0,34781.0,34647.0,58069.0,57450.0,51038.0,57919.0,59635.0,60960.0,64764.0,68643.0,71035.0,70781.0,75865.0,77864.0,73284.0,77148.0,77732.0,80580.0,79541.0,82938.0,75033.0
Kapitał (fundusz) podstawowy,4000.0,6000.0,6000.0,6000.0,6000.0,6650.0,6650.0,6710.0,6710.0,6710.0,6710.0,6710.0,6710.0,6710.0,6710.0,6710.0,6710.0,6750.0,6750.0,6750.0,6770.0,6770.0,6770.0,6770.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,9205.0,0.0,9205.0,9205.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0,32063.0
Udziały niekontrolujące,0.0,0.0,0.0,-21.0,68.0,89.0,-3.0,-17.0,-26.0,-35.0,925.0,2058.0,3104.0,3317.0,4338.0,3206.0,3241.0,2928.0,2174.0,-4127.0,-6121.0,-8230.0,-8742.0,-1460.0
Zobowiązania długoterminowe,0.0,2226.0,0.0,3338.0,3352.0,3518.0,3456.0,2465.0,3767.0,3781.0,3578.0,3684.0,3811.0,4474.0,4408.0,2979.0,2945.0,2356.0,2462.0,2506.0,3780.0,5951.0,6994.0,6925.0
Z tytułu dostaw i usług,0.0,2626.0,0.0,5119.0,8245.0,7136.0,12056.0,9442.0,21232.0,13840.0,17499.0,15650.0,22751.0,31753.0,30410.0,34376.0,33151.0,51575.0,34358.0,40639.0,62785.0,72943.0,62184.0,60041.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,1549.0,5423.0,1136.0,0.0,38.0,38.0,38.0,46.0,103.0,135.0,134.0,106.0,576.0,90.0,1442.0,9760.0,21657.0,724.0,762.0,945.0,978.0
Inne zobowiązania długoterminowe,0.0,2226.0,0.0,3338.0,3352.0,3518.0,3456.0,2465.0,3767.0,3724.0,3502.0,3508.0,3691.0,3874.0,3836.0,2933.0,2915.0,2251.0,2378.0,2319.0,3625.0,5815.0,6808.0,6775.0
Zobowiązania krótkoterminowe,0.0,8268.0,0.0,11654.0,18672.0,11617.0,15499.0,13209.0,24762.0,17363.0,21607.0,19836.0,27226.0,35719.0,39006.0,37580.0,36541.0,55731.0,47613.0,63933.0,65243.0,75265.0,64160.0,61327.0
Inne zobowiązania krótkoterminowe,0.0,5642.0,0.0,4986.0,5004.0,3345.0,3443.0,3729.0,3492.0,3485.0,4062.0,4083.0,4340.0,3832.0,8490.0,2628.0,3300.0,2714.0,3495.0,1637.0,1734.0,1560.0,1031.0,308.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,24154.0,43616.0,41388.0,49752.0,56739.0,73293.0,76402.0,66695.0,86422.0,80744.0,87070.0,90342.0,102784.0,114545.0,118533.0,119630.0,120591.0,134299.0,129397.0,140044.0,143482.0,152527.0,145350.0,141825.0
Przepływy pieniężne z działalności operacyjnej,5789.0,952.0,-1194.0,4273.0,1093.0,-2313.0,4426.0,-239.0,4888.0,8351.0,5520.0,4899.0,5222.0,9792.0,10465.0,4674.0,6754.0,4647.0,7673.0,25208.0,7315.0,5513.0,9289.0,-1019.0
Amortyzacja,1686.0,942.0,892.0,812.0,841.0,1403.0,1924.0,2458.0,2600.0,3084.0,3343.0,3592.0,3205.0,3246.0,3146.0,3064.0,3157.0,3218.0,3069.0,3059.0,2765.0,2722.0,3071.0,3315.0
Przepływy pieniężne z działalności inwestycyjnej,7954.0,-4854.0,-5492.0,-4780.0,-5828.0,-6287.0,-7515.0,-3944.0,-2796.0,-2653.0,-2450.0,1240.0,-2146.0,-5115.0,-2800.0,185.0,-2559.0,-4193.0,-4667.0,-6800.0,-5885.0,-5546.0,-4612.0,-8220.0
CAPEX (niematerialne i rzeczowe),2279.0,4495.0,5435.0,4470.0,5394.0,6077.0,4669.0,3539.0,2917.0,2653.0,2492.0,1914.0,2151.0,2504.0,2761.0,2455.0,4148.0,4199.0,4667.0,6809.0,6370.0,5750.0,6847.0,8584.0
Przepływy pieniężne z działalności finansowej,-2000.0,9221.0,-10051.0,1540.0,3784.0,18770.0,-1136.0,-4.0,-12.0,-10.0,16.0,-45.0,-27.0,2.0,-27.0,-7606.0,12.0,1098.0,-8471.0,-6387.0,-50.0,31.0,-10468.0,-47.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,24700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,2000.0,620.0,210.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7554.0,0.0,0.0,7444.0,6242.0,0.0,0.0,10438.0,0.0
Przepływy pieniężne razem,11743.0,5319.0,-16737.0,1033.0,-951.0,10170.0,-4225.0,-4187.0,2080.0,5688.0,3086.0,6094.0,3049.0,4679.0,7638.0,-2747.0,4207.0,1552.0,-5465.0,12021.0,1380.0,-2.0,-5791.0,-9286.0
