,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q1,2020/Q2,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1531.0,2278.0,4000.0,2765.0,5521.0,6291.0,5617.0,6049.0,8503.0,5613.0,4251.0,4650.0,4322.0,3405.0
Techniczny koszt wytworzenia produkcji sprzedanej,537.0,683.0,948.0,765.0,1233.0,1529.0,922.0,2952.0,804.0,2223.0,2127.0,3340.0,2772.0,2906.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,994.0,1595.0,3052.0,2000.0,4288.0,4762.0,4695.0,3097.0,7699.0,3390.0,2124.0,1310.0,1550.0,499.0
Pozostałe przychody operacyjne,200.0,164.0,343.0,420.0,-763.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
Pozostałe koszty operacyjne,5.0,13.0,24.0,19.0,319.0,799.0,0.0,0.0,1157.0,716.0,7.0,305.0,2211.0,178.0
Zysk operacyjny (EBIT),1189.0,1746.0,3371.0,2401.0,3206.0,3963.0,4695.0,3097.0,6542.0,2674.0,2117.0,1007.0,-660.0,321.0
Przychody finansowe,27.0,66.0,153.0,-40.0,180.0,-84.0,173.0,296.0,801.0,-483.0,34.0,64.0,4.0,38.0
Koszty finansowe,0.0,6.0,0.0,0.0,101.0,-73.0,4.0,46.0,27.0,37.0,178.0,394.0,-36.0,348.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,1216.0,1806.0,3524.0,2361.0,3285.0,3952.0,4864.0,3347.0,7316.0,2154.0,1973.0,677.0,-620.0,11.0
