,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,403605.0,663286.0,852798.0,783188.0,481975.0,766742.0,883752.0,910715.0,654362.0,779617.0,888389.0,753543.0,652470.0,833679.0,966285.0,821817.0,681384.0,835372.0,925161.0,847949.0,577245.0,1146159.0,1437305.0,1269560.0,797818.0,1451070.0,1573786.0,1694001.0,1083349.0,1800416.0,1696667.0,1497228.0,853043.0,1234622.0,1367552.0,1294242.0,834047.0,1319075.0,1559635.0,1237182.0,846416.0,1421824.0,1474800.0,1390954.0,987654.0,1442046.0,1689308.0,1453282.0,1052740.0,1669032.0,1831587.0,1815950.0,1338831.0,1963830.0,2087014.0,1997462.0,1380257.0,1868164.0,2134135.0,2187107.0,1474907.0,2259529.0,2434910.0,2212894.0,1244786.0,1996306.0,2292740.0,2377360.0,1598986.0,2399243.0,2370167.0,2250658.0,1939427.0,2378517.0,2675949.0,2807622.0,1644876.0
Techniczny koszt wytworzenia produkcji sprzedanej,376593.0,628510.0,820494.0,771405.0,434907.0,733460.0,858398.0,891675.0,620394.0,762848.0,813377.0,731041.0,614487.0,777459.0,840465.0,653412.0,533329.0,690925.0,891574.0,761395.0,491758.0,1022087.0,1279408.0,1152749.0,703458.0,1341138.0,1455477.0,1555068.0,1005570.0,1648885.0,1629340.0,1333994.0,769565.0,1136530.0,1264083.0,1183865.0,725741.0,1218052.0,1456713.0,1116753.0,765610.0,1288568.0,1329986.0,1257116.0,872665.0,1256761.0,1494166.0,1197433.0,889730.0,1479948.0,1601818.0,1587989.0,1198590.0,1817580.0,1927792.0,1814086.0,1274279.0,1764761.0,1989725.0,1989346.0,1364185.0,2042700.0,2160666.0,1877656.0,1148071.0,1717376.0,2079329.0,2132619.0,1466915.0,2135326.0,2114326.0,2030044.0,1765233.0,2151318.0,2356000.0,2404383.0,1448618.0
Koszty sprzedaży,5689.0,5831.0,5385.0,8499.0,6604.0,6911.0,7330.0,7184.0,6838.0,6867.0,6261.0,6273.0,6282.0,5709.0,6694.0,11531.0,6490.0,5329.0,4923.0,6020.0,5512.0,5549.0,5614.0,6813.0,5378.0,5612.0,5964.0,7575.0,5651.0,5708.0,4596.0,8416.0,6325.0,7010.0,7498.0,7531.0,5878.0,6260.0,7734.0,7788.0,7078.0,6819.0,6726.0,9119.0,7018.0,7729.0,8151.0,9773.0,7624.0,8679.0,8213.0,9500.0,7362.0,7508.0,7211.0,8569.0,6797.0,7291.0,7892.0,8498.0,6904.0,6883.0,7187.0,10299.0,2728.0,2358.0,2704.0,3943.0,3127.0,3208.0,3131.0,4064.0,2976.0,3297.0,3184.0,4059.0,3027.0
Koszty ogólnego zarządu,27021.0,26814.0,26657.0,29266.0,27667.0,19610.0,29134.0,31591.0,27535.0,17328.0,37737.0,32030.0,30422.0,30663.0,29401.0,44985.0,30537.0,31375.0,31703.0,35810.0,27127.0,28474.0,28230.0,39420.0,31623.0,36815.0,34978.0,34671.0,43991.0,52669.0,43305.0,53397.0,38380.0,38343.0,40316.0,45878.0,41847.0,44430.0,41827.0,49639.0,45756.0,45782.0,42557.0,55986.0,49702.0,49559.0,49219.0,50286.0,52767.0,49555.0,51166.0,63139.0,53603.0,56935.0,54318.0,64737.0,52692.0,54396.0,21259.0,70645.0,58855.0,64518.0,58308.0,95285.0,60148.0,59862.0,62306.0,86695.0,67153.0,78435.0,70779.0,100786.0,77116.0,87954.0,77449.0,128877.0,83524.0
Zysk ze sprzedaży,-5698.0,2131.0,262.0,-25982.0,12797.0,6761.0,-11110.0,-19735.0,-405.0,-7426.0,31014.0,-15801.0,1279.0,19848.0,89725.0,111889.0,111028.0,107743.0,-3039.0,44724.0,52848.0,90049.0,124053.0,70578.0,57359.0,67505.0,77367.0,96687.0,28137.0,93154.0,19426.0,101421.0,38773.0,52739.0,55655.0,56968.0,60581.0,50333.0,53361.0,63002.0,27972.0,80655.0,95531.0,68733.0,58269.0,127997.0,137772.0,195790.0,102619.0,130850.0,170390.0,155322.0,79276.0,81807.0,97693.0,110070.0,46489.0,41716.0,115259.0,118618.0,44963.0,145428.0,208749.0,229654.0,33839.0,216710.0,148401.0,154103.0,61791.0,182274.0,181931.0,115764.0,94102.0,135948.0,239316.0,270303.0,109707.0
Pozostałe przychody operacyjne,6393.0,4433.0,11460.0,10990.0,2891.0,26020.0,6144.0,8446.0,12276.0,32872.0,4244.0,35002.0,17750.0,46082.0,-17167.0,-1629.0,7514.0,19787.0,31864.0,11867.0,36407.0,24819.0,13615.0,16955.0,20841.0,23792.0,22415.0,19290.0,13046.0,5749.0,34201.0,26447.0,11501.0,9591.0,11806.0,205395.0,7958.0,12554.0,22520.0,17159.0,23446.0,5173.0,3993.0,23593.0,21571.0,5335.0,6012.0,13533.0,14170.0,6245.0,17114.0,23541.0,11732.0,12532.0,55738.0,31986.0,11361.0,29122.0,23263.0,35707.0,23146.0,31882.0,29659.0,54050.0,35182.0,8725.0,17579.0,23557.0,11750.0,10132.0,17074.0,26279.0,21728.0,47056.0,-5322.0,62260.0,22156.0
Pozostałe koszty operacyjne,6715.0,12128.0,3968.0,31597.0,4051.0,15472.0,6190.0,19646.0,11708.0,23071.0,26071.0,2885.0,6597.0,27926.0,36263.0,89043.0,80302.0,78484.0,-27187.0,-622.0,21646.0,19598.0,41170.0,15544.0,20321.0,3754.0,8243.0,33502.0,3958.0,84013.0,7430.0,43771.0,7679.0,16296.0,12363.0,72784.0,16027.0,5408.0,9547.0,9168.0,4744.0,3726.0,29360.0,-952.0,16945.0,17957.0,13031.0,13239.0,6439.0,-1709.0,10366.0,16837.0,7091.0,8132.0,11839.0,36762.0,7884.0,9422.0,26365.0,59470.0,34777.0,54033.0,25734.0,14415.0,6206.0,11860.0,25994.0,6951.0,16098.0,15149.0,16963.0,-3642.0,13502.0,12697.0,24903.0,33162.0,16885.0
Zysk operacyjny (EBIT),-6020.0,-5564.0,7754.0,-46589.0,11637.0,17309.0,-11156.0,-30935.0,163.0,2375.0,9187.0,16316.0,12432.0,38004.0,36295.0,21217.0,38240.0,49046.0,56012.0,57213.0,67609.0,95270.0,96498.0,71989.0,57879.0,87543.0,91539.0,82475.0,37225.0,14890.0,46197.0,84097.0,42595.0,46034.0,55098.0,189579.0,52512.0,57479.0,66334.0,70993.0,46674.0,82102.0,70164.0,93278.0,62895.0,115375.0,130753.0,196084.0,110350.0,138804.0,177138.0,162026.0,83917.0,86207.0,141592.0,105294.0,49966.0,61416.0,112157.0,94855.0,33332.0,123277.0,212674.0,269289.0,62815.0,213575.0,139986.0,170709.0,57443.0,177257.0,182042.0,145685.0,102328.0,170307.0,209091.0,299401.0,114978.0
Przychody finansowe,7864.0,3197.0,10277.0,-923.0,7222.0,1676.0,6327.0,9382.0,5761.0,6489.0,3127.0,5865.0,13079.0,8679.0,6854.0,18021.0,17629.0,6480.0,12171.0,7193.0,11123.0,9322.0,8279.0,11269.0,14519.0,12699.0,13171.0,14068.0,19731.0,5438.0,31589.0,10305.0,9287.0,5938.0,6260.0,9013.0,10409.0,9751.0,9679.0,13002.0,11476.0,10348.0,7960.0,9761.0,14453.0,9221.0,8127.0,11426.0,10202.0,8453.0,8223.0,10206.0,10145.0,7143.0,5615.0,5388.0,5846.0,6996.0,5403.0,41882.0,8048.0,13397.0,-3566.0,16829.0,2935.0,2336.0,2373.0,5939.0,15471.0,33108.0,34331.0,49051.0,55752.0,56531.0,38846.0,51919.0,54896.0
