,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,24307.0,44238.0,34312.0,48729.0,42716.0,53293.0,56297.0,63173.0,59327.0,53337.0,89384.0,68894.0,90729.0,75022.0,67363.0,60403.0,55970.0,61880.0,51681.0,47315.0,54203.0,70789.0,62676.0,190429.0,54371.0,81743.0,82625.0,70245.0,161484.0,69025.0,87026.0,88768.0,86654.0,79709.0,81403.0,92592.0,76572.0,79933.0,106828.0,113970.0,92631.0,97718.0,112690.0,101369.0,84448.0,97727.0,89134.0,76485.0,87782.0,90969.0,91944.0,114291.0,69031.0,84326.0,48397.0,39412.0,30744.0,72319.0,44935.0,54034.0,37106.0,50187.0,43447.0,91048.0,36821.0,36533.0,47832.0,41848.0,50043.0,48050.0,57490.0,77576.0,34371.0,49040.0,50702.0,47523.0
Techniczny koszt wytworzenia produkcji sprzedanej,12596.0,21084.0,14002.0,22715.0,16101.0,23063.0,20585.0,21893.0,21958.0,25202.0,46218.0,29556.0,25276.0,56188.0,43744.0,39162.0,35499.0,33926.0,32513.0,38920.0,38004.0,39598.0,46555.0,41726.0,35977.0,55072.0,56510.0,38839.0,46185.0,44111.0,52806.0,49735.0,50417.0,45862.0,46210.0,52062.0,45489.0,41236.0,67624.0,64656.0,59441.0,56549.0,61253.0,60081.0,43784.0,55430.0,54326.0,50241.0,50751.0,45271.0,46882.0,50821.0,24712.0,43098.0,27503.0,29730.0,25522.0,24737.0,17842.0,31767.0,22317.0,21632.0,21678.0,51463.0,20397.0,19716.0,24636.0,20498.0,34494.0,20938.0,40033.0,41944.0,14704.0,30201.0,36220.0,27658.0
Koszty sprzedaży,5762.0,9929.0,7319.0,9017.0,7314.0,12167.0,13737.0,11308.0,11524.0,13771.0,9602.0,15390.0,11323.0,13811.0,12684.0,17342.0,6853.0,10966.0,6685.0,11796.0,8210.0,11982.0,10442.0,20971.0,11590.0,12742.0,13745.0,17295.0,13328.0,14581.0,11378.0,27455.0,13842.0,17754.0,16829.0,21316.0,15758.0,17873.0,17936.0,23246.0,16199.0,21093.0,20633.0,20763.0,20536.0,23997.0,24408.0,25900.0,23266.0,22374.0,27666.0,30723.0,21094.0,27536.0,14597.0,19705.0,16796.0,15120.0,14700.0,23212.0,4683.0,13196.0,8115.0,8991.0,7643.0,7885.0,7648.0,8617.0,7756.0,7899.0,9183.0,10229.0,8884.0,8566.0,11059.0,12481.0
Koszty ogólnego zarządu,5775.0,5981.0,5376.0,5387.0,6602.0,9213.0,7689.0,17437.0,12627.0,15948.0,12918.0,18407.0,15370.0,17588.0,16187.0,23550.0,18786.0,22311.0,16399.0,56433.0,20864.0,25116.0,24356.0,18238.0,20955.0,28675.0,21892.0,23584.0,20201.0,26360.0,20192.0,11308.0,16270.0,12683.0,14885.0,16934.0,15590.0,17380.0,10091.0,18703.0,14476.0,14277.0,15829.0,23657.0,14581.0,17076.0,15219.0,18558.0,15359.0,13277.0,18627.0,17584.0,15634.0,14483.0,11496.0,42203.0,10352.0,10697.0,14898.0,9528.0,9862.0,10516.0,10494.0,11878.0,8078.0,8519.0,7760.0,8208.0,7875.0,9366.0,9212.0,3820.0,7097.0,7950.0,7814.0,7606.0
Zysk ze sprzedaży,174.0,7244.0,7615.0,11610.0,12699.0,8850.0,14286.0,12535.0,13218.0,-1584.0,20646.0,5541.0,38760.0,-12565.0,-5252.0,-19651.0,-5168.0,-5323.0,-3916.0,-59834.0,-12875.0,-5907.0,-18677.0,109494.0,-14151.0,-14746.0,-9522.0,-9473.0,81770.0,-16027.0,2650.0,270.0,6125.0,3410.0,3479.0,2280.0,-265.0,3444.0,11177.0,7365.0,2515.0,5799.0,14975.0,-3132.0,5547.0,1224.0,-4819.0,-18214.0,-1594.0,10047.0,-1231.0,15163.0,7591.0,-791.0,-5199.0,-52226.0,-21926.0,21765.0,-2505.0,-10473.0,244.0,4843.0,3160.0,18716.0,703.0,413.0,7788.0,4525.0,-82.0,9847.0,-938.0,16246.0,2481.0,890.0,-5763.0,-1717.0
Pozostałe przychody operacyjne,145.0,863.0,15234.0,2964.0,554.0,90.0,35427.0,11085.0,125.0,78603.0,2682.0,984.0,1527.0,2337.0,2097.0,9143.0,6654.0,8147.0,1929.0,7057.0,6952.0,10996.0,11018.0,14893.0,4556.0,1945.0,2871.0,6124.0,2201.0,2370.0,2082.0,3111.0,3135.0,1474.0,2156.0,2910.0,2401.0,2159.0,509.0,2785.0,739.0,1705.0,854.0,1545.0,463.0,2659.0,5498.0,638.0,3397.0,1522.0,689.0,-186.0,1179.0,986.0,1016.0,1061.0,1195.0,-8.0,1351.0,1400.0,16211.0,1700.0,2489.0,12311.0,2790.0,1736.0,5079.0,-3659.0,2788.0,-3441.0,6066.0,-746.0,1761.0,3173.0,4448.0,12286.0
Pozostałe koszty operacyjne,558.0,968.0,153.0,2453.0,860.0,297.0,1013.0,18500.0,1108.0,1548.0,2070.0,7400.0,1438.0,4915.0,1232.0,80298.0,8770.0,41324.0,5227.0,471133.0,7038.0,9298.0,3225.0,6269.0,5009.0,5567.0,2854.0,5233.0,4398.0,2662.0,2909.0,1513.0,4071.0,4819.0,1885.0,3310.0,971.0,1494.0,2944.0,2060.0,1789.0,3252.0,-1529.0,524343.0,638.0,2126.0,-293.0,2997.0,1775.0,5685.0,-2664.0,2630.0,2712.0,1979.0,-875.0,2214.0,1772.0,119179.0,682.0,32709.0,2563.0,172.0,1710.0,6649.0,3306.0,-409.0,4275.0,-2139.0,2160.0,467.0,1268.0,4587.0,1638.0,45.0,695.0,-114.0
Zysk operacyjny (EBIT),-239.0,7139.0,22696.0,12121.0,12393.0,8643.0,48700.0,5120.0,12235.0,75471.0,21258.0,-875.0,38849.0,-15143.0,-4387.0,-90806.0,-7284.0,-38500.0,-7214.0,-523910.0,-12961.0,-4209.0,-10884.0,118118.0,-14604.0,-18368.0,-9505.0,-8582.0,79573.0,-16319.0,1823.0,1868.0,5189.0,65.0,3750.0,1880.0,1165.0,4109.0,8742.0,8090.0,1465.0,4252.0,17358.0,-525930.0,5372.0,1757.0,972.0,-20573.0,28.0,5884.0,2122.0,12347.0,6058.0,-1784.0,-3308.0,-53379.0,-22503.0,-97422.0,-1836.0,-41782.0,13892.0,6371.0,3939.0,24378.0,187.0,2558.0,8592.0,3005.0,546.0,5939.0,3860.0,10913.0,2604.0,4018.0,-2010.0,10683.0
Przychody finansowe,2414.0,3549.0,-1205.0,-459.0,639.0,1011.0,7446.0,37848.0,7152.0,238.0,15115.0,-14443.0,3816.0,2287.0,6077.0,10437.0,47672.0,1300.0,-5284.0,7401.0,3554.0,12258.0,1559.0,2334.0,1350.0,539.0,22787.0,2729.0,4233.0,2807.0,1935.0,2457.0,6017.0,8243.0,-5587.0,1041.0,2095.0,9739.0,5548.0,5298.0,6587.0,-412.0,637.0,3183.0,79.0,1338.0,-1109.0,7133.0,290.0,5871.0,10.0,384.0,764.0,70589.0,1122.0,3135.0,29156.0,-19578.0,-612.0,241.0,2.0,1.0,0.0,1140.0,0.0,1531.0,-1531.0,0.0,0.0,0.0,0.0,0.0,152.0,115.0,-267.0,366.0
