,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,158.0,47.0,79.0,849.0,73.0,353.0,199.0,1017.0,603.0,523.0,696.0,847.0,317.0,1234.0,906.0,977.0,1536.0,1117.0,2546.0,1093.0,1121.0,2392.0,2248.0,5896.0,2993.0,4157.0,4662.0,4125.0,3356.0,5189.0,4239.0,1588.0,4645.0,7460.0,6014.0,6523.0,5851.0,4935.0,9210.0,8888.0,8608.0,11978.0,12501.0,16860.0,12419.0,16417.0,15462.0,18470.0,17989.0,17514.0,24321.0,24972.0,27405.0,23206.0,26629.0,16770.0
Techniczny koszt wytworzenia produkcji sprzedanej,159.0,222.0,411.0,603.0,169.0,473.0,518.0,635.0,905.0,703.0,575.0,647.0,323.0,1183.0,912.0,1141.0,831.0,1214.0,1545.0,1061.0,1270.0,2224.0,1723.0,1762.0,2618.0,2019.0,2337.0,2762.0,2739.0,4442.0,2858.0,3323.0,3685.0,6460.0,4717.0,5033.0,4559.0,6052.0,6696.0,8905.0,6456.0,8885.0,12533.0,14442.0,10835.0,10461.0,13991.0,14621.0,13585.0,15729.0,17687.0,25351.0,22391.0,22326.0,26365.0,9910.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22284.0
Zysk ze sprzedaży,-1.0,-175.0,-332.0,246.0,-96.0,-120.0,-319.0,382.0,-302.0,-180.0,121.0,200.0,-6.0,51.0,-6.0,-164.0,705.0,-97.0,1001.0,32.0,-149.0,168.0,525.0,4134.0,375.0,2138.0,2325.0,1363.0,617.0,747.0,1381.0,-1735.0,960.0,1000.0,1297.0,1490.0,1292.0,-1117.0,2514.0,-17.0,2152.0,3093.0,-32.0,2418.0,1584.0,5956.0,1471.0,3849.0,4404.0,1785.0,6634.0,-379.0,5014.0,880.0,264.0,-15424.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,501.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,3.0,4.0,16.0,63.0,3.0,0.0,2.0,301.0,99.0,75.0,9.0,36.0,3.0,3.0,92.0,-20.0,3.0,0.0,5.0,54.0,1.0,0.0,791.0,96.0,1.0,1251.0,841.0,1294.0,374.0,297.0,768.0,1397.0,4032.0,2161.0,2698.0,2280.0,1306.0,813.0,1417.0,2505.0,2178.0,1591.0,3507.0,7618.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,17.0,0.0,2.0,1.0,1049.0,0.0,13.0,23.0,2287.0,1.0,0.0,8.0,474.0,0.0,0.0,0.0,36.0,3.0,0.0,2.0,3530.0,3.0,0.0,1.0,922.0,24.0,10.0,116.0,1200.0,30.0,-2.0,-21.0,1107.0,0.0,1.0,45.0,1200.0,19.0,24.0,15.0,93.0,12.0,214.0,59.0,541.0
Zysk operacyjny (EBIT),3.0,-6.0,-52.0,291.0,-93.0,-127.0,-317.0,376.0,-302.0,-180.0,120.0,184.0,-3.0,53.0,9.0,-1150.0,708.0,-110.0,980.0,-1954.0,-51.0,243.0,526.0,3696.0,378.0,2141.0,2417.0,1307.0,617.0,747.0,1384.0,-5211.0,958.0,1000.0,2087.0,664.0,1269.0,124.0,3239.0,77.0,2496.0,3392.0,757.0,2708.0,5616.0,8116.0,4124.0,4929.0,5691.0,2574.0,8036.0,2033.0,7180.0,2257.0,3712.0,-8347.0
Przychody finansowe,0.0,0.0,0.0,16.0,0.0,0.0,0.0,936.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,6.0,34.0,22.0,20.0,110.0,1767.0,6.0,466.0,20.0,-12.0,3.0,1.0,15.0,73.0,75.0,91.0,68.0,-5.0,-17.0,-40.0,47.0,2944.0,1.0,4.0,374.0,248.0,-51.0,1073.0,480.0,1247.0,3457.0,-2623.0,816.0,-329.0,285.0,582.0
