,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,146838.0,194993.0,197817.0,210016.0,209809.0,262172.0,264562.0,276562.0,283334.0,325655.0,345929.0,371976.0,394030.0,453168.0,445765.0,444993.0,437363.0,545147.0,539904.0,543220.0,493501.0,611598.0,657426.0,650483.0,590871.0,716298.0,728236.0,729109.0,669949.0,751909.0,795489.0,785759.0,684016.0,943821.0,944733.0,940077.0,873955.0,980534.0,997127.0,1107614.0,982555.0,1197491.0,1260225.0,1355517.0,1303498.0,1558135.0,1492061.0,1619765.0,1561350.0,1672895.0,1768015.0,1906105.0,1650014.0,2136652.0,2035656.0,2120931.0,1998064.0,2243226.0,2249536.0,2273435.0,1955068.0,2116171.0,2491779.0,2596148.0,2556518.0,3025548.0,3170316.0,3489665.0,3243309.0,3751250.0,3936323.0,4354219.0,4188675.0,4556177.0,4556840.0,4728617.0
Techniczny koszt wytworzenia produkcji sprzedanej,105847.0,150891.0,149688.0,161541.0,157941.0,196396.0,198616.0,199124.0,204263.0,233945.0,253398.0,270032.0,273063.0,317850.0,308685.0,303347.0,251514.0,369431.0,365202.0,372965.0,331697.0,407603.0,450053.0,438360.0,403895.0,481520.0,483385.0,501079.0,459892.0,517164.0,555921.0,542015.0,466845.0,648299.0,641316.0,646064.0,606864.0,663722.0,700944.0,777904.0,694210.0,824104.0,868908.0,954047.0,912399.0,1080546.0,1033529.0,1104898.0,1100872.0,1166808.0,1228094.0,1391031.0,1141697.0,1501000.0,1448769.0,1541511.0,1414210.0,1568593.0,1566173.0,1632648.0,1363577.0,1466828.0,1750202.0,1835716.0,1784832.0,2112282.0,2185115.0,2408550.0,2234142.0,2591199.0,2714704.0,3090069.0,2928563.0,3260336.0,3170437.0,3412329.0
Koszty sprzedaży,23624.0,24343.0,24188.0,29208.0,25894.0,31056.0,28725.0,38652.0,30908.0,36899.0,38403.0,48399.0,51323.0,67181.0,71467.0,83611.0,73137.0,93513.0,76613.0,91526.0,86421.0,96586.0,93625.0,120639.0,83122.0,106938.0,106205.0,93219.0,73670.0,82109.0,81661.0,78709.0,77312.0,153589.0,128116.0,146747.0,125924.0,131982.0,120216.0,168282.0,136661.0,170010.0,178702.0,238372.0,179145.0,218875.0,196963.0,258213.0,226658.0,252944.0,269380.0,264392.0,186928.0,379656.0,289979.0,299443.0,301441.0,341028.0,343015.0,320893.0,323118.0,277040.0,335192.0,304146.0,338868.0,386253.0,400148.0,445730.0,445988.0,488219.0,499472.0,550021.0,581078.0,617403.0,603926.0,725772.0
Koszty ogólnego zarządu,12952.0,17009.0,17189.0,17483.0,18710.0,25632.0,26214.0,26085.0,28129.0,31927.0,33290.0,33946.0,36868.0,52890.0,48973.0,56835.0,60657.0,56196.0,68108.0,58812.0,56034.0,72935.0,73214.0,59140.0,68110.0,79456.0,82935.0,84801.0,95515.0,113022.0,111377.0,121577.0,103889.0,77082.0,107814.0,98643.0,97489.0,113247.0,106802.0,111343.0,106979.0,126073.0,136273.0,138962.0,144325.0,165229.0,171376.0,159726.0,165921.0,172188.0,188517.0,187131.0,256453.0,152915.0,215209.0,211564.0,215087.0,235285.0,234105.0,232847.0,213895.0,233004.0,263479.0,262221.0,275156.0,310990.0,320259.0,335988.0,332188.0,381896.0,399034.0,416170.0,404843.0,437852.0,451132.0,372214.0
Zysk ze sprzedaży,4415.0,2750.0,6752.0,1784.0,7264.0,9088.0,11007.0,12701.0,20034.0,22884.0,20838.0,19599.0,32776.0,15247.0,16640.0,1200.0,52055.0,26007.0,29981.0,19917.0,19349.0,34474.0,40534.0,32344.0,35744.0,48384.0,55711.0,50010.0,40872.0,39614.0,46530.0,43458.0,35970.0,64851.0,67487.0,48623.0,43678.0,71583.0,69165.0,50085.0,44705.0,77304.0,76342.0,24136.0,67629.0,93485.0,90193.0,96928.0,67899.0,80955.0,82024.0,63551.0,64936.0,103081.0,81699.0,68413.0,67326.0,98320.0,106243.0,87047.0,54478.0,139299.0,142906.0,194065.0,157662.0,216023.0,264794.0,299397.0,230991.0,289936.0,323113.0,297959.0,274191.0,240586.0,331345.0,218302.0
Pozostałe przychody operacyjne,1752.0,1479.0,1070.0,167.0,362.0,2488.0,1653.0,903.0,2029.0,5587.0,3728.0,8307.0,10127.0,2949.0,5750.0,6357.0,0.0,1889.0,2160.0,4317.0,0.0,5733.0,-4702.0,5948.0,1076.0,2159.0,-3235.0,7119.0,394.0,3595.0,-3989.0,10713.0,-3174.0,-11147.0,-2686.0,23297.0,2344.0,-1831.0,-513.0,8345.0,2206.0,-782.0,294.0,8472.0,5379.0,4262.0,654.0,4604.0,5280.0,12123.0,6691.0,7527.0,5422.0,2935.0,28762.0,10171.0,16655.0,5978.0,5566.0,25367.0,8271.0,8304.0,14428.0,15724.0,7176.0,3805.0,13401.0,25188.0,14554.0,15926.0,5421.0,30580.0,29855.0,11427.0,10609.0,25359.0
Pozostałe koszty operacyjne,882.0,1092.0,1414.0,2194.0,952.0,3390.0,1524.0,4450.0,3383.0,4402.0,4209.0,6684.0,7969.0,5814.0,6519.0,-4625.0,6385.0,3070.0,648.0,6351.0,1606.0,6468.0,2267.0,8084.0,0.0,13524.0,3311.0,19135.0,3525.0,5931.0,5874.0,15926.0,0.0,0.0,0.0,29939.0,1964.0,2872.0,695.0,10224.0,2443.0,6312.0,2393.0,22772.0,5289.0,17076.0,5193.0,19908.0,6416.0,13922.0,5688.0,5560.0,6794.0,1445.0,29355.0,14443.0,8123.0,12381.0,16369.0,43686.0,12189.0,8661.0,18691.0,30858.0,11726.0,13472.0,22835.0,30700.0,85064.0,21982.0,7625.0,51577.0,10443.0,22484.0,16218.0,57440.0
Zysk operacyjny (EBIT),5285.0,3137.0,6408.0,-243.0,6674.0,8186.0,11136.0,9154.0,18680.0,24069.0,20357.0,21222.0,34934.0,12382.0,15871.0,12182.0,45670.0,24826.0,31493.0,17883.0,17743.0,33739.0,33565.0,30208.0,36820.0,37019.0,49165.0,37994.0,37741.0,37278.0,36667.0,38245.0,32796.0,53704.0,64801.0,41981.0,44058.0,66880.0,67957.0,48206.0,44468.0,70210.0,74243.0,9836.0,67719.0,80671.0,85654.0,81624.0,66763.0,79156.0,83027.0,65518.0,63564.0,104571.0,81106.0,64141.0,75858.0,91917.0,95440.0,68728.0,50560.0,138942.0,138643.0,178931.0,153112.0,206356.0,255360.0,293885.0,160481.0,283880.0,320909.0,276962.0,293603.0,229529.0,325736.0,186221.0
Przychody finansowe,108.0,189.0,142.0,412.0,370.0,213.0,220.0,-43.0,118.0,279.0,22.0,520.0,1332.0,692.0,-49.0,-317.0,429.0,492.0,318.0,309.0,611.0,228.0,751.0,468.0,339.0,953.0,1001.0,120.0,868.0,733.0,2261.0,-1476.0,587.0,548.0,257.0,490.0,519.0,741.0,942.0,389.0,705.0,462.0,506.0,1390.0,1812.0,282.0,769.0,875.0,673.0,4744.0,-3767.0,732.0,587.0,-14.0,693.0,1119.0,652.0,493.0,498.0,11273.0,3674.0,4403.0,3197.0,2616.0,3313.0,3965.0,2772.0,3044.0,6100.0,7045.0,3626.0,10911.0,3807.0,6305.0,3370.0,6257.0
