,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,9.2,-37.05,41.89,85.2,114.51,77.64,34.89,29.58,18.7,37.27
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,206.25,-90.88,6.81,225.26,78.75,1377.43,33.47,41.01,-19.83,-12.82
Koszty sprzedaży,,,,,100.0,,,,,,,,,
Koszty ogólnego zarządu,,,,,316.47,85.17,73.71,80.31,-23.8,-12.06,12.34,-22.41,40.8,-360.05
Zysk ze sprzedaży,,,,,-184.21,-391.24,-26.96,-356.33,63.64,-54.44,35.6,57.35,37.08,1093.24
Pozostałe przychody operacyjne,,,,,399.83,-18.26,-31.37,15.33,4.17,-130.88,-11.01,-223.99,3.58,151.41
Pozostałe koszty operacyjne,,,,,190.69,2418.68,26.75,713.0,2163.29,-81.39,-14.91,-0.72,-81.88,-16.94
Zysk operacyjny (EBIT),,,,,880.33,-46.63,-34.05,-26.05,-6.19,-163.29,-9.4,-358.87,31.97,232.17
Przychody finansowe,,,,,-5151.25,-120.21,-27.98,-91.09,115.9,1526.51,1130.34,7156.52,-4167.22,999.29
Koszty finansowe,,,,,88.32,-20.67,23.81,376.88,145.56,-251.8,-15.51,63.83,-38.33,331.44
Pozostałe przychody (koszty),,,,,-77.99,1067.29,1410.28,-41.56,995.9,-113.02,-81.39,-131.4,14.36,-527.39
Zysk z działalności gospodarczej,,,,,352.71,-33.46,-43.73,-73.27,-52.67,-136.51,0.96,-370.3,33.82,356.09
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,352.71,-33.46,-43.73,-73.27,-52.67,-136.51,0.96,-370.3,33.82,356.09
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,,,,213.51,-33.22,-43.96,-74.2,-51.69,-137.1,0.95,-373.55,34.5,345.42
Zysk netto akcjonariuszy jednostki dominującej,,,,,213.51,-33.22,-43.96,-74.2,-51.69,-137.1,0.95,-373.55,34.5,345.42
Aktywa trwałe,,,,,,66.44,,56.85,14.41,7.11,4.14,-1.21,23.54,17.92
Wartości niematerialne i prawne,,,,,,-0.06,,-0.01,-0.01,0.0,-0.09,-0.01,-0.03,-0.05
Rzeczowe składniki majątku trwałego,,,,,,835.99,,1049.77,1082.94,8.36,1.18,0.33,6.9,3.68
Należności długoterminowe,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,66.25,,55.86,10.91,6.9,3.93,-2.09,25.13,19.28
Pozostałe aktywa trwałe,,,,,,44.4,,9.85,177.2,147.21,160.93,286.96,21.75,-2.96
Aktywa obrotowe,,,,,,208.07,,97.97,45.13,-12.29,-8.28,-27.3,-39.78,37.06
Zapasy,,,,,,94.83,,96.51,28.11,0.51,-79.33,-62.65,-51.66,259.29
Należności krótkoterminowe,,,,,,68.62,,46.96,69.05,50.04,105.54,-45.12,-65.89,-68.38
Inwestycje krótkoterminowe,,,,,,610.75,,181.48,86.84,-33.2,21.78,-3.25,-29.34,0.84
Środki pieniężne i inne aktywa pieniężne,,,,,,881.67,,239.92,123.53,-64.59,-22.18,-55.72,-61.82,32.81
Pozostałe aktywa obrotowe,,,,,,115.02,,19.06,-37.85,-15.02,-57.9,-15.79,-12.03,-9.79
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,,,,,77.82,,60.4,17.79,4.41,2.68,-3.99,14.96,20.15
Kapitał własny akcjonariuszy jednostki dominującej,,,,,83.01,57.41,49.84,44.19,12.78,2.57,2.53,-0.53,-0.07,8.38
Kapitał (fundusz) podstawowy,,,,,,43.11,,46.14,2.12,2.12,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,,8.44,7.54,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,101.09,,110.9,32.25,8.01,5.2,-16.85,35.35,34.05
Z tytułu dostaw i usług,,,,,,62.26,,207.54,74.5,39.63,-16.62,3.96,46.74,54.99
Kredyty i pożyczki,,,,,,90.25,,-16.93,-1.31,38.71,-8.72,105.86,17.68,-1.04
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,-100.0,-100.0,-100.0,-5.21,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,465.09,,-90.29,-94.23,-92.76,-92.12,-5.1,48.45,10.95
Inne zobowiązania długoterminowe,,,,,,68.15,,40.55,43.95,-19.89,-13.29,-20.14,5.27,22.68
Zobowiązania krótkoterminowe,,,,,,83.91,,-9.71,0.34,-0.87,-4.71,47.26,2.82,10.86
Inne zobowiązania krótkoterminowe,,,,,,48.65,,6.22,33.3,-5.23,29.47,-1.95,-30.89,-29.26
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,,,,297.94,77.82,273.06,60.4,17.79,4.41,2.68,-3.99,14.96,20.15
Przepływy pieniężne z działalności operacyjnej,,,,,74.97,19.15,-146.04,222.31,81.98,-314.59,112.12,118.37,277.49,-26.76
Amortyzacja,,,,,161.73,7.5,0.92,139.14,299.77,-150.65,98.05,-17.58,-19.45,373.4
Przepływy pieniężne z działalności inwestycyjnej,,,,,-505.65,-31.49,-139.14,-50.08,333.48,-38.17,37.19,23.91,-117.96,53.98
CAPEX (niematerialne i rzeczowe),,,,,133.38,19.13,89.06,55.91,-17.58,34.31,-30.23,-24.96,-44.87,-52.66
Przepływy pieniężne z działalności finansowej,,,,,667.49,704.09,48.5,23.68,-245.72,-22.28,-36.79,-75.72,118.91,16.73
Emisja akcji,,,,,,,,,,,,,,
Dywidenda,,,,,-100.0,,,,,,,,,
Przepływy pieniężne razem,,,,,128.54,172.48,-494.19,1252.39,28.82,-233.39,104.37,-124.16,-74.91,109.48
