,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,8878.0,19415.0,9539.0,8989.0,9695.0,12222.0,13535.0,16648.0,20797.0,21711.0,18258.0,21572.0,24685.0,29802.0
Techniczny koszt wytworzenia produkcji sprzedanej,2545.0,10391.0,6387.0,3072.0,7794.0,948.0,6822.0,9992.0,13932.0,14006.0,9105.0,14090.0,11169.0,12211.0
Koszty sprzedaży,-13533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,3721.0,7883.0,5800.0,7371.0,15497.0,14597.0,10075.0,13291.0,11808.0,12837.0,11318.0,10312.0,16626.0,-33382.0
Zysk ze sprzedaży,16145.0,1141.0,-2648.0,-1454.0,-13596.0,-3323.0,-3362.0,-6635.0,-4943.0,-5132.0,-2165.0,-2830.0,-3110.0,50973.0
Pozostałe przychody operacyjne,-24515.0,143165.0,87152.0,25383.0,73503.0,117021.0,59815.0,29275.0,76569.0,-36135.0,53230.0,-36299.0,79312.0,18576.0
Pozostałe koszty operacyjne,-784.0,1488.0,1185.0,669.0,711.0,37478.0,1502.0,5439.0,16092.0,6973.0,1278.0,5400.0,2916.0,5792.0
Zysk operacyjny (EBIT),-7586.0,142818.0,83319.0,23260.0,59196.0,76220.0,54951.0,17201.0,55534.0,-48240.0,49787.0,-44529.0,73286.0,63757.0
Przychody finansowe,-80.0,2053.0,604.0,5423.0,-4201.0,-415.0,435.0,483.0,668.0,5920.0,5352.0,35049.0,-27169.0,65078.0
Koszty finansowe,8906.0,10727.0,17209.0,-4299.0,16772.0,8510.0,21306.0,11903.0,41185.0,-12918.0,18001.0,19501.0,25397.0,29898.0
Pozostałe przychody (koszty),1331.0,-2125.0,-253.0,9566.0,293.0,20555.0,3315.0,5590.0,3211.0,-2676.0,617.0,-1755.0,3672.0,-16789.0
Zysk z działalności gospodarczej,-15241.0,132019.0,66461.0,42548.0,38516.0,87850.0,37395.0,11371.0,18228.0,-32078.0,37755.0,-30736.0,24392.0,82148.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-15241.0,132019.0,66461.0,42548.0,38516.0,87850.0,37395.0,11371.0,18228.0,-32078.0,37755.0,-30736.0,24392.0,82148.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-26291.0,106714.0,54020.0,34492.0,29842.0,71266.0,30273.0,8900.0,14417.0,-26443.0,30560.0,-24346.0,19391.0,64896.0
Zysk netto akcjonariuszy jednostki dominującej,-26291.0,106714.0,54020.0,34492.0,29842.0,71266.0,30273.0,8900.0,14417.0,-26443.0,30560.0,-24346.0,19391.0,64896.0
Aktywa trwałe,0.0,1292025.0,0.0,1626634.0,1900327.0,2150469.0,2382536.0,2551388.0,2174142.0,2303263.0,2481220.0,2520528.0,2685973.0,2715918.0
Wartości niematerialne i prawne,0.0,82576.0,0.0,82508.0,82512.0,82523.0,82521.0,82499.0,82506.0,82525.0,82447.0,82494.0,82481.0,82482.0
Rzeczowe składniki majątku trwałego,0.0,7555.0,0.0,6540.0,6102.0,70714.0,75307.0,75195.0,72183.0,76626.0,76194.0,75446.0,77166.0,79444.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,1197455.0,0.0,1531659.0,1805648.0,1990822.0,2218119.0,2387183.0,2002641.0,2128266.0,2305386.0,2337393.0,2505857.0,2538615.0
Pozostałe aktywa trwałe,0.0,4439.0,0.0,5927.0,6065.0,6410.0,6589.0,6511.0,16812.0,15846.0,17193.0,25195.0,20469.0,15377.0
Aktywa obrotowe,0.0,112864.0,0.0,153738.0,234750.0,347700.0,316736.0,304354.0,340684.0,304979.0,290510.0,221268.0,205164.0,418009.0
Zapasy,0.0,32954.0,0.0,39542.0,49498.0,64203.0,72817.0,77705.0,63411.0,64531.0,15049.0,29020.0,30650.0,231852.0
Należności krótkoterminowe,0.0,29346.0,0.0,37279.0,43190.0,49484.0,54399.0,54786.0,73011.0,74246.0,111813.0,30069.0,24907.0,23478.0
Inwestycje krótkoterminowe,0.0,25274.0,0.0,49432.0,93007.0,179634.0,105246.0,139139.0,173774.0,119989.0,128171.0,134622.0,122787.0,120991.0
Środki pieniężne i inne aktywa pieniężne,0.0,13449.0,0.0,28013.0,62437.0,132025.0,63901.0,95223.0,139568.0,46748.0,49728.0,42162.0,53290.0,62087.0
Pozostałe aktywa obrotowe,0.0,25290.0,0.0,27485.0,49055.0,54379.0,84274.0,32724.0,30488.0,46213.0,35477.0,27557.0,26820.0,41688.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,1404889.0,0.0,1780372.0,2135077.0,2498169.0,2699272.0,2855742.0,2514826.0,2608242.0,2771730.0,2741796.0,2891137.0,3133927.0
Kapitał własny akcjonariuszy jednostki dominującej,536539.0,669521.0,723541.0,758047.0,981923.0,1053900.0,1084164.0,1093059.0,1107443.0,1081032.0,1111594.0,1087290.0,1106646.0,1171594.0
Kapitał (fundusz) podstawowy,0.0,226177.0,0.0,226177.0,323677.0,323677.0,330538.0,330538.0,330538.0,330538.0,330538.0,330538.0,330538.0,330538.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,0.0,83356.0,84061.0,90395.0,90395.0,90395.0,90395.0,90395.0,90395.0,90395.0,90395.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,534674.0,0.0,696141.0,784347.0,1075174.0,1222182.0,1468177.0,1037331.0,1161310.0,1285717.0,1220815.0,1404022.0,1556684.0
Z tytułu dostaw i usług,0.0,9790.0,0.0,8194.0,11413.0,15885.0,25492.0,25200.0,19916.0,22181.0,21256.0,26199.0,29224.0,34379.0
Kredyty i pożyczki,0.0,66984.0,0.0,128065.0,152231.0,127436.0,182343.0,106379.0,150243.0,176771.0,166448.0,218992.0,176807.0,174929.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,9949.0,10163.0,9793.0,10064.0,0.0,0.0,0.0,9540.0,28832.0,34140.0,76986.0
Zobowiązania z tytułu leasingu finansowego,0.0,7630.0,0.0,29270.0,47077.0,43116.0,40654.0,2841.0,2716.0,3123.0,3205.0,2696.0,4032.0,3465.0
Inne zobowiązania długoterminowe,0.0,43725.0,0.0,56075.0,46326.0,73523.0,73735.0,78814.0,66685.0,58898.0,63936.0,62940.0,70202.0,72257.0
Zobowiązania krótkoterminowe,0.0,200694.0,0.0,326184.0,368807.0,369095.0,392926.0,294506.0,370052.0,365900.0,374419.0,433691.0,380469.0,405649.0
Inne zobowiązania krótkoterminowe,0.0,116290.0,0.0,150706.0,147923.0,172865.0,134373.0,160086.0,197177.0,163825.0,173970.0,156972.0,136266.0,115890.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,536539.0,1404889.0,723541.0,1780372.0,2135077.0,2498169.0,2699272.0,2855742.0,2514826.0,2608242.0,2771730.0,2741796.0,2891137.0,3133927.0
Przepływy pieniężne z działalności operacyjnej,-209367.0,-25388.0,-24441.0,-24088.0,-52396.0,-20527.0,-60135.0,29463.0,-9443.0,-85102.0,7289.0,64338.0,16760.0,-107873.0
Amortyzacja,-1419.0,1146.0,764.0,861.0,876.0,1232.0,771.0,2059.0,3502.0,-624.0,1527.0,1697.0,2821.0,1706.0
Przepływy pieniężne z działalności inwestycyjnej,50650.0,-97829.0,-77174.0,-93052.0,-205463.0,-128639.0,-184551.0,-139654.0,479712.0,-177739.0,-115922.0,-106258.0,-86166.0,-81793.0
CAPEX (niematerialne i rzeczowe),87761.0,110495.0,98888.0,92175.0,204813.0,131636.0,186957.0,143707.0,168809.0,176795.0,130438.0,107831.0,93063.0,83694.0
Przepływy pieniężne z działalności finansowej,38083.0,27205.0,118897.0,114422.0,292283.0,218754.0,176562.0,141513.0,-425924.0,170021.0,111613.0,34354.0,80534.0,198463.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-120634.0,-96012.0,17282.0,-2718.0,34424.0,69588.0,-68124.0,31322.0,44345.0,-92820.0,2980.0,-7566.0,11128.0,8797.0
