,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,62476.0,93006.0,76283.0,99161.0,68093.0,119014.0,92343.0,121407.0,104307.0,145981.0,129433.0,164772.0,138866.0,193463.0,200429.0,221523.0,166700.0,255558.0,229769.0,270381.0,195708.0,244556.0,267932.0,320363.0,184925.0,299332.0,242588.0,364415.0,256605.0,326411.0,298621.0,435820.0,221223.0,422337.0,416175.0,583404.0,359691.0,496199.0,473968.0,679201.0,431913.0,608034.0,512375.0,754678.0,534600.0,860000.0,664600.0,1126100.0,720400.0,1125800.0,987300.0,1360500.0,694100.0,1332300.0,1247800.0,1451600.0,1038600.0,1641500.0,1447700.0,1716900.0,965100.0,1221000.0,1455400.0,1997100.0,1427900.0,2047700.0,2070600.0,2045300.0,1882000.0,2377400.0,2422100.0,2441700.0,2064100.0,2424500.0,2430400.0,2521300.0
Techniczny koszt wytworzenia produkcji sprzedanej,35626.0,51399.0,44596.0,53670.0,39895.0,61514.0,52683.0,65107.0,53868.0,68422.0,67651.0,75874.0,67946.0,82151.0,98217.0,100628.0,89568.0,117215.0,114514.0,119909.0,94992.0,103915.0,125672.0,147548.0,89086.0,125273.0,107562.0,156526.0,131732.0,154837.0,143272.0,209218.0,119783.0,192142.0,221343.0,273166.0,171625.0,209773.0,213573.0,307876.0,208946.0,289558.0,218003.0,324693.0,265200.0,395600.0,325300.0,519100.0,369700.0,538100.0,484200.0,652100.0,362100.0,615800.0,652300.0,725700.0,546300.0,801200.0,761300.0,847300.0,552300.0,683300.0,824500.0,1122000.0,809700.0,1074300.0,1044000.0,1088400.0,959200.0,1248000.0,1259000.0,1391600.0,1105300.0,1322400.0,1256400.0,1362100.0
Koszty sprzedaży,14141.0,21838.0,15622.0,24265.0,19557.0,27511.0,23838.0,36377.0,33214.0,46770.0,46419.0,63132.0,48918.0,64922.0,61782.0,90652.0,79718.0,93347.0,87025.0,101358.0,91456.0,95513.0,106083.0,113182.0,94233.0,109122.0,104785.0,121233.0,111060.0,125970.0,126301.0,157211.0,124724.0,152356.0,152441.0,193495.0,168390.0,186949.0,195132.0,224827.0,193717.0,212037.0,253135.0,236911.0,255400.0,309700.0,298000.0,360800.0,343900.0,389200.0,418500.0,471100.0,409500.0,501800.0,561700.0,454500.0,565200.0,650400.0,608400.0,705400.0,654800.0,487500.0,579800.0,880500.0,650300.0,766500.0,876300.0,953300.0,854000.0,935400.0,1018900.0,1006800.0,939400.0,966100.0,961600.0,999900.0
Koszty ogólnego zarządu,4381.0,3603.0,3299.0,4073.0,3750.0,4618.0,4285.0,21.0,1233.0,1726.0,1447.0,1912.0,1981.0,2029.0,1922.0,2387.0,2702.0,2705.0,3433.0,4293.0,2720.0,3233.0,4303.0,4488.0,4060.0,4551.0,4473.0,5311.0,4834.0,-7242.0,3858.0,5754.0,4503.0,5866.0,7125.0,11819.0,8994.0,8226.0,8743.0,52359.0,11876.0,20089.0,18955.0,64280.0,23800.0,30000.0,20400.0,34800.0,22400.0,21900.0,24200.0,40800.0,38400.0,43400.0,53800.0,52600.0,72400.0,60900.0,59500.0,43900.0,55200.0,39500.0,60600.0,96900.0,73600.0,125400.0,92300.0,101700.0,93600.0,92100.0,99300.0,114500.0,99900.0,93800.0,100600.0,90600.0
Zysk ze sprzedaży,8328.0,16166.0,12766.0,17153.0,4891.0,25371.0,11537.0,19902.0,15992.0,29063.0,13916.0,23854.0,20021.0,44361.0,38508.0,27856.0,-5288.0,42291.0,24797.0,44821.0,6540.0,41895.0,31874.0,55145.0,-2454.0,60386.0,25768.0,81345.0,8979.0,52846.0,25190.0,63637.0,-27787.0,71973.0,35266.0,104924.0,10682.0,91251.0,56520.0,94139.0,17374.0,86350.0,22282.0,128794.0,-9800.0,124700.0,20900.0,211400.0,-15600.0,176600.0,60400.0,196500.0,-115900.0,171300.0,-20000.0,218800.0,-145300.0,129000.0,18500.0,120300.0,-297200.0,10700.0,-9500.0,-102300.0,-105700.0,81500.0,58000.0,-98100.0,-24800.0,101900.0,44900.0,-71200.0,-80500.0,42200.0,111800.0,68700.0
Pozostałe przychody operacyjne,171.0,770.0,229.0,2666.0,447.0,3962.0,195.0,1401.0,951.0,427.0,861.0,-768.0,1462.0,5480.0,-507.0,12914.0,15067.0,1092.0,-1493.0,-2826.0,5914.0,4451.0,9584.0,-9994.0,3896.0,158.0,1749.0,3952.0,4079.0,2397.0,2922.0,1060.0,2952.0,6411.0,4148.0,-1453.0,1873.0,3436.0,2516.0,12672.0,3114.0,9598.0,6956.0,11432.0,5000.0,10900.0,4200.0,6100.0,-500.0,3400.0,-8200.0,-8100.0,-3600.0,71000.0,25400.0,25500.0,-3400.0,9400.0,-2300.0,41100.0,14600.0,-55400.0,1200.0,7300.0,19600.0,4800.0,25500.0,81000.0,8300.0,-12000.0,7700.0,13800.0,30900.0,29200.0,-18100.0,39800.0
Pozostałe koszty operacyjne,803.0,519.0,1004.0,1054.0,371.0,1566.0,537.0,3189.0,1102.0,2868.0,3357.0,13723.0,1106.0,6223.0,2461.0,8389.0,2286.0,4138.0,7721.0,-3843.0,3282.0,7693.0,10255.0,-4940.0,3349.0,3076.0,4636.0,4687.0,4593.0,4755.0,3852.0,6576.0,9069.0,5314.0,6035.0,8499.0,7520.0,7514.0,6808.0,8013.0,10109.0,423.0,4909.0,13759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34200.0,27200.0,141900.0,-9500.0,36500.0,15000.0,6700.0,10400.0,30600.0,40000.0,58600.0,28600.0,-7300.0,17400.0,-7900.0,17500.0,13100.0
Zysk operacyjny (EBIT),7696.0,16417.0,11991.0,18765.0,4967.0,27767.0,11195.0,18114.0,15841.0,26622.0,11420.0,9363.0,20377.0,43618.0,35540.0,32381.0,7493.0,39245.0,15583.0,45838.0,9172.0,38653.0,31203.0,50091.0,-1907.0,57468.0,22881.0,80610.0,8465.0,50488.0,24260.0,58121.0,-33904.0,73070.0,33379.0,94972.0,5035.0,87173.0,52228.0,98798.0,10379.0,95525.0,24329.0,126467.0,-4800.0,135600.0,25100.0,217500.0,-16100.0,180000.0,52200.0,188400.0,-119500.0,242300.0,5400.0,244300.0,-148700.0,138400.0,16200.0,127200.0,-309800.0,-186600.0,1200.0,-131500.0,-101100.0,79600.0,73100.0,-47700.0,-56500.0,31300.0,24000.0,-50100.0,-67000.0,79300.0,76200.0,95400.0
Przychody finansowe,331.0,690.0,152.0,118.0,140.0,1711.0,459.0,1761.0,37.0,188.0,154.0,-20.0,15.0,77.0,37.0,126.0,38.0,460.0,60.0,301.0,117.0,153.0,177.0,26.0,152.0,55.0,192.0,157.0,175.0,121.0,126.0,312.0,292.0,1571.0,-1309.0,258.0,1231.0,311.0,-749.0,2282.0,325.0,355.0,970.0,-1550.0,400.0,8200.0,-5900.0,-1800.0,300.0,1200.0,-600.0,2300.0,6500.0,10200.0,11800.0,-24800.0,8700.0,7600.0,-5400.0,132400.0,65000.0,-26500.0,-1700.0,60900.0,6900.0,2100.0,13200.0,20500.0,700.0,17900.0,1000.0,34400.0,24000.0,49200.0,-600.0,51500.0
