,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Period,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,43767.0,39526.0,37558.0,34157.0,46030.0,40689.0,39644.0,43176.0,49587.0,47043.0,45165.0,47617.0,58692.0,52201.0,50446.0,50571.0,66566.0,62719.0,57063.0,54745.0,71583.0,67880.0,107986.0,116740.0,155969.0,133426.0,91658.0,88724.0,121313.0,103975.0,90602.0,102907.0,130243.0,120496.0,97869.0,90515.0,114119.0,107366.0,89897.0,88858.0,94242.0,55985.0,64287.0
Techniczny koszt wytworzenia produkcji sprzedanej,39075.0,37322.0,33266.0,29034.0,39835.0,35229.0,37653.0,37244.0,44319.0,41791.0,42827.0,42257.0,54634.0,45028.0,47382.0,43725.0,61004.0,52137.0,52921.0,46951.0,62078.0,59133.0,110650.0,110488.0,144840.0,121775.0,94748.0,84109.0,107741.0,97924.0,89116.0,92425.0,114245.0,108889.0,97907.0,82917.0,104929.0,101863.0,93446.0,88939.0,91321.0,49173.0,66666.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,4692.0,2204.0,4292.0,5123.0,6195.0,5460.0,1991.0,5932.0,5268.0,5252.0,2338.0,5360.0,4058.0,7173.0,3064.0,6846.0,5562.0,10582.0,4142.0,7794.0,9505.0,8747.0,-2664.0,6252.0,11129.0,11651.0,-3090.0,4615.0,13572.0,6051.0,1486.0,10482.0,15998.0,11607.0,-38.0,7598.0,9190.0,5503.0,-3549.0,-81.0,2921.0,6812.0,-2379.0
Pozostałe przychody operacyjne,318.0,324.0,408.0,1447.0,-369.0,-471.0,2271.0,204.0,-542.0,758.0,1740.0,1321.0,746.0,743.0,952.0,97.0,597.0,509.0,582.0,1018.0,993.0,1241.0,2065.0,-236.0,1659.0,-1019.0,-827.0,1519.0,1461.0,1627.0,163.0,1255.0,320.0,5220.0,605.0,-200.0,-5939.0,15706.0,1574.0,2693.0,1102.0,5523.0,112.0
Pozostałe koszty operacyjne,-131.0,1642.0,1250.0,1630.0,290.0,2803.0,472.0,522.0,436.0,1796.0,669.0,1319.0,926.0,1833.0,1164.0,7.0,352.0,1249.0,2395.0,1013.0,3542.0,-1935.0,3185.0,-157.0,2877.0,-1371.0,1499.0,5851.0,1047.0,19646.0,802.0,202.0,264.0,973.0,1177.0,491.0,2661.0,6665.0,3041.0,35815.0,4349.0,-35015.0,623.0
Zysk operacyjny (EBIT),5141.0,886.0,3450.0,4940.0,5536.0,2186.0,3790.0,5614.0,4290.0,4214.0,3409.0,5362.0,3878.0,6083.0,2852.0,6936.0,5807.0,9842.0,2329.0,7799.0,6956.0,11923.0,-3784.0,6173.0,9911.0,12003.0,-5416.0,283.0,13986.0,-11968.0,847.0,11535.0,16054.0,15854.0,-610.0,6907.0,590.0,14544.0,-5016.0,-33203.0,-326.0,47350.0,-2890.0
Przychody finansowe,-311.0,-50.0,360.0,294.0,444.0,-57.0,207.0,900.0,86.0,324.0,1223.0,-168.0,-279.0,861.0,13.0,26.0,25.0,102.0,1025.0,1729.0,-31.0,322.0,1517.0,3484.0,-224.0,-2959.0,4007.0,-2780.0,-336.0,-192.0,274.0,2258.0,1748.0,-534.0,638.0,147.0,942.0,6647.0,2046.0,1783.0,-729.0,1347.0,220.0
