,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-96.97,-96.49,-98.0,-97.8,-46.8,3545.65,4465.14,11057.81,6665.67,367.08,163.16,12.39,12.14,-16.69,59.09,71.37,57.35,-34.45,-3.63,-23.5,10.75,24.23,-9.93,27.14,-16.94,1012.39,213.31,247.37,240.0,-52.37,-11.04,-4.63,14.19,-32.98,-15.93,-24.67,-24.07,-40.19,-20.74,2.98,7.25,43.55,39.28,67.57,138.52,28.11,11.74,683.05,2.41,59.62,38.23,-83.65,9.37,-40.74,69.97,20.51,-19.15,-6.99,80.17,40.55
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-96.87,-94.24,-100.3,-97.72,-89.43,405.04,15046.67,4239.34,11431.71,937.05,120.09,11.77,94.35,2.62,151.86,126.17,87.26,-25.38,1.08,-6.6,34.1,41.45,14.04,81.81,-24.18,278.84,11.93,0.89,-1.75,-49.56,-41.95,-56.28,-13.76,-59.96,1.26,25.89,8.84,19.06,3.55,70.01,77.98,35.24,96.38,32.4,65.4,59.95,-4.05,511.19,31.12,66.75,43.96,-89.89,-23.52,-46.24,49.62,80.61,13.91,-1.39,81.94,103.76
Koszty sprzedaży,,,,,-30.09,-85.35,-89.1,-80.54,-68.61,2571.2,4795.45,3034.13,2982.86,180.22,43.59,27.74,29.94,-61.71,-32.73,-21.51,-17.39,7.12,-10.27,-20.71,12.32,34.87,30.8,-131.14,49.6,144.35,85.03,1196.78,116.22,176.65,134.57,85.1,33.27,-32.6,-51.71,-7.16,1.52,-33.78,31.86,9.36,-2.54,30.64,44.06,6.21,55.68,20.57,6.98,611.79,79.64,83.84,77.31,-63.0,-2.37,-41.1,-1.64,-40.89,-35.57,13.16,23.8,37.06
Koszty ogólnego zarządu,,,,,-43.95,-5.25,-23.5,-15.56,10.3,44.39,73.69,198.88,114.4,11.4,187.21,-18.12,36.18,145.99,-46.19,-0.59,19.59,-34.69,54.04,-7.35,15.19,13.98,-15.21,-63.6,-1.77,813.14,179.97,1162.7,198.03,-96.18,-39.83,-59.18,-7.03,483.07,39.27,52.54,4.31,-1.86,11.24,40.68,9.52,238.34,16.96,-2.3,22.08,-46.21,-15.9,189.07,155.82,70.88,170.54,-117.1,-33.52,-36.69,-22.97,509.22,51.51,87.22,196.37,143.98
Zysk ze sprzedaży,,,,,-682.45,-38.26,49.37,44.72,34.34,346.4,-216.35,380.56,804.73,388.33,186.12,12.18,-87.59,-28.82,250.72,178.56,421.78,-68.62,-31.52,-63.14,-117.55,-64.6,-157.58,2.98,-375.69,19904.73,1947.36,1731.31,1702.01,-62.44,-23.26,7.89,22.21,-25.85,-4.61,-46.03,-48.32,-61.84,-56.27,-38.72,-26.58,14.78,-15.17,213.21,387.17,53.67,76.53,861.13,-56.46,34.44,-53.55,-86.75,103.6,-34.77,624.22,35.15,-41.83,-56.06,89.18,6.07
Pozostałe przychody operacyjne,,,,,247.39,-97.6,2311.67,-59.73,-94.99,35.42,-75.54,-56.43,215.0,3638.46,963.56,148.37,307.14,-76.54,-96.33,-32.96,26.12,77.19,143.48,-22.23,188.56,97.03,85.12,-93.62,-86.18,-77.04,25.56,380.22,-20.54,37.64,57.36,-9.38,111.22,244.99,9.11,329.55,15.47,-83.18,-96.5,3.0,2.0,304.66,9110.64,12.04,294.12,30.67,-55.83,31.74,-11.29,7.2,156.8,232.87,45.26,35.14,99.61,-50.64,895.87,183.23,-28.23,213.04
Pozostałe koszty operacyjne,,,,,-21.05,-32.14,-100.0,396.33,60.0,754.74,,43.88,2054.17,359.73,-78.17,235.76,96.13,-68.74,182.8,-26.28,30.87,-4.97,-62.15,-46.84,-48.61,-83.05,0.11,-114.43,-71.55,13894.15,783.39,1726.88,2745.36,-118.36,-85.36,-51.34,-95.51,121.68,-8.97,-87.82,30.65,-36.96,-58.62,269.98,-6.48,9.09,692.91,-40.75,1067.66,303.75,-52.21,1507.88,-50.37,-12.01,36.53,173.63,194.13,7.58,199.65,-14.65,14.17,0.18,-57.17,-66.47
Zysk operacyjny (EBIT),,,,,-177.94,-361.53,134.6,-122.97,-126.05,296.03,-1106.9,481.22,765.15,458.16,184.98,-135.97,-97.26,-27.06,10.88,972.02,1932.81,-67.98,-14.8,-66.2,-76.59,-22.64,-169.71,88.02,-539.41,8498.26,1591.2,1412.14,1541.7,-57.24,-12.41,13.28,39.53,-28.2,-4.12,-42.82,-48.17,-62.64,-57.47,-40.03,-26.31,18.06,-8.63,215.72,374.83,48.25,68.93,839.07,-55.75,35.85,-44.59,-90.27,97.51,-34.32,520.88,50.85,-16.76,-46.2,87.54,31.59
Przychody finansowe,,,,,-90.91,-96.83,-93.06,66.67,-28.57,17200.0,12240.0,421.67,7460.0,-3.32,74.55,-203.19,27.78,65.77,39.93,388.54,85.71,-82.69,-68.88,54.18,42.81,480.73,-44.14,-59.85,-95.55,-88.43,2588.55,102.6,5640.35,1090.7,-60.02,-17.62,18.25,3.52,-22.27,233.13,-57.72,160.69,-28.78,6.95,55.68,-36.02,42.14,-40.31,35.06,129.64,49.95,106.45,192.5,44.89,-295.58,-167.74,66.88,155.7,549.84,201.68,14.86,43.26,-2.87,1226.92
