,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,14479.0,10790.0,10885.0,10761.0,438.0,379.0,218.0,237.0,233.0,13817.0,9952.0,26444.0,15764.0,64536.0,26190.0,29720.0,17677.0,53765.0,41666.0,50932.0,27814.0,35244.0,40153.0,38961.0,30804.0,43784.0,36166.0,49534.0,25587.0,487048.0,113312.0,172067.0,86995.0,232001.0,100807.0,164100.0,99342.0,155482.0,84747.0,123613.0,75435.0,92999.0,67167.0,127300.0,80905.0,133502.0,93551.0,213314.0,192972.0,171026.0,104530.0,1670347.0,197632.0,272985.0,144492.0,273063.0,216146.0,161770.0,245591.0,329069.0,174757.0,150457.0,442478.0,462507.0
Techniczny koszt wytworzenia produkcji sprzedanej,12406.0,9300.0,10082.0,10714.0,388.0,536.0,-30.0,244.0,41.0,2707.0,4484.0,10588.0,4728.0,28073.0,9869.0,11834.0,9189.0,28808.0,24856.0,26765.0,17207.0,21497.0,25124.0,24999.0,23075.0,30408.0,28652.0,45450.0,17496.0,115199.0,32071.0,45855.0,17189.0,58104.0,18618.0,20046.0,14823.0,23263.0,18852.0,25236.0,16133.0,27696.0,19521.0,42904.0,28713.0,37455.0,38336.0,56804.0,47491.0,59911.0,36782.0,347180.0,62272.0,99899.0,52952.0,35111.0,47627.0,53707.0,79227.0,63413.0,54252.0,52961.0,144143.0,129211.0
Koszty sprzedaży,638.0,1304.0,1211.0,1295.0,446.0,191.0,132.0,252.0,140.0,5102.0,6462.0,7898.0,4316.0,14297.0,9279.0,10089.0,5608.0,5474.0,6242.0,7919.0,4633.0,5864.0,5601.0,6279.0,5204.0,7909.0,7326.0,-1955.0,7785.0,19326.0,13555.0,21442.0,16833.0,53465.0,31796.0,39690.0,22434.0,36036.0,15353.0,36850.0,22775.0,23864.0,20245.0,40299.0,22197.0,31176.0,29165.0,42803.0,34557.0,37590.0,31200.0,304669.0,62077.0,69106.0,55322.0,112720.0,60606.0,40701.0,54413.0,66630.0,39048.0,46058.0,67364.0,91326.0
Koszty ogólnego zarządu,1247.0,1391.0,1247.0,1478.0,699.0,1318.0,954.0,1248.0,771.0,1903.0,1657.0,3730.0,1653.0,2120.0,4759.0,3054.0,2251.0,5215.0,2561.0,3036.0,2692.0,3406.0,3945.0,2813.0,3101.0,3882.0,3345.0,1024.0,3046.0,35448.0,9365.0,12930.0,9078.0,1353.0,5635.0,5278.0,8440.0,7889.0,7848.0,8051.0,8804.0,7742.0,8730.0,11326.0,9642.0,26194.0,10211.0,11066.0,11771.0,14089.0,8587.0,31988.0,30112.0,24075.0,23231.0,-5469.0,20017.0,15243.0,17896.0,22380.0,30328.0,28538.0,53038.0,54603.0
Zysk ze sprzedaży,188.0,-1205.0,-1655.0,-2726.0,-1095.0,-1666.0,-838.0,-1507.0,-719.0,4105.0,-2651.0,4228.0,5067.0,20046.0,2283.0,4743.0,629.0,14268.0,8007.0,13212.0,3282.0,4477.0,5483.0,4870.0,-576.0,1585.0,-3157.0,5015.0,-2740.0,317075.0,58321.0,91840.0,43895.0,119079.0,44758.0,99086.0,53645.0,88294.0,42694.0,53476.0,27723.0,33697.0,18671.0,32771.0,20353.0,38677.0,15839.0,102641.0,99153.0,59436.0,27961.0,986510.0,43171.0,79905.0,12987.0,130701.0,87896.0,52119.0,94055.0,176646.0,51129.0,22900.0,177933.0,187367.0
Pozostałe przychody operacyjne,230.0,2000.0,60.0,6280.0,799.0,48.0,1447.0,2529.0,40.0,65.0,354.0,1102.0,126.0,2430.0,3765.0,2737.0,513.0,570.0,138.0,1835.0,647.0,1010.0,336.0,1427.0,1867.0,1990.0,622.0,91.0,258.0,457.0,781.0,437.0,205.0,629.0,1229.0,396.0,433.0,2170.0,1341.0,1701.0,500.0,365.0,47.0,1752.0,510.0,1477.0,4329.0,1963.0,2010.0,1930.0,1912.0,2586.0,1783.0,2069.0,4910.0,8608.0,2590.0,2796.0,9801.0,4249.0,25793.0,7919.0,7034.0,13301.0
Pozostałe koszty operacyjne,19.0,140.0,165.0,354.0,15.0,95.0,0.0,1757.0,24.0,812.0,3835.0,2528.0,517.0,3733.0,837.0,8488.0,1014.0,1167.0,2367.0,6257.0,1327.0,1109.0,896.0,3326.0,682.0,188.0,897.0,-480.0,194.0,26309.0,7924.0,7809.0,5520.0,-4830.0,1160.0,3800.0,248.0,1047.0,1056.0,463.0,324.0,660.0,437.0,1713.0,303.0,720.0,3465.0,1015.0,3538.0,2907.0,1656.0,16320.0,1756.0,2558.0,2261.0,44656.0,5165.0,2752.0,6775.0,38113.0,5897.0,2757.0,2902.0,12780.0
Zysk operacyjny (EBIT),399.0,655.0,-1760.0,3200.0,-311.0,-1713.0,609.0,-735.0,-703.0,3358.0,-6132.0,2802.0,4676.0,18743.0,5211.0,-1008.0,128.0,13671.0,5778.0,8790.0,2602.0,4378.0,4923.0,2971.0,609.0,3387.0,-3432.0,5586.0,-2676.0,291223.0,51178.0,84468.0,38580.0,124538.0,44827.0,95682.0,53830.0,89417.0,42979.0,54714.0,27899.0,33402.0,18281.0,32810.0,20560.0,39434.0,16703.0,103589.0,97625.0,58459.0,28217.0,972776.0,43198.0,79416.0,15636.0,94653.0,85321.0,52163.0,97081.0,142782.0,71025.0,28062.0,182065.0,187888.0
Przychody finansowe,77.0,126.0,72.0,36.0,7.0,4.0,5.0,60.0,5.0,692.0,617.0,313.0,378.0,669.0,1077.0,-323.0,483.0,1109.0,1507.0,932.0,897.0,192.0,469.0,1437.0,1281.0,1115.0,262.0,577.0,57.0,129.0,7044.0,1169.0,3272.0,1536.0,2816.0,963.0,3869.0,1590.0,2189.0,3208.0,1636.0,4145.0,1559.0,3431.0,2547.0,2652.0,2216.0,2048.0,3440.0,6090.0,3323.0,4228.0,10062.0,8824.0,-6499.0,-2864.0,16791.0,22563.0,29235.0,2912.0,19286.0,32324.0,28395.0,38640.0
