,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,22.42,54.09,50.99,81.26,58.81,26.17,-41.98,73.31,52.32,94.59,160.69,57.68,8.7,-19.49,-6.98,-43.67,-22.18,10.61,-6.37,34.55,31.25,91.52,89.13,52.7,60.7,-20.52,-7.56,-23.91,68.22,28.2,24.75,20.92,-13.28,28.47,28.8,9.09,8.14,6.7,2.9,63.99,-32.49,-21.28,-27.57,-12.2,54.36,-3.63,11.78,-32.78,-15.72,29.63,35.78,50.43,1.2,-6.37,20.67,13.73,16.48,-24.75,-15.16,10.99,21.35,119.92,3.97,-22.54,-24.81,-33.75,21.18,8.5,66.91,42.7,-13.88,45.35
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,53.65,79.27,11.23,80.71,62.66,30.01,-43.73,106.89,74.44,182.11,234.65,68.2,3.43,-42.49,-33.88,-59.57,-19.95,25.87,26.62,50.87,23.37,79.0,56.83,85.29,62.73,-8.87,13.18,-28.11,65.85,27.03,13.37,31.96,-6.82,21.8,38.29,-2.3,6.4,18.94,10.04,94.34,-29.25,-20.78,-29.3,-13.75,61.38,-9.73,10.98,-40.28,-18.63,19.24,33.64,59.21,0.0,-8.65,16.88,9.74,8.52,-8.57,-15.49,18.21,27.67,90.92,9.82,-24.38,-21.45,-28.09,18.13,0.78,71.53,43.95,-17.74,53.46
Koszty sprzedaży,,,,,-3.9,34.05,255.33,50.64,59.94,5.11,-22.64,-13.58,59.84,-34.5,103.38,47.16,10.82,162.94,81.83,100.38,-29.76,-31.84,-53.46,-37.12,1.68,90.26,173.97,43.61,68.74,0.6,-16.93,0.01,34.1,4.59,16.39,-9.93,-16.12,38.23,29.13,59.05,21.78,-25.8,-16.39,30.78,-13.33,2.32,-18.06,-10.91,15.81,-16.11,12.71,-14.21,5.71,50.53,46.17,74.74,11.21,20.55,20.75,8.74,17.45,-20.64,-5.83,16.16,12.25,63.92,11.25,-17.1,-1.74,-9.23,6.86,34.66,14.74,-5.38,1.26,7.35
Koszty ogólnego zarządu,,,,,39.49,87.25,53.07,46.42,-11.16,-9.37,-43.86,34.14,126.77,4.72,204.35,42.49,0.48,73.94,22.8,-22.73,-2.25,2.91,-11.12,27.69,10.77,60.17,77.9,85.4,59.07,13.19,-4.17,-28.11,-2.02,-19.59,3.14,14.61,0.08,10.63,-9.55,33.37,-2.28,-0.24,10.45,-4.24,8.85,0.97,-8.38,-6.66,23.42,-0.45,18.4,-21.09,-24.88,-5.03,-18.57,56.46,10.56,13.81,21.76,6.85,14.16,-13.85,-6.13,-36.46,-5.72,8.85,-5.6,26.95,-1.78,-9.9,-0.74,14.58,10.29,16.8,5.22,13.48
Zysk ze sprzedaży,,,,,-65.26,-69.78,1870.36,137.87,368.49,493.45,-45.73,36.39,-138.76,-36.62,-103.81,22.82,144.34,-3.92,2606.4,-9.16,-305.32,10.24,-117.71,46.91,381.08,445.23,1356.04,-51.04,34.53,-148.59,-157.6,6.1,365.39,178.76,259.05,-22.8,-44.3,170.07,28.5,50.86,19.18,-32.19,-55.11,-25.13,-104.83,-104.39,-102.99,5.22,593.89,1705.64,-505.45,41.35,32.19,225.51,1536.94,-41.31,-35.08,-33.23,62.31,124.05,226.87,-152.38,-36.66,-0.06,30.7,587.34,-59.4,-53.34,-116.56,-89.39,286.0,58.67,642.57,419.54,-23.47,98.41
Pozostałe przychody operacyjne,,,,,-16.37,58.01,-73.81,248.21,12.59,-70.77,-17.84,-43.55,22.67,-18.18,-16.29,-52.13,-61.52,170.8,303.24,94.9,-24.34,-26.91,-87.13,105.88,580.0,-6.53,443.75,140.32,51.02,106.84,284.96,176.49,100.51,28.56,-60.91,17.68,-31.0,7.72,2.86,-32.1,-17.69,-19.41,67.08,13.36,207.81,485.78,-53.19,19.51,-40.99,-41.61,48.89,-43.18,-42.16,-73.75,-17.48,16.85,22.58,56.27,-35.22,4.72,291.74,44.85,217.89,35.26,-53.91,-52.4,28.99,-18.72,-30.28,23.83,-66.72,-15.76,-29.95,-25.51,-6.63,23.51
Pozostałe koszty operacyjne,,,,,-52.86,-53.87,35.78,949.78,-43.43,-9.29,-88.25,-93.88,389.29,-46.1,343.24,1132.77,-26.28,404.13,573.17,-50.78,-28.71,-78.93,-68.12,180.75,-34.03,886.38,446.88,-53.87,161.05,-58.54,613.04,199.57,627.02,61.47,-89.44,-29.13,-41.71,30.47,16.22,144.23,122.45,-19.56,-35.15,-32.98,9.02,-4.27,2.93,90.55,-29.23,58.06,16.19,60.09,-41.69,-46.79,-32.16,-26.6,-33.37,20.29,-6.43,41.33,505.85,22.09,358.26,-19.15,-55.4,187.42,-96.03,-35.61,-9.93,-61.61,1391.39,42.97,-52.11,-29.26,-52.62,86.66
Zysk operacyjny (EBIT),,,,,-59.73,-12.11,194.6,115.53,309.14,110.5,-41.2,58.37,-133.43,-33.07,-97.8,12.32,144.59,-16.66,4246.91,-4.54,-326.32,44.55,-120.31,42.0,423.75,289.13,951.75,-45.48,34.72,-152.56,-325.32,12.32,304.36,187.82,147.43,-9.35,-43.23,156.41,25.05,3.77,7.3,-32.32,-34.97,-12.39,-94.71,-17.48,-99.43,-14.23,460.3,25.63,-400.0,-9.38,21.48,124.75,11474.44,-40.87,-20.56,-30.6,53.46,170.1,207.78,-141.83,-41.2,21.55,15.16,613.97,-13.74,-53.34,-112.17,-88.98,82.45,37.15,817.13,465.59,-17.37,86.8
Przychody finansowe,,,,,-48.25,-80.67,10.17,-139.07,53.38,101.21,-41.54,1544.95,53.43,-29.66,-12.41,-71.46,163.9,-98.86,23.18,-113.79,-70.7,9250.0,-34.49,2871.77,-46.28,1928.07,141.49,-9.98,109.23,-96.81,-38.33,-64.25,193.38,295.04,-61.43,-73.69,-13.53,-73.54,160.19,-32.65,-47.68,98.42,50.18,55.1,305.54,-220.12,-51.42,61.51,-61.82,190.88,648.78,-215.07,225.04,-4.93,-46.91,-4.25,-77.38,-72.17,90.43,194.4,158.88,471.72,16.43,-11.33,-70.86,-17.85,-85.45,-42.19,0.32,-42.14,333.84,-332.28,-9.65,24.62,-44.61,206.34
