,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,16372.0,17877.0,24212.0,29441.0,20042.0,27546.0,36558.0,53365.0,31829.0,34754.0,21211.0,92486.0,48481.0,67628.0,55295.0,145832.0,52701.0,54445.0,51435.0,82150.0,41010.0,60221.0,48157.0,110529.0,53827.0,115337.0,91079.0,168775.0,86499.0,91666.0,84190.0,128427.0,145510.0,117514.0,105024.0,155288.0,126193.0,150972.0,135276.0,169401.0,136459.0,161093.0,139201.0,277794.0,92118.0,126809.0,100817.0,243912.0,142194.0,122200.0,112696.0,163963.0,119846.0,158411.0,153013.0,246649.0,121283.0,148326.0,184644.0,280517.0,141275.0,111611.0,156653.0,311338.0,171434.0,245460.0,162878.0,241149.0,128901.0,162624.0,197383.0,261647.0,215145.0,232071.0,169984.0,380303.0
Techniczny koszt wytworzenia produkcji sprzedanej,7679.0,8440.0,19483.0,17428.0,11799.0,15130.0,21671.0,31495.0,19192.0,19670.0,12195.0,65159.0,33479.0,55491.0,40811.0,109599.0,34627.0,31912.0,26986.0,44307.0,27719.0,40168.0,34169.0,66848.0,34197.0,71900.0,53586.0,123865.0,55649.0,65519.0,60647.0,89046.0,92294.0,83232.0,68756.0,117507.0,86003.0,101375.0,95084.0,114808.0,91506.0,120572.0,104632.0,223113.0,64742.0,95515.0,73970.0,192440.0,104481.0,86217.0,82091.0,114921.0,85020.0,102805.0,109705.0,182962.0,85022.0,93915.0,128220.0,200774.0,92262.0,85864.0,108363.0,237336.0,117788.0,163932.0,119006.0,179476.0,92517.0,117877.0,140586.0,180872.0,158699.0,169683.0,115645.0,277562.0
Koszty sprzedaży,3104.0,3909.0,1023.0,3134.0,2983.0,5240.0,3635.0,4721.0,4771.0,5508.0,2812.0,4080.0,7626.0,3608.0,5719.0,6004.0,8451.0,9487.0,10399.0,12031.0,5936.0,6466.0,4840.0,7565.0,6036.0,12302.0,13260.0,10864.0,10185.0,12376.0,11015.0,10865.0,13658.0,12944.0,12820.0,9786.0,11456.0,17892.0,16554.0,15565.0,13951.0,13276.0,13840.0,20356.0,12091.0,13584.0,11341.0,18136.0,14003.0,11395.0,12782.0,15558.0,14802.0,17153.0,18683.0,27186.0,16462.0,20678.0,22560.0,29563.0,19334.0,16411.0,21244.0,34340.0,21703.0,26901.0,23634.0,28469.0,21325.0,24417.0,25256.0,38336.0,24469.0,23104.0,25575.0,41154.0
Koszty ogólnego zarządu,3168.0,3506.0,3399.0,4343.0,4419.0,6565.0,5203.0,6359.0,3926.0,5950.0,2921.0,8530.0,8903.0,6231.0,8890.0,12154.0,8946.0,10838.0,10917.0,9392.0,8745.0,11153.0,9703.0,11993.0,9687.0,17864.0,17262.0,22235.0,15409.0,20220.0,16543.0,15985.0,15097.0,16259.0,17062.0,18321.0,15109.0,17988.0,15432.0,24434.0,14764.0,17944.0,17045.0,23399.0,16070.0,18118.0,15616.0,21840.0,19833.0,18037.0,18489.0,17234.0,14899.0,17129.0,15055.0,26964.0,16472.0,19494.0,18331.0,28812.0,18804.0,16794.0,17208.0,18306.0,17729.0,18281.0,16244.0,23240.0,17413.0,16472.0,16124.0,26629.0,19205.0,19240.0,16966.0,30218.0
Zysk ze sprzedaży,2421.0,2022.0,307.0,4536.0,841.0,611.0,6049.0,10790.0,3940.0,3626.0,3283.0,14717.0,-1527.0,2298.0,-125.0,18075.0,677.0,2208.0,3133.0,16420.0,-1390.0,2434.0,-555.0,24123.0,3907.0,13271.0,6971.0,11811.0,5256.0,-6449.0,-4015.0,12531.0,24461.0,5079.0,6386.0,9674.0,13625.0,13717.0,8206.0,14594.0,16238.0,9301.0,3684.0,10926.0,-785.0,-408.0,-110.0,11496.0,3877.0,6551.0,-666.0,16250.0,5125.0,21324.0,9570.0,9537.0,3327.0,14239.0,15533.0,21368.0,10875.0,-7458.0,9838.0,21356.0,14214.0,36346.0,3994.0,9964.0,-2354.0,3858.0,15417.0,15810.0,12772.0,20044.0,11798.0,31369.0
Pozostałe przychody operacyjne,342.0,1024.0,2054.0,-392.0,286.0,1618.0,538.0,581.0,322.0,473.0,442.0,328.0,395.0,387.0,370.0,157.0,152.0,1048.0,1492.0,306.0,115.0,766.0,192.0,630.0,782.0,716.0,1044.0,1514.0,1181.0,1481.0,4019.0,4186.0,2368.0,1904.0,1571.0,4926.0,1634.0,2051.0,1616.0,3345.0,1345.0,1653.0,2700.0,3792.0,4140.0,9683.0,1264.0,4532.0,2443.0,5654.0,1882.0,2575.0,1413.0,1484.0,1553.0,3009.0,1732.0,2319.0,1006.0,3151.0,6785.0,3359.0,3198.0,4262.0,3127.0,1599.0,4125.0,3464.0,2180.0,1980.0,1373.0,2918.0,1527.0,1475.0,1282.0,3604.0
Pozostałe koszty operacyjne,210.0,1073.0,232.0,-229.0,99.0,495.0,315.0,1946.0,56.0,449.0,37.0,119.0,274.0,242.0,164.0,1467.0,202.0,1220.0,1104.0,722.0,144.0,257.0,352.0,2027.0,95.0,2535.0,1925.0,935.0,248.0,1051.0,13726.0,2801.0,1803.0,1697.0,1449.0,1985.0,1051.0,2214.0,1684.0,4848.0,2338.0,1781.0,1092.0,3249.0,2549.0,1705.0,1124.0,6191.0,1804.0,2695.0,1306.0,9911.0,1052.0,1434.0,886.0,7275.0,701.0,1725.0,829.0,10282.0,4247.0,2106.0,3799.0,8313.0,1894.0,6053.0,151.0,5353.0,1706.0,2324.0,2252.0,7653.0,817.0,1644.0,1067.0,14285.0
Zysk operacyjny (EBIT),2553.0,1973.0,2129.0,4373.0,1028.0,1734.0,6272.0,9425.0,4206.0,3650.0,3688.0,14926.0,-1406.0,2443.0,81.0,16765.0,627.0,2036.0,3521.0,16004.0,-1419.0,2943.0,-715.0,22726.0,4594.0,11452.0,6090.0,12390.0,6189.0,-6019.0,-13722.0,13916.0,25026.0,5286.0,6508.0,12615.0,14208.0,13554.0,8138.0,13091.0,15245.0,9173.0,5292.0,11469.0,806.0,7570.0,30.0,9837.0,4516.0,9510.0,-90.0,8914.0,5486.0,21374.0,10237.0,5271.0,4358.0,14833.0,15710.0,14237.0,13413.0,-6205.0,9237.0,17305.0,15447.0,31892.0,7968.0,8075.0,-1880.0,3514.0,14538.0,11075.0,13482.0,19875.0,12013.0,20688.0
Przychody finansowe,257.0,1283.0,413.0,558.0,133.0,248.0,455.0,-218.0,204.0,499.0,266.0,3150.0,313.0,351.0,233.0,899.0,826.0,4.0,287.0,-124.0,242.0,374.0,188.0,3437.0,130.0,7585.0,454.0,3094.0,272.0,242.0,280.0,1106.0,798.0,956.0,108.0,291.0,690.0,253.0,281.0,196.0,361.0,502.0,422.0,304.0,1464.0,-603.0,205.0,491.0,559.0,548.0,1535.0,-565.0,1817.0,521.0,815.0,-589.0,411.0,145.0,1552.0,556.0,1064.0,829.0,1807.0,493.0,310.0,681.0,263.0,285.0,311.0,394.0,1141.0,-662.0,281.0,491.0,632.0,704.0
