,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2004/Q1,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,66384.0,74021.0,102911.0,72068.0,194990.0,96454.0,90370.0,122057.0,182669.0,98376.0,172033.0,140435.0,170204.0,110332.0,163897.0,115162.0,311574.0,159691.0,163774.0,174055.0,231883.0,145714.0,174351.0,177310.0,263986.0,147466.0,151922.0,203206.0,282018.0,165268.0,189613.0,166440.0,362555.0,188145.0,203556.0,233482.0,313793.0,208714.0,220963.0,244758.0,363916.0,246333.0,259108.0,223415.0,402724.0,243156.0,273269.0,223965.0,372423.0,242236.0,248829.0,260504.0,350951.0,271989.0,332019.0,345311.0,420300.0,338688.0,327800.0,354478.0,416457.0,377818.0,330966.0,353675.0,473979.0,383979.0,337367.0,385901.0,519902.0,416344.0,426323.0,471129.0,544919.0,427605.0,394925.0,453449.0,539860.0
Techniczny koszt wytworzenia produkcji sprzedanej,48142.0,59148.0,83339.0,51050.0,160415.0,66918.0,66904.0,96562.0,140460.0,71543.0,142861.0,110172.0,126114.0,85738.0,127743.0,96439.0,241101.0,138665.0,145095.0,138579.0,168379.0,121932.0,135612.0,138586.0,189067.0,124347.0,139293.0,147615.0,183135.0,135809.0,141451.0,138011.0,273108.0,150568.0,159124.0,197345.0,222066.0,165712.0,167288.0,164122.0,233853.0,182860.0,177396.0,166219.0,264967.0,182103.0,184286.0,176424.0,221787.0,200368.0,200142.0,202636.0,229604.0,215447.0,245884.0,253901.0,292810.0,258165.0,235602.0,214206.0,308725.0,268880.0,245836.0,251094.0,318003.0,273851.0,254489.0,254915.0,365048.0,300598.0,328350.0,321469.0,419142.0,339273.0,317642.0,319012.0,411282.0
Koszty sprzedaży,7761.0,7292.0,8232.0,8091.0,9945.0,9640.0,8286.0,8709.0,12554.0,9892.0,9010.0,9790.0,15678.0,10381.0,12467.0,8303.0,18087.0,18415.0,19744.0,15067.0,17568.0,17006.0,19854.0,19212.0,28205.0,18786.0,24089.0,12020.0,27419.0,18743.0,20799.0,16980.0,28874.0,22726.0,23627.0,21585.0,30994.0,22313.0,25450.0,23437.0,40186.0,24627.0,32185.0,30567.0,42141.0,26658.0,36339.0,28338.0,39995.0,31877.0,31361.0,27159.0,44132.0,27393.0,34289.0,29958.0,47777.0,28454.0,36936.0,32661.0,47494.0,29637.0,31865.0,30048.0,51678.0,31242.0,33514.0,35399.0,52390.0,37090.0,46823.0,39628.0,69755.0,40540.0,47571.0,43548.0,70737.0
Koszty ogólnego zarządu,6057.0,5700.0,6649.0,5717.0,8397.0,7186.0,7356.0,7826.0,10597.0,7273.0,7643.0,8308.0,13255.0,8410.0,17062.0,8548.0,12773.0,9166.0,10867.0,11780.0,20036.0,8372.0,13534.0,9212.0,21856.0,12429.0,11656.0,20956.0,29005.0,13977.0,17288.0,16041.0,25989.0,12773.0,18169.0,17084.0,24057.0,14458.0,14739.0,18127.0,28195.0,18122.0,22022.0,23653.0,29449.0,20328.0,20463.0,21551.0,39724.0,20225.0,24107.0,22340.0,31404.0,22014.0,21095.0,28294.0,34720.0,26468.0,31034.0,33243.0,37192.0,28193.0,29225.0,29960.0,39451.0,29525.0,24535.0,30902.0,44925.0,31793.0,27385.0,43969.0,39897.0,30851.0,29919.0,35061.0,46246.0
Zysk ze sprzedaży,4424.0,1881.0,4691.0,7210.0,16233.0,12710.0,7824.0,8960.0,19058.0,9668.0,12519.0,12165.0,15157.0,5803.0,6625.0,1872.0,39613.0,-6555.0,-11932.0,8629.0,25900.0,-1596.0,5351.0,10300.0,24858.0,-8096.0,-23116.0,22615.0,42459.0,-3261.0,10075.0,-4592.0,34584.0,2078.0,2636.0,-2532.0,36676.0,6231.0,13486.0,39072.0,61682.0,20724.0,27505.0,2976.0,66167.0,14067.0,32181.0,-2348.0,70917.0,-10234.0,-6781.0,8369.0,45811.0,7135.0,30751.0,33158.0,44993.0,25601.0,24228.0,74368.0,23046.0,51108.0,24040.0,42573.0,64847.0,49361.0,24829.0,64685.0,57539.0,46863.0,23765.0,66063.0,16125.0,16941.0,-207.0,55828.0,11595.0
Pozostałe przychody operacyjne,349.0,67.0,506.0,661.0,-389.0,286.0,18.0,140.0,566.0,281.0,469.0,494.0,777.0,431.0,53.0,250.0,1553.0,1526.0,2076.0,2345.0,2289.0,755.0,1131.0,699.0,2072.0,1054.0,8836.0,709.0,12622.0,3565.0,3948.0,4149.0,4637.0,2609.0,5061.0,952.0,3088.0,3130.0,652.0,1081.0,3911.0,1822.0,-277.0,4698.0,14606.0,5079.0,3330.0,27129.0,3525.0,1428.0,14636.0,1434.0,175.0,1409.0,13924.0,2745.0,2082.0,9960.0,9955.0,4207.0,10198.0,6366.0,8252.0,20674.0,16477.0,3750.0,7172.0,2880.0,7702.0,5414.0,13453.0,5148.0,7110.0,6923.0,13930.0,1732.0,20026.0
Pozostałe koszty operacyjne,323.0,417.0,1506.0,672.0,909.0,3470.0,-1865.0,237.0,2169.0,1094.0,2810.0,2815.0,805.0,671.0,2093.0,1372.0,6145.0,884.0,2907.0,2592.0,-6383.0,2301.0,8789.0,1311.0,-6859.0,387.0,3213.0,-1471.0,15325.0,4533.0,5408.0,4934.0,7463.0,3242.0,6214.0,1265.0,5401.0,1599.0,1077.0,7122.0,20918.0,3617.0,1817.0,3209.0,16550.0,6880.0,12568.0,14295.0,3244.0,2479.0,872.0,2648.0,13065.0,7976.0,10244.0,8845.0,21589.0,14617.0,8970.0,12366.0,2227.0,12560.0,5423.0,17135.0,91711.0,6883.0,13382.0,8650.0,1776.0,9461.0,8888.0,10900.0,7086.0,4588.0,9191.0,1094.0,15634.0
Zysk operacyjny (EBIT),4450.0,1531.0,3691.0,7199.0,14935.0,9526.0,9707.0,8863.0,17455.0,8855.0,10178.0,9844.0,15129.0,5563.0,4585.0,750.0,35021.0,-5913.0,-12763.0,8382.0,34572.0,-3142.0,-2307.0,9688.0,33789.0,-7429.0,-17493.0,24795.0,39756.0,-4229.0,8615.0,-5377.0,31758.0,1445.0,1483.0,-2845.0,34363.0,7762.0,13061.0,33031.0,44675.0,18929.0,25411.0,4465.0,64223.0,12266.0,22943.0,10486.0,71198.0,-11285.0,6983.0,7155.0,32921.0,568.0,34431.0,27058.0,25486.0,20944.0,25213.0,66209.0,31017.0,44914.0,26869.0,46112.0,-10387.0,46228.0,18619.0,58915.0,63465.0,42816.0,28330.0,60311.0,16149.0,19276.0,4532.0,56466.0,15987.0
Przychody finansowe,-368.0,-576.0,-1422.0,-1332.0,-851.0,6918.0,-504.0,246.0,-229.0,482.0,-603.0,-414.0,-1214.0,189944.0,2245.0,3272.0,3183.0,-984.0,2121.0,2245.0,1180.0,1171.0,414.0,1190.0,-2575.0,1594.0,1134.0,-2704.0,987.0,8110.0,-1607.0,2743.0,-253.0,-809.0,-2232.0,4138.0,1219.0,-43.0,176.0,-3584.0,-1508.0,3897.0,-3987.0,-963.0,-597.0,1600.0,-5637.0,9305.0,-9077.0,20889.0,4052.0,-4671.0,11597.0,-2663.0,-18252.0,12852.0,-5888.0,-1590.0,1536.0,-12273.0,11313.0,-23935.0,9049.0,-3054.0,-8558.0,-6760.0,17935.0,-15111.0,-9001.0,540.0,-13865.0,-18581.0,37667.0,10788.0,30307.0,-15318.0,30277.0
