,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,12679.0,15945.0,7130.0,10862.0,10466.0,8826.0,13046.0,9292.0,4292.0,6165.0,3028.0,3243.0,4086.0,3752.0,4520.0,1522.0,3945.0,3274.0,3779.0,4069.0,4672.0,4374.0,4806.0,4883.0,4726.0,4979.0,4925.0,5392.0,5239.0,5093.0,4791.0,4801.0,7494.0,5025.0,4457.0,4509.0,1133.0,8835.0,34719.0,2147.0,4903.0,4701.0,4548.0,4407.0,4826.0,4886.0,4477.0,4891.0,5294.0,5448.0,4777.0,2239.0,2545.0,25.0,21519.0,0.0
Techniczny koszt wytworzenia produkcji sprzedanej,8054.0,14372.0,3173.0,-1441.0,6128.0,4338.0,21604.0,-2349.0,1676.0,9246.0,2966.0,16756.0,3868.0,4791.0,3093.0,-2323.0,570.0,690.0,467.0,1921.0,556.0,470.0,653.0,1820.0,574.0,624.0,668.0,185.0,950.0,586.0,563.0,423.0,3167.0,627.0,525.0,302.0,93.0,1273.0,2782.0,209.0,1154.0,1110.0,560.0,307.0,478.0,786.0,703.0,1055.0,395.0,-354.0,368.0,2207.0,2737.0,2707.0,800.0,436.0
Koszty sprzedaży,185.0,216.0,214.0,342.0,383.0,556.0,576.0,484.0,297.0,663.0,195.0,232.0,43.0,9.0,101.0,-34.0,24.0,109.0,101.0,327.0,56.0,85.0,76.0,117.0,107.0,106.0,100.0,114.0,121.0,207.0,112.0,182.0,73.0,124.0,386.0,428.0,14.0,102.0,41.0,190.0,37.0,88.0,26.0,119.0,6.0,4.0,10.0,283.0,0.0,79.0,23.0,19.0,37.0,0.0,-3.0,8.0
Koszty ogólnego zarządu,9084.0,15086.0,9920.0,15893.0,13507.0,9478.0,11174.0,12284.0,9243.0,9747.0,6937.0,-4462.0,5875.0,4435.0,6236.0,9494.0,5351.0,3631.0,11570.0,-175.0,6156.0,4772.0,4732.0,5061.0,3834.0,3426.0,3819.0,4352.0,4904.0,2627.0,3769.0,3828.0,3214.0,3938.0,3602.0,4574.0,997.0,2498.0,9163.0,4950.0,4723.0,3875.0,4918.0,4988.0,4161.0,4465.0,4190.0,4340.0,3777.0,6180.0,3013.0,-1784.0,4145.0,1567.0,-5712.0,0.0
Zysk ze sprzedaży,-4644.0,-13729.0,-6177.0,-3932.0,-9552.0,-5546.0,-20308.0,-1127.0,-6924.0,-13491.0,-7070.0,-9283.0,-5700.0,-5483.0,-4910.0,-5615.0,-2000.0,-1156.0,-8359.0,1996.0,-2096.0,-953.0,-655.0,-2115.0,211.0,823.0,338.0,741.0,-736.0,1673.0,347.0,368.0,1040.0,336.0,-56.0,-795.0,29.0,4962.0,22733.0,-3202.0,-1011.0,-372.0,-956.0,-1007.0,181.0,-369.0,-426.0,-787.0,1122.0,-457.0,1373.0,1797.0,-4374.0,-4249.0,26434.0,-444.0
Pozostałe przychody operacyjne,152.0,3013.0,-750.0,16502.0,175.0,74.0,11664.0,-11270.0,14.0,564.0,904.0,821.0,3014.0,1189.0,-3652.0,-13244.0,-873.0,-1883.0,60788.0,57157.0,-6319.0,7883.0,924.0,61503.0,653.0,2466.0,-5100.0,10770.0,-4701.0,4986.0,8255.0,14616.0,12530.0,6509.0,-5051.0,-24583.0,1273.0,29977.0,14208.0,-4993.0,8800.0,3366.0,5745.0,20651.0,22992.0,-2793.0,6448.0,9479.0,7562.0,-37432.0,17915.0,25599.0,5525.0,2398.0,-7921.0,0.0
Pozostałe koszty operacyjne,15218.0,-10933.0,20983.0,-19943.0,162.0,2846.0,-3008.0,246967.0,4708.0,88734.0,1167.0,39814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,35.0,-389.0,52.0
Zysk operacyjny (EBIT),-19710.0,217.0,-27910.0,32513.0,-9539.0,-8318.0,-5636.0,-259364.0,-11618.0,-101661.0,-7333.0,-48276.0,-2686.0,-4294.0,-8562.0,-18859.0,-2873.0,-3039.0,52429.0,59153.0,-8415.0,6930.0,269.0,59388.0,864.0,3289.0,-4762.0,11511.0,-5437.0,6659.0,8602.0,14984.0,13570.0,6845.0,-5107.0,-25378.0,1302.0,34939.0,36941.0,-8195.0,7789.0,2994.0,4789.0,19644.0,23173.0,-3162.0,6022.0,8692.0,8684.0,-37889.0,19288.0,27396.0,797.0,-1886.0,18902.0,-496.0
Przychody finansowe,24935.0,-24666.0,20830.0,2866.0,150.0,391.0,4495.0,169.0,9638.0,-626.0,480.0,-452.0,156.0,100.0,71.0,582.0,82.0,74.0,300.0,9278.0,39109.0,-32242.0,1966.0,-207.0,2999.0,1974.0,284.0,2889.0,5782.0,154.0,-1619.0,3649.0,366.0,363.0,210.0,613.0,100.0,1348.0,-840.0,1013.0,327.0,221.0,75.0,764.0,191.0,1969.0,-1631.0,265.0,110.0,319.0,871.0,-298.0,908.0,124.0,-431.0,0.0
Koszty finansowe,1747.0,6759.0,-2918.0,487.0,1827.0,1295.0,3886.0,1956.0,1894.0,1113.0,940.0,1744.0,2581.0,4690.0,-1020.0,791.0,2246.0,1544.0,1946.0,4810.0,3665.0,3839.0,2715.0,3161.0,5639.0,6065.0,-1096.0,5967.0,8100.0,1685.0,2932.0,1698.0,2145.0,5020.0,-805.0,2257.0,265.0,1861.0,2554.0,95.0,7326.0,5518.0,2173.0,-2276.0,1702.0,189.0,1242.0,603.0,2118.0,1186.0,3859.0,-6272.0,216.0,0.0,3123.0,0.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
