,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,26.57,52.08,73.83,60.55,72.62,123.47,17.77,7.1,5.03,-22.7,-12.91,21.45,51.09,12.87,11.28,-34.4,-10.82,13.54,160.73,65.07,89.64,54.42,-27.13,109.62,23.97,9.83,68.3,-30.17,4.2,-15.27,-49.46,-23.79,-23.71,-32.0,-15.5,-26.97,10.26,-21.09,-11.64,33.99,6.23,122.25,71.92,35.5,1.7,-5.66,-11.02,8.67,17.01,-2.4,10.92,-2.59,19.59,13.25,23.64,-18.86,35.73,37.66,62.03,38.86
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,40.83,52.72,77.26,59.96,102.03,142.94,13.03,16.72,-2.26,-29.57,-18.55,25.07,72.61,26.06,23.77,-40.93,-16.01,13.66,159.32,71.61,90.73,59.15,-28.17,116.67,27.26,7.66,72.19,-25.79,8.38,-11.55,-49.65,-24.11,-26.75,-37.64,-15.14,-34.79,19.57,-38.31,-14.28,38.74,-8.53,195.65,76.48,13.8,9.8,-40.58,-33.56,21.34,0.43,32.67,23.62,5.48,29.1,4.57,33.38,-17.68,38.66,48.37,75.67,37.0
Koszty sprzedaży,,,,,-8.87,346.67,57.88,-5.85,17.12,123.51,46.87,86.41,3.32,-17.53,1.26,-52.4,3.05,-107.29,-42.28,-135.45,96.72,755.56,181.89,994.44,26.01,349.58,-10.64,4.49,-32.85,-31.48,12.23,-19.48,-16.87,17.33,18.45,9.43,26.38,32.36,-18.4,-21.06,3.84,2.21,0.4,50.24,-4.81,28.08,30.15,-11.82,-0.72,-24.36,-6.81,3.37,12.0,32.92,14.95,13.73,-31.49,8.55,-21.41,15.0,-10.31,-87.17,-72.93,-116.17
Koszty ogólnego zarządu,,,,,11.36,27.49,74.15,46.46,-3.64,38.3,29.15,-42.27,68.43,19.18,-12.31,40.86,-62.96,-6.8,24.96,58.71,71.82,58.17,19.73,-30.19,73.37,-37.3,5.42,13.85,57.58,-10.43,83.09,7.14,-33.25,6.86,-42.03,-18.53,0.87,40.37,5.13,-2.79,34.04,-36.94,-25.44,3.61,-39.7,26.59,21.05,-14.38,18.27,42.1,166.9,114.6,140.92,69.95,-1.14,47.33,36.64,18.37,11.43,-19.79,26.69,16.58,-31.81,-94.86
Zysk ze sprzedaży,,,,,6.49,46.46,42.42,88.58,9.82,60.6,65.83,-44.0,35.77,13.0,32.86,3.9,7.1,-24.09,-48.14,40.23,-15.69,-12.65,243.0,18.33,136.29,43.06,-25.51,116.93,15.65,50.19,40.62,-77.59,-10.1,-51.41,-61.65,-40.94,-12.8,-1.72,-29.13,239.41,-68.97,127.86,38.18,3.53,531.69,-19.06,59.14,284.49,-35.96,289.98,216.71,-34.88,115.69,-56.67,-19.78,-60.03,-11.77,47.28,-4.82,-50.15,28.92,29.03,35.63,417.33
Pozostałe przychody operacyjne,,,,,235.0,-15.51,-95.32,-21.28,-55.97,-79.71,1254.55,437.84,-10.17,1452.38,20.13,-45.48,115.09,-49.08,-8.38,-2.76,0.0,446.39,-4.88,337.44,228.95,-81.26,142.31,-91.44,-66.67,-36.76,-59.26,525.32,68.8,149.3,66.23,-6.07,-6.16,13.25,1.56,-15.09,685.35,-195.39,4.23,-66.24,-74.6,287.05,22.14,78.95,5618.48,-24.47,184.29,3829.83,-90.62,132.27,417.53,-64.19,-72.39,-68.11,-92.03,-277.99,327.01,1814.03,-258.25,-240.46
Pozostałe koszty operacyjne,,,,,,2480.0,,328.63,-100.0,-60.47,-91.67,-74.0,,1764.71,2000.0,-31.85,-50.0,-60.04,38.1,-28.14,-80.33,206.32,100.0,428.67,2541.67,-94.42,1634.48,438.23,41.01,881.54,-97.61,-50.75,-53.24,-17.71,195.83,-63.52,-95.69,-72.0,14.08,-43.37,3944.44,19.05,-95.06,23.91,17.03,310.86,3600.0,904.09,3802.82,406.82,3243.92,29.16,-84.01,-76.73,-93.51,-55.51,-90.78,-50.0,165.73,58.45,502.45,-133.02,-99.41,-87.14
Zysk operacyjny (EBIT),,,,,12.62,30.61,15.43,48.92,4.79,54.64,76.25,-18.77,24.78,4.71,31.33,-0.22,14.6,-19.19,-46.54,42.15,-12.74,10.82,222.45,21.06,125.47,23.02,-37.75,3.42,5.45,29.39,69.02,-93.11,-2.86,-47.25,-59.41,187.91,-8.01,14.66,-27.18,352.16,-37.47,70.56,39.28,-6.58,195.64,-0.89,49.4,180.51,54.05,210.12,92.99,28.47,-15.18,-42.87,88.72,-65.8,-2.38,32.76,-40.33,-315.18,35.8,121.02,35.77,-28.88
Przychody finansowe,,,,,135.29,90.0,1133.33,-90.7,235.0,-44.44,-39.82,1200.0,16.42,207.37,-70.06,165.0,50.96,-3.77,235.0,-29.46,-16.99,24.56,-1.49,-57.61,-37.85,-48.86,-29.7,14.08,10.29,28.49,-11.64,7.23,-48.51,-35.22,-23.41,205.56,-7.97,-5.37,394.27,-82.34,-27.56,35.46,-87.89,-36.03,3.26,-52.88,-45.74,5.75,387.37,-292.22,-223.53,60.87,-41.68,647.4,119.05,112.84,363.33,-96.62,1433.33,-375.56,-99.76,21.88,-53.26,105.18
