,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,5656.0,8716.0,12095.0,17354.0,7159.0,13255.0,21025.0,27861.0,12358.0,29621.0,24761.0,29840.0,12980.0,22896.0,21564.0,36241.0,19611.0,25842.0,23997.0,23774.0,17489.0,29342.0,62568.0,39243.0,33167.0,45310.0,45596.0,82261.0,41116.0,49765.0,76737.0,57441.0,42844.0,42164.0,38781.0,43775.0,32685.0,28673.0,32769.0,31970.0,36040.0,22627.0,28954.0,42837.0,38284.0,50289.0,49778.0,58042.0,38935.0,47445.0,44290.0,63076.0,45558.0,46304.0,49127.0,61442.0,54481.0,52438.0,60740.0,49851.0,73945.0,72185.0,98419.0,69222.0
Techniczny koszt wytworzenia produkcji sprzedanej,3490.0,6618.0,10488.0,13945.0,4915.0,10107.0,18591.0,22306.0,9930.0,24554.0,21014.0,26036.0,9706.0,17293.0,17116.0,32564.0,16754.0,21799.0,21184.0,19234.0,14071.0,24776.0,54934.0,33008.0,26838.0,39431.0,39458.0,71518.0,34155.0,42453.0,67941.0,53074.0,37017.0,37551.0,34207.0,40276.0,27115.0,23416.0,29027.0,26262.0,32421.0,14445.0,24883.0,36435.0,29656.0,42707.0,43914.0,41462.0,32562.0,25378.0,29178.0,50312.0,32701.0,33669.0,36070.0,53067.0,42218.0,35209.0,48111.0,43687.0,58540.0,52239.0,84516.0,59852.0
Koszty sprzedaży,564.0,60.0,273.0,547.0,514.0,268.0,431.0,515.0,602.0,599.0,633.0,960.0,622.0,494.0,641.0,457.0,641.0,-36.0,370.0,-162.0,1261.0,236.0,1043.0,1449.0,1589.0,1061.0,932.0,1514.0,1067.0,727.0,1046.0,1219.0,887.0,853.0,1239.0,1334.0,1121.0,1129.0,1011.0,1053.0,1164.0,1154.0,1015.0,1582.0,1108.0,1478.0,1321.0,1395.0,1100.0,1118.0,1231.0,1442.0,1232.0,1486.0,1415.0,1640.0,844.0,1613.0,1112.0,1886.0,757.0,207.0,301.0,-305.0
Koszty ogólnego zarządu,493.0,553.0,325.0,848.0,549.0,705.0,566.0,1242.0,529.0,975.0,731.0,717.0,891.0,1162.0,641.0,1010.0,330.0,1083.0,801.0,1603.0,567.0,1713.0,959.0,1119.0,983.0,1074.0,1011.0,1274.0,1549.0,962.0,1851.0,1365.0,1034.0,1028.0,1073.0,1112.0,1043.0,1443.0,1128.0,1081.0,1398.0,910.0,841.0,1120.0,843.0,1152.0,1018.0,959.0,997.0,1637.0,2717.0,2058.0,2402.0,2782.0,2686.0,3032.0,3282.0,3293.0,2993.0,2432.0,4158.0,3839.0,2041.0,125.0
Zysk ze sprzedaży,1109.0,1485.0,1009.0,2014.0,1181.0,2175.0,1437.0,3798.0,1297.0,3493.0,2383.0,2127.0,1761.0,3947.0,3166.0,2210.0,1886.0,2996.0,1642.0,3099.0,1590.0,2617.0,5632.0,3667.0,3757.0,3744.0,4195.0,7955.0,4345.0,5623.0,5899.0,1783.0,3906.0,2732.0,2262.0,1053.0,3406.0,2685.0,1603.0,3574.0,1057.0,6118.0,2215.0,3700.0,6677.0,4952.0,3525.0,14226.0,4276.0,19312.0,11164.0,9264.0,9223.0,8367.0,8956.0,3703.0,8137.0,12323.0,8524.0,1846.0,10490.0,15900.0,11561.0,9550.0
Pozostałe przychody operacyjne,40.0,245.0,235.0,94.0,134.0,207.0,11.0,74.0,59.0,42.0,149.0,398.0,53.0,652.0,179.0,217.0,114.0,332.0,164.0,211.0,114.0,1814.0,156.0,923.0,375.0,340.0,378.0,79.0,125.0,215.0,154.0,494.0,211.0,536.0,256.0,464.0,198.0,607.0,260.0,394.0,1555.0,-579.0,271.0,133.0,395.0,1083.0,331.0,238.0,22588.0,818.0,941.0,9353.0,2119.0,1900.0,4870.0,3349.0,585.0,606.0,388.0,-5961.0,2498.0,11599.0,-614.0,-20295.0
Pozostałe koszty operacyjne,0.0,5.0,0.0,262.0,21.0,129.0,12.0,1123.0,0.0,51.0,1.0,292.0,122.0,951.0,21.0,199.0,61.0,380.0,29.0,143.0,12.0,1164.0,58.0,756.0,317.0,65.0,1006.0,4069.0,447.0,638.0,24.0,2004.0,209.0,525.0,71.0,731.0,9.0,147.0,81.0,414.0,364.0,175.0,4.0,513.0,426.0,719.0,148.0,5151.0,16626.0,3644.0,4949.0,6653.0,2658.0,848.0,321.0,2960.0,245.0,424.0,853.0,4690.0,1476.0,-140.0,5.0,603.0
Zysk operacyjny (EBIT),1149.0,1725.0,1244.0,1846.0,1294.0,2253.0,1436.0,2749.0,1356.0,3484.0,2531.0,2233.0,1692.0,3648.0,3324.0,2228.0,1939.0,2948.0,1777.0,3167.0,1692.0,3267.0,5730.0,3834.0,3815.0,4019.0,3567.0,3965.0,4023.0,5200.0,6029.0,273.0,3908.0,2743.0,2447.0,786.0,3595.0,3145.0,1782.0,3554.0,2248.0,5364.0,2482.0,3320.0,6646.0,5316.0,3708.0,9313.0,10238.0,16486.0,7156.0,11964.0,8684.0,9419.0,13505.0,4092.0,8477.0,12505.0,8059.0,-8805.0,11512.0,27639.0,10942.0,-11348.0
Przychody finansowe,34.0,90.0,45.0,215.0,80.0,171.0,555.0,20.0,268.0,95.0,334.0,260.0,312.0,292.0,100.0,689.0,471.0,281.0,335.0,486.0,391.0,350.0,330.0,206.0,243.0,179.0,232.0,235.0,268.0,230.0,205.0,252.0,138.0,149.0,157.0,770.0,127.0,141.0,776.0,136.0,92.0,191.0,94.0,87.0,95.0,90.0,51.0,92.0,463.0,-173.0,-63.0,148.0,270.0,947.0,12.0,315.0,1251.0,32.0,184.0,-868.0,3.0,39.0,86.0,45.0
Koszty finansowe,66.0,122.0,108.0,297.0,168.0,94.0,185.0,47.0,140.0,291.0,181.0,234.0,316.0,457.0,478.0,565.0,513.0,716.0,675.0,798.0,654.0,634.0,605.0,953.0,873.0,660.0,636.0,753.0,578.0,1279.0,1130.0,1053.0,1034.0,1166.0,975.0,911.0,1090.0,1066.0,1258.0,959.0,1018.0,777.0,859.0,2132.0,880.0,2426.0,848.0,4311.0,912.0,876.0,877.0,2970.0,1057.0,1391.0,1126.0,2101.0,1596.0,3162.0,3187.0,2985.0,3923.0,3330.0,2732.0,2075.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-496.0,-446.0,942.0,-942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,1117.0,1693.0,1181.0,1764.0,1206.0,2330.0,1806.0,2722.0,1484.0,3288.0,2684.0,2259.0,1688.0,3483.0,2946.0,2352.0,1897.0,2513.0,1437.0,2855.0,1429.0,2983.0,5455.0,3087.0,3185.0,3538.0,3163.0,3447.0,3713.0,4151.0,5104.0,-528.0,3012.0,1726.0,1629.0,645.0,2632.0,2220.0,1300.0,2731.0,1322.0,4778.0,1717.0,1275.0,5861.0,2980.0,2911.0,5094.0,9789.0,15437.0,5720.0,8696.0,8839.0,8033.0,12391.0,2306.0,8132.0,9375.0,5056.0,-12658.0,7592.0,24348.0,8296.0,-13378.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1117.0,1693.0,1181.0,1764.0,1206.0,2330.0,1806.0,2722.0,1484.0,3288.0,2684.0,2259.0,1688.0,3483.0,2946.0,2352.0,1897.0,2513.0,1437.0,2855.0,1429.0,2983.0,5455.0,3087.0,3185.0,3538.0,3163.0,3447.0,3713.0,4151.0,5104.0,-528.0,3012.0,1726.0,1629.0,645.0,2632.0,2220.0,1300.0,2731.0,1322.0,4778.0,1717.0,1275.0,5861.0,2980.0,2911.0,5094.0,9789.0,15437.0,5720.0,8696.0,8839.0,8033.0,12391.0,2306.0,8132.0,9375.0,5056.0,-12658.0,7592.0,24348.0,8296.0,-13378.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
Zysk netto,913.0,1388.0,931.0,1392.0,991.0,1830.0,1454.0,2169.0,1208.0,2711.0,2191.0,1894.0,1350.0,2818.0,2301.0,2486.0,1503.0,2354.0,1924.0,1966.0,1714.0,2779.0,4293.0,2566.0,2886.0,3054.0,3108.0,2955.0,3020.0,3079.0,3783.0,307.0,2570.0,1443.0,1830.0,573.0,1901.0,2059.0,1573.0,2088.0,1573.0,2645.0,76.0,2423.0,4996.0,2209.0,2403.0,2575.0,4284.0,14432.0,3958.0,6038.0,7020.0,7981.0,9296.0,1653.0,6302.0,7603.0,3810.0,-14789.0,5710.0,21805.0,7381.0,-10402.0
Zysk netto akcjonariuszy jednostki dominującej,913.0,1388.0,931.0,1392.0,991.0,1830.0,1454.0,2169.0,1208.0,2711.0,2191.0,1894.0,1350.0,2818.0,2301.0,2486.0,1503.0,2354.0,1924.0,1966.0,1714.0,2520.0,4128.0,2415.0,2821.0,3038.0,3152.0,2856.0,2951.0,3102.0,3770.0,280.0,2475.0,1592.0,1756.0,583.0,1885.0,2030.0,1694.0,2019.0,1615.0,2870.0,76.0,2423.0,4996.0,2209.0,2403.0,2575.0,4284.0,14432.0,3958.0,6038.0,7020.0,7981.0,9296.0,1653.0,6302.0,7603.0,3810.0,-14789.0,5710.0,21805.0,7381.0,-10402.0
Aktywa trwałe,17645.0,21468.0,25780.0,30155.0,36526.0,38583.0,40203.0,42439.0,44278.0,45873.0,49801.0,93517.0,100254.0,76572.0,116603.0,122881.0,125618.0,114369.0,116217.0,113651.0,115558.0,121757.0,129409.0,134401.0,131266.0,141655.0,148335.0,167218.0,172304.0,173478.0,174804.0,182505.0,181870.0,182411.0,183799.0,186513.0,186557.0,186623.0,188080.0,188571.0,187418.0,175180.0,174447.0,175755.0,188171.0,189624.0,186221.0,183907.0,184090.0,223913.0,227138.0,208260.0,211706.0,208090.0,204995.0,204083.0,201145.0,212050.0,212562.0,158262.0,146183.0,87509.0,99644.0,96356.0
Wartości niematerialne i prawne,26.0,22.0,21.0,35.0,28.0,21.0,20.0,86.0,79.0,73.0,67.0,68.0,62.0,113.0,100.0,96.0,86.0,82.0,75.0,68.0,61.0,2211.0,2204.0,2519.0,2496.0,2473.0,2451.0,2429.0,2409.0,2451.0,2423.0,2394.0,2366.0,2357.0,3082.0,3017.0,2954.0,2992.0,2924.0,3015.0,2938.0,287.0,247.0,135.0,111.0,88.0,76.0,107.0,97.0,89.0,76.0,15167.0,14847.0,14937.0,14929.0,14843.0,14949.0,14838.0,14835.0,14814.0,14820.0,19261.0,14801.0,14837.0
Rzeczowe składniki majątku trwałego,17542.0,21369.0,25681.0,29210.0,35588.0,37655.0,39291.0,41174.0,43010.0,44667.0,48622.0,86215.0,92059.0,73243.0,107327.0,111374.0,114025.0,102197.0,103024.0,103395.0,104114.0,109080.0,113646.0,104428.0,101022.0,111308.0,114818.0,131740.0,137002.0,137879.0,140028.0,146414.0,145942.0,146173.0,146876.0,148985.0,149422.0,149337.0,151043.0,151469.0,150337.0,138006.0,137149.0,136487.0,122635.0,143787.0,144143.0,142395.0,140856.0,151963.0,151275.0,154465.0,153473.0,148809.0,147173.0,135878.0,150583.0,158676.0,158873.0,101743.0,84937.0,21681.0,36909.0,38127.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,1003.0,1003.0,1003.0,1003.0,1003.0,1004.0,1003.0,1456.0,1454.0,1524.0,5927.0,5833.0,5663.0,7164.0,5409.0,6067.0,6066.0,12605.0,14719.0,14838.0,9810.0,10849.0
Inwestycje długoterminowe,0.0,0.0,0.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,794.0,6853.0,7854.0,2794.0,8879.0,11028.0,11105.0,6000.0,12416.0,10069.0,11069.0,10164.0,13440.0,26794.0,27522.0,27647.0,30752.0,30752.0,31778.0,31409.0,30989.0,31965.0,31965.0,32001.0,31996.0,32038.0,31841.0,31830.0,31852.0,31820.0,31808.0,31776.0,31727.0,31745.0,31748.0,31768.0,31765.0,30484.0,30481.0,58592.0,57917.0,20978.0,20997.0,22139.0,22645.0,18623.0,18523.0,18576.0,18576.0,17327.0,17317.0,17330.0,19323.0,16368.0
Pozostałe aktywa trwałe,77.0,77.0,78.0,116.0,116.0,113.0,98.0,385.0,395.0,339.0,318.0,381.0,279.0,422.0,297.0,383.0,402.0,6090.0,702.0,119.0,314.0,302.0,119.0,660.0,226.0,227.0,314.0,2297.0,1115.0,1739.0,1364.0,1732.0,1597.0,1880.0,1845.0,2473.0,2340.0,2464.0,2261.0,2267.0,2335.0,4108.0,4321.0,6385.0,32674.0,12978.0,9234.0,9917.0,11653.0,11813.0,16416.0,16126.0,16462.0,16372.0,14585.0,27575.0,11681.0,13893.0,14212.0,11773.0,14390.0,14399.0,18801.0,16175.0
Aktywa obrotowe,12771.0,11091.0,20610.0,22536.0,22367.0,21188.0,18236.0,28470.0,49881.0,65213.0,55155.0,65909.0,60624.0,56159.0,55435.0,70072.0,58776.0,81602.0,78800.0,77331.0,80095.0,88024.0,91513.0,103485.0,96425.0,110891.0,116049.0,119155.0,140700.0,153381.0,162927.0,135200.0,135301.0,140363.0,145194.0,146571.0,136586.0,141581.0,146049.0,148916.0,168972.0,203027.0,195880.0,201723.0,208947.0,200925.0,183690.0,194104.0,208928.0,250850.0,263233.0,315946.0,284301.0,297456.0,320223.0,324530.0,324711.0,318030.0,339457.0,350068.0,411252.0,418906.0,472219.0,440788.0
Zapasy,3577.0,4000.0,4295.0,3330.0,5210.0,6103.0,5573.0,6319.0,8257.0,9663.0,8678.0,9700.0,10705.0,11095.0,11139.0,13484.0,12862.0,12908.0,9802.0,10318.0,11595.0,16062.0,16331.0,16682.0,16224.0,18904.0,17624.0,17010.0,18541.0,21631.0,20073.0,21102.0,34134.0,36252.0,38458.0,41404.0,39383.0,46841.0,55073.0,58072.0,64104.0,50359.0,51043.0,54874.0,58217.0,42630.0,33094.0,28609.0,26532.0,26664.0,28318.0,14935.0,16001.0,16437.0,21035.0,17752.0,18391.0,21694.0,19775.0,18041.0,24070.0,16217.0,32707.0,25266.0
Należności krótkoterminowe,6067.0,5337.0,4849.0,9248.0,8643.0,4970.0,7202.0,10604.0,8171.0,21670.0,17785.0,19977.0,22725.0,18832.0,20454.0,26136.0,16091.0,22100.0,24554.0,31302.0,32994.0,36278.0,25178.0,39107.0,39566.0,42965.0,44724.0,45689.0,50734.0,70575.0,82361.0,49811.0,51145.0,56873.0,64912.0,65466.0,64135.0,52431.0,53153.0,53947.0,68865.0,78146.0,89256.0,96131.0,109999.0,123470.0,118435.0,137057.0,161068.0,210837.0,226200.0,248378.0,257950.0,271967.0,282065.0,287460.0,294263.0,282615.0,310006.0,316065.0,375579.0,390203.0,420420.0,364961.0
