,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,45.0,22.09,19.23,15.7,77.88,73.04,81.42,25.26,25.37,27.75,60.81,67.36,33.78,31.2,5.32,5.53,77.5,83.64,54.69,93.63,-41.12,-44.5,-47.22,-54.1,-57.23,-62.96,-45.99,-50.52,86.84,130.45,56.98,65.69,-5.67,-7.34,-20.56,10.5,-15.88,-13.92,-0.23,-7.53,-7.71,-12.12,21.9,-5.78,4.3,-12.74,-24.22,13.84,14.85,49.46,50.67,15.25,6.22,4.96,5.56,-11.09,-0.2,9.81,-15.42,-8.42
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,28.37,8.91,10.93,18.41,59.46,131.65,85.16,-8.71,26.38,21.62,60.8,86.31,38.89,17.09,6.06,15.44,79.17,63.84,55.67,45.96,-41.28,-46.46,-39.86,-24.86,-42.17,-49.76,-37.51,-46.49,65.83,94.62,30.35,23.57,-4.85,-9.09,-28.56,7.05,-20.75,-15.89,7.46,-4.68,-11.27,-7.17,19.43,-0.41,5.93,-22.86,-22.02,12.69,16.78,57.0,55.03,23.53,6.86,4.43,-3.96,-17.96,-4.91,11.32,-10.14,-10.88
Koszty sprzedaży,,,,,85.08,52.31,46.35,-15.81,123.59,-59.87,85.49,386.18,15.19,65.05,8.1,-2.48,35.97,165.77,14.0,-3.81,125.53,242.47,110.39,57.4,-44.86,-11.37,-37.94,-74.38,-63.96,-66.97,-62.42,-21.9,126.21,92.6,160.17,149.65,-6.01,8.82,-8.53,-11.88,-6.76,-6.75,-1.1,2.11,5.62,-10.59,3.14,-1.63,2.05,-16.85,-19.0,-15.32,-13.44,22.66,24.11,30.55,8.9,19.71,12.74,-2.39,5.24,-3.37,-19.39,-2.7
Koszty ogólnego zarządu,,,,,-0.92,16.68,-13.34,-21.49,57.28,23.17,-7.29,-214.26,-53.41,56.3,212.04,135.68,106.2,38.2,-3.29,262.68,118.51,63.37,25.96,206.8,-38.61,-77.37,-11.84,169.81,-8.2,107.18,-21.18,-77.27,41.32,-2.62,14.4,8.05,2.12,-13.79,-8.26,-16.3,-12.49,7.01,12.03,-21.91,2.46,2.74,5.67,22.11,-11.06,6.99,-20.7,-4.27,-6.17,-19.15,10.67,-9.83,62.56,-30.45,103.61,60.58,17.16,135.08,-25.01,16.6
Zysk ze sprzedaży,,,,,540.14,79.37,76.88,529.13,109.57,76.06,135.42,-129.32,105.98,28.49,103.7,708.42,4.94,42.51,-1.0,-60.38,-17.19,51.62,2.94,1049.02,-26.48,-70.47,-134.16,-189.16,-162.82,-317.88,-10.24,68.76,7.43,101.65,-6.5,38.13,-14.4,-1126.0,15.11,144.32,16.55,-112.67,-58.29,-77.36,-35.99,-75.25,49.6,-797.25,13.58,53.29,-29.38,176.2,105.68,208.4,60.44,-114.48,-1406.45,0.21,-235.2,-763.57,-22.3,-98.14,17.37,-69.48
Pozostałe przychody operacyjne,,,,,-80.95,-78.26,-56.44,-50.0,633.33,240.0,-96.21,212.2,146.59,113.37,2060.0,-76.76,-58.99,-31.58,550.0,510.08,3500.0,-205.13,-86.47,468.04,-91.98,223.34,192.63,-73.01,218.29,-49.72,-49.64,127.85,-67.36,-15.17,177.86,-106.23,33.71,149.67,152.19,1471.52,144.26,-5.57,-54.23,-113.47,496.79,1258.99,55.01,3092.47,-88.72,-82.99,63.07,-97.44,-54.17,-6.68,-89.07,209.82,67.66,-23.44,43.55,-37.61,48.34,-70.58,10.67,2.77
Pozostałe koszty operacyjne,,,,,45.45,1500.0,58.27,134.57,4493.75,17.5,-68.18,-96.1,-83.13,-107.98,-47.14,1903.12,-84.68,840.0,1129.73,-121.37,5842.11,-1018.92,9.67,7778.1,-92.65,1186.76,-283.37,45.18,428.92,-96.16,195.63,-84.73,-7.74,-23.94,-46.17,-2.79,-43.21,116.05,-44.37,276.67,50.87,-30.0,52.67,167.47,-2.31,24.08,-44.75,102.65,260.18,75.99,403.62,-92.29,-58.07,-58.97,-30.46,-85.69,-57.03,46.92,-57.88,150.68,45.0,-7.91,-4.29,-67.53
Zysk operacyjny (EBIT),,,,,366.49,10.12,20.45,247.28,39.01,97.44,153.04,-84.35,219.32,52.94,113.66,1690.0,4.26,26.03,3.05,-0.61,30.97,66.51,-11.7,132.15,-51.12,-271.34,-107.58,-670.02,-144.61,64.84,-691.36,88.41,-33.44,96.25,22.92,-55.39,3.45,-579.67,58.06,-31.35,43.74,-46.53,-199.74,-312.16,442.79,289.22,69.11,-69.14,-176.38,-149.18,-112.48,93.87,93.39,213.77,16.96,101.81,-556.0,-29.61,-73.77,-4883.72,-15.45,-144.14,17.7,1.8
Przychody finansowe,,,,,376.92,5233.33,-8.44,182.41,132.26,143.51,227.3,63.77,-9.03,-39.6,-17.33,-3.6,69.47,32.89,213.76,155.56,-38.89,-32.89,-81.41,-8.25,42.51,-105.45,12.81,500.18,996.38,-27936.36,-82.47,-99.33,-86.04,94.62,-282.95,-195.6,-91.78,164.16,148.45,5195.4,12.33,-34.27,-107.69,-99.8,-24.39,-99.29,2883.33,4422.22,-16.13,74000.0,-30.54,-34.4,2580.77,19.7,-1018.97,922.85,-97.42,-99.89,290.99,-60.34,10019.44,-91400.0,-130.94,10.99
