,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Period,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,36.9,,359.05,-74.82,-82.48,-15.87,-53.53,-103.51,16.92,-73.58,136.61,7233.33,300.0,-72.62,-21.51,134.58,-32.89,2204.35,-2.16,-39.64,64.71,30.94,-63.39,-8.91,-46.43,-16.28,647.65,196.56,600.56,563.51,243.18,314.36,174.78,175.56,53.52,59.56,20.72,31.59,30.84,-30.62,-23.05,-26.04,-40.63,1.84
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,635.42,791.78,352.94,108.7,56.94,23.2,47.79,16.9,164.26,94.39,94.99,152.57,5.33,65.17,-4.55,20.97,51.23,1.75,30.97,-1.59,49.96,24.89,21.56,-12.58,-16.07,9.5,10.2,65.69,66.58,41.17,45.53,56.94,79.91,45.49,70.1,74.1,32.49,1533.84,32.24,11.29,40.6,-97.86,-17.55,-33.8
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-91.93,-273.97,-343.08,-361.51,-2816.67,-77.29,-217.36,-46.61,-183.84,-204.75,-84.79,-108.96,10.81,-73.02,-0.77,1.93,-71.89,18.1,-39.07,-16.76,-48.54,-23.35,-36.16,13.49,12.84,-16.45,19.27,-31.34,-31.69,59.93,39.09,95.62,-46.94,371.32,-110.09,-889.26,-40.14,-3355.36,-34.71,-390.23,-76.23,107.31,-21.96,79.41
Pozostałe przychody operacyjne,,,,,,,,4800.0,,,,-32.65,,1100.0,-70.64,-96.97,283.33,-100.0,-100.0,2400.0,-47.83,,,28.0,33.33,256.52,244.44,209.38,337.5,109.76,-29.03,2132.32,8.57,61.63,-64.77,-99.05,-167.11,162.23,270.97,557.14,235.29,-84.77,-15.65,-419.57,31192.75,-19227.93,568.04,141.27
Pozostałe koszty operacyjne,,,,,,,,120.0,0.0,14.29,866.67,83.64,116.67,262.5,-34.48,-93.07,115.38,-65.52,-76.32,5042.86,-32.14,290.0,388.89,-91.11,15.79,-41.03,4672.73,2943.75,3354.55,3395.65,-59.62,-93.94,-83.16,-110.32,-96.58,-62.71,-99.22,100.0,-100.0,-95.45,200.0,,,520900.0,100.0,14300.0,,-58.89
Zysk operacyjny (EBIT),,,,,-94.62,-283.56,-352.31,-390.04,-4225.0,-75.0,-193.54,-55.08,-181.82,-202.04,-96.41,-96.4,10.9,-73.11,-0.94,-13.53,-71.76,17.8,-38.81,-0.58,-48.34,-19.61,-118.91,-22.5,-8.78,-44.26,35.33,79.48,-6.82,76.83,52.91,80.03,-46.28,574.23,-103.1,-768.85,-37.56,-2759.15,-36.52,-986.7,213.71,82.43,-54.11,72.5
Przychody finansowe,,,,,,,,-50.0,0.0,-33.33,0.0,100.0,1000.0,-200.0,100.0,6650.0,581.82,5800.0,3450.0,-22.22,-26.67,-56.14,-40.85,-67.62,83.64,-16.0,-30.95,-85.29,-84.16,-35.71,-79.31,700.0,1381.25,-203.7,-1716.67,-257.5,68.78,-1035.71,424.74,284.13,-28.5,74.84,140.63,214.66,111.54,540.0,-41.42,-143.56
Koszty finansowe,,,,,,,,100.0,100.0,200.0,1700.0,750.0,100.0,0.0,-77.78,-88.24,300.0,716.67,400.0,-4100.0,375.0,100.0,-10.0,152.5,-65.79,-77.55,-200.0,-123.81,-92.31,-100.0,100.0,720.0,250.0,,,22.58,228.57,116.67,-22.22,-84.21,-52.17,0.0,57.14,216.67,190.91,815.38,-672.73,244.74
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-94.62,-282.19,-352.31,-389.26,-4233.33,-77.06,-199.32,-57.0,-179.84,-201.21,-92.84,-81.62,14.7,-67.81,2.18,-11.82,-82.09,13.74,-41.63,-9.27,-43.41,-16.02,-119.14,-21.48,-10.96,-44.34,34.86,78.64,-0.55,75.71,49.67,58.77,-45.1,518.04,-72.11,-266.28,-42.43,-3002.05,-25.28,-1070.71,226.13,82.67,-71.8,69.1
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-94.62,-282.19,-352.31,-389.26,-4233.33,-77.06,-199.32,-57.0,-179.84,-201.21,-92.84,-81.62,14.7,-67.81,2.18,-11.82,-82.09,13.74,-41.63,-9.27,-43.41,-16.02,-119.14,-21.48,-10.96,-44.34,34.86,78.64,-0.55,75.71,49.67,58.77,-45.1,518.04,-72.11,-266.28,-42.43,-3002.05,-25.28,-1070.71,226.13,82.67,-71.8,69.1
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-93.63,-283.56,-359.38,-365.0,-3915.38,-80.36,-199.32,-56.17,-179.84,-199.41,-92.84,-84.48,14.7,-65.81,2.12,-12.9,-82.09,14.08,-40.94,-10.98,243.88,-303.57,-121.23,-19.82,-210.64,58.5,35.18,78.29,-0.64,73.09,49.0,-392.43,-44.93,477.14,-69.8,181.7,-45.55,-2023.98,-594.19,-823.09,158.67,75.06,59.56,64.45
Zysk netto akcjonariuszy jednostki dominującej,,,,,-93.63,-283.56,-359.38,-365.0,-3915.38,-80.36,-199.32,-56.17,-179.84,-199.41,-92.84,-84.48,14.7,-65.81,2.12,-12.9,-82.09,14.08,-40.94,-10.98,-43.88,-15.55,-121.23,-19.82,-10.64,-44.96,35.18,78.29,-0.64,73.09,49.0,71.25,-44.93,477.14,-85.57,1644.62,-45.55,-2023.98,-535.19,-755.13,158.67,75.06,59.56,64.45
Aktywa trwałe,,,,,,,44.49,50.27,53.62,45.59,-2.36,-12.22,-22.05,-8.51,-14.91,16.35,113.77,82.54,153.42,149.59,42.32,72.69,55.73,32.67,47.54,45.71,52.33,44.27,54.33,51.76,50.99,60.42,58.72,63.97,66.6,71.32,68.35,80.1,120.67,110.88,109.2,335.26,156.92,57.32,36.59,-49.31,-41.36,-29.8
Wartości niematerialne i prawne,,,,,,,34.87,58.32,49.28,40.17,-9.36,-30.38,-30.82,-14.18,-31.8,21.82,149.5,94.26,221.88,125.97,38.81,74.04,55.34,70.74,55.46,45.47,57.88,47.58,57.67,69.2,61.08,53.68,53.14,57.07,61.19,66.52,62.68,76.28,76.85,62.72,72.78,58.7,64.87,22.94,20.75,-7.12,-21.45,-2.15
Rzeczowe składniki majątku trwałego,,,,,,,,-32.79,90.32,92.73,95.83,295.12,32.2,27.36,94.68,3.09,-1.92,32.59,-13.11,-0.6,25.49,25.14,34.59,15.06,-9.9,-30.36,-35.98,-36.13,-32.37,-24.36,-29.2,459.84,435.04,361.86,393.81,113.76,142.01,150.64,150.52,-19.86,-34.65,-24.16,59.08,33.42,51.31,22.88,-43.37,-44.97
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,1.43,292.86,147.14,143.66,143.66,-84.73,-75.72,-76.3,-76.3,-2.38,-2.38,0.0,0.0,-100.0,-100.0,-100.0,-100.0,,,,,,,0.0
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,1100.0,-100.0,,,133.33,,,,-14.29,,,,16.67,,,,-85.71,,,,-25.0,-50.0,100.0,14.29,266.67,1700.0,225.0,37.5,263.64,-100.0,-100.0,33609.09,16855.0,,,562.97,139.72,79.27,-72.83,-61.96,-61.84
Aktywa obrotowe,,,,,,,230.82,-3.1,73.87,-7.63,-16.78,275.21,-10.33,239.09,1818.24,648.4,972.51,205.58,-32.0,-36.22,-40.91,-45.61,-52.14,18.11,11.6,12.33,3.18,-70.78,-22.77,-33.42,-37.87,231.22,19.03,54.46,146.56,363.13,442.83,508.28,408.86,-18.42,-20.51,-23.68,26.32,12.05,1.63,-13.72,-57.25,-64.52
Zapasy,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,
