,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,23706.0,34148.0,47472.0,42604.0,38739.0,42889.0,56966.0,51873.0,52927.0,55993.0,68557.0,71928.0,71854.0,71579.0,86873.0,73769.0,71743.0,69404.0,78041.0,68278.0,55778.0,62369.0,79634.0,65489.0,64440.0,72459.0,90276.0,74423.0,71441.0,75319.0,83509.0,71736.0,66283.0,75703.0,80041.0,72188.0,66677.0,69087.0,77283.0,59577.0,49384.0,47645.0,54134.0,46745.0,47086.0,53460.0,56389.0,51602.0,54026.0,59714.0,65294.0,55711.0,64207.0,69131.0,75259.0,68973.0,72485.0,78994.0,83521.0,71290.0,86737.0,78637.0,108181.0,97254.0,109701.0,124504.0,126365.0,120015.0,142435.0,135223.0,141701.0,126357.0,152170.0,142550.0,144902.0,131314.0
Techniczny koszt wytworzenia produkcji sprzedanej,13515.0,17360.0,26554.0,23900.0,22392.0,23794.0,31258.0,30179.0,29112.0,32220.0,38969.0,46302.0,43709.0,45651.0,52963.0,45419.0,39995.0,37222.0,45571.0,40255.0,34898.0,38280.0,45729.0,43454.0,40932.0,46830.0,52125.0,47493.0,44225.0,49995.0,54014.0,42851.0,43273.0,48565.0,51511.0,46444.0,45745.0,44791.0,52722.0,36955.0,31288.0,29558.0,35778.0,29760.0,30997.0,34207.0,36483.0,35534.0,37013.0,39631.0,43819.0,38929.0,43607.0,47125.0,49517.0,46163.0,46054.0,51945.0,54666.0,47615.0,54517.0,46220.0,60330.0,57405.0,62557.0,76644.0,80538.0,76457.0,95520.0,91508.0,98336.0,82615.0,99342.0,94417.0,88204.0,79370.0
Koszty sprzedaży,5418.0,8198.0,10869.0,11799.0,9626.0,10911.0,13115.0,13823.0,14269.0,13102.0,13943.0,15585.0,15970.0,16450.0,19488.0,17297.0,18245.0,17462.0,16954.0,17880.0,17014.0,18803.0,18386.0,18968.0,19566.0,18163.0,25731.0,19590.0,19865.0,18648.0,18676.0,18184.0,16480.0,17063.0,17307.0,21626.0,16310.0,18766.0,15870.0,18164.0,12094.0,13238.0,12615.0,13135.0,11311.0,12197.0,11166.0,11652.0,12339.0,12751.0,12923.0,13151.0,13777.0,13983.0,14389.0,15264.0,14462.0,15437.0,16135.0,15122.0,16493.0,14766.0,18402.0,18797.0,18784.0,23009.0,22456.0,24911.0,24004.0,29423.0,27573.0,28942.0,27373.0,25206.0,25858.0,26861.0
Koszty ogólnego zarządu,1068.0,2251.0,1975.0,1852.0,2060.0,2941.0,2619.0,2458.0,2581.0,3725.0,3153.0,5306.0,4380.0,5290.0,2915.0,2904.0,3495.0,3403.0,3775.0,3729.0,3129.0,3246.0,3391.0,4122.0,3386.0,3068.0,2794.0,3165.0,2751.0,3037.0,2193.0,2812.0,2521.0,2785.0,2338.0,4324.0,2329.0,2870.0,2133.0,3365.0,2069.0,1866.0,1899.0,2149.0,2115.0,2046.0,2242.0,1950.0,2080.0,2554.0,2075.0,2263.0,2320.0,2260.0,2491.0,2923.0,2699.0,2732.0,3126.0,3343.0,3122.0,2715.0,3533.0,2814.0,3521.0,3758.0,4022.0,4279.0,4095.0,4029.0,3933.0,4795.0,4436.0,4814.0,5166.0,5655.0
Zysk ze sprzedaży,3705.0,6339.0,8074.0,5053.0,4661.0,5243.0,9974.0,5413.0,6965.0,6946.0,12492.0,4735.0,7795.0,4188.0,11507.0,8149.0,10008.0,11317.0,11741.0,6414.0,737.0,2040.0,12128.0,-1055.0,556.0,4398.0,9626.0,4175.0,4600.0,3639.0,8626.0,7889.0,4009.0,7290.0,8885.0,-206.0,2293.0,2660.0,6558.0,1093.0,3933.0,2983.0,3842.0,1701.0,2663.0,5010.0,6498.0,2466.0,2594.0,4778.0,6477.0,1368.0,4503.0,5763.0,8862.0,4623.0,9270.0,8880.0,9594.0,5210.0,12605.0,14936.0,25916.0,18238.0,24839.0,21093.0,19349.0,14368.0,18816.0,10263.0,11859.0,10005.0,21019.0,18113.0,25674.0,19428.0
Pozostałe przychody operacyjne,110.0,1205.0,770.0,-491.0,1298.0,1197.0,-499.0,201.0,221.0,294.0,1190.0,-23.0,536.0,98.0,558.0,723.0,793.0,152.0,879.0,1597.0,1380.0,1604.0,-1202.0,3841.0,986.0,1106.0,130.0,981.0,917.0,2025.0,1459.0,2012.0,949.0,616.0,1094.0,99.0,482.0,580.0,1428.0,-841.0,138.0,433.0,853.0,3023.0,910.0,230.0,1660.0,1300.0,1123.0,1670.0,288.0,859.0,544.0,799.0,1193.0,1500.0,564.0,193.0,487.0,1327.0,230.0,2166.0,2611.0,1078.0,467.0,5178.0,518.0,1933.0,395.0,1906.0,204.0,9885.0,1202.0,1272.0,952.0,1908.0
Pozostałe koszty operacyjne,9.0,388.0,98.0,817.0,1167.0,569.0,481.0,1061.0,867.0,1495.0,1685.0,1224.0,1420.0,-108.0,767.0,754.0,1306.0,4029.0,4346.0,5463.0,1829.0,1223.0,3176.0,4399.0,1138.0,1596.0,2687.0,2246.0,1862.0,3490.0,3195.0,7047.0,1789.0,1871.0,2619.0,-2242.0,571.0,924.0,1735.0,875.0,914.0,1034.0,3581.0,1560.0,1070.0,748.0,1256.0,1021.0,529.0,2149.0,1386.0,175.0,507.0,1614.0,2794.0,2858.0,827.0,90.0,1190.0,1430.0,1464.0,230.0,5379.0,1344.0,838.0,1069.0,7.0,2135.0,855.0,685.0,-147.0,6942.0,1507.0,1336.0,470.0,2155.0
Zysk operacyjny (EBIT),3806.0,7156.0,8746.0,3745.0,4792.0,5871.0,8994.0,4553.0,6319.0,5745.0,11997.0,3488.0,6911.0,4394.0,11298.0,8118.0,9495.0,7440.0,8274.0,2548.0,288.0,2421.0,7750.0,-1613.0,404.0,3908.0,7069.0,2910.0,3655.0,2174.0,6890.0,2854.0,3169.0,6035.0,7360.0,2135.0,2204.0,2316.0,6251.0,-623.0,3157.0,2382.0,1114.0,3164.0,2503.0,4492.0,6902.0,2745.0,3188.0,4299.0,5379.0,2052.0,4540.0,4948.0,7261.0,3265.0,9007.0,8983.0,8891.0,5107.0,11371.0,16872.0,23148.0,17972.0,24468.0,25202.0,19860.0,14166.0,18356.0,11484.0,12210.0,12948.0,20714.0,18049.0,26156.0,19181.0
Przychody finansowe,-270.0,893.0,-578.0,1406.0,967.0,-1449.0,1794.0,-564.0,286.0,-565.0,-1580.0,-1504.0,-29.0,1029.0,-6393.0,-24534.0,-17258.0,5134.0,3317.0,-2516.0,956.0,-7921.0,1182.0,621.0,701.0,-319.0,-10339.0,-2027.0,3414.0,-4011.0,782.0,-154.0,64.0,-3051.0,-1486.0,-2089.0,-7972.0,-30.0,-2243.0,-7132.0,35.0,-1902.0,-1027.0,-291.0,150.0,119.0,251.0,248.0,784.0,-518.0,-76.0,399.0,2969.0,-696.0,-69.0,50.0,0.0,1.0,0.0,42.0,1.0,1.0,594.0,380.0,229.0,-229.0,0.0,0.0,337.0,-337.0,0.0,0.0,531.0,4209.0,-1587.0,3064.0
Koszty finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,1616.0,2119.0,-2472.0,168.0,257.0,452.0,-82.0,176.0,268.0,240.0,254.0,265.0,526.0,353.0,-85.0,337.0,290.0,-107.0,133.0,74.0,674.0,-373.0,1517.0,195.0,2061.0,984.0,2917.0,743.0,1348.0,1866.0,307.0
