,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,56.94,291.84,5160.32,3569.75,1911.5,401.56,-60.27,21.61,56.71,115.06,63.16,-35.09
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,21.59,135.26,1250.0,1180.22,556.52,470.57,-35.88,79.91,64.24,75.26,57.22,-36.08
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-5.16,129.31,2034.67,2307.21,382.82,-1088.24,-91.59,-61.55,27.11,380.95,121.31,-28.45
Pozostałe przychody operacyjne,,,,,,-94.74,,500.0,,0.0,,-100.0,3600.0,-100.0,,
Pozostałe koszty operacyjne,,,,,,,,,,-100.0,,7000.0,-38.46,,400.0,-76.06
Zysk operacyjny (EBIT),,,,,-5.16,143.59,2034.67,2331.82,367.48,-1082.35,-91.63,-64.52,39.22,379.64,120.58,-24.57
Przychody finansowe,,,,,,,,,,,659.52,-654.76,-100.0,-100.0,-100.0,100.0
Koszty finansowe,,,,,,,-200.0,23100.0,,-100.0,100.0,-99.57,,,,31400.0
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-5.16,141.03,2050.33,2064.86,489.57,443.75,-80.92,-74.64,-22.68,188.51,24.2,-38.16
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-5.16,141.03,2050.33,2064.86,489.57,443.75,-80.92,-74.64,-22.68,188.51,24.2,-38.16
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,,,,-5.16,141.03,1910.6,1978.38,453.99,456.25,-80.47,-89.5,-29.12,149.44,24.72,-48.86
Zysk netto akcjonariuszy jednostki dominującej,,,,,-5.16,141.03,1910.6,1978.38,453.99,456.25,-80.47,-89.5,-29.12,149.44,24.72,-48.86
Aktywa trwałe,,,,,,,,,,,-7.38,70.75,46.86,36.36,23.01,34.26
