,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,72.0,98.0,126.0,162.0,113.0,384.0,6628.0,5945.0,2273.0,1926.0,2633.0,7230.0,3562.0,4142.0,4296.0,4693.0
Techniczny koszt wytworzenia produkcji sprzedanej,227.0,156.0,276.0,273.0,276.0,367.0,3726.0,3495.0,1812.0,2094.0,2389.0,6288.0,2976.0,3670.0,3756.0,4019.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-155.0,-58.0,-150.0,-111.0,-163.0,17.0,2902.0,2450.0,461.0,-168.0,244.0,942.0,586.0,472.0,540.0,674.0
Pozostałe przychody operacyjne,0.0,19.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,37.0,0.0,1.0,0.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,1.0,71.0,16.0,5.0,5.0,17.0
Zysk operacyjny (EBIT),-155.0,-39.0,-150.0,-110.0,-163.0,17.0,2902.0,2455.0,436.0,-167.0,243.0,871.0,607.0,467.0,536.0,657.0
Przychody finansowe,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-42.0,199.0,254.0,319.0,-317.0,0.0,0.0,0.0,0.0
Koszty finansowe,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,232.0,0.0,0.0,0.0,1.0,116.0,216.0,-162.0,315.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-155.0,-39.0,-151.0,-111.0,-163.0,16.0,2945.0,2181.0,635.0,87.0,562.0,553.0,491.0,251.0,698.0,342.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-155.0,-39.0,-151.0,-111.0,-163.0,16.0,2945.0,2181.0,635.0,87.0,562.0,553.0,491.0,251.0,698.0,342.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-155.0,-39.0,-151.0,-111.0,-163.0,16.0,2734.0,2085.0,577.0,89.0,534.0,219.0,409.0,222.0,666.0,112.0
Zysk netto akcjonariuszy jednostki dominującej,-155.0,-39.0,-151.0,-111.0,-163.0,16.0,2734.0,2085.0,577.0,89.0,534.0,219.0,409.0,222.0,666.0,112.0
Aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,244.0,147.0,207.0,220.0,226.0,251.0,304.0,300.0,278.0,337.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,131.0,113.0,132.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,188.0,175.0,152.0,147.0,130.0,158.0,143.0,119.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,244.0,29.0,19.0,45.0,74.0,104.0,24.0,11.0,22.0,86.0
Aktywa obrotowe,1676.0,1632.0,3709.0,3566.0,3434.0,3532.0,9997.0,9126.0,9787.0,9959.0,11574.0,11943.0,12085.0,11812.0,12251.0,12460.0
Zapasy,929.0,1186.0,1480.0,1861.0,2262.0,2672.0,2553.0,2923.0,3359.0,3843.0,3333.0,3729.0,4556.0,5123.0,6575.0,8460.0
Należności krótkoterminowe,66.0,66.0,73.0,45.0,137.0,246.0,7088.0,1560.0,1177.0,1237.0,4026.0,3008.0,2439.0,2477.0,2708.0,2357.0
Inwestycje krótkoterminowe,681.0,380.0,2156.0,1658.0,1029.0,609.0,211.0,4570.0,5185.0,4820.0,4143.0,5150.0,5030.0,4151.0,2860.0,1564.0
Środki pieniężne i inne aktywa pieniężne,681.0,380.0,2156.0,1658.0,1029.0,609.0,211.0,4570.0,5185.0,4820.0,4143.0,5150.0,5030.0,4151.0,2860.0,1564.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,2.0,6.0,5.0,145.0,73.0,66.0,59.0,72.0,56.0,60.0,61.0,108.0,79.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1676.0,1632.0,3709.0,3566.0,3434.0,3532.0,10241.0,9273.0,9994.0,10179.0,11800.0,12194.0,12389.0,12112.0,12529.0,12797.0
Kapitał własny akcjonariuszy jednostki dominującej,1533.0,1494.0,3540.0,3429.0,3266.0,3283.0,6016.0,8101.0,8065.0,8154.0,9740.0,9532.0,9916.0,10034.0,10601.0,10714.0
Kapitał (fundusz) podstawowy,85.0,85.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129.0,-228.0,-228.0
Kapitał (fundusz) zapasowy,2196.0,1603.0,3777.0,3777.0,3777.0,3777.0,3777.0,3777.0,3777.0,3777.0,7993.0,7993.0,6993.0,8540.0,8639.0,8639.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,10.0,24.0,35.0,39.0,52.0,115.0,919.0,585.0,906.0,659.0,1293.0,1979.0,1830.0,1428.0,1321.0,1377.0
Kredyty i pożyczki,108.0,108.0,113.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
