,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,55.21,1.5,-0.69,-44.81,-28.54,-17.78,-51.21,68.29,-16.12,-25.59,-13.33,-49.16,-87.38,2.23,75.95,124.61,613.85,12.33,51.41,10.02,52.97,-26.92,-59.49,-10.77,-9.83,35.94,29.37,23.59,-63.49,-3.19,21.28,82.67,91.74,44.93,12.53,18.15,-18.73,41.04,12.37,27.66,80.05,35.1,8.4,3.45,159.58,-45.23,45.85,-32.27,-40.52,91.92,-6.31,33.99,157.18,-26.53,-8.73,-37.97,-10.02,78.85,-3.41,82.72,13.07,-24.81,1.79,23.31
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,48.83,-9.98,-9.86,-48.7,-25.81,9.99,-26.52,132.14,4.26,-25.46,-24.43,-53.58,-87.18,-5.45,56.98,109.79,548.47,22.43,79.72,25.49,57.7,-19.69,-58.35,-13.54,1.08,46.03,20.14,29.29,-67.35,-15.69,30.73,80.85,97.93,50.92,7.83,14.98,-18.95,28.61,5.2,22.79,64.04,36.79,11.58,3.48,168.53,-49.84,40.24,-36.86,-42.22,95.46,-11.13,33.79,146.15,-29.58,-11.55,-36.57,-9.51,96.2,7.59,74.45,14.47,-27.38,-4.84,25.64
Koszty sprzedaży,,,,,13.31,12.53,42.65,130.41,-17.64,-42.96,-31.22,-4.74,27.63,33.28,1.77,11.24,6.15,49.8,49.72,39.56,15.52,-1.47,19.41,8.17,18.58,2.56,-1.99,-5.97,-10.48,1.44,7.69,-0.01,11.07,19.64,8.02,21.31,0.48,-3.17,-0.21,19.0,31.46,21.75,28.55,46.16,16.39,27.85,17.92,-10.13,1.89,-15.54,-10.91,-2.42,-13.39,-7.0,-1.79,0.35,0.64,16.88,-4.23,22.83,9.24,21.45,30.87,0.25,25.33,5.89,4.33,-28.21
Koszty ogólnego zarządu,,,,,20.68,39.07,9.49,-23.35,-30.34,-33.45,-34.35,-22.83,-6.87,0.22,12.03,-3.91,13.71,4.52,1.18,-9.28,-2.37,7.2,-4.16,21.82,-11.2,-12.07,-7.41,-3.62,8.83,11.91,18.19,8.32,13.85,-4.22,-5.01,10.66,1.11,11.8,29.34,39.75,-7.99,20.71,27.73,53.81,74.22,54.13,17.49,-13.96,18.8,-10.81,12.32,23.69,13.17,18.36,8.4,0.53,12.79,4.74,15.28,23.06,11.6,50.25,22.69,16.18,12.81,-4.85,8.32,10.86
Zysk ze sprzedaży,,,,,87.43,17.31,13.29,-51.48,-34.61,-55.74,-95.36,-16.83,-68.7,-42.14,193.51,-57.64,-192.64,25.14,276.2,436.31,223.12,-18.79,-7.67,-35.24,81.54,-90.71,-90.98,0.31,-66.44,-158.69,337.05,8.46,-144.86,1368.65,-17.17,132.58,253.01,61.6,59.82,28.25,-104.24,157.48,46.6,39.78,7060.77,25.24,-17.1,8.43,339.83,-44.05,145.19,-29.07,-51.0,151.83,6.73,48.4,327.73,-30.93,-8.84,-58.65,-15.63,50.49,-57.89,175.67,8.23,-27.73,46.03,25.62
Pozostałe przychody operacyjne,,,,,57.4,-44.74,-83.54,717.21,7.35,406.75,30.56,-11.83,50.54,-72.98,-14.23,-28.19,-21.13,-31.01,526.2,-101.09,-25.58,172.27,-77.75,5547.22,-57.47,9.88,-37.15,337.48,371.88,1012.78,446.13,-59.97,-63.85,-83.58,-63.38,-68.75,61.05,61.34,-81.67,-98.23,-49.53,276.37,-40.14,1373.68,62.67,-80.77,505.68,84.64,588.53,-68.27,223.45,313.73,-75.29,169.92,-40.66,-61.85,-20.57,95.62,112.12,-102.57,31.24,-26.13,28.11,58280.95,93.61,277.82,229.78,-52.01
Pozostałe koszty operacyjne,,,,,38.31,-13.67,-78.03,161.25,165.1,118.86,-359.55,-26.71,-36.15,-69.13,104.44,-62.56,-63.01,13.47,2360.32,31.54,489.38,17.46,-63.53,-24.85,54.58,-68.95,-3.89,83.78,107.67,372.82,-124.85,-51.37,-76.66,-29.85,652.1,42.71,52.1,-11.95,14.62,-5.0,-31.16,329.59,-19.04,70.83,68.33,-56.2,-57.93,4.03,90.51,6.17,219.36,44.59,-30.17,-19.36,-41.18,49.9,12.74,-34.67,-13.96,3.11,313.61,66.45,175.83,12.89,-65.35,228.64,72.33,-34.7
Zysk operacyjny (EBIT),,,,,87.38,18.44,18.88,-62.79,-35.09,-60.66,-90.18,-8.74,-67.43,-37.9,43.57,-47.31,-184.84,25.31,255.03,404.31,225.44,-20.23,-6.42,-32.09,77.96,-90.24,-93.57,11.55,-73.14,60.45,619.54,3.13,-164.27,340.96,-34.83,121.69,228.99,76.43,58.88,28.46,-112.93,150.87,54.0,38.73,2473.05,24.93,-13.06,8.81,367.07,-47.59,144.38,-31.57,-52.78,173.05,7.48,46.07,334.15,-29.21,-7.05,-65.44,-19.44,47.31,-59.98,249.68,13.47,-32.12,60.89,26.84
Przychody finansowe,,,,,25.67,-7.14,-61.01,66.43,-81.99,-80.75,-29.73,-74.26,-4.66,36.65,52.85,128.0,70.37,11.05,27.84,20.11,27.48,118.2,32.06,-50.32,-39.56,-54.56,-70.63,-85.67,330.36,-6.98,-13.26,169.67,-89.64,-44.87,-67.36,75.04,-20.25,-35.08,342.2,10.54,22.54,344.12,-46.27,0.73,-12.44,-63.74,69.83,10.64,103.25,131.51,55.73,33.25,33.48,39.55,-60.26,-67.65,178.08,-74.06,87.04,363.14,126.94,2445.5,472.15,44.45,-19.11,-16.45,19.51,41.65
Koszty finansowe,,,,,-69.64,-34.46,-75.23,792.27,1531.33,418.0,3666.98,3.83,29.91,8.26,-7.04,-27.57,-55.61,-65.0,-36.48,-33.85,26.86,26.25,-18.41,-14.92,-25.98,-8.2,-27.08,26.36,-23.55,-9.87,61.51,-61.7,20.63,-45.65,-55.38,17.27,4.91,-47.04,-12.36,-30.69,-67.39,38.37,-24.94,8.92,16.27,-1.97,-49.62,10.23,155.76,63.25,282.39,70.05,100.64,892.36,79.47,-182.53,-6.86,-74.46,61.59,615.61,-26.39,55.06,-45.06,-4.6,-35.26,-79.69,-3.43,-22.93
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,84.9,17.96,16.49,-63.91,-39.95,-64.71,-93.66,-25.36,-71.17,-41.21,78.45,-40.02,-200.83,41.72,329.87,448.02,221.11,-17.56,-4.49,-33.93,78.71,-92.8,-95.39,6.25,-64.18,85.16,814.94,8.32,-155.93,399.27,-33.25,123.33,197.81,78.78,68.65,28.94,-115.39,154.75,53.67,38.52,2380.65,23.32,-11.24,8.81,367.67,-47.2,140.58,-31.58,-54.04,155.81,5.06,47.25,348.84,-26.51,-8.68,-67.92,-17.64,59.29,-54.28,268.84,12.87,-29.66,58.9,28.58
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,84.9,17.96,16.49,-63.91,-39.95,-64.71,-93.66,-25.36,-71.17,-41.21,78.45,-40.02,-200.83,41.72,329.87,448.02,221.11,-17.56,-4.49,-33.93,78.71,-92.8,-95.39,6.25,-64.18,85.16,814.94,8.32,-155.93,399.27,-33.25,123.33,197.81,78.78,68.65,28.94,-115.39,154.75,53.67,38.52,2380.65,23.32,-11.24,8.81,367.67,-47.2,140.58,-31.58,-54.04,155.81,5.06,47.25,348.84,-26.51,-8.68,-67.92,-17.64,59.29,-54.28,268.84,12.87,-29.66,58.9,28.58
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,85.68,17.8,16.48,-67.07,-40.04,-64.92,-94.09,-19.2,-71.59,-41.51,86.0,-38.58,-203.65,42.27,336.07,453.32,219.01,-16.91,-2.83,-34.63,80.44,-93.35,-96.86,2.29,-64.87,64.04,1269.57,14.01,-158.58,518.41,-37.45,122.38,194.38,74.51,76.35,29.22,-119.75,166.03,54.42,36.75,1835.58,20.03,-15.74,10.27,381.17,-47.18,151.25,-33.49,-54.27,154.82,4.62,48.24,352.77,-26.65,-7.53,-68.9,-18.74,62.03,-55.33,281.46,11.98,-32.16,58.57,32.71
Zysk netto akcjonariuszy jednostki dominującej,,,,,85.68,17.81,16.49,-67.06,-40.03,-64.92,-94.08,-19.3,-71.6,-41.7,86.08,-38.82,-203.57,46.85,335.44,455.73,219.08,-19.18,-2.82,-34.68,80.59,-93.27,-96.83,1.87,-64.85,54.51,1255.86,13.85,-158.37,548.62,-37.47,123.66,194.76,74.5,76.26,29.17,-119.7,165.98,54.43,36.84,1837.6,20.03,-15.73,10.37,381.09,-47.18,151.23,-33.49,-54.27,154.81,4.62,48.24,352.76,-26.65,-6.76,-67.77,-18.77,62.03,-55.7,268.15,12.01,-32.16,58.59,32.68
Aktywa trwałe,,,,,9.93,-12.58,-31.46,-4.51,-7.05,-21.44,-26.72,-53.59,0.05,-45.27,-48.25,136.35,17.04,121.5,-22.29,-67.26,-61.33,-63.14,14.64,9.74,3.34,0.63,-1.23,-9.07,-7.51,9.94,15.98,75.59,68.82,53.4,85.5,42.28,39.19,38.07,14.01,9.62,7.18,42.3,40.17,50.1,65.54,13.87,82.24,62.22,159.89,177.88,81.61,37.86,-14.69,-20.37,-22.18,2.78,2.14,10.96,57.6,55.73,50.83,77.05,32.22,59.09,41.38,22.98,20.09,-10.63
