,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,171877.0,230009.0,272672.0,204195.0,266768.0,233458.0,270800.0,112688.0,190628.0,191954.0,132134.0,189647.0,159902.0,142832.0,114523.0,96422.0,20175.0,146018.0,201501.0,216572.0,144019.0,164028.0,305096.0,238270.0,220313.0,119877.0,123590.0,212597.0,198660.0,162960.0,159888.0,262756.0,72526.0,157769.0,193912.0,479988.0,139058.0,228657.0,218211.0,567090.0,113011.0,322505.0,245201.0,723966.0,203480.0,435713.0,265786.0,748954.0,528187.0,238654.0,387645.0,507235.0,314141.0,458020.0,363191.0,679660.0,807913.0,336510.0,331497.0,421571.0,726979.0,601846.0,320189.0,770294.0,822009.0,452508.0,325918.0,949878.0
Techniczny koszt wytworzenia produkcji sprzedanej,108855.0,141614.0,169478.0,125719.0,162007.0,127476.0,152760.0,64495.0,120193.0,140205.0,112251.0,149716.0,125317.0,104511.0,84823.0,69494.0,16068.0,98814.0,133156.0,145789.0,104196.0,120976.0,239311.0,182952.0,164313.0,97156.0,99665.0,158182.0,166085.0,141873.0,119738.0,204519.0,54231.0,119610.0,156538.0,369869.0,107339.0,180517.0,168801.0,425287.0,86993.0,232171.0,177576.0,522207.0,142707.0,317577.0,198148.0,540392.0,383212.0,159285.0,277883.0,341221.0,221432.0,311336.0,246954.0,456511.0,545057.0,219228.0,218438.0,289584.0,493226.0,430129.0,235015.0,505167.0,564576.0,312367.0,223635.0,634684.0
Koszty sprzedaży,6647.0,7462.0,5648.0,2611.0,7532.0,8397.0,8057.0,6016.0,6203.0,4790.0,5542.0,5731.0,7917.0,6384.0,5640.0,6375.0,8404.0,9563.0,8444.0,8897.0,9708.0,9422.0,10083.0,9624.0,11512.0,9663.0,9882.0,9049.0,10305.0,9802.0,10642.0,9048.0,11446.0,11727.0,11496.0,10976.0,11501.0,11355.0,11472.0,13061.0,15119.0,13825.0,14747.0,19090.0,17597.0,17675.0,17390.0,17156.0,17929.0,14928.0,15493.0,16741.0,15528.0,13883.0,15215.0,16800.0,15628.0,16227.0,14572.0,20635.0,17072.0,19707.0,19071.0,20686.0,21396.0,20868.0,19896.0,14850.0
Koszty ogólnego zarządu,12633.0,12155.0,13822.0,19089.0,15245.0,16904.0,15134.0,14631.0,10620.0,11249.0,9936.0,11291.0,9890.0,11274.0,11131.0,10849.0,11246.0,11784.0,11262.0,9842.0,10979.0,12632.0,10794.0,11990.0,9749.0,11107.0,9994.0,11556.0,10610.0,12430.0,11812.0,12518.0,12080.0,11906.0,11220.0,13852.0,12214.0,13311.0,14512.0,19358.0,11238.0,16068.0,18536.0,29775.0,19579.0,24765.0,21778.0,25618.0,23260.0,22087.0,24462.0,31686.0,26323.0,26142.0,26518.0,31854.0,29691.0,27381.0,30569.0,39201.0,33135.0,41139.0,37505.0,45542.0,37379.0,39144.0,40625.0,50488.0
Zysk ze sprzedaży,43742.0,68778.0,83724.0,56776.0,81984.0,80681.0,94849.0,27546.0,53612.0,35710.0,4405.0,22909.0,16778.0,20663.0,12929.0,9704.0,-15543.0,25857.0,48639.0,52044.0,19136.0,20998.0,44908.0,33704.0,34739.0,1951.0,4049.0,33810.0,11660.0,-1145.0,17696.0,36671.0,-5231.0,14526.0,14658.0,85291.0,8004.0,23474.0,23426.0,109384.0,-339.0,60441.0,34342.0,152894.0,23597.0,75696.0,28470.0,165788.0,103786.0,42354.0,69807.0,117587.0,50858.0,106659.0,74504.0,174495.0,217537.0,73674.0,67918.0,72151.0,183546.0,110871.0,28598.0,198899.0,198658.0,80129.0,41762.0,249856.0
Pozostałe przychody operacyjne,493.0,456.0,2485.0,639.0,776.0,252.0,409.0,5222.0,833.0,1277.0,534.0,4604.0,1254.0,345.0,458.0,3306.0,989.0,238.0,2868.0,-36.0,736.0,648.0,638.0,1961.0,313.0,712.0,401.0,8579.0,1477.0,7923.0,2190.0,3434.0,534.0,1301.0,802.0,1073.0,860.0,2099.0,147.0,19.0,434.0,7900.0,88.0,280.0,706.0,1519.0,533.0,517.0,4861.0,482.0,1724.0,2139.0,1201.0,1301.0,1023.0,816.0,954.0,2545.0,2170.0,-21.0,1252.0,1880.0,2780.0,12218.0,2424.0,7103.0,9168.0,5864.0
Pozostałe koszty operacyjne,261.0,3322.0,7460.0,5091.0,361.0,2868.0,1639.0,13300.0,957.0,6277.0,-4254.0,9747.0,611.0,1938.0,189.0,3649.0,226.0,2199.0,4650.0,4800.0,1332.0,2583.0,1696.0,3607.0,2059.0,802.0,1630.0,6629.0,4276.0,3792.0,-405.0,3224.0,998.0,2660.0,2236.0,4601.0,1518.0,2342.0,2563.0,4371.0,1045.0,10061.0,2075.0,7467.0,1759.0,4407.0,873.0,7768.0,3351.0,4679.0,2788.0,11232.0,2340.0,3773.0,1640.0,16837.0,2638.0,2465.0,1411.0,17361.0,10911.0,4103.0,3892.0,19599.0,3781.0,13484.0,6707.0,12799.0
Zysk operacyjny (EBIT),43974.0,65912.0,78749.0,52324.0,82399.0,78065.0,93619.0,19468.0,53488.0,30710.0,9193.0,17766.0,17421.0,19070.0,13198.0,9361.0,-14780.0,23896.0,46857.0,47208.0,18540.0,19063.0,43850.0,32058.0,32993.0,1861.0,2820.0,35760.0,8861.0,2986.0,20291.0,36881.0,-5695.0,13167.0,13224.0,81763.0,7346.0,23231.0,21010.0,105032.0,-950.0,58280.0,32355.0,145707.0,22544.0,72808.0,28130.0,158537.0,105296.0,38157.0,68743.0,108494.0,49719.0,104187.0,73887.0,158474.0,215853.0,73754.0,68677.0,54769.0,173887.0,108648.0,27486.0,191518.0,197301.0,73748.0,44223.0,242921.0
Przychody finansowe,3128.0,3038.0,2942.0,2526.0,3931.0,2821.0,1147.0,4204.0,708.0,543.0,806.0,1082.0,675.0,742.0,1232.0,2467.0,1150.0,824.0,1575.0,2963.0,1466.0,1798.0,2080.0,1472.0,886.0,817.0,611.0,211.0,3813.0,760.0,530.0,569.0,395.0,419.0,173.0,996.0,315.0,272.0,765.0,1101.0,386.0,1208.0,411.0,1109.0,338.0,438.0,698.0,1227.0,687.0,1014.0,1087.0,1635.0,917.0,1415.0,432.0,529.0,2550.0,367.0,808.0,2450.0,5787.0,9342.0,4623.0,3539.0,4681.0,7805.0,5525.0,5013.0
