,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,3825.0,7633.0,12531.0,10401.0,46128.0,60227.0,17758.0,12385.0,12239.0,12058.0,11031.0,78437.0,54458.0,42350.0,33716.0,25678.0,53122.0,37620.0,29244.0,26750.0,25652.0,34711.0,29035.0,87003.0,49572.0,47206.0,32452.0,79991.0,64087.0,71381.0,60637.0,162738.0,117858.0,92057.0,53936.0,186010.0,86270.0,209654.0,67831.0,183281.0,192184.0,162273.0,227093.0,124637.0,258051.0,229656.0,149743.0,159284.0,420705.0,211028.0,82449.0,105082.0,180119.0,39960.0,98382.0,198653.0,176490.0,200254.0,219588.0,315602.0,97559.0,22264.0,200474.0,747622.0,257224.0,161973.0,366963.0,821665.0
Techniczny koszt wytworzenia produkcji sprzedanej,798.0,5621.0,4571.0,3662.0,28406.0,37422.0,5598.0,3370.0,3049.0,3049.0,2702.0,46824.0,31818.0,24445.0,18373.0,13007.0,33383.0,24556.0,18574.0,14569.0,13926.0,21460.0,17781.0,63055.0,35544.0,33296.0,19615.0,50982.0,35956.0,40180.0,35223.0,113931.0,75985.0,54060.0,26646.0,121732.0,50811.0,136861.0,33804.0,117704.0,112705.0,102801.0,149788.0,80066.0,159143.0,136377.0,98996.0,101642.0,259495.0,133863.0,45955.0,59839.0,107366.0,21148.0,73753.0,131229.0,123997.0,136879.0,172092.0,197698.0,68245.0,12583.0,156011.0,470055.0,166980.0,101366.0,279911.0,576469.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,1395.0,2479.0,803.0,1139.0,223.0,994.0,629.0,689.0,502.0,405.0,416.0,583.0,632.0,684.0,924.0,1407.0,1248.0,1610.0,2081.0,2687.0,1067.0,1178.0,1518.0,3401.0,1722.0,1875.0,2025.0,4421.0,2672.0,3195.0,2850.0,4275.0,3018.0,3564.0,3597.0,3724.0,3822.0,3544.0,3988.0,4159.0,4173.0,4868.0,4553.0,4037.0,4648.0,4198.0,3013.0,4560.0,4046.0,2822.0,3172.0,4235.0,4344.0,4693.0,4832.0,5438.0,5578.0,5127.0,5964.0,6806.0,5597.0,5946.0,7072.0,10565.0
Koszty ogólnego zarządu,3614.0,4220.0,7426.0,2366.0,3541.0,3975.0,3849.0,3587.0,2592.0,1481.0,1826.0,2657.0,2280.0,2258.0,2102.0,3713.0,2539.0,2521.0,3493.0,3179.0,2573.0,2587.0,2287.0,5360.0,2821.0,3010.0,4411.0,4869.0,3143.0,4398.0,3276.0,5467.0,3133.0,3784.0,3531.0,12543.0,5151.0,8376.0,4664.0,8597.0,4410.0,8100.0,5438.0,17172.0,7194.0,11165.0,6137.0,10194.0,6669.0,9899.0,7348.0,14392.0,7096.0,7069.0,4826.0,10005.0,8210.0,10712.0,7983.0,19635.0,11603.0,15736.0,10528.0,12805.0,11101.0,24897.0,29796.0,39748.0
Zysk ze sprzedaży,-587.0,-2208.0,534.0,4373.0,12786.0,16351.0,7508.0,4289.0,6375.0,6534.0,5874.0,28267.0,19858.0,15242.0,12825.0,8375.0,16568.0,9859.0,6253.0,7595.0,7905.0,9054.0,6886.0,15901.0,10140.0,9722.0,6908.0,20739.0,23266.0,24928.0,20113.0,38919.0,36068.0,31018.0,20909.0,47460.0,27290.0,60853.0,25766.0,53256.0,71247.0,47828.0,67879.0,23240.0,87541.0,77246.0,40057.0,43411.0,149893.0,63068.0,26133.0,26291.0,61611.0,8921.0,16631.0,53184.0,39939.0,47970.0,34681.0,92831.0,12133.0,-11182.0,27971.0,257956.0,73546.0,29764.0,50184.0,194883.0
Pozostałe przychody operacyjne,25.0,1464.0,138834.0,-3935.0,182.0,2000.0,-217.0,126504.0,33836.0,-11026.0,-12138.0,-96475.0,-14076.0,15949.0,-9298.0,38076.0,3086.0,-561.0,51180.0,31427.0,587.0,119.0,228.0,23640.0,16640.0,32260.0,3507.0,-11158.0,5976.0,-5177.0,3696.0,32323.0,-39778.0,29083.0,26291.0,8431.0,4919.0,69010.0,-45556.0,10646.0,-83073.0,198.0,23446.0,-56938.0,22112.0,38690.0,-47039.0,2962.0,-6068.0,-37170.0,36000.0,-78894.0,66922.0,-79694.0,11609.0,-207141.0,8823.0,-26786.0,16341.0,12076.0,19944.0,5730.0,25735.0,-40517.0,-1343.0,-17582.0,10003.0,-4173.0
Pozostałe koszty operacyjne,28.0,1558.0,11268.0,4245.0,110.0,41.0,149.0,69166.0,933.0,-6.0,892.0,6782.0,196.0,38.0,329.0,20445.0,49.0,154.0,7042.0,17522.0,27966.0,-4211.0,18449.0,-31748.0,165.0,537.0,389.0,117.0,154.0,158.0,1233.0,350.0,253.0,539.0,-241.0,4427.0,220.0,1373.0,616.0,211.0,404.0,406.0,1823.0,1926.0,569.0,2357.0,1398.0,6309.0,249.0,1722.0,1723.0,2877.0,1161.0,-191.0,1850.0,1645.0,728.0,1167.0,1339.0,2832.0,1039.0,1602.0,3024.0,2744.0,1907.0,-985.0,4338.0,437.0
Zysk operacyjny (EBIT),-590.0,-2302.0,128100.0,-3807.0,12858.0,18310.0,7142.0,61627.0,39278.0,-4486.0,-7156.0,-74990.0,5586.0,31153.0,3198.0,26006.0,19605.0,9144.0,50391.0,21500.0,-19474.0,13384.0,-11335.0,71289.0,26615.0,41445.0,10026.0,9464.0,29088.0,19593.0,22576.0,70892.0,-3963.0,59562.0,47441.0,51464.0,31989.0,128490.0,-20406.0,63691.0,-12230.0,47620.0,89502.0,-35624.0,109084.0,113579.0,-8380.0,40064.0,143576.0,24176.0,60410.0,-55480.0,127372.0,-70582.0,26390.0,-155602.0,48034.0,20017.0,49683.0,102075.0,31038.0,-7054.0,50682.0,214695.0,70296.0,13167.0,55849.0,190273.0
Przychody finansowe,416.0,4314.0,3508.0,15281.0,8768.0,7305.0,-2057.0,-9135.0,1055.0,546.0,421.0,3794.0,14692.0,-12720.0,7757.0,2434.0,1025.0,2160.0,2900.0,2108.0,14151.0,-2576.0,11826.0,6035.0,2046.0,1655.0,1291.0,3268.0,980.0,1071.0,1092.0,1567.0,29010.0,-15596.0,-5974.0,-2539.0,732.0,1023.0,1323.0,1660.0,32567.0,648.0,-10027.0,21697.0,1643.0,1622.0,1414.0,1480.0,1128.0,9531.0,-6643.0,11932.0,1259.0,737.0,143.0,181.0,458.0,7869.0,-7740.0,1069.0,640.0,3120.0,2711.0,4720.0,7260.0,14611.0,6640.0,8252.0
Koszty finansowe,1079.0,1060.0,1855.0,7235.0,8895.0,-1351.0,3818.0,39603.0,36608.0,-9282.0,-10365.0,-9576.0,1316.0,2869.0,-671.0,1321.0,3923.0,1229.0,25006.0,3384.0,1959.0,2280.0,2118.0,932.0,7428.0,13153.0,-8138.0,-1478.0,10569.0,5433.0,9078.0,21665.0,8554.0,8350.0,9114.0,7335.0,9400.0,34036.0,-9211.0,22268.0,8138.0,7867.0,8107.0,8224.0,14530.0,33139.0,-4570.0,15674.0,10064.0,10204.0,12847.0,4469.0,46618.0,-3191.0,9381.0,11563.0,7744.0,450.0,6208.0,4297.0,15818.0,4304.0,10041.0,-3953.0,4322.0,6645.0,6588.0,5783.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,2.0,-1066.0,-129.0,-127.0,-359.0,-486.0,-722.0,-396.0,-430.0,-435.0
Zysk z działalności gospodarczej,-1253.0,952.0,129753.0,4239.0,12731.0,26966.0,1267.0,12889.0,3725.0,5342.0,3630.0,-61620.0,18962.0,15564.0,11626.0,27119.0,16707.0,10075.0,28285.0,20224.0,-7282.0,8528.0,-1627.0,76392.0,21233.0,29947.0,19455.0,14210.0,19499.0,15231.0,14590.0,50794.0,16493.0,35616.0,32353.0,41590.0,23321.0,95477.0,-9872.0,43083.0,12199.0,40401.0,71368.0,-22151.0,96197.0,82062.0,-2396.0,25870.0,134640.0,23503.0,40920.0,-48017.0,82013.0,-66654.0,17152.0,-166984.0,40748.0,27431.0,35737.0,97781.0,15731.0,-8365.0,42993.0,222882.0,72512.0,20737.0,55471.0,192307.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-1253.0,952.0,129753.0,4239.0,12731.0,26966.0,1267.0,12889.0,3725.0,5342.0,3630.0,-61620.0,18962.0,15564.0,11626.0,27119.0,16707.0,10075.0,28285.0,20224.0,-7282.0,8528.0,-1627.0,76392.0,21233.0,29947.0,19455.0,14210.0,19499.0,15231.0,14590.0,50794.0,16493.0,35616.0,32353.0,41590.0,23321.0,95477.0,-9872.0,43083.0,12199.0,40401.0,71368.0,-22151.0,96197.0,82062.0,-2396.0,25870.0,134640.0,23503.0,40920.0,-48017.0,82013.0,-66654.0,17152.0,-166984.0,40748.0,27431.0,35737.0,97781.0,15731.0,-8365.0,42993.0,222882.0,72512.0,20737.0,55471.0,192307.0
