,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,59.01,69.75,-12.28,23.48,-28.08,29.95,20.68,30.62,37.11,-28.07,4.56,73.76,49.88,9.93,2.2,-37.71,-15.07,22.62,-3.62,-2.86,-24.61,-18.28,15.67,15.33,78.79,27.74,45.01,27.84,-8.68,2.0,-11.34,-17.65,-20.38,-11.03,5.98,68.87,27.55,17.53,-8.92,-13.85,0.39,4.75,-2.94,-61.64,-52.73,-25.94,4.02,365.73,-4.88,24.26,81.32,-13.23,7.81,-51.43,0.87,82.2,124.7,304.61,36.33,-6.41,-0.39,6.91,16.68,52.78,82.56,18.45,6.65,-48.0,-25.93,-21.5,-54.51,148.95
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,120.07,116.1,-18.97,-4.26,-36.41,57.54,60.85,39.44,59.67,-43.43,-31.4,60.38,36.93,-15.95,-3.08,-28.42,-5.43,50.88,-7.89,-23.82,-54.49,-21.51,38.07,58.34,172.61,66.33,70.17,33.47,-0.87,-17.63,-24.77,-15.07,-28.54,-14.6,2.76,79.39,42.96,61.64,-6.74,-2.44,4.28,-8.63,64.82,-72.21,-15.43,20.51,10.93,688.3,-14.9,31.75,117.04,2.99,3.18,-50.22,-12.37,58.88,158.79,305.32,51.08,-12.63,-32.35,5.2,4.12,54.94,126.64,-17.63,-10.63,-52.6,-31.12,-10.52,-54.86,169.46
Koszty sprzedaży,,,,,14.04,3.81,-5.62,51.02,64.15,80.15,268.79,85.46,44.39,30.53,-32.02,-6.83,-17.82,-18.49,-39.71,14.07,0.56,13.34,50.77,29.69,22.8,25.81,20.31,12.94,13.85,7.62,-2.02,14.39,-13.67,-0.66,-2.25,-2.39,35.07,4.38,11.96,5.89,-14.09,73.34,46.42,-20.78,20.7,60.81,-10.86,130.07,-28.16,-63.44,-72.52,-29.84,-5.78,-1.51,265.7,-39.62,-13.47,-36.44,-19.62,64.53,79.86,74.12,2.8,-43.53,-15.13,82.89,77.97,73.4,63.24,-13.48,-7.43,20.92,-0.45,-3.17,94.81,-70.12
Koszty ogólnego zarządu,,,,,23.25,117.93,87.31,-0.86,-21.6,-31.16,3.93,123.68,51.6,10.2,50.65,-44.25,-26.61,-48.12,-32.78,18.31,24.62,26.66,8.77,-8.45,10.48,2.65,53.26,42.88,29.53,53.66,-27.08,-5.85,18.6,-11.73,35.01,-26.51,-0.64,27.72,20.83,37.15,21.02,108.22,-17.09,33.34,18.33,-12.2,29.71,39.41,24.42,-39.52,150.48,-12.04,37.33,101.74,-92.09,-30.52,-22.46,-35.94,448.54,31.72,-37.24,38.95,3.23,22.82,15.98,73.0,79.64,48.92,27.64,-3.69,4.61,-21.86,46.61,-76.93,38.92,61.82
Zysk ze sprzedaży,,,,,33.55,22.18,-17.46,78.17,-26.39,21.8,-33.25,-10.49,14.35,-18.09,88.45,197.23,96.47,73.12,24.4,-55.65,-27.98,5.23,-6.45,18.56,-3.19,-22.41,-8.28,-24.69,49.09,-9.72,50.65,41.2,-20.19,39.93,-4.2,-21.5,-21.52,-17.97,4.83,79.61,20.56,-67.19,-14.12,-43.69,-12.72,65.5,-77.16,-137.68,-146.16,-110.34,-216.74,377.04,-18.78,-727.47,212.5,-86.82,47.63,14.58,81.65,1376.73,94.68,80.46,-26.14,20.67,5683.8,-650.04,98.56,44.73,14.75,358.23,129.03,-46.57,-49.92,-12.8,-107.69,173.9
Pozostałe przychody operacyjne,,,,,-15.39,172.08,84.29,-64.23,12.79,151.88,-58.81,1928.19,-88.78,-84.34,-119.48,709.49,4893.83,-744.81,-1252.74,-105.22,-98.77,128.98,102.58,219.02,1842.16,-90.95,7086.47,-3.06,-228.34,1701.93,-138.51,278.89,274.5,221.3,23.68,-103.83,149.42,-103.49,105.83,734.85,-127.59,1340.94,989.41,2721.03,198.01,201.1,-28.06,-80.44,-8.23,-83.67,142.09,-48.11,3.42,99.96,-39.42,180.9,-35.2,-10.72,38.17,-7.28,52.74,-35.46,-21.53,-92.24,-65.05,-65.92,43.02,-93.68,69.78,-123.43,-74.99,-8045.26,-87.27,-1028.46,292.69,-38.43
Pozostałe koszty operacyjne,,,,,11137.29,129.94,-438.72,77.3,-93.06,-111.76,100.0,2354.58,-100.0,7641.81,,-19.95,,-93.51,91.62,120.75,17843.48,-4907.77,2105.35,15.56,-100.0,106.02,-111.18,-64.01,,-100.0,100.0,-100.0,,,,,,-100.0,100.0,40.96,,,,-32.86,,1036.44,-495.86,-22.93,,-100.0,100.0,214.96,,,,-67.19,13.72,-45.42,1223.91,14.26,12.05,-65.84,-57.23,-145.48,-35.9,9.37,-53.57,202.87,-25.48,96.13,94.57,-110.71,28.93,-45.89,-2.88,1203.85
Zysk operacyjny (EBIT),,,,,-6.33,40.89,58.97,19.92,2.3,115.94,-55.9,91.3,-53.94,-89.82,-18.08,698.88,875.13,-601.73,-249.21,-103.82,-115.57,324.67,93.19,269.05,303.08,-80.19,5112.05,36.89,-125.15,161.77,-112.53,223.25,835.32,142.24,86.62,-91.78,108.5,-85.47,1390.87,404.23,-114.24,173.72,61.35,1077.41,339.34,134.42,-25.97,-84.73,-46.6,-81.91,-11.35,-41.43,-8.9,17.99,-6.25,196.11,-35.93,4.24,26.71,26.68,97.36,-14.31,-16.21,-54.74,-29.01,-126.47,69.56,9.46,48.08,556.67,-6.5,-103.29,-76.58,-87.63,-41.96,2027.52
Przychody finansowe,,,,,-8.11,1024.98,-95.66,133.72,90.72,-29.37,2175.27,260.59,67.66,27.86,152.07,-1344.31,-25.85,14.02,-13.05,301.95,1655.95,50.15,216.36,-95.98,-90.14,-59.66,-119.25,-408.78,-59.26,-27.41,116.16,-50.13,16.2,-35.71,-105.33,116.35,-37.99,-59.68,1870.83,-345.75,57.63,220.03,457.57,-168.71,73.19,813.07,100.0,-24.1,-92.82,185.91,-16.08,241.54,1033.63,-82.8,-76.08,-33.01,-11.43,-46.14,77.89,-80.13,10.85,-95.91,-70.14,160.32,-56.01,2244.26,156.79,-18.72,352.57,160.76,104.6,-30.09,-33.85,-63.9,-16.05,-247.96
