,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,57179.0,55048.0,86794.0,58918.0,90919.0,93443.0,76135.0,72752.0,65393.0,121428.0,91876.0,95028.0,89659.0,87345.0,96061.0,165124.0,134381.0,96017.0,98172.0,102856.0,114132.0,117734.0,94616.0,99914.0,86045.0,96218.0,109446.0,115226.0,153837.0,122909.0,158710.0,147309.0,140479.0,125367.0,140716.0,121308.0,111843.0,111543.0,149124.0,204854.0,142655.0,131097.0,135826.0,176477.0,143207.0,137325.0,131838.0,67705.0,67692.0,101708.0,137140.0,315322.0,64386.0,126378.0,248667.0,273604.0,69415.0,61386.0,250821.0,498511.0,155975.0,248374.0,341953.0,466552.0,155370.0,265526.0,398978.0,712791.0,283636.0,314504.0,425510.0,370656.0,210093.0,246893.0,193558.0,922749.0
Techniczny koszt wytworzenia produkcji sprzedanej,18041.0,20154.0,40911.0,28992.0,39703.0,43553.0,33149.0,27758.0,25249.0,68614.0,53320.0,38707.0,40315.0,38815.0,36579.0,62080.0,55204.0,32625.0,35454.0,44434.0,52209.0,49226.0,32656.0,33850.0,23758.0,38639.0,45087.0,53598.0,64766.0,64269.0,76726.0,71536.0,64205.0,52940.0,57724.0,60756.0,45882.0,45212.0,59319.0,108991.0,65591.0,73081.0,55318.0,106329.0,68398.0,66777.0,91174.0,29554.0,57846.0,80472.0,101142.0,232975.0,49226.0,106020.0,219517.0,239938.0,50790.0,52779.0,192354.0,381207.0,131439.0,213926.0,290599.0,333059.0,88920.0,225056.0,302574.0,516037.0,201524.0,185383.0,270424.0,244582.0,138816.0,165883.0,122081.0,659051.0
Koszty sprzedaży,2001.0,2072.0,2332.0,2054.0,2282.0,2151.0,2201.0,3102.0,3746.0,3875.0,8117.0,5753.0,5409.0,5058.0,5518.0,5360.0,4445.0,4123.0,3327.0,6114.0,4470.0,4673.0,5016.0,7929.0,5489.0,5879.0,6035.0,8955.0,6249.0,6327.0,5913.0,10244.0,5395.0,6285.0,5780.0,9999.0,7287.0,6560.0,6471.0,10588.0,6260.0,11371.0,9475.0,8388.0,7556.0,18286.0,8446.0,19298.0,5428.0,6685.0,2321.0,13539.0,5114.0,6584.0,8488.0,8175.0,4425.0,4185.0,6823.0,13450.0,7959.0,7287.0,7014.0,7595.0,6755.0,13327.0,12483.0,13170.0,11027.0,11531.0,11555.0,15925.0,10977.0,11166.0,22510.0,4759.0
Koszty ogólnego zarządu,6426.0,7977.0,4617.0,9827.0,7920.0,17384.0,8648.0,9742.0,6209.0,11968.0,8988.0,21791.0,9413.0,13189.0,13540.0,12149.0,6908.0,6842.0,9102.0,14373.0,8609.0,8666.0,9900.0,13158.0,9511.0,8896.0,15173.0,18800.0,12320.0,13670.0,11064.0,17701.0,14612.0,12067.0,14938.0,13008.0,14518.0,15412.0,18050.0,17840.0,17569.0,32091.0,14966.0,23787.0,20790.0,28175.0,19413.0,33161.0,25867.0,17041.0,48625.0,29169.0,35523.0,34378.0,3846.0,20266.0,27543.0,22022.0,21097.0,26695.0,17287.0,30600.0,21778.0,32788.0,20050.0,52937.0,39122.0,48827.0,25591.0,50983.0,40927.0,38153.0,37518.0,11762.0,56855.0,61739.0
Zysk ze sprzedaży,30711.0,24845.0,38934.0,18045.0,41014.0,30355.0,32137.0,32150.0,30189.0,36971.0,21451.0,28777.0,34522.0,30283.0,40424.0,85535.0,67824.0,52427.0,50289.0,37935.0,48844.0,55169.0,47044.0,44977.0,47287.0,42804.0,43151.0,33873.0,70502.0,38643.0,65007.0,47828.0,56267.0,54075.0,62274.0,37545.0,44156.0,44359.0,65284.0,67435.0,53235.0,14554.0,56067.0,37973.0,46463.0,24087.0,12805.0,-14308.0,-21449.0,-2490.0,-14948.0,39639.0,-25477.0,-20604.0,16816.0,5225.0,-13343.0,-17600.0,30547.0,77159.0,-710.0,-3439.0,22562.0,93110.0,39645.0,-25794.0,44799.0,134757.0,45494.0,66607.0,102604.0,71996.0,22782.0,58082.0,-7888.0,197200.0
Pozostałe przychody operacyjne,62630.0,20265.0,73972.0,8152.0,52989.0,55138.0,136325.0,2916.0,59766.0,138884.0,56156.0,59142.0,6705.0,21749.0,-10941.0,478751.0,334836.0,-140239.0,-148003.0,-24986.0,4111.0,40645.0,3813.0,29738.0,79842.0,3677.0,274020.0,28827.0,-102472.0,66257.0,-105536.0,109222.0,178815.0,212882.0,-80543.0,-4178.0,445992.0,-7432.0,4694.0,26524.0,-123029.0,92227.0,51137.0,748250.0,120581.0,277696.0,36786.0,146348.0,110658.0,45361.0,89055.0,75939.0,114441.0,90706.0,53947.0,213316.0,74160.0,80980.0,74536.0,197783.0,113271.0,52262.0,58492.0,15343.0,39591.0,17812.0,83658.0,970.0,67216.0,-4174.0,20923.0,-77069.0,8556.0,-47102.0,82162.0,-106690.0
Pozostałe koszty operacyjne,-59.0,-12841.0,2216.0,-3754.0,6512.0,3845.0,-7506.0,-852.0,452.0,-452.0,0.0,19209.0,0.0,34089.0,-34089.0,15376.0,644.0,2214.0,-2858.0,33943.0,115556.0,-106444.0,57313.0,39225.0,0.0,6407.0,-6407.0,14116.0,0.0,0.0,0.0,0.0,0.0,12848.0,-12848.0,20450.0,0.0,0.0,0.0,28827.0,0.0,5706.0,-5706.0,19355.0,0.0,64845.0,-34000.0,14916.0,0.0,0.0,0.0,46980.0,7694.0,19518.0,1288.0,15416.0,8750.0,10652.0,17052.0,17615.0,9804.0,3639.0,7293.0,-8012.0,6284.0,3980.0,3386.0,8242.0,4683.0,7806.0,6588.0,-883.0,6038.0,4224.0,6398.0,9747.0
Zysk operacyjny (EBIT),93400.0,57951.0,110690.0,29951.0,87491.0,81648.0,175968.0,35918.0,89503.0,176307.0,77607.0,68710.0,41227.0,17943.0,63572.0,548910.0,402016.0,-90026.0,-94856.0,-20994.0,-62601.0,202258.0,-6456.0,35490.0,127129.0,40074.0,323578.0,48584.0,-31970.0,104900.0,-40529.0,157050.0,235082.0,254109.0,-5421.0,12917.0,490148.0,36927.0,69978.0,65132.0,-69794.0,101075.0,112910.0,766868.0,167044.0,236938.0,83591.0,117124.0,89209.0,42871.0,74107.0,68598.0,81270.0,50584.0,69475.0,203125.0,52067.0,52728.0,88031.0,257327.0,102757.0,45184.0,73761.0,116465.0,72952.0,-11962.0,125071.0,127485.0,108027.0,54627.0,116939.0,-4190.0,25300.0,6756.0,67876.0,80763.0
Przychody finansowe,2615.0,1021.0,6339.0,-1806.0,2403.0,11486.0,275.0,609.0,4583.0,8113.0,6257.0,2196.0,7684.0,10373.0,15772.0,-27325.0,5698.0,11827.0,13714.0,55182.0,100054.0,17758.0,43386.0,2221.0,9866.0,7164.0,-8353.0,-6858.0,4019.0,5200.0,1350.0,-10296.0,4670.0,3343.0,-72.0,1683.0,2896.0,1348.0,1275.0,-4136.0,4565.0,4314.0,7109.0,-11114.0,7906.0,39390.0,14218.0,-13793.0,568.0,112618.0,11932.0,19523.0,6439.0,19365.0,2854.0,13078.0,5703.0,10430.0,5077.0,2598.0,6322.0,427.0,1516.0,6763.0,2781.0,10010.0,3893.0,5497.0,12586.0,26102.0,7965.0,3843.0,8326.0,9423.0,6687.0,-5686.0
