,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-40.0,42.61,-46.95,-7.84,213.3,1.39,4.83,76.0,-59.74,28.44,156.86,-40.77,39.33,-35.79,-37.56,55.73,66.79,-92.08,-70.16,-45.5,-62.36,2607.89,436.93,-191.65,162.84,-41.16,-83.38,340.23,-41.93,-21.88,262.98,-48.76,30.02,6.66,-23.87,-36.23,-20.44,7.33,-4.28,8.54,-2.34,-0.74,3.6,-4.79,2.12,-0.56,2.81,2.96,3.24,4.12,0.46,7.59,57.59,71.25,144.23,137.88,65.89,50.05,1.9,-5.05,-1.4,4.09,12.01,17.99,31.04,32.05,33.43,30.04,23.07,19.44,13.41,13.71
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-41.62,16.93,-54.9,-16.98,164.6,12.88,-10.39,61.34,-60.6,25.35,214.36,-51.78,64.48,-16.6,-45.02,126.9,73.07,-114.49,-90.19,65.88,-59.76,940.0,1765.31,-111.87,52.87,-0.4,-65.75,633.56,-48.61,-67.73,74.6,-36.79,61.39,8.4,-38.79,-13.63,-35.99,93.62,8.67,-59.43,-4.88,-20.0,-22.15,29.57,15.93,4.41,41.87,23.57,2.44,85.77,26.77,33.29,55.44,-17.13,29.67,-20.15,35.09,4.57,-10.61,43.15,5.11,27.56,21.95,36.92,61.99,26.82,78.39,61.62,22.3,54.19,10.87,28.43
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-7.4,-4.07,-13.72,21.72,-8.67,3.01,15.71,18.59,9.31,7.9,86.08,39.57,62.69,3.03,-23.82,-22.55,-13.61,58.11,-15.64,-300.82,-66.42,-42.82,-19.25,97.44,40.79,-63.93,-66.37,1495.45,-37.44,-0.95,140.74,-73.29,-4.51,17.22,-49.45,45.73,-10.73,-4.08,-10.0,17.99,-25.96,-28.51,-29.95,-28.37,24.03,23.21,43.45,-20.79,89.53,68.6,41.83,132.5,52.49,67.05,86.44,29.57,6.52,-2.92,-14.0,17.22,12.93,4.59,26.64,18.23,3.16,19.09,29.38,14.22,7.01,38.16,-2.58,18.22
Zysk ze sprzedaży,,,,,9.35,44.94,25.6,-3.18,72.06,-38.78,10.75,173.57,-167.52,8.33,-124.9,-288.02,-110.24,-93.05,35.18,-1.27,12.68,-10.39,1.38,-42.14,60.57,126.73,86.31,-97.57,213.16,-219.72,-873.47,146.14,-68.02,287.84,71.49,-85.92,116.36,-32.15,229.41,-839.66,30.67,-100.62,-46.02,186.95,18.33,11450.0,273.68,-34.32,-28.26,-33.04,-76.06,-33.47,-57.2,-465.13,-349.41,-244.79,86.73,141.44,486.32,767.37,373.46,400.43,32.72,-38.67,-19.02,-19.46,-5.15,-6.73,-2.72,48.54,-26.96,-18.42,39.39,-36.82,38.51,-46.53
Pozostałe przychody operacyjne,,,,,,,,,,,,,,,,-48.86,,-55.68,,51.44,25.0,802.56,28225.0,-240.3,692.0,-82.1,-91.91,109.62,-94.95,32223.81,-1231.87,2670.31,-90.0,-99.99,103.2,75.41,15800.0,-1400.0,-90.91,-1.29,-99.37,157.69,233.33,-45.8,3300.0,1233.33,-90.0,-67.07,-82.35,-96.5,-100.0,3.1,1483.33,71.43,,202.65,-93.68,6658.33,-804.17,335.96,250.0,-92.36,101.78,-81.17,19.05,-130.65,800.0,197.22,80.0,2563.16,-914.81,107.24,-20.0,-64.32,110.45,-21.35
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,,-4.42,,-94.52,,-104.17,,1750.0,-109.52,3177.78,,-20.27,525.0,29.96,-83.87,511.86,305.88,142.5,-80.0,-80.61,386.96,-86.14,3200.0,-55.71,-99.7,-47.93,-100.0,29.03,0.0,250.79,,567.5,20500.0,-87.78,-100.0,-100.0,-99.03,1322.22,,,10100.0,-97.66,-99.25,-83.93,-99.02,188.89,76500.0,122.22,31050.0,-257.69,-84.51,-5.56,-24.72,-768.29,78.65,-165.88,3.2,-33.99,-28.14,-238.39,-44.63,82.18
Zysk operacyjny (EBIT),,,,,29.95,43.4,-51.52,-346.83,-85.99,97.44,105.14,140.35,37.16,-3487.5,-1133.33,-218.36,-75.41,-139.37,-119.89,127.23,13.56,24.45,288.51,-944.85,81.64,141.81,-96.76,14.71,354.74,9000.46,-6404.0,210.34,-68.48,-97.92,72.14,132.24,230.91,-34.79,140.55,-15.39,-14.29,-110.07,-41.57,-29.56,19.23,692.59,44.23,-57.82,-27.42,-0.62,-44.67,-55.09,-171.11,-758.49,-572.29,325.87,211.46,191.69,265.31,514.61,-697.2,7.6,-27.93,-73.22,137.4,-28.56,26.12,125.22,-59.0,165.18,-91.68,81.58,244.9,-27.64,1528.57,-26.17
Przychody finansowe,,,,,81.82,-50.0,250.0,4086.05,4971.67,-85300.0,12742.86,-190.28,-99.24,104.46,-92.77,109.23,247.83,-13.16,70.77,-246.0,725.0,-68.18,-135.14,-99.09,-96.52,3019.05,553.85,-7.11,2143.48,-167.18,-103.67,187.37,-34.11,135.91,2476.92,93.38,130.88,593.67,-633.33,-94.68,-88.66,-98.18,101.21,-69.05,-53.93,185.0,195.0,484.62,-97.56,180.7,1.69,88.16,18200.0,-31.25,130.0,79.02,-93.44,-99.09,-99.28,-98.44,-91.67,0.0,-100.0,-100.0,-100.0,-100.0,,,,,250.0,,-100.0,,100.0,300.0
