,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1065.0,805.0,1638.0,1836.0,639.0,1148.0,869.0,1692.0,2002.0,1164.0,911.0,2978.0,806.0,1495.0,2340.0,1764.0,1123.0,960.0,1461.0,2747.0,1873.0,76.0,436.0,1497.0,705.0,2058.0,2341.0,-1372.0,1853.0,1211.0,389.0,3296.0,1076.0,946.0,1412.0,1689.0,1399.0,1009.0,1075.0,1077.0,1113.0,1083.0,1029.0,1169.0,1087.0,1075.0,1066.0,1113.0,1110.0,1069.0,1096.0,1146.0,1146.0,1113.0,1101.0,1233.0,1806.0,1906.0,2689.0,2933.0,2996.0,2860.0,2740.0,2785.0,2954.0,2977.0,3069.0,3286.0,3871.0,3931.0,4095.0,4273.0,4764.0,4695.0,4644.0,4859.0
Techniczny koszt wytworzenia produkcji sprzedanej,1050.0,750.0,1430.0,1508.0,613.0,877.0,645.0,1252.0,1622.0,990.0,578.0,2020.0,639.0,1241.0,1817.0,974.0,1051.0,1035.0,999.0,2210.0,1819.0,-150.0,98.0,3666.0,732.0,1260.0,1828.0,-435.0,1119.0,1255.0,626.0,2321.0,575.0,405.0,1093.0,1467.0,928.0,439.0,669.0,1267.0,594.0,850.0,727.0,514.0,565.0,680.0,566.0,666.0,655.0,710.0,803.0,823.0,671.0,1319.0,1018.0,1097.0,1043.0,1093.0,1320.0,876.0,1409.0,1143.0,1180.0,1254.0,1481.0,1458.0,1439.0,1717.0,2399.0,1849.0,2567.0,2775.0,2934.0,2851.0,2846.0,3564.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,-51.0,147.0,-147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,635.0,589.0,583.0,548.0,588.0,565.0,503.0,667.0,537.0,582.0,582.0,791.0,587.0,628.0,1083.0,1104.0,955.0,647.0,825.0,855.0,825.0,1023.0,696.0,-1717.0,277.0,585.0,562.0,-44.0,390.0,211.0,189.0,614.0,244.0,209.0,455.0,164.0,233.0,245.0,230.0,239.0,208.0,235.0,207.0,282.0,154.0,168.0,145.0,202.0,191.0,207.0,208.0,160.0,362.0,349.0,295.0,372.0,552.0,583.0,550.0,482.0,588.0,566.0,473.0,565.0,664.0,592.0,599.0,668.0,685.0,705.0,775.0,763.0,733.0,974.0,755.0,902.0
Zysk ze sprzedaży,-620.0,-534.0,-375.0,-220.0,-562.0,-294.0,-279.0,-227.0,-157.0,-408.0,-249.0,167.0,-420.0,-374.0,-560.0,-314.0,-883.0,-722.0,-363.0,-318.0,-771.0,-797.0,-358.0,-452.0,-304.0,213.0,-49.0,-893.0,344.0,-255.0,-477.0,412.0,110.0,479.0,-136.0,58.0,238.0,325.0,176.0,-429.0,311.0,-2.0,95.0,373.0,368.0,227.0,355.0,245.0,264.0,152.0,85.0,163.0,113.0,-555.0,-212.0,-236.0,211.0,230.0,819.0,1575.0,999.0,1151.0,1087.0,966.0,809.0,927.0,1031.0,901.0,787.0,1377.0,753.0,735.0,1097.0,870.0,1043.0,393.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,0.0,88.0,0.0,313.0,20.0,39.0,-4.0,474.0,25.0,352.0,1125.0,-665.0,198.0,63.0,91.0,64.0,10.0,20364.0,-1030.0,1773.0,1.0,2.0,33.0,3110.0,159.0,-26.0,3.0,3070.0,1.0,15.0,10.0,1664.0,34.0,200.0,1.0,548.0,6.0,7.0,0.0,565.0,95.0,12.0,24.0,1710.0,6.0,811.0,-169.0,7455.0,21.0,62.0,3.0,1404.0,25.0,-19.0,27.0,4173.0,45.0,468.0,-220.0,8648.0,36.0,167.0,23.0,6802.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,73.0,0.0,216.0,0.0,4.0,42.0,-9.0,0.0,74.0,-4.0,277.0,31.0,59.0,17.0,360.0,5.0,361.0,69.0,873.0,1.0,70.0,336.0,121.0,33.0,31.0,1.0,63.0,0.0,40.0,1.0,221.0,30.0,267.0,206.0,27.0,0.0,0.0,2.0,384.0,400.0,504.0,204.0,9.0,3.0,81.0,2.0,26.0,2298.0,180.0,623.0,-41.0,356.0,170.0,469.0,-356.0,636.0,-112.0,484.0,-477.0,457.0,-379.0,268.0,-85.0
Zysk operacyjny (EBIT),-601.0,-553.0,-231.0,-284.0,-421.0,-313.0,-350.0,-1269.0,-783.0,-8.0,18.0,512.0,-492.0,-287.0,-186.0,-606.0,-863.0,-687.0,-409.0,165.0,-746.0,-519.0,771.0,-1394.0,-137.0,217.0,25.0,-1189.0,349.0,19748.0,-1576.0,1312.0,110.0,411.0,-439.0,3047.0,364.0,268.0,178.0,2578.0,312.0,-27.0,104.0,1816.0,372.0,160.0,150.0,766.0,270.0,159.0,83.0,344.0,-192.0,-1047.0,-392.0,1465.0,214.0,960.0,648.0,9004.0,-1278.0,1033.0,467.0,2411.0,478.0,738.0,589.0,5430.0,196.0,1957.0,49.0,9860.0,676.0,1416.0,798.0,7280.0
Przychody finansowe,33.0,4.0,4.0,43.0,60.0,2.0,14.0,1800.0,3043.0,-1704.0,1798.0,-1625.0,23.0,76.0,130.0,150.0,80.0,66.0,222.0,-219.0,660.0,21.0,-78.0,-436.0,23.0,655.0,354.0,-467.0,516.0,-440.0,-13.0,408.0,340.0,158.0,309.0,789.0,785.0,1096.0,-1648.0,42.0,89.0,20.0,20.0,13.0,41.0,57.0,59.0,76.0,1.0,160.0,60.0,143.0,183.0,110.0,138.0,256.0,12.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,0.0,7.0,3.0,0.0,7.0,14.0,12.0
Koszty finansowe,0.0,0.0,1.0,117.0,8.0,2.0,7.0,94.0,2168.0,-1687.0,1816.0,-88.0,68.0,744.0,14.0,30.0,238.0,520.0,616.0,-251.0,757.0,45.0,-74.0,-478.0,466.0,4252.0,-15.0,29.0,55.0,335.0,563.0,494.0,1.0,0.0,-1.0,0.0,0.0,0.0,1727.0,0.0,21.0,0.0,0.0,11.0,75.0,1.0,30.0,199.0,21.0,-10.0,-1.0,9.0,9.0,15.0,0.0,81.0,150.0,144.0,463.0,538.0,467.0,331.0,192.0,585.0,316.0,149.0,129.0,201.0,298.0,463.0,534.0,529.0,503.0,507.0,500.0,446.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-568.0,-549.0,-228.0,-358.0,-369.0,-313.0,-343.0,437.0,92.0,-25.0,0.0,-1025.0,-537.0,-955.0,-70.0,-486.0,-1021.0,-1141.0,-803.0,197.0,-843.0,-543.0,767.0,-1352.0,-580.0,-3380.0,394.0,-1685.0,810.0,18973.0,-2152.0,1226.0,449.0,569.0,-129.0,3836.0,1149.0,1364.0,-3197.0,2620.0,380.0,-7.0,124.0,1818.0,338.0,216.0,179.0,643.0,250.0,329.0,144.0,478.0,-18.0,-952.0,-254.0,1640.0,76.0,817.0,186.0,8470.0,-1744.0,703.0,275.0,1826.0,162.0,589.0,462.0,5229.0,-62.0,1494.0,-478.0,9334.0,173.0,916.0,312.0,6846.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-568.0,-549.0,-228.0,-358.0,-369.0,-313.0,-343.0,437.0,92.0,-25.0,0.0,-1025.0,-537.0,-955.0,-70.0,-486.0,-1021.0,-1141.0,-803.0,197.0,-843.0,-543.0,767.0,-1352.0,-580.0,-3380.0,394.0,-951.0,810.0,18973.0,-2152.0,1226.0,449.0,569.0,-129.0,3836.0,1149.0,1364.0,-3197.0,2620.0,380.0,-7.0,124.0,1818.0,338.0,216.0,179.0,643.0,250.0,329.0,144.0,478.0,-18.0,-952.0,-254.0,1640.0,76.0,817.0,186.0,8470.0,-1744.0,703.0,275.0,1826.0,162.0,589.0,462.0,5229.0,-62.0,1494.0,-478.0,9334.0,173.0,916.0,312.0,6846.0
