,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1573312.0,1465274.0,1487702.0,1631474.0,1884687.0,1707239.0,1647512.0,1914071.0,2021380.0,1896447.0,1909925.0,2009123.0,2472230.0,2273446.0,2422274.0,2540562.0,2645780.0,2376018.0,2405292.0,2668942.0,2380334.0,2215291.0,2191618.0,2363277.0,2373743.0,2466452.0,2386977.0,2628223.0,2446414.0,2165833.0,2538066.0,2698079.0,3005283.0,2594149.0,2704512.0,3209361.0,2778261.0,2918177.0,2701724.0,3263107.0,3055533.0,3110578.0,3218087.0,3541650.0,4009610.0,4009966.0,4149213.0,4232509.0,4592082.0,4349775.0,4511863.0,4722785.0,5060690.0,4755779.0,5474024.0,5920154.0,7246366.0,7464695.0,8020826.0,7385965.0,12530942.0,11490641.0,11881205.0,12280631.0
Techniczny koszt wytworzenia produkcji sprzedanej,1498892.0,1433276.0,1404035.0,1540409.0,1659480.0,1506435.0,1636267.0,1812359.0,1794433.0,1709707.0,1699855.0,1869127.0,2188013.0,2114473.0,2192645.0,2437452.0,2425671.0,2058512.0,2229155.0,2418758.0,2020910.0,2024683.0,1914640.0,2169395.0,2109813.0,2005272.0,2153001.0,2418146.0,2104201.0,1948378.0,1987476.0,3807524.0,2616387.0,2361313.0,2387338.0,2911366.0,2339268.0,2511934.0,2382201.0,2860055.0,2730253.0,2772218.0,2995464.0,3467259.0,3586584.0,3536695.0,3621376.0,3971745.0,3974822.0,3959783.0,4190307.0,4405848.0,4468494.0,4461658.0,4734305.0,5581118.0,6530914.0,7065131.0,7983448.0,7952015.0,11898459.0,11391401.0,11199430.0,12622128.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,74420.0,31998.0,83667.0,91065.0,225207.0,200804.0,11245.0,101712.0,226947.0,186740.0,210070.0,139996.0,284217.0,158973.0,229629.0,103110.0,220109.0,317506.0,176137.0,250184.0,359424.0,190608.0,276978.0,193882.0,263930.0,461180.0,233976.0,210077.0,342213.0,217455.0,550590.0,-1109445.0,388896.0,232836.0,317174.0,297995.0,438993.0,406243.0,319523.0,403052.0,325280.0,338360.0,222623.0,74391.0,423026.0,473271.0,527837.0,260764.0,617260.0,389992.0,321556.0,316937.0,592196.0,294121.0,739719.0,339036.0,715452.0,399564.0,37378.0,-566050.0,632483.0,99240.0,681775.0,-341497.0
Pozostałe przychody operacyjne,29450.0,11259.0,8314.0,31891.0,20972.0,16538.0,24578.0,16511.0,11410.0,12085.0,25528.0,35269.0,25452.0,30906.0,134766.0,37644.0,30104.0,26202.0,14746.0,37107.0,57198.0,22136.0,18559.0,27194.0,27762.0,55954.0,17036.0,14314.0,22342.0,9325.0,15388.0,52047.0,30164.0,26534.0,41982.0,45358.0,16238.0,43093.0,17705.0,64754.0,58468.0,31389.0,50823.0,104442.0,61824.0,54323.0,46550.0,157379.0,53165.0,-431848.0,102593.0,-2902090.0,23217.0,63511.0,58955.0,83929.0,49581.0,78500.0,93810.0,-6562.0,102870.0,30188.0,116749.0,16530.0
Pozostałe koszty operacyjne,20218.0,31069.0,32862.0,26556.0,22582.0,17011.0,20380.0,51989.0,11804.0,31865.0,18408.0,74004.0,26874.0,34445.0,27701.0,69716.0,22007.0,41713.0,12238.0,149590.0,46832.0,34216.0,17779.0,150127.0,24953.0,24955.0,18380.0,29466.0,37235.0,29893.0,43214.0,151698.0,30423.0,37436.0,20585.0,173181.0,72652.0,50294.0,48994.0,49931.0,44970.0,75644.0,-13919.0,61995.0,43510.0,43041.0,71637.0,-9734.0,138549.0,-38938.0,29798.0,44415.0,67438.0,6417.0,72051.0,-18589.0,85079.0,93615.0,85035.0,-40296.0,123861.0,17293.0,95880.0,145625.0
Zysk operacyjny (EBIT),83652.0,12188.0,59119.0,96400.0,223597.0,200331.0,15443.0,66234.0,226553.0,166960.0,217190.0,101261.0,282795.0,155434.0,336694.0,71038.0,228206.0,301995.0,178645.0,137701.0,369790.0,178528.0,277758.0,70949.0,266739.0,492179.0,232632.0,194925.0,327320.0,196887.0,522764.0,-1209096.0,388637.0,221934.0,338571.0,170172.0,382579.0,399042.0,288234.0,417875.0,338778.0,294105.0,287365.0,116838.0,441340.0,484553.0,502750.0,427877.0,531876.0,-2918.0,394351.0,-2629568.0,547975.0,351215.0,726623.0,441554.0,679954.0,384449.0,46153.0,-532316.0,611492.0,112135.0,702644.0,-470592.0
Przychody finansowe,18159.0,23474.0,18727.0,32511.0,42442.0,41850.0,47404.0,38674.0,47010.0,31917.0,34974.0,26592.0,34142.0,48800.0,60972.0,40156.0,45457.0,27476.0,38273.0,37440.0,22245.0,14220.0,17882.0,33797.0,19002.0,21972.0,29402.0,10802.0,18574.0,8825.0,15503.0,41595.0,14064.0,28218.0,5607.0,28461.0,66183.0,-3664.0,-1516.0,78715.0,17905.0,69631.0,-38663.0,29870.0,17947.0,9223.0,64816.0,-27865.0,131274.0,-107938.0,8017.0,22993.0,22482.0,13218.0,12243.0,77163.0,15760.0,71537.0,69656.0,63976.0,35385.0,41522.0,71629.0,74012.0
