,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Period,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,134265.0,115507.0,139790.0,174265.0,171227.0,177823.0,234437.0,263769.0,284168.0,263766.0,162354.0,226081.0,279183.0,286972.0,184360.0,339817.0,313636.0,266094.0,276017.0,408470.0,424882.0,418463.0,234402.0,369010.0,362368.0,418674.0,206433.0,319469.0,298684.0,399023.0,283602.0,425487.0,428274.0,554692.0,336236.0,502845.0,495654.0,428547.0,367976.0,420192.0,425391.0,576217.0,344085.0,432235.0,505878.0,523261.0,432355.0,527407.0,664802.0,707332.0,600967.0,597755.0,590322.0,524319.0,439746.0,644776.0,522361.0,621461.0,536650.0,754051.0,880969.0,930425.0,763949.0,1026168.0,1005404.0,1060128.0,720580.0,861610.0,865039.0,787134.0
Techniczny koszt wytworzenia produkcji sprzedanej,133709.0,99581.0,129425.0,154521.0,157879.0,164918.0,214423.0,242481.0,253593.0,233185.0,130272.0,197470.0,250592.0,258145.0,163703.0,306562.0,288848.0,268918.0,278338.0,411743.0,406998.0,394326.0,214366.0,348927.0,342673.0,394390.0,188514.0,300876.0,273239.0,370070.0,263626.0,399029.0,405838.0,524320.0,313878.0,463613.0,452153.0,411937.0,339333.0,392745.0,395557.0,532649.0,319201.0,396652.0,474328.0,483644.0,407726.0,542020.0,622849.0,670159.0,573414.0,562709.0,552002.0,478539.0,410318.0,598747.0,471270.0,554493.0,478928.0,683832.0,824561.0,821459.0,714296.0,965145.0,948160.0,1005899.0,676943.0,784767.0,808479.0,755063.0
Koszty sprzedaży,39.0,-118.0,0.0,0.0,0.0,435.0,0.0,1281.0,27.0,28.0,1274.0,37.0,45.0,87.0,323.0,747.0,615.0,1306.0,495.0,1121.0,1040.0,1014.0,572.0,633.0,598.0,2236.0,850.0,1086.0,809.0,773.0,984.0,1242.0,1231.0,1493.0,1343.0,2232.0,1260.0,1658.0,1913.0,954.0,1144.0,1225.0,1299.0,1418.0,1224.0,1547.0,1417.0,1336.0,1295.0,1306.0,1282.0,1436.0,1357.0,1928.0,1922.0,1936.0,2656.0,2495.0,2687.0,2764.0,2903.0,2476.0,2764.0,3364.0,3143.0,3988.0,3849.0,3332.0,3860.0,4449.0
Koszty ogólnego zarządu,613.0,8639.0,3856.0,7789.0,8275.0,2259.0,7267.0,9434.0,5184.0,14562.0,11609.0,10341.0,12825.0,13849.0,13275.0,11815.0,11678.0,14063.0,11758.0,11018.0,12202.0,10919.0,12364.0,13100.0,9515.0,11378.0,14200.0,10747.0,13078.0,16449.0,13746.0,13746.0,12964.0,16110.0,14167.0,18554.0,16352.0,22485.0,19726.0,19387.0,19100.0,22117.0,22135.0,23188.0,20739.0,19943.0,21546.0,23966.0,24204.0,22542.0,24082.0,26307.0,19004.0,22842.0,23556.0,27256.0,27406.0,40338.0,59189.0,37153.0,28338.0,61239.0,43421.0,48620.0,47143.0,41596.0,48276.0,45949.0,62180.0,38882.0
Zysk ze sprzedaży,-96.0,7405.0,6509.0,11955.0,5073.0,10211.0,12747.0,10573.0,25364.0,15991.0,19199.0,18233.0,15721.0,14891.0,7059.0,20693.0,12495.0,-18193.0,-14574.0,-15412.0,4642.0,12204.0,7100.0,6350.0,9582.0,10670.0,2869.0,6760.0,11558.0,11731.0,5246.0,11470.0,8241.0,12769.0,6848.0,18446.0,25889.0,-7533.0,7004.0,7106.0,9590.0,20226.0,1450.0,10977.0,9587.0,18127.0,1666.0,-39915.0,16454.0,13325.0,2189.0,7303.0,17959.0,21010.0,3950.0,16837.0,21029.0,24135.0,-4154.0,30302.0,25167.0,45251.0,3468.0,9039.0,6958.0,8645.0,-8488.0,27562.0,-9480.0,-11260.0
Pozostałe przychody operacyjne,3832.0,458.0,1655.0,2195.0,6541.0,-2882.0,1078.0,2014.0,847.0,809.0,2207.0,332.0,556.0,1662.0,2431.0,-155.0,1263.0,2230.0,182.0,3847.0,3697.0,-2482.0,1359.0,1015.0,858.0,-161.0,5111.0,-3699.0,6586.0,-597.0,1297.0,1651.0,2898.0,7912.0,2274.0,6302.0,1225.0,9950.0,7405.0,18116.0,-267.0,-13787.0,3322.0,3560.0,4099.0,2509.0,3724.0,4194.0,-758.0,-4658.0,4364.0,12454.0,3435.0,-1454.0,1056.0,3586.0,5810.0,1364.0,2593.0,3675.0,2025.0,-9244.0,2642.0,127.0,1587.0,-3956.0,2515.0,-4254.0,53355.0,-21608.0
Pozostałe koszty operacyjne,1400.0,-561.0,1435.0,1529.0,14.0,5508.0,915.0,2874.0,37.0,4756.0,4856.0,1502.0,2115.0,3851.0,1556.0,911.0,1217.0,3267.0,85.0,1724.0,1568.0,988.0,959.0,682.0,1081.0,4638.0,5667.0,-2786.0,5626.0,-977.0,403.0,2648.0,1531.0,3774.0,583.0,7640.0,10010.0,-6360.0,2012.0,2162.0,501.0,4891.0,828.0,3635.0,3495.0,7956.0,445.0,9665.0,2399.0,-1168.0,777.0,161.0,2874.0,5048.0,428.0,3940.0,1349.0,1432.0,-665.0,3198.0,1730.0,538.0,1385.0,1492.0,439.0,4336.0,1792.0,5323.0,2048.0,-908.0
Zysk operacyjny (EBIT),2336.0,8424.0,6729.0,12621.0,11600.0,1821.0,12910.0,9713.0,26174.0,12044.0,16550.0,17063.0,14162.0,12702.0,7934.0,19627.0,12541.0,-19230.0,-14477.0,-13289.0,6771.0,8734.0,7500.0,6683.0,9359.0,5871.0,2313.0,5847.0,12518.0,12111.0,6140.0,10473.0,9608.0,16907.0,8539.0,17108.0,17104.0,8777.0,12397.0,23060.0,8822.0,1548.0,3944.0,10902.0,10191.0,12680.0,4945.0,-45386.0,13297.0,9835.0,5776.0,19596.0,18520.0,14508.0,4578.0,16483.0,25490.0,24067.0,-896.0,30779.0,25462.0,35469.0,4725.0,7674.0,8106.0,353.0,-7765.0,17985.0,41827.0,-31960.0
Przychody finansowe,-147.0,243.0,134.0,454.0,726.0,10226.0,1283.0,2156.0,2247.0,4869.0,2994.0,-192.0,-423.0,4434.0,535.0,1096.0,442.0,2274.0,932.0,2317.0,4296.0,149.0,1873.0,1392.0,1247.0,4592.0,1603.0,1978.0,-599.0,598.0,665.0,524.0,968.0,1823.0,1120.0,958.0,444.0,2290.0,954.0,4515.0,-1499.0,3856.0,0.0,2018.0,1142.0,-71.0,4493.0,3820.0,-2381.0,615.0,104.0,780.0,912.0,770.0,1845.0,865.0,1921.0,2450.0,706.0,622.0,554.0,6935.0,2509.0,6157.0,7102.0,-936.0,3550.0,5457.0,1045.0,6691.0
