,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,13.3,93.17,41.59,79.59,76.36,0.43,-7.19,-10.69,-8.67,-7.52,7.56,-0.21,6.39,-3.64,-2.0,1.06,7.5,9.11,2.97,13.12,15.08,14.93,9.08,16.83,14.06,5.2,15.9,3.28,7.61,11.03,6.38,20.98,10.23,11.06,13.58,10.04,13.99,5.85,20.97,18.2,30.89,95.77,52.98,64.88,56.59,2.25,0.02,-5.85,-18.88,-18.55,-5.92,-4.05
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,19.08,81.23,26.04,60.32,76.02,4.3,-0.55,-10.05,-11.24,-10.86,4.07,0.22,3.79,-5.74,-3.51,-3.35,10.56,11.09,6.17,20.67,15.83,15.35,4.3,12.52,10.98,4.34,15.65,2.19,5.8,7.15,6.07,23.3,11.64,13.82,13.03,7.4,12.39,5.26,17.73,17.57,32.32,89.86,59.66,64.47,60.47,5.67,8.3,0.67,-17.46,-18.4,-15.09,-14.72
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-7.36,169.26,143.88,286.95,77.9,-16.19,-29.77,-13.56,3.05,10.32,24.34,-2.23,16.58,5.43,4.09,22.02,-3.19,1.46,-8.98,-15.33,12.07,13.14,29.92,39.96,26.73,8.88,16.77,8.0,14.17,27.03,7.47,11.49,5.54,1.43,15.49,21.91,19.67,8.16,31.8,20.68,26.14,118.23,33.03,66.46,43.1,-9.07,-29.7,-30.78,-24.43,-19.11,44.76,55.39
Pozostałe przychody operacyjne,,,,,-4.17,256.06,8700.0,-1.05,604.35,21.28,16.67,12.47,-21.81,-54.39,-36.69,12.26,11.32,199.23,33.33,2.1,-10.4,9.0,93.46,-40.74,17.41,15.57,-28.03,31.25,27.87,31.63,-1.38,120.11,-12.65,-29.77,15.41,-36.66,140.24,33.55,26.21,-112.9,-68.26,7.93,76.15,1258.82,-11.35,20.21,147.16,-27.03,77.98,-46.5,442.31,1389.04,237.79,173.81,-99.43,-95.84
Pozostałe koszty operacyjne,,,,,-17.92,94.84,144.68,89.81,101.57,21.44,-4.91,-14.27,-3.89,-21.89,13.2,2.36,11.27,20.35,-11.48,4.95,-0.53,6.64,17.07,1.04,27.28,10.38,14.41,27.9,9.76,16.93,11.86,22.2,24.46,15.85,14.9,8.46,-0.08,6.49,4.18,17.82,17.9,-10.02,17.05,29.04,41.0,140.72,109.54,57.17,58.1,-2.11,-10.72,-14.66,-19.84,-8.07,1.96,19.44
Zysk operacyjny (EBIT),,,,,-1.77,242.08,148.4,2873.3,75.08,-35.57,-38.58,-11.35,5.12,40.0,28.76,-5.61,18.81,0.02,12.94,38.18,-4.64,-1.73,-17.6,-29.97,5.4,15.32,36.12,53.33,36.03,4.36,18.72,-0.39,8.56,32.15,4.16,10.12,12.68,-0.97,21.64,18.71,14.47,21.8,39.52,19.27,18.58,101.61,8.29,72.17,35.37,-14.63,-7.7,-11.64,-22.49,-24.43,10.56,27.56
Przychody finansowe,,,,,800.0,201.92,-202.4,-100.42,38.02,-582.8,111.7,67900.0,-80.13,131.4,-291.25,-15.56,-17.72,-19.75,15.69,-95.02,-76.92,-84.82,69.77,-43.86,-100.0,100.0,161.54,-165.62,,2834.48,3854.17,-5452.38,27.65,-207.58,-100.0,100.26,-99.95,100.16,,100.0,104100.0,-11966.67,111350.0,10833.33,-99.42,4392.42,-99.91,-100.3,-100.0,-99.03,-7400.0,650.0,,-360.81,478.08,-4836.36
