,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,305.56,-29.4,127.54,-13.9,-74.07,-48.53,-81.36,102.57,335.09,44.92,418.08,-50.3,114.57,162.73,51.57,11.4
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,75.11,-49.27,55.25,-16.77,-34.73,6.06,-70.34,223.19,145.27,78.44,326.25,-63.44,72.66,78.68,76.76,56.66
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,201.43,222.12,769.64,-3.37,-223.47,-157.42,-113.07,-278.21,46.01,-168.42,181.63,125.55,267.61,43.14,-807.5,-359.33
Pozostałe przychody operacyjne,,,,,,,-100.0,-100.0,-100.0,,,,,,,,,,750.0,-100.0
Pozostałe koszty operacyjne,,,,,0.0,-41.67,-87.68,-347.83,-100.0,-100.0,-100.0,529.82,,,,225.31,,,-99.8,216.06
Zysk operacyjny (EBIT),,,,,178.15,293.26,295.63,13.91,-241.4,-159.71,-113.69,-306.01,46.01,-168.42,-7871.43,48.26,255.63,22.64,92.99,-456.55
Przychody finansowe,,,,,-91.68,-100.97,-99.92,-44.88,447.32,72.73,75900.0,-99.23,-98.86,933.33,-96.84,2000.0,857.14,392.0,183.33,-79.76
Koszty finansowe,,,,,,,,-3150.0,32300.0,-235.71,-100.0,104.92,-100.0,363.16,,104500.0,,406.0,-123.73,-99.33
Pozostałe przychody (koszty),,,,,,13.04,27.27,14413.16,600.0,280.0,1075.0,-99.04,-78.95,-313.89,-78.21,-579.25,-370.0,51.95,-270.59,-88.19
Zysk z działalności gospodarczej,,,,,-74.91,-74.69,-70.08,200.38,-56.47,-151.48,162.13,-114.09,-195.04,-322.29,-597.34,-275.52,244.35,9.35,94.37,6.57
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-74.91,-74.69,-70.08,200.38,-56.47,-151.48,162.13,-114.09,-195.04,-322.29,-597.34,-275.52,244.35,9.35,94.37,6.57
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-71.35,-71.53,-67.35,186.93,-80.32,-147.77,147.96,-116.7,-334.69,-362.59,-687.26,-230.66,254.78,14.31,93.31,-9.72
Zysk netto akcjonariuszy jednostki dominującej,,,,,-76.99,-81.12,-90.17,181.71,-72.0,-168.39,728.4,-117.32,-296.43,-382.58,-682.86,-229.98,266.36,14.76,93.43,-7.03
Aktywa trwałe,,,,,,,,36.21,64.42,26.69,68.59,-9.79,-18.57,-11.09,2.42,-31.56,-42.62,-43.34,-40.54,-26.76
Wartości niematerialne i prawne,,,,,,,,-23.93,420.51,423.08,400.0,524.72,-12.97,-17.97,-18.8,-19.6,-20.75,-21.91,-23.16,-24.61
Rzeczowe składniki majątku trwałego,,,,,,,,-52.0,-43.59,-43.24,-25.42,408.33,177.27,219.05,81.82,22.95,29.51,34.33,32.5,25.33
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,486.55,538.93,34.78,61.45,-15.73,-19.38,-11.28,3.34,-41.31,-53.02,-54.17,-51.12,-35.36
Pozostałe aktywa trwałe,,,,,,,,-100.0,-100.0,-100.0,,,,,,,,6800.0,3355.0,25.52
Aktywa obrotowe,,,,,,,,246.17,315.06,195.33,-13.48,-4.02,0.21,3.64,-21.06,-21.67,-17.18,-16.74,-0.26,12.46
Zapasy,,,,,,,,65.94,67.93,66.04,66.51,55.71,53.26,38.11,-12.69,-21.44,-12.78,-1.0,59.19,57.59
Należności krótkoterminowe,,,,,,,,-64.8,130.0,70.04,-97.22,154.69,82.03,-12.56,34.72,58.49,61.15,8.19,22.68,47.02
Inwestycje krótkoterminowe,,,,,,,,649.41,1554.23,877.73,437.41,-24.84,-22.11,-14.01,-27.51,-25.29,-24.23,-32.1,-41.39,-21.65
Środki pieniężne i inne aktywa pieniężne,,,,,,,,635.7,620.4,945.39,437.14,-22.23,14.49,-17.69,-31.86,-30.17,11.92,-31.04,-39.42,-25.05
Pozostałe aktywa obrotowe,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,,,,146.9,186.3,112.19,-1.6,-5.52,-5.33,-0.69,-15.24,-24.13,-23.64,-23.75,-12.33,3.65
Kapitał własny akcjonariuszy jednostki dominującej,,,,,58.68,54.86,194.48,144.76,195.07,119.3,2.44,-4.54,-5.27,-0.34,-16.53,-25.63,-25.16,-25.06,-13.8,3.71
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,24.44,24.44,24.44,24.44,0.54,0.54,0.54,0.54,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,235.9,118.95,118.95,118.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,344.04,203.82,46.42,-8.45,-4.13,-3.56,-3.4,-4.08,-6.47,-6.74,-7.27,-6.94,-26.73
Zobowiązania długoterminowe,,,,,,,,13922.22,246.83,150.21,149.52,-18.46,-18.61,-13.41,-1.91,-3.5,-6.94,-3.31,5.45,9.16
Z tytułu dostaw i usług,,,,,,,,36.19,414.49,142.72,152.11,3.29,15.63,7.02,19.3,-3.05,1.1,-11.68,9.3,12.31
Kredyty i pożyczki,,,,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,,,13922.22,246.83,150.21,149.52,-18.46,-18.61,-13.41,-1.91,-3.5,-6.94,-3.31,5.45,9.16
Zobowiązania krótkoterminowe,,,,,,,,10.85,6.13,-2.85,-72.92,-21.46,15.63,7.02,14.43,-3.05,1.1,-11.68,9.3,12.31
Inne zobowiązania krótkoterminowe,,,,,,,,-30.3,-100.0,-100.0,-98.77,-100.0,,,-100.0,,,,,
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,76.35,73.26,228.6,146.9,186.3,112.19,-1.6,-5.52,-5.33,-0.69,-15.24,-24.13,-23.64,-23.75,-12.33,3.65
Przepływy pieniężne z działalności operacyjnej,,,,,100.0,-136.72,12.09,184.19,,-34.44,33.58,-188.99,26.14,39.83,25.37,53.03,41.23,-64.68,-99.88,-497.05
Amortyzacja,,,,,,,-66.67,300.0,0.0,1300.0,900.0,650.0,3100.0,17.86,13.33,16.67,9.38,9.09,11.76,8.57
Przepływy pieniężne z działalności inwestycyjnej,,,,,5.84,1420.79,64.43,-95.68,-7624.03,544.01,-19.2,-117.09,48.26,-57.16,-107.01,35.0,95.46,-93.77,120.11,-1807.69
CAPEX (niematerialne i rzeczowe),,,,,,,-30.56,,-100.0,,-100.0,2442.31,,,,-99.18,-100.0,-100.0,-100.0,1040.0
Przepływy pieniężne z działalności finansowej,,,,,-8.34,,-100.0,30302.13,100.0,-2426.15,,-99.98,,100.0,,-100.0,,,,
Emisja akcji,,,,,-100.0,,-100.0,,,-100.0,,-100.0,,,,,,,,
Dywidenda,,,,,3.03,,,,-100.0,,,,,-100.0,,,,,,
Przepływy pieniężne razem,,,,,22.52,220.73,424.75,1296.33,-577.56,1388.26,-4.2,-107.51,45.72,-51.58,-166.01,52.6,86.96,-137.89,-59.65,-527.7
