,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,252.0,1544.0,639.0,2216.0,1022.0,1090.0,1454.0,1908.0,265.0,561.0,271.0,3865.0,1153.0,813.0,1404.0,1921.0,2474.0,2136.0,2128.0,2140.0
Techniczny koszt wytworzenia produkcji sprzedanej,462.0,1431.0,695.0,1741.0,809.0,726.0,1079.0,1449.0,528.0,770.0,320.0,4683.0,1295.0,1374.0,1364.0,1712.0,2236.0,2455.0,2411.0,2682.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-210.0,113.0,-56.0,475.0,213.0,364.0,375.0,459.0,-263.0,-209.0,-49.0,-818.0,-142.0,-561.0,40.0,209.0,238.0,-319.0,-283.0,-542.0
Pozostałe przychody operacyjne,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,1.0,17.0,0.0
Pozostałe koszty operacyjne,28.0,24.0,138.0,23.0,28.0,14.0,17.0,-57.0,0.0,0.0,0.0,245.0,0.0,0.0,3948.0,797.0,17.0,116.0,8.0,2519.0
Zysk operacyjny (EBIT),-238.0,89.0,-183.0,453.0,186.0,350.0,358.0,516.0,-263.0,-209.0,-49.0,-1063.0,-142.0,-561.0,-3906.0,-550.0,221.0,-434.0,-274.0,-3061.0
Przychody finansowe,1346.0,1139.0,1200.0,1885.0,112.0,-11.0,1.0,1039.0,613.0,-3.0,760.0,8.0,7.0,25.0,24.0,168.0,67.0,123.0,68.0,34.0
Koszty finansowe,0.0,0.0,0.0,2.0,1.0,14.0,50.0,-61.0,324.0,-19.0,0.0,3.0,0.0,50.0,59.0,3138.0,68.0,253.0,-14.0,21.0
Pozostałe przychody (koszty),0.0,-23.0,-11.0,38.0,-19.0,-20.0,-8.0,5515.0,95.0,36.0,78.0,53.0,20.0,-77.0,17.0,-254.0,-54.0,-37.0,-29.0,-478.0
Zysk z działalności gospodarczej,1108.0,1205.0,1006.0,2374.0,278.0,305.0,301.0,7131.0,121.0,-157.0,789.0,-1005.0,-115.0,-663.0,-3924.0,-3774.0,166.0,-601.0,-221.0,-3526.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1108.0,1205.0,1006.0,2374.0,278.0,305.0,301.0,7131.0,121.0,-157.0,789.0,-1005.0,-115.0,-663.0,-3924.0,-3774.0,166.0,-601.0,-221.0,-3526.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,869.0,1022.0,824.0,1974.0,249.0,291.0,269.0,5664.0,49.0,-139.0,667.0,-946.0,-115.0,-643.0,-3917.0,-3128.0,178.0,-551.0,-262.0,-3432.0
Zysk netto akcjonariuszy jednostki dominującej,869.0,1022.0,824.0,1935.0,200.0,193.0,81.0,5451.0,56.0,-132.0,671.0,-944.0,-110.0,-637.0,-3911.0,-3115.0,183.0,-543.0,-257.0,-3334.0
Aktywa trwałe,0.0,0.0,0.0,6572.0,6174.0,7437.0,4824.0,8952.0,10151.0,9422.0,8133.0,8076.0,8266.0,8377.0,8330.0,5527.0,4743.0,4746.0,4953.0,4048.0
Wartości niematerialne i prawne,0.0,0.0,0.0,117.0,117.0,117.0,117.0,89.0,609.0,612.0,585.0,556.0,530.0,502.0,475.0,447.0,420.0,392.0,365.0,337.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,25.0,39.0,37.0,59.0,12.0,22.0,21.0,44.0,61.0,61.0,67.0,80.0,75.0,79.0,90.0,106.0,94.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,1509.0,1490.0,6521.0,4648.0,8851.0,9520.0,8789.0,7504.0,7459.0,7675.0,7798.0,7755.0,4378.0,3606.0,3574.0,3791.0,2830.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,4921.0,4528.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,627.0,638.0,690.0,691.0,787.0
Aktywa obrotowe,0.0,0.0,0.0,7328.0,5844.0,7647.0,28516.0,25367.0,24256.0,22584.0,24673.0,24348.0,24308.0,23407.0,19477.0,19073.0,20131.0,19489.0,19426.0,21450.0
Zapasy,0.0,0.0,0.0,3623.0,3994.0,4593.0,5181.0,6012.0,6707.0,7626.0,8627.0,9361.0,10279.0,10532.0,7532.0,7354.0,8965.0,10427.0,11990.0,11589.0
Należności krótkoterminowe,0.0,0.0,0.0,696.0,150.0,534.0,18103.0,245.0,345.0,908.0,504.0,624.0,628.0,794.0,679.0,989.0,1012.0,859.0,833.0,1454.0
Inwestycje krótkoterminowe,0.0,0.0,0.0,2550.0,1040.0,1437.0,2892.0,19110.0,17204.0,14050.0,15542.0,14363.0,13401.0,12081.0,11266.0,10730.0,10154.0,8203.0,6603.0,8407.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,0.0,2510.0,1000.0,1344.0,2892.0,18466.0,7204.0,14050.0,15534.0,14361.0,8248.0,11564.0,10585.0,10028.0,9231.0,7975.0,6412.0,7516.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,459.0,660.0,1083.0,2340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,0.0,0.0,13900.0,12018.0,15084.0,33340.0,34319.0,34407.0,32006.0,32806.0,32424.0,32574.0,31784.0,27807.0,24600.0,24874.0,24235.0,24379.0,25498.0
Kapitał własny akcjonariuszy jednostki dominującej,6815.0,8706.0,10146.0,12916.0,10814.0,13482.0,29878.0,31613.0,31909.0,29566.0,30606.0,30177.0,30226.0,29464.0,25547.0,22442.0,22622.0,22080.0,22021.0,23275.0
Kapitał (fundusz) podstawowy,450.0,450.0,450.0,450.0,450.0,450.0,450.0,560.0,560.0,560.0,560.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0,563.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,5429.0,8329.0,8329.0,8329.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0,18236.0
Udziały niekontrolujące,0.0,0.0,0.0,109.0,157.0,321.0,509.0,484.0,477.0,470.0,466.0,464.0,460.0,454.0,447.0,434.0,429.0,421.0,416.0,318.0
Zobowiązania długoterminowe,0.0,0.0,0.0,9.0,378.0,474.0,420.0,1262.0,1311.0,1186.0,1048.0,1029.0,1067.0,1027.0,1028.0,993.0,993.0,993.0,1084.0,1084.0
Z tytułu dostaw i usług,0.0,0.0,0.0,536.0,138.0,323.0,261.0,730.0,710.0,784.0,658.0,754.0,821.0,839.0,785.0,731.0,830.0,741.0,858.0,821.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,9.0,378.0,474.0,420.0,1262.0,1311.0,1186.0,1048.0,1029.0,1067.0,1027.0,1028.0,993.0,993.0,993.0,1084.0,1084.0
Zobowiązania krótkoterminowe,0.0,0.0,0.0,866.0,669.0,807.0,2533.0,960.0,710.0,784.0,686.0,754.0,821.0,839.0,785.0,731.0,830.0,741.0,858.0,821.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,330.0,531.0,484.0,2272.0,230.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,6815.0,8706.0,10146.0,13900.0,12018.0,15084.0,33340.0,34319.0,34407.0,32006.0,32806.0,32424.0,32574.0,31784.0,27807.0,24600.0,24874.0,24235.0,24379.0,25498.0
Przepływy pieniężne z działalności operacyjnej,-593.0,-482.0,-1836.0,-1543.0,0.0,-1141.0,-1614.0,1299.0,-1297.0,-1534.0,-1072.0,-1156.0,-958.0,-923.0,-800.0,-543.0,-563.0,-1520.0,-1599.0,-3242.0
Amortyzacja,0.0,0.0,9.0,1.0,1.0,2.0,3.0,4.0,1.0,28.0,30.0,30.0,32.0,33.0,34.0,35.0,35.0,36.0,38.0,38.0
Przepływy pieniężne z działalności inwestycyjnej,-137.0,101.0,1923.0,2708.0,-129.0,1536.0,3162.0,117.0,-9964.0,9892.0,2555.0,-20.0,-5155.0,4238.0,-179.0,-13.0,-234.0,264.0,36.0,-248.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,36.0,0.0,14.0,0.0,25.0,-26.0,0.0,0.0,0.0,609.0,5.0,12.0,19.0,5.0,0.0,0.0,0.0,57.0
Przepływy pieniężne z działalności finansowej,-1415.0,0.0,208.0,-47.0,-1533.0,65.0,0.0,14195.0,0.0,-1512.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emisja akcji,70.0,0.0,208.0,0.0,0.0,65.0,0.0,14114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,1485.0,0.0,0.0,0.0,1530.0,0.0,0.0,0.0,0.0,1512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-2145.0,-381.0,295.0,1118.0,-1662.0,460.0,1548.0,15611.0,-11261.0,6846.0,1483.0,-1173.0,-6113.0,3315.0,-979.0,-556.0,-797.0,-1256.0,-1563.0,-3490.0
