,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Period,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,56.33,111.62,-27.61,20.29,22.56,-36.88,41.37,-21.23,-1.68,153.04,-4.96,64.68,-16.12,-27.16,-3.79,-13.8,30.25,49.31
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,17.87,132.88,2.4,76.55,338.81,-96.94,51.89,-23.96,-37.52,12273.08,-30.67,131.4,7.83,-29.0,56.53,-0.42,43.22,61.12
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,75.18,100.83,-54.94,-16.27,-81.73,-1.52,19.62,-17.48,282.08,-68.57,62.61,-19.58,-47.14,-13.87,-71.37,-62.4,-4.03,-20.78
Pozostałe przychody operacyjne,,,,,,,,,,-552.21,-83.45,366.67,-25.55,93.54,-100.0,-100.0,-100.0,190.91,,,,80.0
Pozostałe koszty operacyjne,,,,,,,,,,42.33,-23.48,32.62,93.63,155.76,-100.0,-100.0,-100.0,-16.86,,,,-90.56
Zysk operacyjny (EBIT),,,,,75.18,90.26,-52.66,-28.08,-75.0,-53.07,0.8,-24.52,141.43,-142.68,83.67,2.37,-38.86,42.7,-70.28,-88.14,-4.19,294.27
Przychody finansowe,,,,,3220.0,-416.22,272.5,196.3,-132.69,56.41,168.46,-1246.15,1056.86,425.49,11.25,406.04,176.23,-732.53,-46.97,-104.61,-98.52,110.0
Koszty finansowe,,,,,325.0,,,,-88.24,225.0,,-100.0,-100.0,-67.31,,,,-67.65,200.0,2942.86,-5350.0,7627.27
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,91.47,61.24,-40.75,-24.28,-79.82,-60.05,39.41,-61.11,309.26,-129.16,51.22,358.33,30.36,-757.75,-63.27,-139.22,-41.83,63.55
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,91.47,61.24,-40.75,-24.28,-79.82,-60.05,39.41,-61.11,309.26,-129.16,51.22,358.33,30.36,-757.75,-63.27,-139.22,-41.83,63.55
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,166.89,-12.36,-51.96,2.2,-76.76,-48.17,80.16,-58.15,174.36,-92.93,50.28,392.28,31.81,-5245.0,-75.53,-127.56,-30.29,61.71
Zysk netto akcjonariuszy jednostki dominującej,,,,,166.89,-12.36,-51.96,2.2,-76.76,-48.17,80.16,-58.15,174.36,-92.93,50.28,392.28,31.81,-5245.0,-75.53,-127.56,-30.29,61.71
Aktywa trwałe,,,,,,355.63,616.81,,51.36,-1.6,-24.32,-43.91,-50.69,57.46,63.46,222.15,365.73,54.32,63.57,137.32,150.0,251.49
Wartości niematerialne i prawne,,,,,,264.24,500.0,,0.63,-24.36,-51.62,-59.22,-71.04,-56.01,-46.04,-29.05,43.88,3.28,1.13,945.03,1134.0,2000.0
