,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,55.1,40.85,18.41,45.31,10.31,30.45,33.4,-1.26,19.84
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,70.51,27.95,34.1,82.07,29.12,48.94,56.51,0.42,10.9
Koszty sprzedaży,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,36.25,57.83,5.91,12.16,-18.5,10.71,10.08,-3.72,41.52
Pozostałe przychody operacyjne,,,,,13.89,,27.13,-17.48,566.13,,4.88,-34.26,100.69
Pozostałe koszty operacyjne,,,,,-82.0,,1080.77,300.91,1530.56,,-44.25,-98.19,294.21
Zysk operacyjny (EBIT),,,,,36.97,57.83,3.1,11.42,-18.92,11.23,11.76,-3.36,38.39
Przychody finansowe,,,,,1632.53,362.77,-97.91,359.93,-132.09,87.51,-13.25,-58.37,247.45
Koszty finansowe,,,,,223.63,61.52,2226.47,1756.76,1743.17,1661.91,73.85,17.63,115.8
Pozostałe przychody (koszty),,,,,-1670.8,,,-107.66,85.97,-20.11,214.82,574.07,1329.47
Zysk z działalności gospodarczej,,,,,33.58,62.39,-58.96,-6.38,-48.62,-4.79,10.15,-6.6,22.57
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,33.58,62.39,-58.96,-6.38,-48.62,-4.79,10.15,-6.6,22.57
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,,,,35.18,55.67,-61.56,-3.53,-67.07,-4.14,20.98,-4.33,94.31
Zysk netto akcjonariuszy jednostki dominującej,,,,,32.07,55.98,-61.65,-3.53,-66.3,-4.34,21.27,-4.33,75.29
Aktywa trwałe,,,,,87.23,,,314.67,254.03,235.65,-5.47,-4.04,-6.22
Wartości niematerialne i prawne,,,,,124.58,,,12512.66,8997.07,8116.25,-6.47,-2.0,-4.81
Rzeczowe składniki majątku trwałego,,,,,-14.87,,,-3.61,-10.69,-3.16,-18.87,-20.9,60.65
Należności długoterminowe,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,171.8,,,3.06,-1.05,-8.39,-2.02,-0.85,-14.87
Pozostałe aktywa trwałe,,,,,28.99,,,733.89,87.07,66.82,6.39,-25.7,-28.27
Aktywa obrotowe,,,,,47.52,,,-11.16,-19.96,-5.4,3.18,40.92,25.72
Zapasy,,,,,,,,,,,-24.32,86.34,-51.66
Należności krótkoterminowe,,,,,84.72,,,48.67,31.18,4.71,-15.54,-9.17,-6.58
Inwestycje krótkoterminowe,,,,,39.64,,,-46.38,-47.65,-28.28,0.43,86.8,49.2
Środki pieniężne i inne aktywa pieniężne,,,,,36.69,,,-43.63,-40.74,-22.55,8.77,106.63,49.5
Pozostałe aktywa obrotowe,,,,,62.42,,,457.15,357.99,233.33,165.9,12.83,28.44
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,,,,63.27,,,140.82,104.66,93.31,-2.96,4.81,0.59
Kapitał własny akcjonariuszy jednostki dominującej,,,,,141.44,125.96,25.67,50.11,26.59,17.29,28.35,20.43,15.14
Kapitał (fundusz) podstawowy,,,,,1.69,,,1.93,0.24,0.24,0.24,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,1.18,,,119.55,119.55,119.55,26.18,26.18,26.18
Udziały niekontrolujące,,,,,105.56,105.09,103.7,158.33,175.0,372.73,550.0,614.29,15.15
Zobowiązania długoterminowe,,,,,103.25,,,795.4,566.09,551.59,-19.22,-20.4,-16.3
Z tytułu dostaw i usług,,,,,74.87,,,238.29,108.05,309.24,-16.4,-1.68,8.66
Kredyty i pożyczki,,,,,-100.0,,,,,,0.25,0.06,-62.92
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,8.14,,,11.35,19.05,0.1,11.45,-15.55,-4.3
Inne zobowiązania długoterminowe,,,,,1229.63,,,173.92,41.72,44.68,-4.21,34.09,-22.44
Zobowiązania krótkoterminowe,,,,,12.06,,,97.51,83.68,97.8,-4.79,16.8,3.78
Inne zobowiązania krótkoterminowe,,,,,33.04,,,55.23,48.47,55.19,-4.56,25.26,19.87
Rozliczenia międzyokresowe,,,,,,,,,,,,,
Pasywa razem,,,,,63.27,323.38,534.34,140.82,104.66,93.31,-2.96,4.81,0.59
Przepływy pieniężne z działalności operacyjnej,,,,,68.43,60.77,5.06,5.58,-26.02,54.5,-14.75,121.84,12.38
Amortyzacja,,,,,12.92,7.56,3.12,179.16,-55.17,77.7,274.45,6.65,492.12
Przepływy pieniężne z działalności inwestycyjnej,,,,,-1346.55,-94.7,-6329.27,241.32,76.36,50.0,99.12,-212.45,-108.91
CAPEX (niematerialne i rzeczowe),,,,,391.44,44.18,130.21,55.73,148.05,218.05,1.15,65.29,-9.97
Przepływy pieniężne z działalności finansowej,,,,,-985.47,81.48,488.33,-2453.62,2.87,-1057.48,-106.66,21.79,-156.56
Emisja akcji,,,,,,,,-100.0,,,,,
Dywidenda,,,,,2390900.0,,-100.0,4169.23,-100.0,,,-25.0,
Przepływy pieniężne razem,,,,,-9.24,121.19,-1.76,-522.43,-29.75,36.99,182.05,61.73,-142.99
