,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,84630.0,100888.0,116706.0,126254.0,131265.0,142096.0,138195.0,183460.0,144798.0,185370.0,184348.0,181155.0,173525.0
Techniczny koszt wytworzenia produkcji sprzedanej,46571.0,57357.0,51758.0,59867.0,79409.0,73390.0,69407.0,108999.0,102533.0,109305.0,108626.0,109461.0,113712.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,38059.0,43531.0,64948.0,66387.0,51856.0,68706.0,68788.0,74461.0,42265.0,76065.0,75722.0,71694.0,59813.0
Pozostałe przychody operacyjne,-72.0,0.0,564.0,612.0,-62.0,0.0,717.0,505.0,289.0,828.0,752.0,332.0,580.0
Pozostałe koszty operacyjne,200.0,0.0,182.0,110.0,36.0,0.0,2149.0,441.0,587.0,472.0,1198.0,8.0,2314.0
Zysk operacyjny (EBIT),37787.0,43531.0,65330.0,66889.0,51758.0,68706.0,67356.0,74525.0,41967.0,76421.0,75276.0,72018.0,58079.0
Przychody finansowe,166.0,282.0,86848.0,916.0,2876.0,1305.0,1812.0,4213.0,-923.0,2447.0,1572.0,1754.0,1361.0
Koszty finansowe,-622.0,447.0,238.0,562.0,769.0,722.0,5537.0,10435.0,14174.0,12721.0,9626.0,12275.0,30588.0
Pozostałe przychody (koszty),137.0,0.0,0.0,5285.0,-2152.0,1134.0,-1275.0,-405.0,-302.0,906.0,1464.0,1920.0,3713.0
Zysk z działalności gospodarczej,38712.0,43366.0,151940.0,72528.0,51713.0,70423.0,62356.0,67898.0,26568.0,67053.0,68686.0,63417.0,32565.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,38712.0,43366.0,151940.0,72528.0,51713.0,70423.0,62356.0,67898.0,26568.0,67053.0,68686.0,63417.0,32565.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,31859.0,35354.0,122717.0,54546.0,43066.0,55035.0,47176.0,52621.0,14181.0,52754.0,57075.0,50342.0,27555.0
Zysk netto akcjonariuszy jednostki dominującej,31859.0,35354.0,122717.0,54546.0,42076.0,55146.0,47065.0,52621.0,14181.0,52754.0,57075.0,50342.0,24858.0
Aktywa trwałe,121385.0,0.0,0.0,199548.0,227271.0,239838.0,816526.0,827469.0,804615.0,805018.0,771823.0,794064.0,754564.0
Wartości niematerialne i prawne,2750.0,0.0,0.0,4614.0,6176.0,6848.0,586664.0,581948.0,561835.0,562649.0,548725.0,570331.0,534805.0
Rzeczowe składniki majątku trwałego,36136.0,0.0,0.0,33206.0,30764.0,29416.0,31675.0,32008.0,27475.0,28485.0,25697.0,25317.0,44139.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,58762.0,0.0,0.0,155319.0,159713.0,167156.0,159929.0,160069.0,158029.0,153133.0,156699.0,158707.0,134535.0
Pozostałe aktywa trwałe,23737.0,0.0,0.0,6409.0,30618.0,36418.0,38258.0,53444.0,57276.0,60751.0,40702.0,39709.0,41085.0
Aktywa obrotowe,184670.0,0.0,0.0,228267.0,272434.0,345824.0,333948.0,202796.0,218058.0,327153.0,344576.0,285776.0,274145.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,19395.0,3967.0,3912.0,26655.0,14678.0,7392.0,1891.0
Należności krótkoterminowe,30175.0,0.0,0.0,46967.0,55739.0,67924.0,78966.0,69828.0,73121.0,71124.0,66697.0,63427.0,68312.0
Inwestycje krótkoterminowe,150309.0,0.0,0.0,174987.0,209896.0,266409.0,219507.0,93828.0,109886.0,191071.0,220444.0,175270.0,163947.0
Środki pieniężne i inne aktywa pieniężne,135227.0,0.0,0.0,149925.0,184836.0,241381.0,201710.0,84508.0,109538.0,186959.0,219402.0,174623.0,163756.0
Pozostałe aktywa obrotowe,4186.0,0.0,0.0,6313.0,6799.0,11491.0,16080.0,35173.0,31139.0,38303.0,42757.0,39687.0,39995.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,306055.0,0.0,0.0,427815.0,499705.0,585662.0,1150474.0,1030265.0,1022673.0,1132171.0,1116399.0,1079840.0,1028709.0
Kapitał własny akcjonariuszy jednostki dominującej,103191.0,138545.0,181581.0,204804.0,249145.0,313059.0,228187.0,307431.0,315381.0,367201.0,292874.0,370254.0,363145.0
Kapitał (fundusz) podstawowy,334867.0,0.0,0.0,334867.0,340521.0,340521.0,340521.0,341325.0,341325.0,341325.0,341325.0,341325.0,341325.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,107247.0,0.0,0.0,108516.0,108516.0,108516.0,238248.0,238247.0,238248.0,238248.0,300617.0,300617.0,300617.0
Udziały niekontrolujące,-216.0,-216.0,-216.0,-12.0,12.0,11.0,8.0,7.0,33.0,52.0,52.0,50.0,38.0
Zobowiązania długoterminowe,25196.0,0.0,0.0,40455.0,51212.0,49741.0,378523.0,362235.0,341119.0,324108.0,305788.0,288357.0,285530.0
Z tytułu dostaw i usług,9018.0,0.0,0.0,10264.0,15770.0,14951.0,49537.0,34722.0,32809.0,61186.0,41411.0,34139.0,35650.0
Kredyty i pożyczki,29294.0,0.0,0.0,0.0,0.0,0.0,63463.0,63396.0,63492.0,63615.0,63619.0,63435.0,23543.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,8499.0,0.0,0.0,11392.0,9191.0,12036.0,9697.0,12685.0,10942.0,12048.0,10807.0,10713.0,10472.0
Inne zobowiązania długoterminowe,1549.0,0.0,0.0,7519.0,20596.0,20596.0,29992.0,20596.0,29189.0,29798.0,28728.0,27618.0,22640.0
Zobowiązania krótkoterminowe,177884.0,0.0,0.0,182568.0,199336.0,222851.0,543756.0,360592.0,366140.0,440810.0,517685.0,421179.0,379996.0
Inne zobowiązania krótkoterminowe,131073.0,0.0,0.0,160912.0,174375.0,195864.0,421059.0,249789.0,258897.0,303961.0,401848.0,312892.0,310331.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,306055.0,138329.0,181365.0,427815.0,499705.0,585662.0,1150474.0,1030265.0,1022673.0,1132171.0,1116399.0,1079840.0,1028709.0
Przepływy pieniężne z działalności operacyjnej,42431.0,44366.0,70678.0,38417.0,71467.0,71329.0,74256.0,40562.0,52872.0,110204.0,63303.0,89981.0,59417.0
Amortyzacja,2833.0,2872.0,3048.0,2918.0,3199.0,3089.0,3143.0,8146.0,1434.0,5489.0,11769.0,8688.0,8491.0
Przepływy pieniężne z działalności inwestycyjnej,-653.0,-6440.0,-7915.0,-4245.0,-9446.0,-12539.0,-508877.0,5999.0,-2233.0,-6269.0,-4461.0,-6746.0,-4665.0
CAPEX (niematerialne i rzeczowe),432.0,1410.0,1920.0,2625.0,2123.0,2033.0,4420.0,4088.0,5266.0,6466.0,4471.0,6757.0,4741.0
Przepływy pieniężne z działalności finansowej,-2423.0,-12384.0,-101714.0,-6415.0,-26301.0,-2293.0,394985.0,-163815.0,-25545.0,-26541.0,-26322.0,-128112.0,-65539.0
Emisja akcji,0.0,0.0,0.0,6307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,1.0,0.0,79681.0,3198.0,23910.0,0.0,0.0,136530.0,0.0,0.0,0.0,102398.0,0.0
Przepływy pieniężne razem,39355.0,25542.0,-38951.0,27757.0,35720.0,56497.0,-39636.0,-117254.0,25094.0,77394.0,32520.0,-44877.0,-10787.0
