,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,,,,,-1.51,15.05,25.18,14.41,19.18,-1.29,-10.2,6.88,-0.13,-1.57,1.03,-6.53,-4.7,-9.88,-3.54,8.38,-16.44,-6.45,-10.7,-10.26,16.43,13.52,-5.04,-13.29,-7.67,9.39,37.65,185.61,26.6,7.25,-8.32,-63.1,-0.37,-11.6,-18.77,13.12,14.69,9.81,1.37,-10.04,-4.37,11.46,18.88,26.3,8.99,10.24,5.09,-2.47,11.16,-17.5,-15.59
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,26.79,48.63,36.77,11.34,2.14,-10.22,-12.15,-2.86,-2.36,-4.98,-0.15,-7.73,-4.59,-10.23,-2.32,6.86,-16.78,-3.0,-9.95,-2.41,26.74,21.73,-0.6,-15.31,-3.94,19.29,56.07,220.06,32.54,-1.63,-15.16,-59.95,-1.49,-9.25,-20.66,-9.31,2.11,5.06,-1.77,0.18,3.39,26.47,19.46,41.65,3.34,7.11,11.84,-14.96,3.28,-27.14,-19.84
Koszty sprzedaży,,,,,-22.12,-12.61,-17.55,-16.9,39.37,-8.36,15.07,39.3,-1.03,35.35,-0.14,1.82,-0.08,-5.0,-9.67,7.39,-1.58,-12.18,23.09,-20.72,1.67,-9.74,-22.88,27.38,-16.48,0.35,19.97,117.88,22.07,14.11,-8.3,-44.22,-7.11,-11.07,16.08,-43.31,6.9,3.4,-22.62,1.75,-12.46,1.19,21.66,70.59,24.67,5.59,-1.02,-23.61,0.84,8.72,8.25
Koszty ogólnego zarządu,,,,,-5.78,6.52,2.58,10.48,11.07,12.11,0.12,84.32,-7.65,5.35,10.89,-0.02,1.5,2.33,-22.8,-21.52,-3.31,-0.26,8.35,8.27,10.99,-18.01,12.66,36.7,28.53,-31.16,-14.55,66.38,-33.51,57.95,10.58,-68.93,-2.33,-9.23,-14.76,22.52,-4.26,-3.08,-2.82,6.64,5.67,-0.66,-4.97,-0.06,19.1,21.1,13.38,-2.78,-12.54,-6.06,-10.52
Zysk ze sprzedaży,,,,,-209.08,-87.49,44.12,265.3,143.49,436.73,-32.73,3.51,90.5,-34.12,1.72,-17.08,-30.67,-41.13,24.01,66.47,-106.53,-60.84,-79.41,-55.83,-1251.56,130.17,-92.13,-157.13,-151.56,-81.4,-2768.97,-47.14,33.52,715.38,135.62,-175.52,40.89,-61.92,-255.99,198.53,415.03,328.64,271.86,-86.88,-69.2,-121.02,50.16,-773.81,80.11,181.19,-82.1,148.27,221.25,436.86,-26.85
Pozostałe przychody operacyjne,,,,,-48.04,8.51,-51.71,-77.26,25.19,29.83,286.57,-60.68,14.71,10.49,-53.56,109.65,15.79,-12.08,142.91,-311.35,-67.37,-82.57,-72.53,148.33,886.43,60.39,-30.38,8.26,-98.66,650.12,1396.19,34.12,2678.38,-98.66,-74.82,861.84,207.68,3385.37,121.37,-105.45,-88.33,-42.48,-4.22,680.47,480.76,374.57,-32.57,-75.3,-58.94,-6.56,8.73,218.43,-19.89,-54.07,73.08
Pozostałe koszty operacyjne,,,,,78.72,1485.84,-78.04,-1.66,594.05,-57.42,1116.87,53.66,-25.21,-72.21,-65.74,-59.71,61.47,284.91,367.92,196.67,-70.88,-54.29,-82.52,-29.42,176.59,227.61,366.43,-25.47,117.64,142.47,-44.39,256.89,-11.67,-47.79,-69.89,65.56,-16.06,7.05,229.41,-87.12,-22.62,-10.08,160.85,533.16,82.91,3.96,-50.97,-25.58,-76.14,115.76,-18.15,29.51,152.43,-37.81,321.78
Zysk operacyjny (EBIT),,,,,-173.15,-96.44,41.95,21.99,151.91,1819.73,-33.51,-11.26,102.46,-17.35,3.48,-1.12,-32.5,-45.51,10.96,3.65,-102.51,-75.2,-76.69,-34.55,977.36,45.71,-185.87,-150.99,-1293.33,-53.96,147.64,-120.84,46.75,166.05,214.74,70.58,118.21,-31.64,-103.34,707.44,838.29,367.77,4506.0,-77.67,-50.34,-60.52,66.55,-632.34,41.96,-27.77,-66.86,140.01,167.6,241.23,-131.74
Przychody finansowe,,,,,-94.05,-161.66,66.19,53.92,323.42,-198.72,16.45,144.85,-52.47,37.98,-99.26,-97.7,-99.69,225.61,6900.0,2250.0,30500.0,-55.65,185.0,-1308.51,-58.5,-159.63,-99.25,106.51,133.86,429.17,-14900.0,9354.05,-100.0,-87.66,163.29,-52.49,,-2066.67,227.05,-153.31,290.15,15.78,-163.66,137.7,-45.03,233.44,857.44,-2199.7,-94.53,-100.0,-100.0,133.25,1663.83,,
