,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,22.42,20.4,4.79,20.98,7.2,-7.51,-4.04,4.54,-4.85,-12.27,-20.19,-19.0,-17.9
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,19.13,16.84,2.43,18.75,5.76,-4.39,-1.46,9.11,-0.63,-14.78,-22.56,-23.49,-22.36
Koszty sprzedaży,,,,,61.01,72.17,58.48,8.49,-28.82,-27.15,-17.91,-35.54,-49.35,-68.02,-63.06,-23.48,-6.66
Koszty ogólnego zarządu,,,,,116.29,46.98,41.39,30.73,7.14,6.42,10.66,8.5,1.97,-2.31,-27.64,-38.74,-25.94
Zysk ze sprzedaży,,,,,-96.58,-64.12,-58.53,67.57,3285.91,71.04,13.98,115.73,64.04,134.05,103.31,10.72,-14.57
Pozostałe przychody operacyjne,,,,,93.33,-129.9,64.72,153.8,25.36,416.07,294.46,-46.11,-9088.13,395.75,-97.69,-159.14,98.96
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,-99.19,-64.42,-58.46,71.91,25361.09,72.91,17.28,103.71,-112.32,135.89,99.76,7.39,1244.99
Przychody finansowe,,,,,628.2,134.33,-127.17,-98.02,-99.01,44.86,80.36,9180.07,13766.75,888.51,9907.28,-11.9,-4.52
Koszty finansowe,,,,,10851.08,1298.41,-105.89,-79.39,-98.99,-99.77,366.0,-44.62,-125.62,-12.43,-93.78,-55.57,338.63
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-1574.77,-342.95,-37.1,3203.41,114.52,130.62,0.88,136.1,-101.83,148.76,143.0,8.91,8586.01
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-1574.77,-342.95,-37.1,3203.41,114.52,130.62,0.88,136.1,-101.83,148.76,143.0,8.91,8586.01
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,,,,-2240.8,-380.57,-38.68,441.14,111.45,125.05,11.81,157.33,-108.14,157.69,130.28,7.59,2132.43
Zysk netto akcjonariuszy jednostki dominującej,,,,,-2240.8,-380.57,-38.68,441.14,111.45,125.05,11.81,159.01,-109.09,157.69,130.28,6.89,1919.39
Aktywa trwałe,,,,,263.56,,,255.99,320.42,304.07,33.99,37.08,-39.87,-42.77,-52.25,-55.34,-28.86
Wartości niematerialne i prawne,,,,,3597.85,,,1102.98,978.74,1003.59,13.25,18.63,-63.32,-65.63,-70.33,-72.08,-23.6
Rzeczowe składniki majątku trwałego,,,,,165.46,,,-15.74,101.96,114.27,134.5,124.49,-17.29,-18.89,-40.5,-42.44,-47.94
Należności długoterminowe,,,,,,,,,,,,,,,,226.34,287.54
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,347.71,,,108.23,114.91,18.38,24.32,23.16,98.54,72.29,57.9,69.8,-18.94
Aktywa obrotowe,,,,,154.58,,,109.99,101.7,7.22,15.92,20.41,16.09,24.91,26.23,-33.89,-32.6
Zapasy,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,35.66,,,6.34,-0.2,-26.18,-19.06,6.26,3.04,36.93,25.28,26.25,19.25
Inwestycje krótkoterminowe,,,,,254.71,,,145.82,134.52,14.28,22.99,22.53,17.88,23.27,26.35,-41.69,-38.82
Środki pieniężne i inne aktywa pieniężne,,,,,254.71,,,145.82,134.52,14.28,22.99,22.53,17.88,23.27,26.35,-41.69,-38.82
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,164.26,,,128.28,128.45,28.42,19.61,23.67,3.49,9.71,8.29,-38.53,-32.11
Kapitał własny akcjonariuszy jednostki dominującej,,,,,-379.24,2669.01,2572.34,2290.4,354.4,32.02,33.77,39.41,15.43,14.64,15.26,-43.01,-34.25
Kapitał (fundusz) podstawowy,,,,,-1.03,,,3.28,8.02,5.36,17.85,24.07,8.42,2.71,-8.39,-55.89,-55.3
Udziały (akcje) własne,,,,,8.09,,,6.7,36.59,54.07,28.34,-9.7,-13.79,0.54,36.96,43.72,28.92
Kapitał (fundusz) zapasowy,,,,,6.82,,,2331.56,2246.76,-1.46,7.64,16.35,2.84,-3.43,-12.07,-57.22,-55.97
Udziały niekontrolujące,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,261.2,,,-94.48,-92.34,170.57,177.51,205.15,-16.69,-19.85,-28.57,-32.56,-35.33
Z tytułu dostaw i usług,,,,,241.51,,,125.95,50.58,-6.81,-42.89,-51.17,-49.99,-15.86,-40.25,-21.18,-36.98
Kredyty i pożyczki,,,,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,129.76,,,68.95,66.18,81.34,82.49,125.63,1.82,4.3,-4.3,-12.93,-15.48
Inne zobowiązania długoterminowe,,,,,260.83,,,-100.0,-100.0,,,,,,,105.65,103.86
Zobowiązania krótkoterminowe,,,,,138.01,,,54.73,19.93,-1.33,-33.43,-40.15,-36.56,-9.11,-22.67,-5.77,-16.79
Inne zobowiązania krótkoterminowe,,,,,32.43,,,-64.3,-70.4,-0.32,6.67,8.32,102.7,21.21,51.42,72.97,49.74
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,
Pasywa razem,,,,,164.26,3354.89,3533.79,128.28,128.45,28.42,19.61,23.67,3.49,9.71,8.29,-38.53,-32.11
Przepływy pieniężne z działalności operacyjnej,,,,,151.0,-148.67,-69.41,20.87,-18.93,352.97,-11.56,4.58,189.31,-12.8,195.01,12.85,-23.22
Amortyzacja,,,,,168.05,91.87,193.97,276.65,86.25,144.13,51.58,53.0,27.4,-2.84,-22.04,-35.06,-32.61
Przepływy pieniężne z działalności inwestycyjnej,,,,,-743.02,2.41,-608.59,-17.65,-31.41,-4694.63,89.11,-279.92,72.69,105.76,203.25,109.2,248.63
CAPEX (niematerialne i rzeczowe),,,,,399.4,-12.96,282.4,2306.02,30.83,4694.63,-31.12,-37.92,-27.83,-96.94,-37.89,-89.25,-63.45
Przepływy pieniężne z działalności finansowej,,,,,96.68,928.59,23.82,92.17,-51.27,-99.92,-4002.66,-898.09,8.4,-1398.26,94.17,-2672.38,-22.45
Emisja akcji,,,,,-15904.74,,,-100.0,100.0,-100.0,,,,,,,
Dywidenda,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,180.74,244.71,-113.34,157.68,-30.75,-106.68,-280.58,-56.9,291.36,413.94,272.21,-2126.6,-19.88
