,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,273818.0,315345.0,354050.0,303604.0,335219.0,379664.0,371005.0,367302.0,359338.0,351133.0,356027.0,383985.0,341905.0,308034.0,284127.0,311022.0,280695.0
Techniczny koszt wytworzenia produkcji sprzedanej,83078.0,95322.0,106708.0,90819.0,98974.0,111374.0,109297.0,107849.0,104671.0,106480.0,107697.0,117676.0,104015.0,90745.0,83397.0,90029.0,80754.0
Koszty sprzedaży,105006.0,99643.0,94316.0,125341.0,169075.0,171555.0,149474.0,135977.0,120351.0,124972.0,122699.0,87649.0,60961.0,39967.0,45325.0,67071.0,56900.0
Koszty ogólnego zarządu,30177.0,48192.0,48818.0,62572.0,65268.0,70834.0,69022.0,81798.0,69925.0,75380.0,76377.0,88748.0,71305.0,73636.0,55267.0,54368.0,52808.0
Zysk ze sprzedaży,55557.0,72188.0,104208.0,24873.0,1902.0,25900.0,43212.0,41678.0,64392.0,44301.0,49254.0,89912.0,105626.0,103686.0,100139.0,99555.0,90233.0
Pozostałe przychody operacyjne,-24799.0,332.0,-1294.0,1318.0,-1654.0,-99.0,-456.0,3346.0,-1234.0,314.0,888.0,1803.0,-113404.0,1554.0,21.0,-1066.0,-1177.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),30758.0,72520.0,102914.0,26191.0,248.0,25801.0,42755.0,45023.0,63157.0,44614.0,50141.0,91715.0,-7778.0,105240.0,100160.0,98489.0,89057.0
Przychody finansowe,562.0,203.0,1680.0,2014.0,4093.0,476.0,-456.0,40.0,41.0,690.0,-90.0,3705.0,5630.0,6818.0,8792.0,3264.0,5375.0
