,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,27.03,-2.28,69.83,0.57,125.2,140.53,118.41,82.86,83.58,-45.62,-48.13,105.49,5.58,52.57,40.85,10.84,1.57,21.15,92.67,10.94,-18.1,-29.97,0.37,18.7,44.96,-13.43,-30.84,-15.33,-28.04,27.39,-2.88,20.04,79.58,44.42,35.88,2.14,11.18,-33.42,44.41,-7.43,10.85,-14.41,-22.14,61.91,-31.7,-70.52,-16.28,-20.58,13.5,319.11,36.75,-30.35
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,9.87,-57.14,100.58,-10.02,130.72,385.31,285.38,121.61,126.72,16.75,-5.54,99.47,-3.42,19.26,-30.37,54.76,-40.13,-2.99,134.01,-13.4,21.59,19.24,22.6,42.98,62.51,-4.19,-34.9,-8.8,-20.31,28.27,-12.24,5.37,50.33,41.52,19.76,11.08,8.09,-36.48,64.82,-13.79,8.01,-28.52,-21.81,77.89,-22.85,-56.88,-30.93,-39.51,-3.8,241.24,81.93,-25.36
Koszty sprzedaży,,,,,-63.2,70.86,-51.46,-19.64,176.6,141.74,504.03,191.26,296.93,-65.15,58.71,283.62,151.99,790.92,-49.22,-177.53,-1.68,37.15,-863.68,210.0,-59.52,-42.48,179.61,71.22,173.82,-46.3,31.04,24.41,-20.82,276.73,24.82,0.02,12.26,-4.88,46.1,16.82,158.4,32.94,-46.91,-14.23,-16.63,-125.66,56.04,7.12,-54.21,369.39,-21.86,263.77,-18.18,8.46,-0.02,-77.01
Koszty ogólnego zarządu,,,,,44.03,45.08,65.58,35.46,90.57,76.4,38.82,51.17,56.09,44.21,41.53,22.91,8.7,-36.44,-31.73,222.83,-37.08,34.01,345.38,-53.95,101.56,32.02,-79.25,11.58,7.63,86.64,85.69,-14.22,41.06,-12.77,3.36,117.32,123.69,111.1,78.81,53.0,-48.69,-50.83,-0.66,-59.02,-17.55,84.13,-16.03,159.76,88.2,-77.97,26.89,88.3,109.87,266.08,14.11,-37.66
Zysk ze sprzedaży,,,,,145.41,39.16,48.8,84.92,46.56,82.01,-76.97,-96.63,-1360.57,-90.69,-1086.93,2264.0,14.6,319.23,119.25,-1123.13,278.25,74.06,-186.02,85.94,-101.79,-98.13,-465.41,-651.29,-3149.3,-1185.78,19.16,-23.16,-59.61,-57.94,22.34,22.47,33.44,-32.47,3.53,-65.79,4.17,39.56,-25.8,45.45,72.36,148.21,-13.76,-149.91,-410.96,-338.68,64.53,25.65,29.0,11.35,-337.38,48.26
Pozostałe przychody operacyjne,,,,,-34.12,-73.39,-34.88,-85.83,35.31,1479.18,-163.05,258.99,2701.25,2969.68,3133.12,-206.07,6.87,-22.58,-174.35,1243.21,-86.79,12.55,103.82,5.77,160.0,32.11,6666.08,2.27,-24.53,-5.83,-41.17,-23.95,-10.02,-0.63,156.65,5.22,-64.54,12.08,-130.29,22.68,-71.05,6.51,441.67,-5.09,1935.69,55.21,-22.55,100.65,-62.35,-54.84,11.86,-80.94,8.51,-31.33,-94.91,-267.84
Pozostałe koszty operacyjne,,,,,44.11,-18.51,118.81,472.32,-6.82,775.06,75.16,-46.04,1680.82,-11.2,-40.09,170.92,-38.86,-32.22,115.99,-63.41,58.77,99.67,-16.1,200.86,-60.19,-36.33,-14.91,-72.28,-11.71,-34.42,-33.46,-59.47,0.7,51.74,89.76,315.87,94.44,-56.19,-76.94,-39.66,-68.19,-42.29,78.79,-58.66,21.76,44.31,-1.56,-90.81,11.71,127.7,-247.52,-599.67,-85.1,352.71,7.57,-933.11
Zysk operacyjny (EBIT),,,,,210.27,37.68,23.81,-152.79,59.08,75.76,-118.64,57.85,176.86,69.04,-314.42,-731.43,136.4,-2.24,-90.76,78.8,73.76,24.46,47.64,857.06,-66.26,-8.89,240.78,-104.15,-221.09,-12.99,-91.56,-1889.8,-105.8,-7.55,4059.25,41.03,3.52,12.65,-185.81,-135.89,12.29,15.75,220.88,116.1,158.94,74.27,-40.06,-236.56,-287.95,-63.72,97.43,-769.02,48.36,-55.5,-157.16,-5.77
Przychody finansowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty finansowe,,,,,15.3,-30.87,-8.71,18.14,29.21,134.18,461.92,127.34,367.5,246.31,31.88,140.81,1679.66,382.82,188.22,1007.82,12.94,-144.89,-43.72,-161.26,-91.62,172.17,-30.6,116.68,-33.11,-57.35,-57.09,-64.1,-53.9,1.56,-17.73,10.29,3.86,-38.77,-63.12,-1.34,-52.24,-8.95,6.31,-63.16,-37.86,-74.25,-24.41,-103.71,-145.99,-21.27,21.69,2275.6,429.61,-64.85,-65.06,70.47
Pozostałe przychody (koszty),,,,,37.97,-446.58,66.67,-39.9,-481.36,20.69,-41.87,97.84,100.0,100.0,100.0,100.0,,,,,,,,,,,,,84.26,100.43,35.44,-127.53,118.28,500.98,-97.42,94.06,-1258.52,-263.65,129.99,-1434.95,-489.6,198.29,-689.02,6.45,95.06,-227.76,81.73,-44.61,-898.79,-152.63,-1252.19,77.18,79.58,31.32,89.58,-402.05
Zysk z działalności gospodarczej,,,,,116.52,38.18,70.54,-258.29,-45.45,77.02,-218.46,27.7,344.73,65.34,-73.76,-320.48,-8765.24,-28.77,-143.2,-347.55,-1.7,103.55,45.14,181.29,79.09,-51.83,69.79,-76.93,-12.36,41.26,-22.47,-258.43,-24.85,-7.14,403.25,49.41,-22.61,12.34,-224.58,-141.83,-79.28,19.74,168.38,88.05,115.8,73.57,-8.2,-256.91,-534.67,-65.88,-79.81,-230.96,58.24,-57.1,-897.98,-24.93
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,116.52,38.18,70.54,-258.29,-45.45,77.02,-218.46,27.7,344.73,65.34,-73.76,-320.48,-8765.24,-28.77,-143.2,-347.55,-1.7,103.55,45.14,181.29,79.09,-51.83,69.79,-76.93,-12.36,41.26,-22.47,-258.43,-24.85,-7.14,403.25,49.41,-22.61,12.34,-224.58,-141.83,-79.28,19.74,168.38,88.05,115.8,73.57,-8.2,-256.91,-534.67,-65.88,-79.81,-230.96,58.24,-57.1,-897.98,-24.93
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
