,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-14.76,13.81,-3.21,-10.05,17.77,4.68,9.87,16.59,29.09,8.78,22.59,27.66,12.11,18.75,5.99,3.97,11.23,1.39,18.97,-3.73,-2.43,-0.61,-2.77,13.16,29.62,21.94,8.94,14.5,3.16,19.11,17.5,8.72,4.74,-23.55,-54.73,-33.74,-39.12,-31.09,36.4,23.34,35.08,58.66,47.41,22.7,30.8,17.41,28.77,16.31,10.47
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-19.92,6.36,12.45,-9.93,21.96,6.97,-6.14,-3.66,22.72,-5.33,17.59,34.11,17.16,23.44,7.48,-3.33,1.39,2.81,29.66,3.17,-5.0,2.75,-15.02,10.09,31.12,6.96,6.55,14.53,2.84,33.27,23.54,9.55,14.74,-21.42,-51.63,-32.0,-33.59,-18.69,47.51,23.1,23.59,29.57,24.13,19.55,38.64,20.67,27.89,11.07,2.71
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,13.5,162.28,-95.55,-16.2,1.56,-13.85,2395.65,1089.92,58.65,150.23,50.61,0.0,-6.02,0.98,-0.52,45.97,55.29,-5.21,-31.57,-30.04,5.09,-17.52,106.97,30.43,25.65,115.81,17.73,14.37,4.04,-24.89,-2.62,4.73,-22.54,-35.34,-67.85,-42.36,-61.48,-114.13,-34.19,24.73,115.14,1062.83,379.02,40.89,-0.55,0.49,32.04,42.05,53.74
Pozostałe przychody operacyjne,,,,,243.75,,,,-49.09,,,-80.82,-41.07,253.12,10.67,-135.71,300.0,15.04,44.58,740.0,-94.7,-96.92,-98.33,-78.12,3514.29,2075.0,1850.0,1885.71,-27.67,36.78,-87.18,-64.03,-91.8,17.65,340.0,328.0,7720.0,-33.57,-409.09,-37.38,-101.53,254.84,4929.41,-58.96,1372.22,-80.61,-98.29,-5.45,-239.74,646.88,-110.71,405.77,90.0
Pozostałe koszty operacyjne,,,,,-61.92,,,,12.16,,,-83.51,4.42,11.76,-8.0,-115.58,-13.85,-78.95,-73.91,966.67,-63.84,100.0,755.56,-29.81,145.68,166.67,-37.01,57.53,39.7,-45.31,73.2,-96.52,0.36,-40.0,-82.74,2325.0,-26.52,219.05,106.9,-128.87,69.76,-56.72,-26.67,235.71,-42.82,-55.17,-56.82,28.95,-11.06,207.69,231.58,32.65,112.99
Zysk operacyjny (EBIT),,,,,31.28,147.85,-120.98,-96.58,0.57,-15.58,605.73,26960.0,65.03,166.56,51.83,5.17,-0.1,4.62,4.53,40.2,58.65,-12.67,-43.74,-30.83,9.15,-14.96,132.0,38.41,21.06,118.43,13.75,15.34,0.19,-22.94,2.99,7.85,4.75,-37.65,-72.36,-38.38,-77.89,-92.02,397.53,12.09,197.29,1618.18,-25.14,39.61,-18.36,20.95,27.93,50.5,68.45
Przychody finansowe,,,,,-73.62,,,,-46.91,,,-82.0,-23.26,32.0,29.41,40.74,75.76,66.67,13.64,-7.89,-13.79,7.27,128.0,-54.29,-298.0,-10.17,-31.58,-12.5,142.42,-49.06,-53.85,-42.86,-92.86,-81.48,-80.56,-62.5,900.0,-40.0,-57.14,-33.33,-80.0,33.33,33.33,100.0,2933.33,3175.0,2625.0,-1800.0,6.04,-71.76,-73.39,123.53,-90.16
