,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,8062.0,6045.0,7131.0,7143.0,6872.0,6880.0,6902.0,6425.0,8093.0,7202.0,7583.0,7491.0,10447.0,7834.0,9296.0,9563.0,11712.0,9303.0,9853.0,9943.0,13027.0,9432.0,11722.0,9572.0,12711.0,9374.0,11397.0,10832.0,16476.0,11431.0,12416.0,12403.0,16997.0,13615.0,14589.0,13484.0,17802.0,10408.0,6604.0,8935.0,10837.0,7172.0,9008.0,11020.0,14639.0,11379.0,13279.0,13521.0,19148.0,13360.0,17100.0,15726.0,21153.0
Techniczny koszt wytworzenia produkcji sprzedanej,6818.0,5756.0,6097.0,7001.0,5460.0,6122.0,6856.0,6306.0,6659.0,6549.0,6435.0,6075.0,8172.0,6200.0,7567.0,8147.0,9574.0,7653.0,8133.0,7876.0,9707.0,7868.0,10545.0,8126.0,9222.0,8084.0,8961.0,8946.0,12092.0,8647.0,9548.0,10246.0,12436.0,11524.0,11796.0,11225.0,14269.0,9056.0,5706.0,7633.0,9476.0,7363.0,8417.0,9396.0,11711.0,9540.0,10448.0,11233.0,16236.0,11512.0,13362.0,12476.0,16676.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,1244.0,289.0,1034.0,142.0,1412.0,758.0,46.0,119.0,1434.0,653.0,1148.0,1416.0,2275.0,1634.0,1729.0,1416.0,2138.0,1650.0,1720.0,2067.0,3320.0,1564.0,1177.0,1446.0,3489.0,1290.0,2436.0,1886.0,4384.0,2784.0,2868.0,2157.0,4561.0,2091.0,2793.0,2259.0,3533.0,1352.0,898.0,1302.0,1361.0,-191.0,591.0,1624.0,2928.0,1839.0,2831.0,2288.0,2912.0,1848.0,3738.0,3250.0,4477.0
Pozostałe przychody operacyjne,32.0,0.0,0.0,0.0,110.0,0.0,0.0,73.0,56.0,32.0,75.0,14.0,33.0,113.0,83.0,-5.0,132.0,130.0,120.0,32.0,7.0,4.0,2.0,7.0,253.0,87.0,39.0,139.0,183.0,119.0,5.0,50.0,15.0,140.0,22.0,214.0,1173.0,93.0,-68.0,134.0,-18.0,330.0,3284.0,55.0,229.0,64.0,56.0,52.0,-320.0,478.0,-6.0,263.0,-32.0
Pozostałe koszty operacyjne,583.0,0.0,0.0,0.0,222.0,0.0,0.0,467.0,249.0,51.0,75.0,77.0,260.0,57.0,69.0,-12.0,224.0,12.0,18.0,104.0,81.0,24.0,154.0,73.0,199.0,64.0,97.0,115.0,278.0,35.0,168.0,4.0,279.0,21.0,29.0,97.0,205.0,67.0,60.0,-28.0,348.0,29.0,44.0,38.0,199.0,13.0,19.0,49.0,177.0,40.0,63.0,65.0,377.0
Zysk operacyjny (EBIT),940.0,303.0,1082.0,146.0,1234.0,751.0,-227.0,5.0,1241.0,634.0,1148.0,1353.0,2048.0,1690.0,1743.0,1423.0,2046.0,1768.0,1822.0,1995.0,3246.0,1544.0,1025.0,1380.0,3543.0,1313.0,2378.0,1910.0,4289.0,2868.0,2705.0,2203.0,4297.0,2210.0,2786.0,2376.0,4501.0,1378.0,770.0,1464.0,995.0,110.0,3831.0,1641.0,2958.0,1890.0,2868.0,2291.0,2415.0,2286.0,3669.0,3448.0,4068.0
Przychody finansowe,307.0,0.0,0.0,0.0,81.0,0.0,0.0,150.0,43.0,25.0,34.0,27.0,33.0,33.0,44.0,38.0,58.0,55.0,50.0,35.0,50.0,59.0,114.0,16.0,-99.0,53.0,78.0,14.0,42.0,27.0,36.0,8.0,3.0,5.0,7.0,3.0,30.0,3.0,3.0,2.0,6.0,4.0,4.0,4.0,182.0,131.0,109.0,-68.0,193.0,37.0,29.0,16.0,19.0
Koszty finansowe,10671.0,0.0,0.0,0.0,743.0,0.0,0.0,550.0,381.0,193.0,176.0,-9.0,217.0,58.0,64.0,108.0,134.0,104.0,49.0,71.0,223.0,58.0,77.0,55.0,278.0,81.0,79.0,82.0,61.0,102.0,155.0,95.0,182.0,131.0,104.0,157.0,202.0,241.0,85.0,89.0,384.0,130.0,79.0,101.0,98.0,188.0,209.0,340.0,435.0,483.0,483.0,484.0,989.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
