,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,44397.0,51024.0,50063.0,47348.0,32102.0,42395.0,48429.0,63595.0,49584.0,55910.0,53295.0,55990.0,53135.0,80960.0,99801.0,81998.0,64379.0,83271.0,84024.0,84886.0,48980.0,68076.0,79218.0,89897.0,65276.0,81761.0,89739.0,165795.0,91619.0,94252.0,120318.0,124462.0,79137.0,90264.0,117483.0,128619.0,93625.0,125686.0,175975.0,170718.0,115866.0,114736.0,138733.0,121749.0,69954.0,80625.0,90588.0,116686.0,88813.0,89552.0,100575.0,129425.0,132072.0,119347.0,102835.0,132299.0,76140.0,97607.0,144401.0,123396.0,101624.0,96483.0,101800.0,111525.0,81967.0,111262.0,95117.0,92121.0,74044.0,91338.0,88549.0,143629.0,99160.0,84715.0,104318.0,130059.0
Techniczny koszt wytworzenia produkcji sprzedanej,39979.0,46744.0,46277.0,44371.0,29437.0,38767.0,44183.0,59655.0,45551.0,51241.0,48011.0,51231.0,47620.0,70072.0,77822.0,68861.0,53348.0,69696.0,70685.0,72953.0,40242.0,58195.0,65231.0,79413.0,58870.0,73327.0,82380.0,138180.0,81110.0,84301.0,110778.0,105898.0,70326.0,78146.0,104357.0,113922.0,85750.0,112762.0,161061.0,156087.0,104788.0,109308.0,126951.0,115286.0,60654.0,70101.0,80691.0,108760.0,76639.0,79574.0,88952.0,117844.0,110927.0,102337.0,90255.0,112276.0,65238.0,84275.0,111670.0,103135.0,85068.0,81616.0,81642.0,97433.0,67513.0,85296.0,76091.0,79096.0,63273.0,76737.0,70563.0,111010.0,80766.0,71404.0,81324.0,97577.0
Koszty sprzedaży,33.0,31.0,37.0,35.0,34.0,38.0,57.0,54.0,57.0,47.0,368.0,691.0,462.0,332.0,456.0,372.0,291.0,255.0,349.0,452.0,477.0,206.0,643.0,604.0,419.0,647.0,941.0,1017.0,1058.0,960.0,1155.0,1590.0,1295.0,3221.0,2123.0,2964.0,2044.0,3211.0,2722.0,6421.0,2493.0,2937.0,2885.0,2498.0,3122.0,2856.0,3039.0,2096.0,3360.0,3251.0,2388.0,3205.0,3266.0,2975.0,3813.0,3699.0,3974.0,3895.0,4440.0,3755.0,3935.0,3726.0,3419.0,3210.0,3237.0,3951.0,4150.0,4569.0,3736.0,4390.0,4523.0,5089.0,4314.0,4745.0,4847.0,4696.0
Koszty ogólnego zarządu,2835.0,3024.0,2844.0,2685.0,2861.0,2813.0,2965.0,2962.0,3194.0,3077.0,2917.0,5479.0,3236.0,4103.0,4733.0,5178.0,3310.0,5355.0,3270.0,3943.0,3776.0,5799.0,2368.0,3145.0,3101.0,5187.0,3688.0,4001.0,3801.0,6008.0,3787.0,4333.0,3961.0,4599.0,3539.0,3316.0,3202.0,5484.0,3226.0,765.0,3603.0,4246.0,2648.0,3578.0,4246.0,4704.0,3521.0,3253.0,3502.0,4673.0,3167.0,3714.0,3420.0,4555.0,3546.0,4967.0,4116.0,3907.0,7666.0,4315.0,5650.0,4579.0,7853.0,5836.0,5351.0,6150.0,8427.0,6593.0,6063.0,6553.0,8902.0,7194.0,6980.0,6879.0,9671.0,6350.0
Zysk ze sprzedaży,1550.0,1225.0,905.0,257.0,-230.0,777.0,1224.0,924.0,782.0,1545.0,1999.0,-1411.0,1817.0,6453.0,16790.0,7587.0,7430.0,7965.0,9720.0,7538.0,4485.0,3876.0,10976.0,6735.0,2886.0,2600.0,2730.0,22597.0,5650.0,2983.0,4598.0,12641.0,3555.0,4298.0,7464.0,8417.0,2629.0,4229.0,8966.0,7445.0,4982.0,-1755.0,6249.0,387.0,1932.0,2964.0,3337.0,2577.0,5312.0,2054.0,6068.0,4662.0,14459.0,9480.0,5221.0,11357.0,2812.0,5530.0,20625.0,12191.0,6971.0,6562.0,8886.0,5046.0,5866.0,15865.0,6449.0,1863.0,972.0,3658.0,4561.0,20336.0,7100.0,1687.0,8476.0,21436.0
Pozostałe przychody operacyjne,528.0,238.0,33.0,651.0,92.0,834.0,233.0,21.0,270.0,56.0,20101.0,3665.0,72.0,2090.0,95.0,560.0,90.0,89.0,60.0,2446.0,249.0,1035.0,154.0,1764.0,963.0,519.0,5659.0,-3075.0,311.0,539.0,2369.0,3483.0,1497.0,1820.0,723.0,718.0,2766.0,128.0,998.0,3281.0,3856.0,594.0,-172.0,6142.0,2617.0,2312.0,583.0,956.0,1006.0,482.0,1808.0,2523.0,3742.0,2126.0,417.0,2805.0,298.0,1377.0,728.0,2537.0,790.0,2083.0,3404.0,9101.0,1093.0,1061.0,714.0,6340.0,940.0,493.0,4066.0,6634.0,409.0,504.0,824.0,9408.0
Pozostałe koszty operacyjne,554.0,359.0,0.0,1524.0,87.0,689.0,-397.0,1169.0,88.0,106.0,20103.0,-17407.0,18.0,3148.0,107.0,993.0,96.0,375.0,193.0,1230.0,307.0,951.0,5036.0,2446.0,668.0,502.0,5367.0,2371.0,1124.0,613.0,2356.0,5160.0,686.0,1362.0,1599.0,5553.0,1776.0,90.0,1157.0,12434.0,2744.0,1071.0,946.0,4439.0,243.0,1407.0,954.0,746.0,1429.0,564.0,1464.0,4598.0,2546.0,3256.0,1466.0,3710.0,1799.0,2260.0,6075.0,2712.0,502.0,1350.0,9861.0,-54.0,86.0,994.0,884.0,529.0,700.0,783.0,1087.0,2870.0,570.0,646.0,1089.0,5144.0
Zysk operacyjny (EBIT),1524.0,1104.0,938.0,-616.0,-225.0,922.0,1854.0,-224.0,964.0,1495.0,1997.0,19661.0,1871.0,5395.0,16778.0,7154.0,7424.0,7679.0,9587.0,8754.0,4427.0,3960.0,6094.0,6053.0,3181.0,2617.0,3022.0,17151.0,4837.0,2909.0,4611.0,10964.0,4366.0,4756.0,6588.0,3582.0,3619.0,4267.0,8807.0,-1708.0,6094.0,-2232.0,5131.0,2090.0,4306.0,3869.0,2966.0,2787.0,4889.0,1972.0,6412.0,2587.0,15655.0,8350.0,4172.0,10452.0,1311.0,4647.0,15278.0,12016.0,7259.0,7295.0,2429.0,14201.0,6873.0,15932.0,6279.0,7674.0,1212.0,3368.0,7540.0,24100.0,6939.0,1545.0,8211.0,25700.0
Przychody finansowe,288.0,523.0,361.0,312.0,344.0,735.0,-37.0,2114.0,90.0,157.0,163.0,368.0,130.0,478.0,177.0,4965.0,1708.0,933.0,2223.0,2111.0,1903.0,773.0,688.0,619.0,582.0,608.0,571.0,494.0,720.0,844.0,403.0,604.0,736.0,747.0,135.0,685.0,690.0,416.0,222.0,496.0,469.0,131.0,212.0,136.0,399.0,322.0,-13.0,203.0,23.0,114.0,245.0,195.0,1343.0,703.0,98.0,443.0,211.0,277.0,443.0,56.0,1173.0,38.0,279.0,153.0,189.0,-12.0,1.0,252.0,547.0,935.0,1259.0,1411.0,652.0,1124.0,31.0,1652.0
