,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,29850.0,22202.0,21134.0,27015.0,35278.0,17326.0,30669.0,21291.0,53923.0,29923.0,21702.0,32364.0,50174.0,27723.0,43173.0,26007.0,56415.0,24592.0,27522.0,8067.0,36549.0,40783.0,22997.0,14478.0,11489.0,1980.0,806.0,587.0,932.0,583.0,556.0,504.0,730.0,415.0,15573.0,1106.0,2226.0,5867.0,21528.0,770.0,550.0,1381.0,1020.0,-124.0,91.0,161.0,28.0,2426.0,20404.0,19879.0,21940.0,1056.0,5803.0,606.0,378.0,617.0,2.0
Techniczny koszt wytworzenia produkcji sprzedanej,32770.0,18023.0,17603.0,17626.0,34623.0,14034.0,27184.0,18521.0,41421.0,26543.0,19907.0,30028.0,45998.0,25542.0,36879.0,27207.0,50549.0,24525.0,28622.0,21640.0,33849.0,34670.0,22766.0,12615.0,10196.0,1355.0,-34.0,462.0,185.0,38.0,10.0,3.0,0.0,81.0,12786.0,607.0,250.0,5670.0,16939.0,513.0,-1977.0,1518.0,877.0,40.0,-534.0,135.0,30.0,2320.0,16546.0,19133.0,17750.0,1138.0,827.0,404.0,217.0,288.0,183.0
Koszty sprzedaży,0.0,71.0,74.0,54.0,26.0,81.0,95.0,36.0,293.0,129.0,-129.0,0.0,789.0,0.0,291.0,194.0,365.0,1815.0,1753.0,1844.0,1930.0,1454.0,1750.0,1464.0,1541.0,19.0,64.0,7.0,-50.0,20.0,47.0,45.0,4149.0,69.0,479.0,201.0,196.0,1096.0,1476.0,1147.0,1406.0,1221.0,1190.0,819.0,1243.0,141.0,134.0,102.0,-286.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Koszty ogólnego zarządu,0.0,865.0,1065.0,6055.0,-4075.0,1017.0,903.0,1221.0,1641.0,1383.0,1636.0,1546.0,1932.0,1814.0,1665.0,1793.0,2737.0,164.0,212.0,150.0,169.0,225.0,219.0,25.0,420.0,1006.0,1682.0,548.0,660.0,998.0,1103.0,812.0,-2777.0,1273.0,758.0,879.0,2506.0,17.0,9.0,0.0,0.0,15.0,86.0,61.0,-83.0,756.0,704.0,649.0,1785.0,1241.0,1303.0,1031.0,782.0,744.0,822.0,1007.0,737.0
Zysk ze sprzedaży,-2920.0,3243.0,2392.0,3280.0,4704.0,2194.0,2487.0,1513.0,10568.0,1868.0,288.0,790.0,1455.0,367.0,4338.0,-3187.0,2764.0,-1912.0,-3065.0,-15567.0,601.0,4434.0,-1738.0,374.0,-668.0,-400.0,-906.0,-430.0,137.0,-473.0,-604.0,-356.0,-642.0,-1008.0,1550.0,-581.0,-726.0,-916.0,3104.0,-890.0,1121.0,-1373.0,-1133.0,-1044.0,-535.0,-871.0,-840.0,-645.0,2359.0,-497.0,2887.0,-1113.0,4194.0,-542.0,-661.0,-678.0,-938.0
Pozostałe przychody operacyjne,938.0,422.0,59.0,998.0,5058.0,289.0,7174.0,404.0,9605.0,3861.0,-2713.0,-147.0,-266.0,183.0,1760.0,2665.0,1521.0,363.0,1395.0,28445.0,-208.0,778.0,11295.0,484.0,3623.0,2553.0,4943.0,1121.0,1096.0,4032.0,281.0,596.0,-830.0,294.0,62.0,-2.0,789.0,20.0,3655.0,1582.0,2606.0,2590.0,1977.0,277.0,277.0,1948.0,-1147.0,2121.0,1918.0,275.0,37.0,3.0,908.0,185.0,2.0,9384.0,781.0
Pozostałe koszty operacyjne,589.0,208.0,80.0,768.0,5144.0,268.0,6133.0,197.0,12139.0,4001.0,-2720.0,-420.0,763.0,535.0,2057.0,469.0,548.0,217.0,2356.0,20693.0,6761.0,345.0,71.0,816.0,5195.0,223.0,28889.0,412.0,2464.0,1399.0,184.0,249.0,755.0,169.0,-78.0,63.0,926.0,823.0,169.0,-91.0,1242.0,403.0,1873.0,21.0,1057.0,75.0,25.0,16.0,1822.0,772.0,607.0,22.0,577.0,20.0,51.0,399.0,310.0
Zysk operacyjny (EBIT),-2571.0,3457.0,2371.0,3510.0,4618.0,2215.0,3528.0,1720.0,8034.0,1728.0,295.0,1063.0,426.0,15.0,4041.0,-991.0,3737.0,-1766.0,-4026.0,-7815.0,-6368.0,4867.0,9486.0,42.0,-2240.0,1930.0,-24852.0,279.0,-1231.0,2160.0,-507.0,-9.0,-2227.0,-883.0,1690.0,-646.0,-863.0,-1719.0,6590.0,783.0,2485.0,814.0,-1029.0,-788.0,-1315.0,1002.0,-2012.0,1460.0,2455.0,-994.0,2317.0,-1132.0,4525.0,-377.0,-710.0,8307.0,-467.0
Przychody finansowe,-52.0,29.0,6.0,7.0,41.0,12.0,17.0,195.0,39.0,83.0,48.0,9.0,73.0,6.0,113.0,-100.0,4.0,1.0,1.0,4.0,73.0,3.0,197.0,278.0,62.0,18.0,93.0,20.0,-1.0,4.0,0.0,44.0,-29.0,4.0,12.0,2.0,2.0,12.0,28.0,87.0,-20.0,16.0,1514.0,13.0,19.0,19.0,9.0,26.0,17.0,1984.0,92.0,118.0,95.0,62.0,37.0,8458.0,-476.0
