,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,319.24,-11.21,-25.68,-41.97,-33.34,-27.79,-17.84,3.54,-35.9,15.18,34.15,1.55,-11.92,3.32,22.38,41.09,80.54,10.56,2.84,-0.08,-13.7,-12.16,-25.4,-40.33,-64.36,-8.37,-2.43,18.3,155.46,-6.13,13.58,-24.34,-16.83,-26.56,-32.03,-16.29,1.95,18.66,-4.65,31.37,1.48,20.68,40.72,53.47,-0.28,-0.05,-6.46,-7.08,47.54,-1.13,-13.91,-1.18,-9.94,-4.87,-1.96,-5.04,11.12,10.11,6.01,49.55,54.99,32.27,14.23,-9.91,-30.18,-12.99,9.71,-7.99
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,305.26,-18.86,-31.74,-52.93,-30.03,-25.23,-6.46,28.55,-34.63,13.09,26.13,0.44,-15.46,6.0,21.74,33.67,78.35,11.62,7.21,2.78,-12.92,-12.04,-31.2,-47.55,-60.66,-8.78,-2.47,24.36,128.24,-11.44,17.77,-29.49,-12.34,-24.77,-37.9,-16.14,-4.74,7.24,-6.46,43.98,-6.79,23.85,40.03,47.37,6.7,-1.38,1.09,-11.63,47.79,0.05,-17.47,-7.29,-10.22,-10.36,-12.93,1.33,8.68,10.18,16.17,65.9,53.13,30.29,12.41,-13.12,-32.71,-8.65,10.97,-11.46
Koszty sprzedaży,,,,,,,,-84.73,-18.55,-27.35,0.38,-11.61,-43.06,15.45,-4.41,1.27,-13.12,-3.65,32.67,41.84,86.33,21.72,17.52,-1.77,75.29,45.02,-5.91,39.34,-17.62,-11.44,12.84,17.67,35.03,11.15,11.5,-15.57,-25.54,-18.9,-17.48,3.47,20.48,25.63,15.66,0.21,0.22,20.97,9.44,36.82,25.33,-4.01,-2.91,5.05,-4.22,0.0,0.43,-2.33,16.15,-8.35,6.29,4.32,9.48,18.77,0.0,25.43,30.88,16.37,8.63,1.03,-20.51,-7.57,6.74,-0.9
Koszty ogólnego zarządu,,,,,,,,-64.47,-4.52,-25.19,-7.32,-18.98,-14.21,-11.65,-5.64,15.12,8.28,-9.17,-2.52,-11.95,9.6,20.82,18.8,9.29,-42.0,-45.17,-36.47,-52.24,17.45,-5.0,-25.81,5.62,-10.24,7.77,17.52,22.62,11.19,20.47,-6.21,0.18,1.01,-7.34,1.99,-7.4,-0.6,1.04,3.9,11.7,-13.63,14.64,5.21,-7.5,30.86,2.52,14.85,43.21,0.0,-7.02,-1.9,-8.96,1.24,17.17,18.8,23.73,12.43,8.37,26.04,-10.99,19.0,20.8,19.25,12.09
Zysk ze sprzedaży,,,,,134.72,42.98,134.96,-130.68,-296.72,-59.25,-112.14,-587.01,-17.78,121.34,749.32,-14.37,7.78,-7.99,43.46,85.29,52.43,-18.26,-51.4,-238.2,-17.74,-18.32,78.82,108.97,-256.62,0.45,-0.68,-366.67,61.2,40.85,-17.04,-100.0,-61.72,-84.63,2.46,-112.5,26.53,669.07,-11.72,6.86,70.0,11.66,95.8,109.82,-221.3,5.4,-47.77,392.86,55.91,-12.76,-11.88,-3.62,-111.76,44.39,83.38,-192.48,38.27,0.54,-36.68,-224.39,189.0,69.06,25.38,34.09,-165.73,-46.33,-3.03,-8.75
Pozostałe przychody operacyjne,,,,,,,,-30.34,39.02,1240.0,-47.83,-39.88,-40.35,-7.46,54.17,281.63,5.88,19.35,-40.54,-75.13,-30.56,-41.89,104.55,82.8,120.0,69.77,-62.22,-42.94,-12.73,-28.77,17.65,-18.56,97.92,111.54,15.0,120.25,-75.79,-90.0,321.74,14.37,0.0,36.36,-38.14,-82.41,8.7,-40.0,-88.33,308.57,-92.0,-11.11,114.29,139.16,200.0,125.0,20.0,-91.81,-50.0,1072.22,461.11,1153.57,200.0,200.0,-95.05,-96.87,733.33,-96.37,4000.0,718.18,122.67,-47.83,-93.17,7.78
Pozostałe koszty operacyjne,,,,,135.42,5.06,-81.31,178.14,-85.84,21.69,-58.33,-2.68,143.75,-72.28,152.0,-55.84,0.0,221.43,-65.08,-53.7,30.77,2.22,50.0,90.76,9.8,26.09,296.97,-22.47,-50.0,10.34,-32.06,-11.36,46.43,10.94,-12.36,58.97,-9.76,-35.21,6.41,-34.27,-29.73,33.7,72.29,-19.02,-42.31,22.76,162.24,246.97,0.0,55.63,-70.93,-15.07,-6.67,-15.32,45.87,-51.16,-42.86,14.57,-13.84,52.63,162.5,-44.74,-48.91,46.9,676.19,211.11,-57.14,-32.63,-88.96,-46.17,-83.33,49.83
Zysk operacyjny (EBIT),,,,,119.3,50.21,522.51,-289.63,-387.39,-59.56,-112.36,-97.85,-34.48,158.5,727.21,51.83,8.16,-14.21,47.51,76.43,46.19,-23.77,-50.51,-211.3,-3.77,-18.91,58.69,85.47,-245.91,-7.69,3.46,-186.54,67.28,61.02,-16.83,-46.31,-102.41,-97.33,10.12,-23.85,27.98,3887.5,-21.15,-41.48,73.0,8.31,70.05,24.87,-267.35,-5.79,-40.53,131.71,55.28,-10.14,-19.08,-131.87,-104.35,86.15,117.46,-113.79,35.56,48.67,-39.65,-1212.9,142.45,-6.67,55.31,43.49,-64.44,-46.39,-15.1,-34.57
Przychody finansowe,,,,,,,-86.67,-98.25,-3.7,-300.0,-100.0,-500.0,-96.15,100.0,,900.0,100.0,,27.27,-56.25,-100.0,9.09,-14.29,-7.14,,200.0,341.67,-15.38,-25.53,-44.44,-90.57,-81.82,-37.14,-50.0,20.0,-50.0,-63.64,-100.0,-100.0,400.0,-100.0,,,-140.0,,50.0,-76.47,400.0,-100.0,-100.0,50.0,-66.67,,,0.0,-50.0,,700.0,0.0,-1100.0,1400.0,-87.5,366.67,-170.0,-60.0,-600.0,67.86,122.22,66.67,460.0,-91.49,-500.0
