,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1850.0,12513.0,14690.0,6964.0,7756.0,11110.0,10917.0,4041.0,5170.0,8023.0,8969.0,4184.0,3314.0,9241.0,12032.0,4249.0,2919.0,9548.0,14725.0,5995.0,5270.0,10556.0,15143.0,5990.0,4548.0,9272.0,11296.0,3574.0,1621.0,8496.0,11021.0,4228.0,4141.0,7975.0,12518.0,3199.0,3444.0,5857.0,8508.0,2678.0,3511.0,6950.0,8112.0,3518.0,3563.0,8387.0,11415.0,5399.0,3553.0,8383.0,10678.0,5017.0,5242.0,8288.0,9193.0,4958.0,4721.0,7884.0,9013.0,4708.0,5246.0,8681.0,9555.0,7041.0,8131.0,11482.0,10915.0,6343.0,5677.0,9990.0,11975.0,5836.0
Techniczny koszt wytworzenia produkcji sprzedanej,1598.0,10795.0,12207.0,6066.0,6476.0,8759.0,8333.0,2855.0,4531.0,6549.0,7795.0,3670.0,2962.0,7406.0,9832.0,3686.0,2504.0,7850.0,11969.0,4927.0,4466.0,8762.0,12832.0,5064.0,3889.0,7707.0,8828.0,2656.0,1530.0,7030.0,8610.0,3303.0,3492.0,6226.0,10140.0,2329.0,3061.0,4684.0,6297.0,1953.0,2916.0,5023.0,5890.0,2812.0,2718.0,6221.0,8248.0,4144.0,2900.0,6135.0,8338.0,3662.0,4286.0,6138.0,6881.0,3395.0,3848.0,5502.0,5991.0,3440.0,4182.0,6062.0,6960.0,5707.0,6404.0,7898.0,7824.0,4958.0,4309.0,7215.0,8682.0,4390.0
Koszty sprzedaży,0.0,0.0,0.0,1749.0,345.0,490.0,520.0,267.0,281.0,356.0,522.0,236.0,160.0,411.0,499.0,239.0,139.0,396.0,662.0,339.0,259.0,482.0,778.0,333.0,454.0,699.0,732.0,464.0,374.0,619.0,826.0,546.0,505.0,688.0,921.0,461.0,376.0,558.0,760.0,477.0,453.0,701.0,879.0,478.0,454.0,848.0,962.0,654.0,569.0,814.0,934.0,687.0,545.0,814.0,938.0,671.0,633.0,746.0,997.0,700.0,693.0,886.0,997.0,878.0,907.0,1031.0,1083.0,887.0,721.0,953.0,1156.0,879.0
Koszty ogólnego zarządu,0.0,0.0,0.0,2803.0,752.0,1056.0,861.0,996.0,718.0,790.0,798.0,807.0,616.0,698.0,753.0,929.0,667.0,634.0,734.0,818.0,731.0,766.0,872.0,894.0,424.0,420.0,554.0,427.0,498.0,399.0,411.0,451.0,447.0,430.0,483.0,553.0,497.0,518.0,453.0,554.0,502.0,480.0,462.0,513.0,499.0,485.0,480.0,573.0,431.0,556.0,505.0,530.0,564.0,570.0,580.0,759.0,564.0,530.0,569.0,691.0,571.0,621.0,676.0,855.0,642.0,673.0,852.0,761.0,764.0,813.0,1016.0,853.0
Zysk ze sprzedaży,-527.0,563.0,512.0,251.0,183.0,805.0,1203.0,-77.0,-360.0,328.0,-146.0,-529.0,-424.0,726.0,948.0,-605.0,-391.0,668.0,1360.0,-89.0,-186.0,546.0,661.0,-301.0,-219.0,446.0,1182.0,27.0,-781.0,448.0,1174.0,-72.0,-303.0,631.0,974.0,-144.0,-490.0,97.0,998.0,-306.0,-360.0,746.0,881.0,-285.0,-108.0,833.0,1725.0,28.0,-347.0,878.0,901.0,138.0,-153.0,766.0,794.0,133.0,-324.0,1106.0,1456.0,-123.0,-200.0,1112.0,922.0,-399.0,178.0,1880.0,1156.0,-263.0,-117.0,1009.0,1121.0,-286.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,234.0,41.0,5.0,46.0,163.0,57.0,67.0,24.0,98.0,34.0,62.0,37.0,374.0,36.0,74.0,22.0,93.0,25.0,43.0,45.0,170.0,55.0,73.0,17.0,97.0,48.0,52.0,20.0,79.0,95.0,110.0,23.0,174.0,23.0,11.0,97.0,199.0,23.0,15.0,60.0,35.0,25.0,9.0,7.0,143.0,2.0,8.0,15.0,342.0,6.0,18.0,18.0,28.0,3.0,211.0,101.0,351.0,9.0,633.0,5.0,11.0,75.0,23.0,205.0,90.0,167.0,12.0,14.0,97.0
Pozostałe koszty operacyjne,48.0,79.0,321.0,215.0,113.0,83.0,60.0,598.0,16.0,101.0,25.0,582.0,39.0,28.0,63.0,257.0,39.0,90.0,22.0,119.0,51.0,92.0,33.0,227.0,56.0,116.0,131.0,176.0,28.0,128.0,89.0,156.0,41.0,142.0,78.0,248.0,37.0,92.0,83.0,163.0,26.0,123.0,143.0,132.0,15.0,151.0,375.0,458.0,15.0,235.0,109.0,389.0,14.0,199.0,159.0,190.0,8.0,228.0,137.0,290.0,21.0,126.0,70.0,426.0,163.0,392.0,30.0,287.0,18.0,211.0,5.0,430.0
Zysk operacyjny (EBIT),-575.0,484.0,191.0,270.0,111.0,727.0,1189.0,-512.0,-319.0,294.0,-147.0,-1013.0,-429.0,760.0,922.0,-488.0,-394.0,652.0,1360.0,-115.0,-212.0,497.0,673.0,-358.0,-220.0,403.0,1068.0,-52.0,-761.0,372.0,1105.0,-149.0,-249.0,599.0,919.0,-218.0,-504.0,16.0,1012.0,-270.0,-363.0,638.0,798.0,-382.0,-98.0,691.0,1357.0,-287.0,-360.0,651.0,807.0,91.0,-161.0,585.0,653.0,-29.0,-329.0,1089.0,1420.0,-62.0,-212.0,1619.0,857.0,-814.0,90.0,1511.0,1331.0,-460.0,32.0,810.0,1130.0,-619.0
Przychody finansowe,0.0,0.0,15.0,57.0,27.0,1.0,2.0,1.0,26.0,-2.0,0.0,-4.0,1.0,0.0,11.0,32.0,2.0,11.0,14.0,14.0,0.0,12.0,12.0,13.0,47.0,36.0,53.0,11.0,35.0,20.0,5.0,2.0,22.0,10.0,6.0,1.0,8.0,0.0,0.0,5.0,0.0,2.0,17.0,-2.0,3.0,3.0,4.0,6.0,0.0,0.0,6.0,2.0,0.0,1.0,6.0,1.0,1.0,8.0,6.0,-10.0,15.0,1.0,28.0,-27.0,6.0,-5.0,47.0,6.0,10.0,18.0,4.0,-24.0
