,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-91.96,-80.42,106.63,-50.78,-53.06,-93.15,-63.94,-30.47,-15.8,-32.49,130.54,2.9,24.92,38.32,-65.55,-4.55,-13.18,5178.89,5993.38,4753.69,2936.03,1.35,-35.05,-16.33,-1.4,-6.17,0.35,-14.44,-15.63,-2.34,-6.97,-4.16,6.89,5.54,8.52,9.12,2.98,-14.66,-14.75,-39.44,-14.56,2.38,7.39,60.75,-2.47,3.18,0.54,-2.87,9.83,3.11,-84.89,-87.07
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-92.94,-77.41,106.6,-47.16,-80.46,-100.06,-100.0,-98.31,44.16,320.0,,-47.37,13.64,-100.0,-100.0,3230.0,-49.57,,,12173.57,10367.24,38.57,-35.69,-17.34,-4.76,-7.49,-11.05,390.69,-20.58,-19.52,-14.01,-82.68,1.69,1.66,-0.41,-18.3,-9.35,7.17,-15.18,-42.68,-6.76,-21.82,11.87,95.48,1.24,11.65,4.84,-9.94,6.57,-0.56,-98.73,-98.89
Koszty sprzedaży,,,,,-1.85,-95.01,102.16,481.58,-88.68,-96.15,-100.0,-101.58,-100.0,-100.0,,100.0,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,123.69,-90.71,109.1,-54.84,52.96,37.89,83.46,536.73,-38.19,23.88,116.73,96.47,59.31,-13.73,-66.34,-16.31,0.21,-198.88,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-106.42,-132.08,-119.13,-290.86,-38.17,-25.68,46.11,169.41,21.4,-157.71,-582.69,-219.92,-100.0,46.04,97.46,-52.72,32.92,2375.26,-21794.44,495.4,-32.47,-108.39,42.73,5.56,285.79,63.83,152.95,-6875.14,198.95,1924.63,152.22,100.46,66.8,24.72,77.37,1279.35,89.51,-102.49,-12.89,-30.53,-40.76,4184.87,-11.49,-17.88,-22.04,-24.85,-22.3,35.21,32.15,21.15,14.55,-44.64
Pozostałe przychody operacyjne,,,,,,-103.66,2767.97,-9438.35,111.54,614.29,-91.59,91.38,-18.18,9.03,-95.56,142.02,-41.11,45.22,298.04,-149.33,-20.75,-118.42,-100.0,100.0,-100.0,100.0,,,,,,,,,,,,-35.33,-97.32,-21.35,,-100.0,1828.57,61521.43,,,51.78,-99.57,3.45,-64.81,-96.98,-56.76,-2.5,202.5,-100.0,-170.0
Pozostałe koszty operacyjne,,,,,,-98.84,101.62,83.16,1025.0,19437.68,575.68,-123.68,-52.22,-98.89,-52.4,374.12,55.81,-46.0,31.93,-101.07,-32.84,-155.56,-100.0,100.0,-100.0,100.0,,,,,,,,,,,-100.0,-100.0,-100.0,12.46,,,,-39.73,,,-90.02,6070.86,2323.53,-45.5,52.94,-30.01,-74.76,115.53,55.13,-87.32
Zysk operacyjny (EBIT),,,,,-104.9,92.9,382.23,-21696.77,-66.9,-4168.34,-94.08,95.26,34.6,94.77,-197.86,48.59,-169.68,66.15,103.6,-111.25,34.45,3764.32,-14175.0,371.94,-31.02,-108.39,42.73,5.56,285.79,63.83,152.95,-6875.14,102.4,1647.01,181.0,98.56,146.37,54.92,61.49,385.1,89.51,-102.37,3.84,2296.21,-39.46,4284.87,12.32,-184.96,-42.16,-26.38,-49.52,32.68,70.19,23.72,11.12,90.75
Przychody finansowe,,,,,332.89,-97.8,-87.49,2129.07,-12.77,-21.43,112.81,-96.57,-11.5,-79.39,-82.59,-66.12,-30.71,-97.06,156.39,145.12,-22.16,1180750.0,25.22,-392.29,-70.8,-98.64,-58.78,134.98,-100.0,-100.0,-100.0,-100.0,,,,,,,,,-44.58,-40.51,9.33,3123.08,556.52,-85.11,163.41,-122.14,163.91,8942.86,1182.41,-2933.33,-71.02,-58.77,-69.13,80.41
