,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,13.62,4.87,11.87,6.95,-16.99,-7.3,-10.92,0.75,9.32,14.17,5.33,1.33,26.9,10.17,2.79,24.62,0.3,3.09,10.35,-6.6,1.3,1.1,14.23,8.07,4.11,-1.34,-3.14,19.59,-10.7,20.91,-6.2,-27.38,-15.27,-23.81,-7.8,6.33,16.62,3.25,23.23,3.71,14.86,-1.55,-13.77,10.39,2.08,0.45,12.58,-16.72,-0.08,-29.11,-8.94,6.5,-0.98,45.21,20.2,14.4,6.31,-0.16,19.26,10.15,18.44,32.96,8.16,24.56,25.03,16.83,24.74,33.87,88.92,88.52,65.01,58.35
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,10.68,7.73,8.46,19.35,-15.97,-3.84,-12.6,-7.44,2.97,10.59,10.12,2.4,3.32,-0.03,1.01,6.7,10.66,6.96,8.33,-2.21,4.44,11.92,16.46,0.34,8.91,-1.33,4.53,38.63,-0.97,-8.05,-3.18,-17.11,-10.29,-0.75,-5.74,0.14,0.16,-0.56,10.44,-7.93,9.3,-1.79,-4.51,6.54,2.11,0.45,-7.61,5.43,-2.47,41.16,7.79,7.17,16.27,-14.11,9.74,2.66,11.65,1.74,12.53,15.11,15.75,8.89,5.65,42.05,30.04,25.59,19.69,8.26,29.28,54.87,34.99,45.36
Koszty sprzedaży,,,,,36.47,39.92,-10.98,-38.58,139.59,-126.14,41.56,-0.08,-71.2,537.74,11.84,20.38,23.57,-16.13,6.39,-9.4,-23.96,-4.59,-23.4,-257.34,-56.76,68.84,52.91,82.77,11.22,-55.12,-37.11,366.16,1.59,2.3,-36.36,-5.71,-11.5,-71.24,-65.97,-39.96,-22.95,-1.88,-1.69,-1.65,60.56,-4.42,12.34,-48.28,-9.07,17.75,-14.74,74.41,-66.26,-27.26,-19.25,-40.19,2256.48,713.33,667.68,1002.25,18.72,14.24,36.13,20.31,-8.1,11.07,20.65,56.72,66.31,22.19,7.72,194.93,1679.72,1275.2,1178.43,490.43
Koszty ogólnego zarządu,,,,,-2.16,21.08,15.74,0.1,-6.61,3.0,-6.6,34.58,1.04,6.76,-10.72,-11.06,15.49,-0.81,17.87,-11.39,-9.99,-8.67,-11.22,-36.43,6.9,-22.94,18.88,-30.7,-19.79,0.5,-29.0,72.98,-15.19,-31.42,-24.18,1.38,-40.94,-46.66,-45.75,-45.62,21.62,-135.91,-49.82,-54.39,-62.31,247.82,25.02,-3.28,1.46,42.26,-11.21,7.95,2.09,-18.27,-7.99,-30.58,-19.31,-24.32,7.44,0.78,1241.52,1122.3,1000.43,973.96,-10.92,-5.46,-2.63,12.58,-5.1,2.49,9.43,-19.27,9.97,10.12,0.33,62.18
Zysk ze sprzedaży,,,,,26.13,-69.03,6.97,-45.76,-28.13,-103.62,13.86,71.2,46.26,1476.77,-29.21,-1.59,92.02,1467.06,1.8,145.18,-13.71,-20.84,12.83,-6.5,-4.02,-115.02,-35.97,27.2,-3.97,105.79,-27.32,-25.86,-32.97,43265.31,-2.55,-71.57,-30.31,-87.89,6.14,100.71,89.07,147.47,38.46,76.71,30.71,-12.49,-62.25,23.1,2.13,-4.0,82.78,-75.35,5.01,-829.6,-407.32,4.32,-36.94,83.16,25.64,125.52,-30.97,-100.76,-26.62,-42.07,45.25,122.67,12.57,-158.16,5.15,-201.14,30.3,556.67,187.71,275.06,16.65,-47.78
Pozostałe przychody operacyjne,,,,,-3.18,-173.66,-77.64,1007.87,167.79,393.66,14.96,-3.84,-83.73,4.0,29.28,-25.45,-28.75,186.85,-34.44,-71.61,41.11,-101.47,-37.54,-88.34,-54.08,4536.46,151.77,-1072.51,16.39,-73.77,-57.84,163.81,396.05,770.94,1781.28,-696.82,-74.15,-60.31,-15.89,134.26,-22.0,0.21,-66.0,-69.1,27.52,-82.82,-15.56,122.39,7.11,358.66,-89.89,-30.23,-29.13,-59.34,241.28,-46.84,29.04,-17.72,-53.14,550.76,4449.7,2364.95,207.34,-159.47,-96.58,-81.91,321.01,55.68,-0.3,-30.59,-12.13,67.95,10.99,-90.74,-77.65,1208.93
Pozostałe koszty operacyjne,,,,,14.41,-60.85,-114.24,-42.73,-65.65,66.0,197.84,39.7,149.36,-47.11,12.53,22.62,0.11,65.04,145.41,-54.53,-15.46,42.08,-7.12,-24.44,-66.88,-59.44,-54.84,9.27,238.12,165.69,-4.35,170.93,63.94,77.15,327.61,259.47,-47.43,-21.65,52.66,-20.66,-43.28,-85.1,-51.77,-56.4,-77.01,-9.52,-31.62,-63.74,266.67,59.98,144.85,-107.45,-66.73,-38.6,-90.35,1044.86,-22.82,260.96,-100.0,125.62,116.06,69.91,,-11.5,-2.03,-86.73,32.29,-82.12,6.55,64.33,-47.73,7.76,-5.83,192.89,78.42,17.74
Zysk operacyjny (EBIT),,,,,22.57,-125.11,7.41,17.75,-4.74,96.17,9.08,32.81,4.08,8239.53,-28.47,-15.42,89.64,760.26,-7.89,111.99,-12.67,-61.2,10.49,-9.63,-4.27,-70.52,-21.67,20.97,-5.31,-192.42,-35.39,-26.24,-27.82,2376.44,49.17,-144.97,-34.63,-89.71,-17.77,171.18,89.63,239.05,17.58,199.7,32.06,-32.92,-76.3,41.56,1.61,18.97,68.05,-71.82,4.93,-673.93,-190.59,-14.21,-36.09,81.51,37.72,155.29,89.88,107.9,-48.45,-66.65,-46.59,890.18,44.87,-214.66,4.91,-126.64,45.66,468.89,182.03,380.91,-66.54,-36.3
Przychody finansowe,,,,,-26.22,-62.79,-51.98,-51.2,-16.99,168.39,120.82,-250.32,58.08,-56.49,6.63,506.03,-15.83,-14.48,1.49,-75.51,6.53,52.49,-73.73,1.92,29.63,-33.78,369.79,6.68,0.22,-7.83,-39.74,-85.26,-34.23,-32.35,-74.94,4651.35,-10.4,-23.38,137.96,-95.38,-64.9,-60.23,-49.03,19.54,37.1,92.86,63.74,-18.26,77.92,43.02,42.19,322.7,31.64,73.77,48.11,22.29,176.83,-67.86,-255.23,195.02,-21.78,182.28,150.98,-89.91,-58.85,-84.71,-70.21,737.0,222.28,2573.55,2530.52,53.99,136.18,13.07,4.58,-17.69
Koszty finansowe,,,,,-32.14,8.8,-20.92,-11.73,-4.09,-45.5,-4.82,2.12,-5.24,20.87,21.39,54.9,26.14,-31.29,-13.31,-24.42,-16.03,-26.84,-38.42,27.26,-0.41,82.39,71.28,13.9,-1.18,-10.48,-26.14,-42.42,-24.48,-19.69,-17.26,-31.46,-35.74,-37.31,-20.4,4.16,8.64,0.37,-4.98,-21.32,4.06,39.95,33.72,-62.6,-3.66,-8.4,-5.52,-385.19,-47.18,-90.48,-59.77,146.91,17.11,675.22,-100.0,346.96,-1.19,-63.8,,-70.14,-12.15,-53.3,-23.89,-112.57,16.52,415.49,82.48,313.59,65.08,130.62,94.49,2457.27
Pozostałe przychody (koszty),,,,,,,,,,,,100.0,-100.41,,-100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,31.88,-387.99,7.83,-14.26,-4.72,125.57,13.11,81.66,5.72,-90.27,-28.83,-7.16,92.64,13622.71,-3.26,116.92,-12.22,-55.31,11.16,-13.05,-3.98,-98.05,-20.5,21.65,-5.45,-2506.45,-29.92,-25.28,-28.17,1271.03,44.44,-137.03,-34.07,-91.28,-8.98,177.42,90.78,278.8,14.7,251.51,33.15,-38.62,-70.73,46.99,2.16,28.19,63.92,-64.82,6.62,-725.02,-133.04,-27.53,-34.45,79.59,43.6,145.2,86.86,113.49,-67.23,-69.54,-47.29,433.23,42.35,-182.92,8.01,-82.09,102.64,726.88,182.67,512.5,-1688.22,-51.96
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,31.88,-387.99,7.83,-14.26,-4.72,125.57,13.11,81.66,5.72,-90.27,-28.83,-7.16,92.64,13622.71,-3.26,116.92,-12.22,-55.31,11.16,-13.05,-3.98,-98.05,-20.5,21.65,-5.45,-2506.45,-29.92,-25.28,-28.17,1271.03,44.44,-137.03,-34.07,-91.28,-8.98,177.42,90.78,278.8,14.7,251.51,33.15,-38.62,-70.73,46.99,2.16,28.19,63.92,-64.82,6.62,-725.02,-133.04,-27.53,-34.45,79.59,43.6,145.2,86.86,113.49,-67.23,-69.54,-47.29,433.23,42.35,-182.92,8.01,-82.09,102.64,726.88,182.67,512.5,-1688.22,-51.96
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,-798.48,37.78,-77.01,,100.0,100.0,-100.0,,,,,,,100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,33.02,-277.75,4.78,-5.2,6.28,76.01,8.81,84.27,-3.55,95.18,-39.37,1.12,91.21,25601.16,14.07,94.91,-12.12,-54.66,17.41,-11.72,-5.41,-119.98,-44.7,14.69,-4.05,-275.84,-16.42,-22.08,-28.19,872.59,44.38,-135.49,-34.27,-71.13,-8.84,178.6,93.88,7.31,16.07,246.28,34.04,-36.04,-77.21,50.09,1.57,14.46,69.87,-65.94,6.37,-802.87,-174.23,-26.61,-33.95,78.19,37.83,149.53,85.6,111.11,-54.56,-70.66,-47.53,476.17,41.98,-189.33,8.33,-83.47,99.64,698.09,182.91,553.49,-13212.24,-53.05
Zysk netto akcjonariuszy jednostki dominującej,,,,,43.13,-815.22,-2.72,13.79,5.4,48.39,10.56,69.6,-8.57,82.5,-28.75,45.81,106.38,941.1,14.23,37.52,-18.66,-5.35,11.1,-12.13,-4.83,-124.74,-45.35,21.25,-5.74,-302.91,-16.53,-26.33,-27.91,830.63,43.82,-135.4,-34.17,-71.05,-7.6,177.27,93.18,6.85,15.97,252.33,33.95,-36.09,-76.95,50.59,1.51,15.21,69.3,-65.62,6.45,-802.28,-169.48,-26.37,-33.86,78.01,37.06,150.75,85.02,108.41,-53.98,-71.24,-47.37,653.34,42.06,-189.22,7.69,-85.81,98.28,696.21,184.83,672.97,-2652.32,-52.37
Aktywa trwałe,,,,,-2.02,-0.63,-0.59,-0.93,-6.14,-4.22,-3.67,0.4,-0.44,-0.39,1.55,4.92,5.59,8.77,10.31,9.92,11.4,10.66,8.58,6.91,5.24,4.29,5.09,3.01,3.15,2.13,1.02,3.8,3.49,3.11,2.7,1.15,1.55,5.42,9.68,12.12,13.88,13.71,9.18,7.77,5.77,3.4,3.02,1.54,0.92,-1.54,-2.58,-3.35,-3.37,-1.19,-0.2,0.6,4.4,4.28,4.63,5.23,1.94,0.12,-0.91,1.07,2.15,2.08,9.35,7.79,9.0,12.61,7.91,18.8,24.42,27.75,28.0,18.39
Wartości niematerialne i prawne,,,,,115.64,101.31,48.43,-11.97,-12.09,-7.32,-7.69,26.25,25.26,11.22,11.1,-1.63,-1.04,-1.33,-2.14,6.06,9.79,0.36,1.49,-6.58,-9.38,-0.76,4.72,4.7,4.61,17.67,11.36,11.2,-10.96,-20.86,-20.96,-21.71,-2.59,-3.87,-4.23,-4.22,23.6,24.24,24.39,-4.34,-26.17,-26.28,-26.39,-4.3,-3.31,-2.35,-1.35,1.55,1.54,1.53,1.54,-0.35,-0.32,-0.33,-0.35,-0.38,-0.39,-0.33,-0.3,-0.03,-0.02,-0.04,-0.05,-0.33,-0.34,-0.35,-0.36,-0.33,-0.33,-0.29,-0.26,0.73
Rzeczowe składniki majątku trwałego,,,,,-3.78,2.16,3.33,1.18,-6.02,-4.1,-3.32,-1.78,-1.2,-0.74,1.66,6.74,7.02,8.52,10.52,9.83,11.14,12.81,9.5,8.22,6.62,4.41,5.35,3.91,4.07,2.76,1.75,3.75,3.36,3.35,3.29,1.31,2.16,4.83,10.2,13.04,14.71,14.54,9.14,7.52,5.68,3.21,2.48,0.92,-0.12,-1.25,-3.12,-4.03,-3.87,-2.83,-2.0,-1.24,3.07,3.47,4.6,5.49,1.23,0.62,-0.48,0.11,1.34,1.25,2.31,2.96,4.19,7.25,9.76,23.99,29.06,34.12,34.37,21.46
Należności długoterminowe,,,,,-100.0,-100.0,-100.0,,,,,285.77,212.32,190.36,190.03,-24.58,-13.09,-7.02,-10.23,6.87,12.74,-13.88,52.7,0.02,7.62,35.08,-18.72,-28.0,-27.36,7.06,2.79,52.39,63.33,30.73,-40.89,-39.34,-50.41,153.01,74.75,45.12,50.35,23.63,28.94,53.69,43.93,-8.33,-8.57,-10.96,-11.77,-56.06,-13.01,6.33,7.4,-32.64,87.44,11.17,10.71,11.91,-37.24,10.55,19.89,17.52,17.39,-50.9,-23.01,-22.69,-23.01,-5.69,-36.75,-37.13,-37.24,-5.62,-19.82,-20.06,-20.2,-20.46
