,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,263633.0,170318.0,112038.0,234194.0,299552.0,178608.0,125340.0,250460.0,248654.0,165570.0,111654.0,252341.0,271828.0,189035.0,117605.0,255691.0,344961.0,208256.0,120886.0,318652.0,346002.0,214698.0,133398.0,297636.0,350512.0,217063.0,152380.0,321651.0,364901.0,214164.0,147591.0,384655.0,325850.0,258951.0,138442.0,279351.0,276080.0,197297.0,127642.0,297025.0,321952.0,203717.0,157290.0,308041.0,369781.0,200554.0,135625.0,340032.0,377474.0,201456.0,152692.0,283174.0,377186.0,142809.0,139034.0,301593.0,373497.0,207377.0,167116.0,345011.0,397058.0,207053.0,199302.0,380028.0,470275.0,275306.0,215563.0,473362.0,587993.0,321649.0,268886.0,633673.0,1110855.0,606388.0,443687.0,1003445.0
Techniczny koszt wytworzenia produkcji sprzedanej,200159.0,150674.0,126938.0,182374.0,221537.0,162316.0,137680.0,217668.0,186160.0,156075.0,120338.0,201464.0,191686.0,172611.0,132521.0,206308.0,198056.0,172552.0,133857.0,220122.0,219168.0,184557.0,145004.0,215258.0,228905.0,206560.0,168870.0,215995.0,249294.0,203820.0,176520.0,299425.0,246882.0,187419.0,170914.0,248187.0,221473.0,186016.0,161103.0,248543.0,221817.0,184968.0,177930.0,228834.0,242442.0,181665.0,169902.0,243806.0,247548.0,182476.0,156976.0,257053.0,241430.0,257575.0,169205.0,275486.0,280712.0,221239.0,185692.0,282823.0,313428.0,225089.0,208965.0,325544.0,362805.0,245110.0,220778.0,462422.0,471802.0,307842.0,264249.0,500599.0,609967.0,476764.0,356717.0,727652.0
Koszty sprzedaży,2073.0,2420.0,2722.0,3989.0,2829.0,3386.0,2423.0,2450.0,6778.0,-885.0,3430.0,2448.0,1952.0,3874.0,3836.0,2947.0,2412.0,3249.0,4081.0,2670.0,1834.0,3100.0,3126.0,-4201.0,793.0,5234.0,4780.0,-724.0,882.0,2349.0,3006.0,1927.0,896.0,2403.0,1913.0,1817.0,793.0,691.0,651.0,1091.0,611.0,678.0,640.0,1073.0,981.0,648.0,719.0,555.0,892.0,763.0,613.0,968.0,301.0,555.0,495.0,579.0,7093.0,4514.0,3800.0,6382.0,8421.0,5157.0,5173.0,7678.0,7739.0,5728.0,6241.0,12033.0,12871.0,6999.0,6723.0,35489.0,229068.0,96250.0,85949.0,209539.0
Koszty ogólnego zarządu,7991.0,8403.0,7179.0,9591.0,7818.0,10174.0,8309.0,9601.0,7301.0,10479.0,7761.0,12921.0,7377.0,11187.0,6929.0,11492.0,8520.0,11096.0,8167.0,10183.0,7669.0,10134.0,7251.0,6473.0,8198.0,7809.0,8620.0,4486.0,6576.0,7848.0,6120.0,7760.0,5577.0,5382.0,4640.0,7867.0,3294.0,2871.0,2517.0,4278.0,4006.0,-1031.0,1263.0,1951.0,1510.0,1524.0,1579.0,1887.0,1532.0,2168.0,1402.0,2037.0,1564.0,1772.0,1290.0,1414.0,1262.0,1341.0,1386.0,1425.0,16930.0,16391.0,15252.0,15304.0,15081.0,15496.0,14851.0,17230.0,14312.0,15882.0,16251.0,13910.0,15739.0,17489.0,16305.0,22559.0
Zysk ze sprzedaży,53410.0,8821.0,-24801.0,38240.0,67368.0,2732.0,-23072.0,20741.0,48415.0,-99.0,-19875.0,35508.0,70813.0,1363.0,-25681.0,34944.0,135973.0,21359.0,-25219.0,85677.0,117331.0,16907.0,-21983.0,80106.0,112616.0,-2540.0,-29890.0,101894.0,108149.0,147.0,-38055.0,75543.0,72495.0,63747.0,-39025.0,21480.0,50520.0,7719.0,-36629.0,43113.0,95518.0,19102.0,-22543.0,76183.0,124848.0,16717.0,-36575.0,93784.0,127502.0,16049.0,-6299.0,23116.0,133891.0,-117093.0,-31956.0,24114.0,84430.0,-19717.0,-23762.0,54381.0,58279.0,-39584.0,-30088.0,31502.0,84650.0,8972.0,-26307.0,-18323.0,89008.0,-9074.0,-18337.0,83675.0,256081.0,15885.0,-15284.0,43695.0
Pozostałe przychody operacyjne,8271.0,1906.0,8730.0,1868.0,8008.0,-1404.0,1952.0,20695.0,21445.0,4123.0,2244.0,19901.0,3489.0,4288.0,2901.0,14837.0,2486.0,12300.0,1902.0,4212.0,3508.0,-181.0,1188.0,491.0,1611.0,8030.0,2991.0,-4775.0,1875.0,2106.0,1261.0,3047.0,9301.0,18342.0,23723.0,-18185.0,2404.0,7280.0,19953.0,6230.0,1875.0,7295.0,6785.0,1925.0,2391.0,1253.0,5729.0,4281.0,2561.0,5747.0,579.0,2987.0,1815.0,2337.0,1976.0,1588.0,2342.0,1923.0,926.0,10334.0,106554.0,47401.0,2846.0,-6146.0,3643.0,8575.0,11982.0,-2724.0,3632.0,5952.0,10528.0,-873.0,4031.0,551.0,2353.0,9681.0
Pozostałe koszty operacyjne,2789.0,6258.0,5841.0,9576.0,3191.0,2450.0,-832.0,5484.0,1096.0,4067.0,814.0,7661.0,2733.0,2151.0,916.0,9394.0,2736.0,3550.0,2248.0,4271.0,2313.0,5044.0,2088.0,3227.0,766.0,2046.0,943.0,3526.0,2590.0,5436.0,902.0,9553.0,4246.0,9630.0,3857.0,34340.0,2232.0,7545.0,5888.0,27244.0,1266.0,1124.0,2840.0,11878.0,291.0,1017.0,1942.0,4307.0,1067.0,1627.0,4755.0,-321.0,355.0,999.0,459.0,3033.0,274.0,3606.0,0.0,6843.0,592.0,6127.0,898.0,6056.0,580.0,813.0,1188.0,1083.0,618.0,1336.0,621.0,1167.0,582.0,3913.0,1108.0,1374.0
Zysk operacyjny (EBIT),58892.0,4469.0,-21912.0,30532.0,72185.0,-1122.0,-20288.0,35952.0,68764.0,-43.0,-18445.0,47748.0,71569.0,3500.0,-23696.0,40387.0,135723.0,30109.0,-25565.0,85618.0,118526.0,11682.0,-22883.0,77370.0,113461.0,3444.0,-27842.0,93593.0,107434.0,-3183.0,-37696.0,69037.0,77550.0,72459.0,-19159.0,-31045.0,50692.0,7454.0,-22564.0,22099.0,96127.0,25273.0,-18598.0,66230.0,126948.0,16953.0,-32788.0,93758.0,128996.0,20169.0,-10475.0,26424.0,135351.0,-115755.0,-30439.0,22669.0,86498.0,-21400.0,-18956.0,57872.0,164241.0,1690.0,-28140.0,19300.0,87713.0,16734.0,-15513.0,-22130.0,92022.0,-4458.0,-8430.0,81635.0,259530.0,12523.0,-14039.0,52002.0
Przychody finansowe,2010.0,7659.0,2020.0,2215.0,1483.0,2850.0,970.0,1081.0,1231.0,7649.0,2142.0,-1625.0,1946.0,3328.0,2284.0,6598.0,1638.0,2846.0,2318.0,1616.0,1745.0,4340.0,609.0,1647.0,2262.0,2874.0,2861.0,1757.0,2267.0,2649.0,1724.0,259.0,1491.0,1792.0,432.0,12306.0,1336.0,1373.0,1028.0,568.0,469.0,546.0,524.0,679.0,643.0,1053.0,858.0,555.0,1144.0,1506.0,1220.0,2346.0,1506.0,2617.0,1807.0,2869.0,4169.0,841.0,-2805.0,8464.0,3261.0,2374.0,1430.0,854.0,1342.0,363.0,426.0,7148.0,4325.0,9705.0,11206.0,11007.0,10215.0,10973.0,11719.0,9060.0
