,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,4274.0,9535.0,51851.0,31191.0,2097.0,5077.0,30408.0,77719.0,14339.0,10437.0,34637.0,57795.0,26642.0,18498.0,72868.0,63547.0,13627.0,11150.0,33886.0,27619.0,9264.0,10093.0,19783.0,34763.0,17509.0,9879.0,30642.0,24395.0,11474.0,14921.0,37582.0,54406.0,15434.0,19989.0,49772.0,39353.0,13040.0,18582.0,37524.0,44752.0,13443.0,17909.0,26771.0,25076.0,14807.0,17192.0,68683.0,51184.0,16620.0,16505.0,22260.0,38084.0,22394.0,8993.0,28220.0,19368.0,24223.0
Techniczny koszt wytworzenia produkcji sprzedanej,3337.0,679.0,27732.0,28494.0,1197.0,2375.0,33317.0,82281.0,10330.0,15651.0,33321.0,66130.0,24120.0,25880.0,76131.0,89300.0,14714.0,9041.0,41582.0,29169.0,10179.0,5368.0,24015.0,14984.0,13536.0,10691.0,33908.0,14306.0,7161.0,530.0,16134.0,51649.0,9634.0,22719.0,37155.0,45695.0,13531.0,22872.0,47700.0,20910.0,9027.0,8694.0,36725.0,19367.0,9804.0,12571.0,49419.0,28266.0,10726.0,13618.0,16871.0,37917.0,13541.0,10094.0,15486.0,35993.0,15197.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-8.0,0.0,0.0,0.0
Koszty ogólnego zarządu,787.0,390.0,690.0,480.0,805.0,1579.0,2616.0,10467.0,3104.0,5757.0,5021.0,4411.0,4426.0,6068.0,7672.0,8328.0,2479.0,283.0,2077.0,4573.0,1270.0,403.0,944.0,3671.0,470.0,1083.0,1874.0,3122.0,773.0,1045.0,1457.0,2124.0,1031.0,973.0,1169.0,2218.0,794.0,1426.0,1948.0,2461.0,1406.0,1576.0,1840.0,2597.0,992.0,1251.0,2296.0,4624.0,1225.0,1242.0,4567.0,5485.0,2263.0,1359.0,1416.0,3604.0,2617.0
Zysk ze sprzedaży,149.0,8466.0,23429.0,2217.0,96.0,1123.0,-5525.0,-15030.0,905.0,-10972.0,-3706.0,-12746.0,-1903.0,-13449.0,-10936.0,-34081.0,-3565.0,1825.0,-9773.0,-6124.0,-2185.0,4322.0,-5176.0,16108.0,3503.0,-1895.0,-5140.0,6967.0,3539.0,13346.0,19991.0,634.0,4769.0,-3703.0,11449.0,-8561.0,-1285.0,-5716.0,-12124.0,21381.0,3010.0,7639.0,-11795.0,3112.0,4011.0,3370.0,16968.0,18294.0,4669.0,1645.0,822.0,-5317.0,6582.0,-2452.0,11318.0,-20230.0,6410.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,4113.0,44523.0,6111.0,51381.0,5312.0,36769.0,18912.0,31067.0,13821.0,57774.0,29994.0,-32430.0,4612.0,-6683.0,-3169.0,22972.0,-1559.0,15626.0,19322.0,5263.0,789.0,18393.0,16495.0,25322.0,722.0,915.0,1063.0,1267.0,3991.0,-1565.0,375.0,-1895.0,1101.0,10898.0,16928.0,-1056.0,91.0,92.0,54017.0,-36021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe koszty operacyjne,649.0,-20.0,-1571.0,41.0,45.0,-2460.0,345.0,4760.0,-1254.0,-1569.0,2905.0,6224.0,0.0,5066.0,5949.0,11656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,-1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),-500.0,8487.0,25000.0,2176.0,4164.0,48105.0,241.0,31590.0,7470.0,27366.0,12302.0,12098.0,11918.0,39259.0,13109.0,-78167.0,1047.0,-4857.0,-12942.0,16849.0,-3744.0,19948.0,14146.0,21370.0,4293.0,16498.0,11355.0,32289.0,3109.0,15344.0,21053.0,1901.0,8760.0,-5268.0,11824.0,-10456.0,-184.0,5182.0,4804.0,20325.0,3102.0,7730.0,42222.0,-32909.0,4011.0,3370.0,16968.0,18294.0,4669.0,1645.0,822.0,-5317.0,6582.0,-2452.0,11318.0,-20230.0,6410.0
Przychody finansowe,0.0,0.0,0.0,0.0,0.0,2622.0,866.0,1777.0,0.0,1494.0,102.0,1996.0,1242.0,4392.0,2220.0,157.0,1545.0,494.0,1583.0,589.0,1575.0,117.0,472.0,5688.0,834.0,303.0,671.0,4263.0,300.0,1097.0,599.0,470.0,38.0,247.0,22.0,9008.0,16693.0,2162.0,24560.0,6513.0,4.0,4.0,5946.0,-5773.0,0.0,0.0,20.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
