,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,,10.07,10.79,42.27,-31.94,-24.67,-28.71,-26.34,-34.19,-8.31,21.26,12.19,197.83,38.27,7.28,-0.92,9.93,7.27,7.26,1.53,0.29,3.65,-4.34,-2.65,-7.26,0.82,1.77,6.42,-21.28,-43.2,-37.96,-39.31,-20.86,14.17,9.62,34.32,106.59,18.26,8.68,23.68,-6.12,13.87,20.97,17.8,28.93,-0.77,-16.08,-30.96,-46.89,-43.85,-28.88,-46.97,-10.49
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,,4.49,27.57,21.85,-28.76,-21.18,-25.17,-18.71,-38.58,-13.9,23.19,11.07,150.47,47.57,11.91,16.66,1.84,9.96,8.21,-27.5,20.02,8.41,-4.75,21.78,-11.51,-3.87,6.45,25.51,-34.5,-43.66,-38.54,-21.64,-29.03,7.15,5.19,-9.91,119.83,24.22,11.17,40.1,-8.91,24.67,32.16,18.97,29.36,1.56,-15.42,-16.23,-24.28,-41.89,-21.35,-52.7,-8.04
Koszty sprzedaży,,,,,,310.85,79.26,229.11,-28.2,-2.4,141.97,8.12,110.47,-34.64,-13.46,17.64,1.54,27.11,-5.01,10.91,40.8,-17.69,18.81,104.86,22.0,102.79,22.39,-47.98,-19.02,2.57,-12.47,28.89,-7.79,-46.35,-34.39,-39.41,-35.96,-5.41,-24.18,-37.37,21.82,20.9,34.8,13.53,16.56,49.83,14.65,26.86,18.27,-25.58,28.19,-86.81,-35.34,-25.9,-57.84,255.44,-37.77
Koszty ogólnego zarządu,,,,,114.97,-3.64,-66.73,-30.6,0.8,35.37,-40.12,3.26,-33.33,-6.6,109.4,7.21,-7.63,45.49,-4.97,-23.68,47.23,-18.73,8.04,49.65,20.39,22.68,87.77,19.01,-15.86,1.87,-7.48,85.89,6.27,-17.6,24.32,-37.96,0.97,-0.82,-7.32,-10.21,-19.74,38.11,-0.47,-0.85,9.46,-16.79,-6.69,-7.86,8.56,3.48,9.77,-6.66,-1.62,6.7,-11.45,-34.92,-12.17
Zysk ze sprzedaży,,,,,-352.05,1.87,-16.11,384.92,5.97,-61.06,-67.75,-85.83,11.16,72.73,39.83,27.84,57.29,-1.36,-10.62,-399.73,-6.94,15.6,-10.1,88.33,-227.98,-74.11,-51.74,-320.7,31.44,120.59,-39.67,-480.93,50.78,-51.64,-121.97,-20.42,61.24,161.74,952.93,96.22,318.55,-26.2,-40.1,-686.26,-23.56,-96.93,-165.37,-18.03,75.25,187.77,-253.63,-71.86,-301.45,-963.4,-16.9,49.64,14.55
Pozostałe przychody operacyjne,,,,,-99.73,265.04,499.82,-54.5,-29.92,-89.21,-79.85,-23.3,-13.5,27.38,-69.3,-52.3,44.3,-64.25,-11.76,517.11,-189.47,-2289.24,123.33,-20.94,207.19,132.52,-49.25,-31.93,-75.0,-15.11,530.15,-101.31,292.68,396.75,-65.69,-4698.21,4710.25,-105.19,151.36,109.56,-98.9,246.34,-75.91,91.83,-40.94,-126.94,73.6,43.81,606.93,-467.01,10522.98,-122.43,-16.25,3941.82,-72.77,534.59,1157.86
Pozostałe koszty operacyjne,,,,,,297.13,-95.37,-98.89,85.58,-96.08,-36.67,5321.88,124.35,-352.43,518.8,-57.18,-68.82,133.85,-100.36,1015.88,-100.0,-100.0,100.0,11.74,,,,-97.07,220.0,468.89,1.08,243.54,37.5,-149.22,319.15,-78.3,427.27,590.48,21.32,7.43,50.86,7.12,-44.77,-238.25,-39.43,104.23,-73.86,1046.0,566.04,-81.58,349.28,525.44,-73.94,1057.43,-789.35,-61.36,-39.67
Zysk operacyjny (EBIT),,,,,-105.72,4.34,13.32,112.85,3.63,-60.97,-69.12,-82.84,7.72,77.35,24.75,2.34,61.33,-7.15,-2.67,-353.49,-25.93,-19.85,-8.35,46.06,-190.05,-49.43,-52.79,119.88,29.9,79.0,-20.79,-2757.62,54.54,10.92,-119.79,-28.97,533.29,-7.65,856.21,96.81,-78.66,-21.67,-45.33,-627.84,-23.63,-121.7,-158.1,-69.45,75.99,79.54,1900.54,-212.94,-290.74,5362.4,-84.86,58.66,106.68
Przychody finansowe,,,,,,-0.6,-137.66,-79.48,-88.1,-95.94,128.88,112.64,-28.72,210.0,3.7,-65.41,31.34,66.13,-45.54,-84.38,-100.0,-100.0,-100.0,2160.0,,,,-98.67,-98.57,-84.21,-94.74,500.0,1600.0,119200.0,0.0,-19583.33,-17.65,-98.91,1000.0,100.31,-64.29,-71.79,154.55,-72.73,-100.0,463.64,-16.07,-66.67,,-72.58,-59.57,-1100.0,,-23.53,873.68,88910.0,1702.78
